d,o,h,l,c,v,p
2026-03-31 22:15:00,4636.000,4646.000,4635.000,4646.000,5012,183750
2026-03-31 22:30:00,4646.000,4650.000,4643.000,4647.000,3648,183810
2026-03-31 22:45:00,4647.000,4647.000,4640.000,4642.000,3,183559
2026-03-31 23:00:00,4643.000,4647.000,4638.000,4639.000,3056,182733
2026-04-01 09:15:00,4639.000,4650.000,4637.000,4639.000,7426,183392
2026-04-01 09:30:00,4639.000,4640.000,4610.000,4613.000,14560,182863
2026-04-01 09:45:00,4614.000,4625.000,4613.000,4622.000,6206,182675
2026-04-01 10:00:00,4623.000,4628.000,4617.000,4627.000,3658,182896
2026-04-01 10:15:00,4625.000,4627.000,4615.000,4621.000,3763,182694
2026-04-01 10:45:00,4622.000,4655.000,4621.000,4654.000,12380,184092
2026-04-01 11:00:00,4654.000,4662.000,4647.000,4653.000,7299,184257
2026-04-01 11:15:00,4653.000,4654.000,4640.000,4641.000,1690,184053
2026-04-01 11:30:00,4641.000,4650.000,4639.000,4643.000,464,184349
2026-04-01 13:45:00,4643.000,4643.000,4619.000,4624.000,3492,184013
2026-04-01 14:00:00,4624.000,4625.000,4622.000,4623.000,30,184790
2026-04-01 14:15:00,4628.000,4629.000,4621.000,4621.000,225,185611
2026-04-01 14:30:00,4621.000,4625.000,4612.000,4614.000,38,184515
2026-04-01 14:45:00,4616.000,4617.000,4604.000,4605.000,889,183468
2026-04-01 15:00:00,4604.000,4615.000,4599.000,4614.000,10172,182136
2026-04-01 21:15:00,4597.000,4611.000,4581.000,4597.000,88,182504
2026-04-01 21:30:00,4596.000,4597.000,4585.000,4589.000,88,182994
2026-04-01 21:45:00,4589.000,4604.000,4588.000,4603.000,4,182988
2026-04-01 22:00:00,4603.000,4604.000,4591.000,4593.000,89,182790
2026-04-01 22:15:00,4593.000,4598.000,4590.000,4593.000,22,183027
2026-04-01 22:30:00,4593.000,4595.000,4588.000,4593.000,1,182925
2026-04-01 22:45:00,4593.000,4601.000,4593.000,4598.000,3,182826
2026-04-01 23:00:00,4598.000,4616.000,4598.000,4611.000,38,182730
2026-04-02 09:15:00,4611.000,4626.000,4601.000,4618.000,1093,184315
2026-04-02 09:30:00,4619.000,4622.000,4610.000,4613.000,235,184433
2026-04-02 09:45:00,4613.000,4625.000,4610.000,4619.000,27,184771
2026-04-02 10:00:00,4618.000,4619.000,4596.000,4603.000,68,183817
2026-04-02 10:15:00,4602.000,4610.000,4602.000,4607.000,35,183753
