d,o,h,l,c,v,p
2026-03-31 22:15:00,4471.000,4478.000,4458.000,4466.000,34483,278118
2026-03-31 22:30:00,4465.000,4487.000,4465.000,4479.000,8441,279273
2026-03-31 22:45:00,4479.000,4510.000,4475.000,4497.000,36700,278476
2026-03-31 23:00:00,4496.000,4515.000,4496.000,4512.000,28124,273764
2026-04-01 09:15:00,4513.000,4513.000,4429.000,4464.000,84082,272320
2026-04-01 09:30:00,4464.000,4474.000,4442.000,4445.000,46276,272994
2026-04-01 09:45:00,4450.000,4487.000,4443.000,4475.000,42469,278618
2026-04-01 10:00:00,4475.000,4482.000,4466.000,4475.000,20612,278242
2026-04-01 10:15:00,4472.000,4479.000,4431.000,4450.000,44285,276602
2026-04-01 10:45:00,4446.000,4466.000,4433.000,4444.000,32418,275940
2026-04-01 11:00:00,4443.000,4472.000,4438.000,4471.000,27191,277017
2026-04-01 11:15:00,4472.000,4472.000,4447.000,4463.000,2238,278603
2026-04-01 11:30:00,4463.000,4486.000,4456.000,4476.000,992,279115
2026-04-01 13:45:00,4450.000,4450.000,4392.000,4396.000,11216,275834
2026-04-01 14:00:00,4395.000,4404.000,4358.000,4394.000,483,272356
2026-04-01 14:15:00,4394.000,4404.000,4371.000,4372.000,1150,272591
2026-04-01 14:30:00,4371.000,4371.000,4342.000,4344.000,1600,271941
2026-04-01 14:45:00,4344.000,4345.000,4288.000,4292.000,3190,272582
2026-04-01 15:00:00,4293.000,4313.000,4281.000,4283.000,65151,266350
2026-04-01 21:15:00,4350.000,4350.000,4310.000,4325.000,88589,270731
2026-04-01 21:30:00,4324.000,4334.000,4312.000,4321.000,41228,271496
2026-04-01 21:45:00,4321.000,4329.000,4304.000,4316.000,41962,272822
2026-04-01 22:00:00,4316.000,4319.000,4294.000,4302.000,36089,271536
2026-04-01 22:15:00,4302.000,4312.000,4272.000,4284.000,47639,272311
2026-04-01 22:30:00,4284.000,4308.000,4284.000,4298.000,14048,273246
2026-04-01 22:45:00,4299.000,4316.000,4293.000,4299.000,35033,271471
2026-04-01 23:00:00,4298.000,4305.000,4293.000,4304.000,22558,266281
2026-04-02 09:15:00,4275.000,4315.000,4237.000,4303.000,102902,267830
2026-04-02 09:30:00,4303.000,4415.000,4303.000,4405.000,122006,270022
2026-04-02 09:45:00,4405.000,4441.000,4399.000,4423.000,81059,271186
2026-04-02 10:00:00,4423.000,4447.000,4396.000,4424.000,63339,272134
2026-04-02 10:15:00,4425.000,4447.000,4413.000,4446.000,42142,272239
2026-04-02 10:45:00,4446.000,4460.000,4435.000,4437.000,39739,272526
2026-04-02 11:00:00,4436.000,4446.000,4424.000,4427.000,36679,272349
2026-04-02 11:15:00,4428.000,4439.000,4423.000,4428.000,19661,271135
2026-04-02 11:30:00,4428.000,4429.000,4409.000,4419.000,28241,269281
2026-04-02 13:45:00,4442.000,4470.000,4418.000,4469.000,56750,271672
2026-04-02 14:00:00,4469.000,4489.000,4463.000,4475.000,49426,273152
2026-04-02 14:15:00,4475.000,4479.000,4455.000,4463.000,41469,269973
2026-04-02 14:30:00,4463.000,4463.000,4412.000,4424.000,53168,265389
2026-04-02 14:45:00,4424.000,4430.000,4411.000,4414.000,32773,262804
2026-04-02 15:00:00,4414.000,4424.000,4400.000,4403.000,11122,255632
2026-04-02 21:15:00,4520.000,4526.000,4435.000,4453.000,109679,263260
2026-04-02 21:30:00,4452.000,4454.000,4421.000,4431.000,52688,264506
2026-04-02 21:45:00,4431.000,4432.000,4409.000,4417.000,47208,264476
