d,o,h,l,c,v,p
2026-03-31 22:15:00,2363.000,2364.000,2362.000,2363.000,11288,1023345
2026-03-31 22:30:00,2362.000,2365.000,2362.000,2363.000,2819,1022245
2026-03-31 22:45:00,2363.000,2365.000,2362.000,2365.000,7697,1019088
2026-03-31 23:00:00,2365.000,2365.000,2362.000,2364.000,15283,1014772
2026-04-01 09:15:00,2364.000,2366.000,2362.000,2363.000,33902,1016110
2026-04-01 09:30:00,2362.000,2363.000,2356.000,2357.000,30620,1013402
2026-04-01 09:45:00,2357.000,2358.000,2356.000,2357.000,20253,1014572
2026-04-01 10:00:00,2358.000,2360.000,2356.000,2360.000,1351,1015042
2026-04-01 10:15:00,2358.000,2360.000,2357.000,2360.000,8602,1013820
2026-04-01 10:45:00,2359.000,2362.000,2359.000,2361.000,15100,1012927
2026-04-01 11:00:00,2361.000,2362.000,2359.000,2360.000,3498,1011364
2026-04-01 11:15:00,2360.000,2361.000,2357.000,2357.000,3132,1010670
2026-04-01 11:30:00,2358.000,2359.000,2356.000,2358.000,3289,1012197
2026-04-01 13:45:00,2358.000,2358.000,2352.000,2354.000,3369,1010724
2026-04-01 14:00:00,2355.000,2357.000,2353.000,2354.000,92,1011816
2026-04-01 14:15:00,2354.000,2355.000,2353.000,2353.000,30,1010935
2026-04-01 14:30:00,2353.000,2354.000,2352.000,2353.000,206,1009944
2026-04-01 14:45:00,2353.000,2353.000,2350.000,2350.000,210,1008133
2026-04-01 15:00:00,2350.000,2352.000,2349.000,2350.000,20345,1003435
2026-04-01 21:15:00,2349.000,2350.000,2345.000,2347.000,71007,1005627
2026-04-01 21:30:00,2348.000,2350.000,2347.000,2350.000,20420,1003710
2026-04-01 21:45:00,2350.000,2351.000,2348.000,2351.000,18569,1003738
2026-04-01 22:00:00,2351.000,2352.000,2350.000,2351.000,10036,1004578
2026-04-01 22:15:00,2351.000,2351.000,2349.000,2349.000,7767,1004335
2026-04-01 22:30:00,2350.000,2352.000,2349.000,2351.000,8191,1005090
2026-04-01 22:45:00,2350.000,2352.000,2350.000,2350.000,5891,1002912
2026-04-01 23:00:00,2350.000,2352.000,2350.000,2350.000,12666,1000708
2026-04-02 09:15:00,2349.000,2352.000,2348.000,2351.000,22295,999420
2026-04-02 09:30:00,2351.000,2355.000,2349.000,2353.000,24231,996971
