d,o,h,l,c,v,p
2026-03-05 10:00:00,4624.800,4626.000,4612.200,4615.000,1160,129483
2026-03-05 10:15:00,4623.800,4641.600,4623.400,4641.400,1428,127460
2026-03-05 10:30:00,4641.000,4647.800,4632.000,4646.800,72,126434
2026-03-05 10:45:00,4646.800,4650.000,4639.200,4640.600,15,125745
2026-03-05 11:00:00,4641.200,4650.800,4639.000,4650.800,633,125411
2026-03-05 11:15:00,4650.800,4654.000,4639.200,4643.400,239,125118
2026-03-05 11:30:00,4646.400,4646.400,4641.200,4642.000,94,124973
2026-03-05 13:15:00,4641.000,4647.800,4634.200,4643.800,4,125517
2026-03-05 13:30:00,4643.600,4646.000,4640.600,4643.400,1,125634
2026-03-05 13:45:00,4644.400,4648.000,4638.600,4644.800,1116,125961
2026-03-05 14:00:00,4644.800,4646.600,4625.600,4625.800,1142,126195
2026-03-05 14:15:00,4625.800,4626.200,4611.400,4614.600,3242,127046
2026-03-05 14:30:00,4614.800,4620.200,4605.800,4617.000,374,127575
2026-03-05 14:45:00,4617.400,4619.800,4607.000,4619.400,22,128205
2026-03-05 15:00:00,4619.400,4629.600,4618.800,4628.000,11,129168
2026-03-06 09:45:00,4615.400,4619.000,4602.800,4609.400,1342,123365
2026-03-06 10:00:00,4613.000,4622.800,4612.400,4615.000,596,121293
2026-03-06 10:15:00,4619.200,4633.000,4616.000,4628.400,1251,120015
2026-03-06 10:30:00,4629.200,4639.000,4628.800,4636.600,29,119136
2026-03-06 10:45:00,4636.800,4642.000,4634.400,4640.000,183,118883
2026-03-06 11:00:00,4640.000,4647.600,4636.600,4638.600,1020,118703
2026-03-06 11:15:00,4639.200,4650.200,4639.200,4646.200,136,118425
2026-03-06 11:30:00,4646.200,4652.800,4644.600,4648.600,236,118219
2026-03-06 13:15:00,4649.000,4653.200,4643.400,4643.600,9,118241
2026-03-06 13:30:00,4643.600,4647.800,4640.600,4644.000,17,118448
2026-03-06 13:45:00,4644.000,4667.400,4644.000,4662.200,231,119663
2026-03-06 14:00:00,4655.600,4656.000,4651.200,4653.800,3,120116
