d,o,h,l,c,v,p
2026-03-05 10:00:00,2983.400,2984.600,2975.000,2975.800,2239,55420
2026-03-05 10:15:00,2978.200,2986.400,2975.600,2986.200,1666,54755
2026-03-05 10:30:00,2986.200,2987.400,2981.200,2986.800,1395,54193
2026-03-05 10:45:00,2987.600,2991.200,2985.400,2988.600,1828,53546
2026-03-05 11:00:00,2989.000,2996.800,2987.800,2996.600,1606,53081
2026-03-05 11:15:00,2997.800,2998.800,2990.600,2991.600,550,52747
2026-03-05 11:30:00,2991.600,2994.600,2989.400,2989.800,998,52498
2026-03-05 13:15:00,2988.000,2993.400,2985.000,2991.400,1506,52567
2026-03-05 13:30:00,2991.600,2993.800,2989.600,2992.000,925,52466
2026-03-05 13:45:00,2992.400,2995.400,2989.400,2994.200,1226,52522
2026-03-05 14:00:00,2994.400,2995.600,2983.400,2984.000,1366,52602
2026-03-05 14:15:00,2984.000,2985.600,2977.200,2979.000,1774,52792
2026-03-05 14:30:00,2979.000,2980.600,2974.600,2979.000,1202,52908
2026-03-05 14:45:00,2979.000,2981.800,2974.000,2981.400,1129,53146
2026-03-05 15:00:00,2981.400,2987.200,2980.600,2987.000,8,53581
2026-03-06 09:45:00,2975.200,2984.000,2969.200,2974.800,5447,51408
2026-03-06 10:00:00,2974.800,2979.000,2971.600,2977.600,2112,50956
2026-03-06 10:15:00,2977.000,2985.000,2974.400,2982.800,1746,50644
2026-03-06 10:30:00,2983.400,2987.800,2980.400,2984.000,1678,50574
2026-03-06 10:45:00,2984.600,2986.400,2983.000,2985.600,1171,50576
2026-03-06 11:00:00,2985.600,2989.400,2981.200,2983.600,1278,50592
2026-03-06 11:15:00,2983.600,2990.000,2983.600,2984.600,1243,50488
2026-03-06 11:30:00,2984.600,2990.000,2983.600,2986.600,941,50338
2026-03-06 13:15:00,2986.000,2991.400,2984.400,2985.200,1408,50357
2026-03-06 13:30:00,2985.200,2987.000,2984.000,2986.600,705,50389
2026-03-06 13:45:00,2986.800,3002.600,2986.600,2999.600,3179,50989
2026-03-06 14:00:00,2999.200,2999.400,2989.600,2993.400,1568,51495
2026-03-06 14:15:00,2992.600,2995.200,2988.200,2988.200,1025,52032
2026-03-06 14:30:00,2988.200,2992.200,2987.400,2987.400,889,52354
2026-03-06 14:45:00,2987.800,2993.600,2987.600,2993.000,247,53107
2026-03-06 15:00:00,2993.000,2995.400,2990.000,2990.000,33,53774
2026-03-09 09:45:00,2965.000,2965.000,2912.800,2928.600,11995,50680
2026-03-09 10:00:00,2930.000,2939.800,2926.600,2927.600,4050,50379
2026-03-09 10:15:00,2928.000,2938.200,2923.600,2937.600,2851,50142
2026-03-09 10:30:00,2937.600,2942.600,2930.200,2932.400,2287,50100
2026-03-09 10:45:00,2932.200,2948.000,2930.800,2947.400,2149,50454
2026-03-09 11:00:00,2947.400,2951.800,2944.600,2951.400,1842,50898
2026-03-09 11:15:00,2951.400,2954.200,2942.000,2944.600,699,51220
2026-03-09 11:30:00,2944.600,2951.800,2943.800,2947.600,10,51553
2026-03-09 13:15:00,2945.600,2958.400,2942.800,2955.200,5,52144
2026-03-09 13:30:00,2955.200,2963.800,2953.400,2960.800,10,52543
2026-03-09 13:45:00,2960.800,2966.000,2953.800,2960.800,824,53055
2026-03-09 14:00:00,2960.800,2970.400,2960.200,2965.600,8,53620
2026-03-09 14:15:00,2966.400,2971.600,2964.600,2970.200,23,54172
2026-03-09 14:30:00,2970.200,2972.000,2960.000,2962.200,735,54454
2026-03-09 14:45:00,2962.400,2967.400,2960.400,2961.800,3,55000
2026-03-09 15:00:00,2962.200,2963.000,2956.000,2962.400,640,56117
2026-03-10 09:45:00,2975.000,2985.000,2974.000,2982.400,55,53284
2026-03-10 10:00:00,2985.000,2986.600,2980.400,2985.000,597,52297
2026-03-10 10:15:00,2985.400,2985.400,2981.600,2982.200,3,51501
2026-03-10 10:30:00,2982.600,2982.600,2975.000,2976.000,4,51030
2026-03-10 10:45:00,2975.600,2977.000,2971.800,2973.400,336,50374
2026-03-10 11:00:00,2973.400,2974.000,2969.800,2971.200,21,50112
2026-03-10 11:15:00,2971.200,2974.600,2971.200,2973.200,5,49865
2026-03-10 11:30:00,2973.000,2976.800,2972.400,2975.800,152,49736
2026-03-10 13:15:00,2975.400,2980.200,2974.400,2978.000,4,49485
2026-03-10 13:30:00,2978.000,2981.000,2976.400,2979.800,9,49421
2026-03-10 13:45:00,2979.800,2980.600,2977.400,2979.800,377,49442
2026-03-10 14:00:00,2979.800,2982.400,2977.800,2982.200,4,49520
2026-03-10 14:15:00,2982.000,2987.200,2980.600,2981.000,786,49779
2026-03-10 14:30:00,2981.000,2981.200,2978.000,2978.600,82,49940
2026-03-10 14:45:00,2978.600,2983.000,2978.600,2982.000,237,50194
2026-03-10 15:00:00,2982.200,2984.600,2981.200,2981.400,337,50591
2026-03-11 09:45:00,2985.000,2986.200,2975.000,2977.400,438,48832
2026-03-11 10:00:00,2977.400,2978.200,2970.800,2973.800,22,48335
2026-03-11 10:15:00,2973.800,2979.200,2973.400,2977.600,13,48007
2026-03-11 10:30:00,2977.400,2982.200,2977.400,2980.000,11,47735
2026-03-11 10:45:00,2980.200,2983.600,2980.000,2980.800,259,47536
2026-03-11 11:00:00,2980.800,2986.000,2979.000,2984.600,9,47341
2026-03-11 11:15:00,2985.000,2986.600,2982.800,2984.800,175,47148
2026-03-11 11:30:00,2983.000,2983.000,2980.400,2981.000,99,47110
2026-03-11 13:15:00,2981.200,2985.000,2980.400,2982.800,6,47204
2026-03-11 13:30:00,2982.800,2984.600,2980.600,2981.400,6,47234
2026-03-11 13:45:00,2981.200,2983.000,2979.400,2981.600,97,47178
2026-03-11 14:00:00,2981.200,2983.200,2981.000,2982.400,19,47264
2026-03-11 14:15:00,2982.600,2986.600,2982.600,2985.800,86,47299
2026-03-11 14:30:00,2983.800,2984.400,2982.800,2983.600,4,47314
2026-03-11 14:45:00,2983.600,2984.800,2981.600,2981.800,122,47367
2026-03-11 15:00:00,2982.200,2984.200,2981.600,2983.800,28,48141
2026-03-12 09:45:00,2979.000,2979.000,2971.600,2978.400,3759,46592
2026-03-12 10:00:00,2978.400,2982.000,2975.400,2976.600,1513,46015
2026-03-12 10:15:00,2976.600,2983.800,2975.000,2979.600,1441,45527
2026-03-12 10:30:00,2979.800,2981.000,2977.000,2978.000,919,45248
2026-03-12 10:45:00,2978.000,2980.000,2967.000,2970.400,1931,44987
2026-03-12 11:00:00,2970.800,2971.000,2963.000,2963.200,1483,45098
2026-03-12 11:15:00,2963.800,2965.400,2957.600,2958.600,1790,45260
2026-03-12 11:30:00,2958.000,2958.800,2952.600,2953.600,1106,45617
2026-03-12 13:15:00,2953.600,2959.600,2953.400,2954.200,1292,45824
2026-03-12 13:30:00,2954.200,2956.000,2951.000,2954.400,1056,46189
2026-03-12 13:45:00,2954.200,2964.800,2954.200,2964.000,1536,46606
2026-03-12 14:00:00,2963.600,2968.000,2961.200,2967.600,1178,46861
2026-03-12 14:15:00,2967.600,2968.800,2965.400,2967.800,29,47022
2026-03-12 14:30:00,2967.800,2969.800,2964.200,2969.200,198,47293
2026-03-12 14:45:00,2969.600,2972.600,2967.400,2968.800,231,47567
2026-03-12 15:00:00,2968.800,2970.200,2966.400,2966.400,168,48157
2026-03-13 09:45:00,2967.200,2968.000,2963.200,2963.600,102,45883
2026-03-13 10:00:00,2963.600,2970.600,2961.000,2969.600,3,45103
2026-03-13 10:15:00,2970.800,2977.200,2969.800,2973.200,76,44424
2026-03-13 10:30:00,2973.200,2976.000,2966.400,2969.600,1,44051
2026-03-13 10:45:00,2969.800,2971.400,2967.000,2968.800,7,43946
2026-03-13 11:00:00,2969.000,2971.600,2968.400,2971.400,53,43799
2026-03-13 11:15:00,2971.400,2972.000,2962.800,2963.200,278,43635
2026-03-13 11:30:00,2963.600,2964.000,2961.200,2963.600,694,43560
2026-03-13 13:15:00,2963.200,2978.200,2963.200,2975.000,18,43612
2026-03-13 13:30:00,2975.000,2975.200,2966.400,2966.400,22,43658
2026-03-13 13:45:00,2966.800,2972.000,2966.400,2969.200,302,43695
2026-03-13 14:00:00,2969.200,2970.600,2965.800,2965.800,1,43718
2026-03-13 14:15:00,2965.800,2968.400,2965.000,2967.400,144,43828
2026-03-13 14:30:00,2967.400,2968.400,2961.600,2963.200,479,43886
2026-03-13 14:45:00,2963.200,2963.600,2952.000,2953.600,540,44375
2026-03-13 15:00:00,2953.600,2957.000,2949.600,2957.000,2,45092
2026-03-16 09:45:00,2951.200,2955.600,2926.000,2927.400,359,42555
2026-03-16 10:00:00,2927.800,2943.800,2927.800,2943.600,786,41738
2026-03-16 10:15:00,2943.600,2946.000,2938.600,2945.600,1119,41764
2026-03-16 10:30:00,2945.600,2947.000,2932.800,2936.000,8,41647
2026-03-16 10:45:00,2935.200,2938.600,2930.200,2931.200,315,41599
2026-03-16 11:00:00,2930.200,2933.400,2925.200,2932.400,828,41312
2026-03-16 11:15:00,2931.200,2933.400,2928.200,2931.400,59,41152
2026-03-16 11:30:00,2931.400,2944.800,2931.000,2942.800,389,40993
2026-03-16 13:15:00,2942.800,2956.400,2942.800,2951.400,5,41314
2026-03-16 13:30:00,2951.400,2953.600,2949.000,2951.000,3,41250
2026-03-16 13:45:00,2951.000,2952.400,2946.000,2951.200,1,41390
2026-03-16 14:00:00,2951.200,2951.400,2948.000,2948.800,4,41552
2026-03-16 14:15:00,2948.800,2951.600,2947.200,2950.600,200,41661
2026-03-16 14:30:00,2950.600,2956.000,2950.000,2952.400,1506,41662
2026-03-16 14:45:00,2952.600,2953.600,2951.200,2953.600,2,42127
2026-03-16 15:00:00,2953.600,2955.200,2952.000,2952.000,35,42749
2026-03-17 09:45:00,2960.000,2968.200,2956.000,2967.400,4932,39876
2026-03-17 10:00:00,2968.200,2982.200,2967.400,2981.200,3061,38257
2026-03-17 10:15:00,2981.200,2995.800,2981.200,2993.600,4878,36401
2026-03-17 10:30:00,2993.400,2996.200,2990.000,2994.600,2368,35473
2026-03-17 10:45:00,2994.200,2996.600,2990.400,2992.000,1692,34883
2026-03-17 11:00:00,2992.000,2993.600,2986.800,2987.000,1601,34390
2026-03-17 11:15:00,2985.600,2985.800,2978.000,2980.800,2432,33900
2026-03-17 11:30:00,2980.800,2984.400,2980.800,2982.800,879,33671
2026-03-17 13:15:00,2983.200,2986.600,2980.000,2984.000,1536,33544
2026-03-17 13:30:00,2984.400,2987.000,2980.200,2981.400,375,33283
2026-03-17 13:45:00,2981.400,2983.000,2977.200,2980.600,403,33163
2026-03-17 14:00:00,2980.400,2980.800,2974.000,2974.000,240,32983
2026-03-17 14:15:00,2974.600,2977.600,2972.600,2975.600,558,33012
2026-03-17 14:30:00,2975.400,2979.000,2969.600,2970.400,233,32916
2026-03-17 14:45:00,2970.200,2971.800,2965.000,2968.000,117,33050
2026-03-17 15:00:00,2968.000,2970.000,2962.000,2962.000,21,33412
2026-03-18 09:45:00,2948.800,2958.800,2948.800,2951.200,3573,43719
2026-03-18 10:00:00,2951.200,2952.800,2942.600,2944.200,1229,43458
2026-03-18 10:15:00,2944.000,2945.800,2936.600,2942.200,1739,43520
2026-03-18 10:30:00,2942.000,2944.800,2938.800,2942.600,767,43408
2026-03-18 10:45:00,2942.800,2947.800,2938.200,2938.600,629,43459
2026-03-18 11:00:00,2939.200,2941.200,2929.000,2934.000,1414,43414
2026-03-18 11:15:00,2934.000,2935.600,2931.400,2935.000,774,43664
2026-03-18 11:30:00,2935.000,2938.000,2932.600,2933.800,173,43753
2026-03-18 13:15:00,2934.400,2938.200,2923.200,2924.800,1290,44042
2026-03-18 13:30:00,2925.000,2933.600,2923.800,2927.800,783,44329
2026-03-18 13:45:00,2928.000,2936.400,2926.800,2936.200,749,44664
2026-03-18 14:00:00,2936.200,2938.000,2930.400,2932.400,740,44991
2026-03-18 14:15:00,2932.200,2937.400,2931.800,2935.800,676,45302
2026-03-18 14:30:00,2935.800,2942.800,2935.600,2942.800,777,45506
2026-03-18 14:45:00,2941.000,2946.000,2939.200,2945.200,1153,45954
2026-03-18 15:00:00,2945.200,2948.000,2942.200,2942.200,1029,46354
2026-03-19 09:45:00,2912.400,2922.800,2907.000,2917.000,5559,45397
2026-03-19 10:00:00,2916.200,2921.600,2913.000,2914.400,1306,45478
2026-03-19 10:15:00,2913.400,2916.000,2900.200,2901.400,2223,45806
2026-03-19 10:30:00,2901.200,2910.800,2898.000,2908.400,1877,46267
2026-03-19 10:45:00,2908.400,2912.400,2907.000,2908.600,1319,46677
2026-03-19 11:00:00,2908.600,2909.000,2901.000,2902.600,887,47135
2026-03-19 11:15:00,2902.600,2905.600,2902.200,2903.600,611,47411
2026-03-19 11:30:00,2903.200,2910.400,2899.400,2907.400,1159,47939
2026-03-19 13:15:00,2907.200,2907.200,2896.200,2896.600,1074,48424
2026-03-19 13:30:00,2896.800,2903.600,2893.600,2900.400,1271,48846
2026-03-19 13:45:00,2899.400,2902.400,2891.400,2892.200,1161,49323
2026-03-19 14:00:00,2892.400,2901.000,2888.600,2899.400,1521,50159
2026-03-19 14:15:00,2898.200,2907.200,2895.400,2901.200,1468,50839
2026-03-19 14:30:00,2901.600,2903.600,2891.000,2892.400,1085,51344
2026-03-19 14:45:00,2892.400,2895.000,2882.800,2882.800,2035,52305
2026-03-19 15:00:00,2882.800,2895.800,2882.800,2893.800,2802,53932
2026-03-20 09:45:00,2896.000,2906.000,2892.800,2902.800,5689,52677
2026-03-20 10:00:00,2899.000,2907.000,2889.200,2894.600,2602,52537
2026-03-20 10:15:00,2894.800,2897.000,2889.200,2890.000,1338,52755
2026-03-20 10:30:00,2890.400,2892.600,2887.000,2888.200,1522,53131
2026-03-20 10:45:00,2888.200,2892.000,2883.800,2886.200,1699,53336
2026-03-20 11:00:00,2885.800,2889.800,2882.600,2883.400,1247,53465
2026-03-20 11:15:00,2887.600,2891.600,2878.000,2891.600,479,53995
2026-03-20 11:30:00,2891.200,2896.400,2890.800,2895.400,1746,54182
2026-03-20 13:15:00,2895.600,2895.600,2885.800,2886.200,1499,54496
2026-03-20 13:30:00,2886.200,2886.400,2880.200,2883.200,1491,54776
2026-03-20 13:45:00,2883.200,2884.200,2879.000,2882.600,1194,55110
2026-03-20 14:00:00,2882.200,2883.800,2878.000,2879.000,964,55340
2026-03-20 14:15:00,2882.800,2886.600,2878.600,2880.200,1337,55688
2026-03-20 14:30:00,2879.400,2881.600,2876.200,2878.000,1055,55838
2026-03-20 14:45:00,2878.400,2880.000,2872.200,2872.800,809,56359
2026-03-20 15:00:00,2872.800,2875.400,2865.800,2865.800,49,57522
2026-03-23 09:45:00,2833.600,2846.800,2806.200,2814.600,9683,56255
2026-03-23 10:00:00,2814.400,2825.600,2813.600,2821.600,3041,56462
