d,o,h,l,c,v,p
2026-03-05 10:00:00,8176.400,8183.800,8125.800,8130.200,11692,162124
2026-03-05 10:15:00,8144.800,8182.400,8130.000,8179.800,9343,160164
2026-03-05 10:30:00,8180.600,8190.000,8164.800,8185.400,6406,158586
2026-03-05 10:45:00,8185.400,8205.000,8145.600,8161.000,9386,157361
2026-03-05 11:00:00,8155.000,8188.600,8151.200,8184.600,1517,157024
2026-03-05 11:15:00,8191.200,8195.000,8160.200,8176.400,6049,155994
2026-03-05 11:30:00,8167.600,8194.600,8156.200,8157.000,4728,155789
2026-03-05 13:15:00,8157.600,8168.600,8142.000,8162.600,6224,156747
2026-03-05 13:30:00,8162.600,8167.600,8151.000,8165.400,3141,156722
2026-03-05 13:45:00,8165.400,8174.000,8133.800,8150.000,5173,157046
2026-03-05 14:00:00,8150.000,8153.000,8121.800,8132.400,3049,157769
2026-03-05 14:15:00,8112.000,8132.400,8074.000,8088.800,11841,160302
2026-03-05 14:30:00,8088.800,8103.400,8061.400,8095.600,8974,162745
2026-03-05 14:45:00,8094.800,8105.800,8073.200,8099.600,5965,164166
2026-03-05 15:00:00,8099.600,8135.800,8090.600,8130.000,79,166348
2026-03-06 09:45:00,8103.400,8158.800,8082.600,8149.800,23154,155228
2026-03-06 10:00:00,8149.600,8204.600,8149.400,8154.200,14488,151930
2026-03-06 10:15:00,8154.400,8221.400,8151.400,8214.200,10515,151053
2026-03-06 10:30:00,8214.400,8228.200,8195.600,8205.000,8549,150376
2026-03-06 10:45:00,8208.000,8225.600,8198.000,8221.200,5313,149488
2026-03-06 11:00:00,8221.400,8231.800,8211.200,8220.800,1385,149089
2026-03-06 11:15:00,8221.600,8241.200,8221.400,8235.400,4510,148868
2026-03-06 11:30:00,8235.400,8249.400,8226.200,8245.800,4046,148860
2026-03-06 13:15:00,8245.000,8249.000,8218.800,8223.200,4851,149316
2026-03-06 13:30:00,8223.600,8230.400,8207.400,8214.400,4051,149980
2026-03-06 13:45:00,8212.600,8239.800,8212.600,8232.600,4645,150972
2026-03-06 14:00:00,8228.000,8232.600,8219.600,8225.400,1287,151295
2026-03-06 14:15:00,8227.600,8232.800,8213.600,8214.000,2723,151630
2026-03-06 14:30:00,8213.600,8223.600,8209.600,8215.200,3183,151696
2026-03-06 14:45:00,8215.600,8218.000,8206.000,8209.800,3979,152585
2026-03-06 15:00:00,8209.600,8217.800,8206.200,8211.800,131,153991
2026-03-09 09:45:00,8064.600,8064.600,7851.000,7983.000,45694,146353
2026-03-09 10:00:00,7978.800,7994.600,7916.800,7926.000,15379,146091
2026-03-09 10:15:00,7924.800,7982.400,7912.000,7933.400,12111,146587
2026-03-09 10:30:00,7934.000,7965.600,7925.000,7935.400,7662,147458
2026-03-09 10:45:00,7936.800,7995.800,7932.200,7992.200,8992,148227
2026-03-09 11:00:00,7991.200,8026.400,7978.400,8024.600,3786,149101
2026-03-09 11:15:00,8025.000,8036.000,8008.200,8018.000,1093,150175
2026-03-09 11:30:00,8016.000,8057.000,8007.000,8032.600,58,151075
2026-03-09 13:15:00,8032.200,8099.400,8010.200,8090.400,4,153649
2026-03-09 13:30:00,8090.400,8120.000,8080.200,8114.400,7,155083
2026-03-09 13:45:00,8113.800,8153.000,8105.000,8131.600,2600,157876
2026-03-09 14:00:00,8131.400,8167.000,8122.400,8167.000,49,159596
2026-03-09 14:15:00,8184.600,8214.000,8180.600,8201.200,2568,162478
2026-03-09 14:30:00,8201.200,8206.600,8169.800,8178.400,2803,164126
2026-03-09 14:45:00,8181.000,8203.000,8179.400,8179.400,6,165935
2026-03-09 15:00:00,8175.800,8191.000,8157.200,8191.000,3598,168610
2026-03-10 09:45:00,8274.000,8318.400,8274.000,8296.200,751,155696
2026-03-10 10:00:00,8303.800,8312.000,8280.400,8282.400,2050,152012
2026-03-10 10:15:00,8267.800,8298.600,8264.600,8298.600,87,149150
2026-03-10 10:30:00,8297.200,8298.200,8270.400,8272.200,22,147801
2026-03-10 10:45:00,8275.800,8285.400,8266.800,8270.000,934,146534
2026-03-10 11:00:00,8271.000,8273.200,8245.000,8257.200,85,145231
2026-03-10 11:15:00,8258.400,8265.200,8229.800,8230.000,1823,143484
2026-03-10 11:30:00,8229.400,8260.000,8225.000,8254.000,312,142456
