d,o,h,l,c,v,p
2026-03-31 22:15:00,1701.000,1704.000,1700.500,1703.000,204,27902
2026-03-31 22:30:00,1703.000,1706.000,1702.000,1704.000,133,27882
2026-03-31 22:45:00,1704.000,1707.500,1702.000,1702.000,140,27859
2026-03-31 23:00:00,1702.000,1707.000,1701.500,1703.500,183,27791
2026-04-01 09:15:00,1701.000,1703.500,1696.000,1697.500,1012,27683
2026-04-01 09:30:00,1697.500,1700.500,1692.000,1696.500,604,27632
2026-04-01 09:45:00,1696.500,1705.500,1696.000,1703.000,406,27552
2026-04-01 10:00:00,1703.000,1705.000,1700.000,1701.500,212,27510
2026-04-01 10:15:00,1701.000,1701.000,1696.000,1698.500,429,27399
2026-04-01 10:45:00,1698.500,1706.000,1698.500,1705.500,499,27291
2026-04-01 11:00:00,1705.500,1706.000,1701.500,1705.000,217,27257
2026-04-01 11:15:00,1705.000,1710.000,1702.000,1702.000,454,27168
2026-04-01 11:30:00,1702.000,1707.000,1701.000,1705.500,208,27174
2026-04-01 13:45:00,1703.000,1703.000,1685.500,1689.000,1664,26996
2026-04-01 14:00:00,1689.000,1690.000,1683.000,1687.000,836,26937
2026-04-01 14:15:00,1687.000,1693.000,1686.000,1688.500,583,26976
2026-04-01 14:30:00,1687.500,1692.500,1685.000,1688.500,341,26993
2026-04-01 14:45:00,1688.500,1693.000,1682.500,1684.500,469,26918
2026-04-01 15:00:00,1684.500,1685.000,1675.000,1675.000,395,26888
2026-04-01 21:15:00,1671.000,1688.000,1671.000,1681.000,2469,26767
2026-04-01 21:30:00,1681.000,1681.500,1672.500,1673.500,727,26659
2026-04-01 21:45:00,1673.500,1674.500,1670.500,1672.500,574,26516
2026-04-01 22:00:00,1672.500,1673.500,1670.500,1673.000,244,26521
2026-04-01 22:15:00,1673.000,1677.000,1671.000,1671.500,404,26560
2026-04-01 22:30:00,1671.500,1677.000,1670.000,1673.000,767,26318
2026-04-01 22:45:00,1673.000,1677.000,1671.500,1675.000,204,26299
2026-04-01 23:00:00,1675.000,1679.000,1670.500,1679.000,339,26188
2026-04-02 09:15:00,1677.000,1685.000,1671.500,1683.500,934,26231
2026-04-02 09:30:00,1683.500,1692.000,1683.500,1690.000,905,26244
2026-04-02 09:45:00,1690.500,1697.500,1690.000,1692.500,797,26120
2026-04-02 10:00:00,1693.500,1694.000,1690.500,1691.500,203,26106
2026-04-02 10:15:00,1690.500,1695.000,1690.000,1692.500,197,26041
2026-04-02 10:45:00,1692.500,1694.500,1690.000,1690.000,341,26004
2026-04-02 11:00:00,1689.000,1693.000,1688.000,1689.000,308,25877
2026-04-02 11:15:00,1689.000,1691.500,1687.000,1689.000,174,25862
2026-04-02 11:30:00,1689.000,1689.500,1684.500,1687.500,258,25839
2026-04-02 13:45:00,1691.000,1705.500,1689.000,1702.000,1060,25856
2026-04-02 14:00:00,1703.000,1703.000,1693.500,1699.500,315,25912
2026-04-02 14:15:00,1700.000,1702.000,1695.000,1696.000,548,25878
2026-04-02 14:30:00,1694.000,1697.000,1692.500,1695.000,262,25898
2026-04-02 14:45:00,1695.000,1698.000,1692.500,1697.500,276,25865
2026-04-02 15:00:00,1697.500,1697.500,1690.000,1691.500,416,25847
2026-04-02 21:15:00,1703.000,1703.000,1677.500,1678.000,3478,25757
2026-04-02 21:30:00,1678.000,1679.500,1674.500,1675.500,829,25663
2026-04-02 21:45:00,1675.500,1678.500,1673.000,1674.500,515,25651
2026-04-02 22:00:00,1674.500,1675.000,1670.000,1672.500,542,25648
2026-04-02 22:15:00,1672.500,1673.000,1667.500,1670.000,536,25730
2026-04-02 22:30:00,1670.000,1670.500,1663.500,1665.500,544,25795
2026-04-02 22:45:00,1664.500,1668.000,1663.000,1667.000,420,25849
2026-04-02 23:00:00,1667.000,1675.000,1667.000,1672.000,609,25705
2026-04-03 09:15:00,1675.500,1676.500,1670.000,1672.000,523,25660
2026-04-03 09:30:00,1672.000,1673.500,1671.000,1671.000,257,25675
2026-04-03 09:45:00,1671.500,1671.500,1667.000,1668.500,380,25611
2026-04-03 10:00:00,1668.000,1673.000,1668.000,1669.500,199,25552
2026-04-03 10:15:00,1669.500,1672.000,1662.000,1672.000,538,25468
2026-04-03 10:45:00,1671.000,1673.000,1669.500,1670.500,217,25428
2026-04-03 11:00:00,1670.500,1671.500,1665.500,1671.000,299,25387
2026-04-03 11:15:00,1671.000,1675.000,1670.000,1672.000,232,25345
2026-04-03 11:30:00,1671.500,1674.000,1670.000,1670.500,140,25245
2026-04-03 13:45:00,1670.500,1673.500,1662.000,1663.500,494,25284
2026-04-03 14:00:00,1663.500,1668.000,1662.000,1667.000,426,25300
2026-04-03 14:15:00,1667.000,1674.500,1664.000,1671.000,524,25288
2026-04-03 14:30:00,1672.000,1672.500,1666.000,1666.500,220,25277
2026-04-03 14:45:00,1667.000,1667.000,1661.500,1662.500,464,25413
2026-04-03 15:00:00,1663.000,1671.000,1661.500,1670.000,542,25289
2026-04-07 09:15:00,1662.000,1680.000,1658.500,1668.000,3074,25043
2026-04-07 09:30:00,1668.000,1672.500,1665.500,1668.000,1101,24776
2026-04-07 09:45:00,1668.000,1680.000,1668.000,1677.500,764,24601
2026-04-07 10:00:00,1678.000,1679.000,1674.500,1678.500,393,24589
2026-04-07 10:15:00,1678.000,1680.000,1671.500,1676.500,422,24554
2026-04-07 10:45:00,1675.000,1681.500,1674.000,1676.000,320,24529
2026-04-07 11:00:00,1676.000,1676.000,1670.000,1670.500,296,24522
2026-04-07 11:15:00,1670.500,1671.000,1666.500,1667.000,288,24462
2026-04-07 11:30:00,1667.000,1668.000,1665.000,1667.000,279,24461
2026-04-07 13:45:00,1667.000,1680.000,1666.500,1679.500,444,24497
2026-04-07 14:00:00,1679.500,1684.000,1670.000,1671.000,673,24514
2026-04-07 14:15:00,1671.000,1673.500,1667.000,1670.500,329,24505
2026-04-07 14:30:00,1670.500,1677.500,1670.500,1674.000,309,24517
2026-04-07 14:45:00,1672.500,1674.500,1672.000,1674.500,256,24554
2026-04-07 15:00:00,1674.500,1674.500,1658.500,1662.000,1181,24805
2026-04-07 21:15:00,1665.000,1682.000,1664.500,1671.500,2109,24635
2026-04-07 21:30:00,1672.500,1675.500,1670.000,1673.500,375,24676
2026-04-07 21:45:00,1673.500,1687.000,1671.500,1685.000,1000,24448
2026-04-07 22:00:00,1685.000,1690.000,1680.000,1682.000,733,24475
2026-04-07 22:15:00,1682.000,1683.500,1678.500,1682.000,268,24493
2026-04-07 22:30:00,1682.500,1685.000,1677.500,1678.500,268,24416
2026-04-07 22:45:00,1678.500,1682.000,1677.000,1681.500,204,24373
2026-04-07 23:00:00,1681.000,1685.000,1677.500,1680.000,119,24354
2026-04-08 09:15:00,1652.000,1663.500,1645.500,1663.500,11,24618
2026-04-08 09:30:00,1663.500,1663.500,1655.000,1661.000,101,24658
2026-04-08 09:45:00,1661.500,1666.000,1659.500,1663.500,15,24667
2026-04-08 10:00:00,1663.000,1668.000,1662.500,1665.000,14,24677
2026-04-08 10:15:00,1664.000,1672.000,1663.000,1670.500,25,24687
2026-04-08 10:45:00,1672.000,1675.500,1670.000,1672.500,248,24634
2026-04-08 11:00:00,1672.500,1683.000,1671.000,1681.500,312,24690
2026-04-08 11:15:00,1682.000,1684.000,1677.000,1678.500,8,24707
2026-04-08 11:30:00,1678.500,1682.000,1677.500,1680.000,42,24721
2026-04-08 13:45:00,1683.000,1687.500,1677.500,1682.000,41,24578
2026-04-08 14:00:00,1682.000,1682.000,1678.000,1681.000,44,24523
