d,o,h,l,c,v,p
2026-03-31 22:15:00,9936.000,9959.000,9936.000,9946.000,6561,201552
2026-03-31 22:30:00,9946.000,9962.000,9942.000,9962.000,5857,201728
2026-03-31 22:45:00,9961.000,9968.000,9952.000,9959.000,4473,201948
2026-03-31 23:00:00,9959.000,9971.000,9930.000,9949.000,7130,201837
2026-04-01 09:15:00,9951.000,9951.000,9865.000,9879.000,21630,199028
2026-04-01 09:30:00,9878.000,9887.000,9841.000,9852.000,8431,198840
2026-04-01 09:45:00,9850.000,9871.000,9849.000,9870.000,8280,197948
2026-04-01 10:00:00,9868.000,9890.000,9852.000,9887.000,2775,197976
2026-04-01 10:15:00,9886.000,9891.000,9872.000,9883.000,3893,197971
2026-04-01 10:45:00,9884.000,9893.000,9868.000,9880.000,5925,198152
2026-04-01 11:00:00,9881.000,9903.000,9868.000,9896.000,5168,198199
2026-04-01 11:15:00,9896.000,9896.000,9882.000,9886.000,2686,198190
2026-04-01 11:30:00,9886.000,9900.000,9884.000,9890.000,3076,198156
2026-04-01 13:45:00,9879.000,9890.000,9784.000,9796.000,24246,196379
2026-04-01 14:00:00,9791.000,9795.000,9735.000,9740.000,24020,194016
2026-04-01 14:15:00,9733.000,9749.000,9706.000,9710.000,18423,193830
2026-04-01 14:30:00,9709.000,9713.000,9680.000,9710.000,16635,193144
2026-04-01 14:45:00,9710.000,9724.000,9701.000,9715.000,13428,190840
2026-04-01 15:00:00,9715.000,9735.000,9712.000,9720.000,6390,187505
2026-04-01 21:15:00,9746.000,9746.000,9724.000,9743.000,15351,185032
2026-04-01 21:30:00,9742.000,9757.000,9736.000,9756.000,7312,184618
2026-04-01 21:45:00,9754.000,9762.000,9735.000,9753.000,13470,184118
2026-04-01 22:00:00,9753.000,9758.000,9738.000,9755.000,5857,183629
2026-04-01 22:15:00,9752.000,9757.000,9740.000,9743.000,3144,183285
2026-04-01 22:30:00,9744.000,9746.000,9724.000,9741.000,8468,182357
2026-04-01 22:45:00,9741.000,9754.000,9739.000,9744.000,4438,181989
2026-04-01 23:00:00,9744.000,9748.000,9735.000,9745.000,4207,181020
2026-04-02 09:15:00,9742.000,9758.000,9724.000,9757.000,10318,181067
2026-04-02 09:30:00,9756.000,9820.000,9755.000,9796.000,16963,180823
2026-04-02 09:45:00,9796.000,9850.000,9791.000,9849.000,9999,180780
2026-04-02 10:00:00,9852.000,9864.000,9835.000,9850.000,11966,181648
