d,o,h,l,c,v,p
2026-03-31 22:15:00,10098.000,10110.000,10078.000,10086.000,7555,266471
2026-03-31 22:30:00,10086.000,10098.000,10056.000,10084.000,1373,265879
2026-03-31 22:45:00,10084.000,10096.000,10066.000,10086.000,6425,267028
2026-03-31 23:00:00,10088.000,10118.000,10086.000,10110.000,9232,267709
2026-04-01 09:15:00,10110.000,10110.000,9968.000,10002.000,38155,265489
2026-04-01 09:30:00,10002.000,10022.000,9986.000,9994.000,7834,265862
2026-04-01 09:45:00,9994.000,10042.000,9994.000,10026.000,10625,267704
2026-04-01 10:00:00,10030.000,10064.000,10024.000,10060.000,1858,269165
2026-04-01 10:15:00,10058.000,10074.000,10026.000,10042.000,11582,270758
2026-04-01 10:45:00,10040.000,10076.000,10018.000,10024.000,15789,270590
2026-04-01 11:00:00,10024.000,10056.000,10010.000,10050.000,8460,271651
2026-04-01 11:15:00,10050.000,10056.000,10034.000,10044.000,6061,272478
2026-04-01 11:30:00,10044.000,10080.000,10042.000,10064.000,7693,274407
2026-04-01 13:45:00,10050.000,10064.000,9952.000,9976.000,866,269131
2026-04-01 14:00:00,9978.000,9988.000,9940.000,9962.000,20234,269803
2026-04-01 14:15:00,9970.000,9972.000,9868.000,9884.000,33239,269204
2026-04-01 14:30:00,9886.000,9910.000,9876.000,9906.000,18859,270226
2026-04-01 14:45:00,9918.000,9920.000,9838.000,9850.000,27506,268050
2026-04-01 15:00:00,9848.000,9878.000,9810.000,9820.000,22240,263281
2026-04-01 21:15:00,9878.000,9888.000,9830.000,9846.000,25993,264527
2026-04-01 21:30:00,9844.000,9858.000,9836.000,9844.000,7759,265107
2026-04-01 21:45:00,9846.000,9848.000,9768.000,9802.000,23047,263548
2026-04-01 22:00:00,9802.000,9818.000,9772.000,9816.000,9496,263722
2026-04-01 22:15:00,9816.000,9838.000,9806.000,9806.000,8996,264272
2026-04-01 22:30:00,9806.000,9824.000,9794.000,9816.000,6206,264410
2026-04-01 22:45:00,9818.000,9830.000,9806.000,9814.000,5570,264092
2026-04-01 23:00:00,9812.000,9822.000,9788.000,9794.000,5809,263173
2026-04-02 09:15:00,9782.000,9864.000,9756.000,9864.000,29893,265096
2026-04-02 09:30:00,9862.000,9938.000,9858.000,9920.000,35469,269099
2026-04-02 09:45:00,9916.000,9964.000,9910.000,9960.000,18509,273760
2026-04-02 10:00:00,9960.000,9974.000,9938.000,9948.000,14829,275909
2026-04-02 10:15:00,9950.000,9974.000,9938.000,9972.000,11635,279266
2026-04-02 10:45:00,9974.000,10004.000,9956.000,9984.000,17009,280983
2026-04-02 11:00:00,9984.000,10006.000,9982.000,9996.000,8258,282307
2026-04-02 11:15:00,9996.000,10018.000,9988.000,10012.000,8682,284133
2026-04-02 11:30:00,10012.000,10018.000,9986.000,9996.000,841,283188
2026-04-02 13:45:00,10008.000,10034.000,9996.000,10034.000,13538,286282
2026-04-02 14:00:00,10036.000,10056.000,10036.000,10048.000,14274,289554
2026-04-02 14:15:00,10050.000,10050.000,10000.000,10000.000,12770,288500
2026-04-02 14:30:00,10002.000,10024.000,9996.000,10020.000,8906,289523
2026-04-02 14:45:00,10020.000,10026.000,10006.000,10016.000,5601,289765
2026-04-02 15:00:00,10016.000,10032.000,10008.000,10008.000,3758,288488
2026-04-02 21:15:00,10090.000,10106.000,10020.000,10026.000,36647,290182
2026-04-02 21:30:00,10026.000,10032.000,9972.000,10014.000,19425,290476
2026-04-02 21:45:00,10014.000,10050.000,9998.000,10040.000,15340,293178
2026-04-02 22:00:00,10038.000,10048.000,10004.000,10012.000,11638,292790
2026-04-02 22:15:00,10012.000,10030.000,9964.000,9988.000,15803,292012
2026-04-02 22:30:00,9990.000,9998.000,9980.000,9988.000,7898,293009
2026-04-02 22:45:00,9990.000,9996.000,9922.000,9922.000,19645,290265
2026-04-02 23:00:00,9920.000,9968.000,9920.000,9952.000,10755,289178
2026-04-03 09:15:00,9982.000,9994.000,9952.000,9960.000,16096,291403
2026-04-03 09:30:00,9960.000,9982.000,9948.000,9968.000,9784,292700
2026-04-03 09:45:00,9968.000,9984.000,9962.000,9974.000,5780,292633
2026-04-03 10:00:00,9974.000,9990.000,9964.000,9990.000,6079,292944
2026-04-03 10:15:00,9988.000,9988.000,9964.000,9976.000,4511,292483
2026-04-03 10:45:00,9976.000,9980.000,9930.000,9962.000,179,292013
2026-04-03 11:00:00,9962.000,9988.000,9956.000,9984.000,6339,293050
2026-04-03 11:15:00,9986.000,9988.000,9960.000,9966.000,4951,293073
2026-04-03 11:30:00,9966.000,9968.000,9938.000,9966.000,6786,291878
2026-04-03 13:45:00,9968.000,9978.000,9954.000,9970.000,6199,292802
2026-04-03 14:00:00,9970.000,10016.000,9966.000,10012.000,16624,294905
2026-04-03 14:15:00,10012.000,10022.000,9990.000,10020.000,10690,295452
2026-04-03 14:30:00,10022.000,10022.000,9990.000,10002.000,6623,295053
2026-04-03 14:45:00,10000.000,10016.000,9976.000,9982.000,9679,293431
2026-04-03 15:00:00,9982.000,9992.000,9970.000,9988.000,8298,292554
2026-04-07 09:15:00,10040.000,10040.000,9962.000,9970.000,29054,295492
2026-04-07 09:30:00,9970.000,9980.000,9942.000,9974.000,15387,295667
2026-04-07 09:45:00,9974.000,10018.000,9960.000,10006.000,14202,297642
2026-04-07 10:00:00,10008.000,10030.000,9994.000,10030.000,12826,300443
2026-04-07 10:15:00,10028.000,10038.000,10012.000,10028.000,11359,302487
2026-04-07 10:45:00,10026.000,10032.000,9998.000,10004.000,11100,302736
2026-04-07 11:00:00,10004.000,10042.000,10000.000,10028.000,10750,303987
2026-04-07 11:15:00,10028.000,10034.000,10010.000,10028.000,7599,304361
2026-04-07 11:30:00,10028.000,10046.000,10018.000,10046.000,7380,305392
2026-04-07 13:45:00,10046.000,10058.000,10028.000,10044.000,13399,308769
2026-04-07 14:00:00,10042.000,10052.000,10006.000,10016.000,15425,308490
2026-04-07 14:15:00,10014.000,10016.000,9964.000,9996.000,25647,307201
2026-04-07 14:30:00,9996.000,10026.000,9996.000,10004.000,9354,306590
2026-04-07 14:45:00,10006.000,10006.000,9984.000,9998.000,9634,306547
2026-04-07 15:00:00,9998.000,10010.000,9988.000,9988.000,35,305845
2026-04-07 21:15:00,9968.000,9984.000,9918.000,9936.000,56891,308517
2026-04-07 21:30:00,9936.000,9940.000,9898.000,9916.000,29674,307275
2026-04-07 21:45:00,9914.000,9940.000,9894.000,9938.000,18728,306100
2026-04-07 22:00:00,9938.000,9948.000,9930.000,9940.000,11964,305946
2026-04-07 22:15:00,9940.000,9940.000,9906.000,9926.000,12144,304535
2026-04-07 22:30:00,9926.000,9930.000,9900.000,9914.000,1249,304326
2026-04-07 22:45:00,9914.000,9924.000,9888.000,9890.000,12108,302866
2026-04-07 23:00:00,9888.000,9912.000,9872.000,9900.000,17611,300044
2026-04-08 09:15:00,9554.000,9900.000,9516.000,9624.000,109917,293991
2026-04-08 09:30:00,9626.000,9632.000,9596.000,9610.000,29063,297738
2026-04-08 09:45:00,9610.000,9616.000,9580.000,9610.000,23767,298577
2026-04-08 10:00:00,9610.000,9628.000,9592.000,9608.000,16728,299857
2026-04-08 10:15:00,9604.000,9628.000,9596.000,9626.000,15486,301051
2026-04-08 10:45:00,9626.000,9648.000,9606.000,9616.000,15835,302123
2026-04-08 11:00:00,9616.000,9668.000,9612.000,9668.000,11667,305364
2026-04-08 11:15:00,9664.000,9668.000,9620.000,9624.000,11508,306092
2026-04-08 11:30:00,9624.000,9630.000,9612.000,9628.000,8358,305508
2026-04-08 13:45:00,9624.000,9624.000,9562.000,9616.000,844,307560
2026-04-08 14:00:00,9616.000,9616.000,9592.000,9600.000,37,309594
2026-04-08 14:15:00,9600.000,9608.000,9584.000,9588.000,42,309377
2026-04-08 14:30:00,9588.000,9588.000,9558.000,9560.000,6662,308197
2026-04-08 14:45:00,9560.000,9572.000,9552.000,9556.000,193,308257
2026-04-08 15:00:00,9556.000,9576.000,9548.000,9568.000,8334,306147
2026-04-08 21:15:00,9530.000,9548.000,9512.000,9530.000,44202,311555
2026-04-08 21:30:00,9528.000,9560.000,9526.000,9560.000,13673,313409
2026-04-08 21:45:00,9556.000,9572.000,9554.000,9572.000,10682,313559
2026-04-08 22:00:00,9572.000,9578.000,9560.000,9576.000,8490,313796
2026-04-08 22:15:00,9576.000,9582.000,9566.000,9570.000,9267,314526
2026-04-08 22:30:00,9570.000,9578.000,9562.000,9574.000,278,314542
2026-04-08 22:45:00,9574.000,9608.000,9572.000,9592.000,16154,315521
2026-04-08 23:00:00,9592.000,9612.000,9592.000,9610.000,12167,314387
2026-04-09 09:15:00,9608.000,9674.000,9608.000,9668.000,34988,316012
2026-04-09 09:30:00,9668.000,9676.000,9656.000,9672.000,9257,316965
2026-04-09 09:45:00,9672.000,9672.000,9648.000,9650.000,10649,316743
2026-04-09 10:00:00,9650.000,9658.000,9612.000,9626.000,3078,317568
2026-04-09 10:15:00,9624.000,9634.000,9612.000,9628.000,10661,319071
2026-04-09 10:45:00,9630.000,9630.000,9606.000,9620.000,11861,319334
2026-04-09 11:00:00,9620.000,9652.000,9616.000,9652.000,12234,320608
2026-04-09 11:15:00,9650.000,9658.000,9636.000,9644.000,7429,320657
2026-04-09 11:30:00,9642.000,9652.000,9634.000,9648.000,6316,319919
2026-04-09 13:45:00,9652.000,9672.000,9650.000,9666.000,1768,321988
2026-04-09 14:00:00,9666.000,9668.000,9638.000,9646.000,1044,321946
2026-04-09 14:15:00,9648.000,9656.000,9640.000,9652.000,1121,321704
2026-04-09 14:30:00,9652.000,9664.000,9646.000,9658.000,1064,321432
2026-04-09 14:45:00,9658.000,9660.000,9640.000,9656.000,2593,321817
2026-04-09 15:00:00,9656.000,9660.000,9646.000,9650.000,476,320089
2026-04-09 21:15:00,9695.000,9717.000,9671.000,9701.000,43514,321661
2026-04-09 21:30:00,9701.000,9701.000,9678.000,9688.000,18811,322502
