d,o,h,l,c,v,p
2026-02-26 14:30:00,5540.000,5552.000,5530.000,5548.000,345,223012
2026-02-26 14:45:00,5548.000,5560.000,5542.000,5560.000,2,223927
2026-02-26 15:00:00,5558.000,5574.000,5538.000,5538.000,67,222108
2026-02-27 09:15:00,5524.000,5548.000,5518.000,5530.000,32964,221251
2026-02-27 09:30:00,5530.000,5556.000,5522.000,5556.000,11521,222103
2026-02-27 09:45:00,5556.000,5564.000,5546.000,5548.000,9902,222609
2026-02-27 10:00:00,5548.000,5570.000,5548.000,5568.000,8300,222748
2026-02-27 10:15:00,5566.000,5586.000,5566.000,5572.000,14179,222263
2026-02-27 10:45:00,5570.000,5582.000,5568.000,5576.000,8468,220918
2026-02-27 11:00:00,5578.000,5638.000,5576.000,5634.000,29450,221975
2026-02-27 11:15:00,5632.000,5658.000,5626.000,5642.000,36209,222545
2026-02-27 11:30:00,5646.000,5652.000,5626.000,5652.000,20579,220736
2026-02-27 13:45:00,5652.000,5676.000,5646.000,5674.000,25661,221697
2026-02-27 14:00:00,5676.000,5706.000,5666.000,5688.000,39480,224103
2026-02-27 14:15:00,5688.000,5706.000,5658.000,5658.000,22305,223506
2026-02-27 14:30:00,5660.000,5688.000,5660.000,5686.000,17523,223712
2026-02-27 14:45:00,5688.000,5704.000,5686.000,5698.000,11863,223094
2026-02-27 15:00:00,5700.000,5730.000,5700.000,5726.000,142,221874
2026-03-02 09:15:00,5734.000,5770.000,5728.000,5756.000,68414,215273
2026-03-02 09:30:00,5754.000,5760.000,5726.000,5730.000,29318,211345
2026-03-02 09:45:00,5680.000,5728.000,5654.000,5654.000,51840,207925
2026-03-02 10:00:00,5668.000,5680.000,5654.000,5666.000,14098,207777
2026-03-02 10:15:00,5680.000,5698.000,5666.000,5696.000,9839,207444
2026-03-02 10:45:00,5702.000,5726.000,5698.000,5716.000,15883,208873
2026-03-02 11:00:00,5714.000,5716.000,5692.000,5708.000,9797,208731
2026-03-02 11:15:00,5706.000,5718.000,5700.000,5718.000,8102,209506
2026-03-02 11:30:00,5718.000,5724.000,5710.000,5718.000,7730,209249
2026-03-02 13:45:00,5712.000,5732.000,5712.000,5732.000,9369,209882
2026-03-02 14:00:00,5730.000,5740.000,5724.000,5734.000,9280,209268
2026-03-02 14:15:00,5738.000,5750.000,5732.000,5750.000,3638,208826
2026-03-02 14:30:00,5750.000,5762.000,5746.000,5760.000,9994,208586
2026-03-02 14:45:00,5758.000,5764.000,5752.000,5762.000,7966,207775
2026-03-02 15:00:00,5764.000,5766.000,5752.000,5764.000,103,207578
2026-03-03 09:15:00,5760.000,5766.000,5736.000,5762.000,41308,205986
2026-03-03 09:30:00,5762.000,5772.000,5748.000,5760.000,12200,205541
2026-03-03 09:45:00,5760.000,5770.000,5756.000,5762.000,9719,205544
2026-03-03 10:00:00,5762.000,5778.000,5742.000,5752.000,14957,204450
2026-03-03 10:15:00,5750.000,5754.000,5718.000,5726.000,18724,206173
2026-03-03 10:45:00,5736.000,5762.000,5726.000,5756.000,15336,207583
2026-03-03 11:00:00,5756.000,5784.000,5750.000,5768.000,19043,207835
2026-03-03 11:15:00,5778.000,5786.000,5768.000,5780.000,10282,208850
2026-03-03 11:30:00,5782.000,5792.000,5774.000,5782.000,10680,209276
2026-03-03 13:45:00,5782.000,5782.000,5752.000,5770.000,16182,209266
2026-03-03 14:00:00,5768.000,5778.000,5764.000,5774.000,8067,209087
2026-03-03 14:15:00,5760.000,5780.000,5758.000,5766.000,3292,208710
2026-03-03 14:30:00,5766.000,5778.000,5748.000,5768.000,14048,206755
2026-03-03 14:45:00,5768.000,5786.000,5766.000,5786.000,8981,208731
2026-03-03 15:00:00,5786.000,5798.000,5774.000,5786.000,21,208759
2026-03-04 09:15:00,5772.000,5874.000,5772.000,5802.000,63133,210641
2026-03-04 09:30:00,5802.000,5822.000,5794.000,5814.000,18136,212560
2026-03-04 09:45:00,5816.000,5838.000,5814.000,5826.000,13599,214334
2026-03-04 10:00:00,5818.000,5826.000,5764.000,5774.000,23712,211828
2026-03-04 10:15:00,5770.000,5792.000,5770.000,5790.000,10273,212390
2026-03-04 10:45:00,5790.000,5790.000,5760.000,5782.000,13302,211719
2026-03-04 11:00:00,5786.000,5792.000,5774.000,5782.000,7331,210543
2026-03-04 11:15:00,5788.000,5798.000,5768.000,5794.000,7884,209874
2026-03-04 11:30:00,5794.000,5810.000,5770.000,5782.000,12894,209168
2026-03-04 13:45:00,5784.000,5796.000,5776.000,5788.000,8598,208587
2026-03-04 14:00:00,5786.000,5812.000,5780.000,5806.000,10704,208664
2026-03-04 14:15:00,5804.000,5826.000,5802.000,5824.000,3404,210079
2026-03-04 14:30:00,5822.000,5832.000,5808.000,5818.000,10464,209419
2026-03-04 14:45:00,5814.000,5824.000,5806.000,5808.000,7396,209431
2026-03-04 15:00:00,5812.000,5818.000,5800.000,5818.000,2298,207380
2026-03-05 09:15:00,5836.000,5862.000,5832.000,5856.000,37658,206687
2026-03-05 09:30:00,5860.000,5866.000,5832.000,5848.000,12710,206770
2026-03-05 09:45:00,5840.000,5850.000,5832.000,5840.000,7409,206417
2026-03-05 10:00:00,5840.000,5844.000,5816.000,5820.000,9277,207178
2026-03-05 10:15:00,5820.000,5844.000,5816.000,5840.000,7458,207822
2026-03-05 10:45:00,5850.000,5850.000,5830.000,5836.000,6903,208289
2026-03-05 11:00:00,5832.000,5844.000,5832.000,5836.000,3516,208609
2026-03-05 11:15:00,5836.000,5840.000,5792.000,5800.000,14970,209084
2026-03-05 11:30:00,5804.000,5812.000,5792.000,5806.000,8729,209891
2026-03-05 13:45:00,5812.000,5824.000,5802.000,5820.000,9764,210178
2026-03-05 14:00:00,5828.000,5830.000,5814.000,5814.000,6661,209707
2026-03-05 14:15:00,5814.000,5824.000,5806.000,5822.000,195,210190
2026-03-05 14:30:00,5820.000,5836.000,5814.000,5822.000,8393,210519
2026-03-05 14:45:00,5820.000,5830.000,5806.000,5828.000,6773,210455
2026-03-05 15:00:00,5828.000,5836.000,5812.000,5828.000,6,208122
2026-03-06 09:15:00,5828.000,5836.000,5802.000,5820.000,28018,211717
2026-03-06 09:30:00,5820.000,5828.000,5794.000,5802.000,11399,212823
2026-03-06 09:45:00,5796.000,5800.000,5770.000,5784.000,13092,214273
2026-03-06 10:00:00,5786.000,5838.000,5786.000,5822.000,11264,215112
2026-03-06 10:15:00,5822.000,5830.000,5816.000,5824.000,4482,215189
2026-03-06 10:45:00,5826.000,5830.000,5814.000,5826.000,5478,216385
2026-03-06 11:00:00,5824.000,5850.000,5824.000,5846.000,9180,219229
2026-03-06 11:15:00,5844.000,5866.000,5840.000,5862.000,10601,220612
2026-03-06 11:30:00,5860.000,5874.000,5838.000,5844.000,16232,220349
2026-03-06 13:45:00,5846.000,5854.000,5842.000,5852.000,5454,220897
2026-03-06 14:00:00,5852.000,5866.000,5844.000,5864.000,6379,222557
2026-03-06 14:15:00,5864.000,5880.000,5856.000,5864.000,13944,224169
2026-03-06 14:30:00,5862.000,5872.000,5852.000,5868.000,5403,224271
2026-03-06 14:45:00,5868.000,5872.000,5858.000,5860.000,4470,224287
2026-03-06 15:00:00,5860.000,5874.000,5852.000,5868.000,155,223284
2026-03-09 09:15:00,6100.000,6176.000,6032.000,6106.000,110433,214701
2026-03-09 09:30:00,6110.000,6110.000,6030.000,6032.000,47515,209733
2026-03-09 09:45:00,6032.000,6072.000,6020.000,6028.000,26768,209187
2026-03-09 10:00:00,6030.000,6092.000,6020.000,6088.000,24233,209666
2026-03-09 10:15:00,6080.000,6112.000,6026.000,6054.000,31353,211154
2026-03-09 10:45:00,6060.000,6062.000,6028.000,6032.000,17077,210881
2026-03-09 11:00:00,6032.000,6048.000,6016.000,6030.000,15469,210082
2026-03-09 11:15:00,6030.000,6040.000,5982.000,5994.000,8389,208299
2026-03-09 11:30:00,5992.000,6014.000,5990.000,6000.000,190,207185
2026-03-09 13:45:00,6000.000,6000.000,5918.000,5936.000,52,205051
2026-03-09 14:00:00,5910.000,5918.000,5890.000,5898.000,304,202875
2026-03-09 14:15:00,5898.000,5914.000,5894.000,5912.000,170,202205
2026-03-09 14:30:00,5892.000,5898.000,5882.000,5882.000,3272,201119
2026-03-09 14:45:00,5884.000,5894.000,5876.000,5886.000,36,201881
2026-03-09 15:00:00,5898.000,5902.000,5868.000,5868.000,3568,198486
2026-03-10 09:15:00,5802.000,5900.000,5798.000,5872.000,652,196945
2026-03-10 09:30:00,5874.000,5878.000,5852.000,5868.000,1702,196546
2026-03-10 09:45:00,5866.000,5880.000,5860.000,5878.000,53,195990
2026-03-10 10:00:00,5846.000,5860.000,5844.000,5858.000,800,196012
2026-03-10 10:15:00,5850.000,5852.000,5836.000,5836.000,19,196421
2026-03-10 10:45:00,5834.000,5874.000,5834.000,5870.000,8,196808
2026-03-10 11:00:00,5870.000,5886.000,5860.000,5876.000,177,196825
2026-03-10 11:15:00,5876.000,5878.000,5860.000,5874.000,2232,196637
2026-03-10 11:30:00,5876.000,5898.000,5874.000,5894.000,2266,197371
2026-03-10 13:45:00,5876.000,5886.000,5874.000,5884.000,1554,197533
2026-03-10 14:00:00,5882.000,5896.000,5876.000,5894.000,21,197953
2026-03-10 14:15:00,5894.000,5898.000,5882.000,5890.000,3946,197972
2026-03-10 14:30:00,5890.000,5892.000,5872.000,5874.000,394,197637
2026-03-10 14:45:00,5874.000,5890.000,5872.000,5888.000,1376,198094
2026-03-10 15:00:00,5888.000,5902.000,5876.000,5876.000,239,197075
2026-03-11 09:15:00,5846.000,5860.000,5840.000,5842.000,24173,195462
2026-03-11 09:30:00,5842.000,5876.000,5840.000,5870.000,2790,196045
2026-03-11 09:45:00,5872.000,5898.000,5864.000,5890.000,1511,197481
2026-03-11 10:00:00,5876.000,5892.000,5876.000,5890.000,4,197898
2026-03-11 10:15:00,5888.000,5896.000,5886.000,5886.000,39,198085
2026-03-11 10:45:00,5892.000,5896.000,5878.000,5884.000,1948,197725
2026-03-11 11:00:00,5884.000,5896.000,5880.000,5894.000,30,197931
2026-03-11 11:15:00,5894.000,5908.000,5894.000,5902.000,952,198681
2026-03-11 11:30:00,5894.000,5898.000,5890.000,5894.000,730,197963
2026-03-11 13:45:00,5894.000,5900.000,5890.000,5894.000,530,197304
2026-03-11 14:00:00,5894.000,5906.000,5892.000,5900.000,184,196988
2026-03-11 14:15:00,5900.000,5914.000,5898.000,5910.000,4311,196135
2026-03-11 14:30:00,5910.000,5910.000,5894.000,5896.000,23,194819
2026-03-11 14:45:00,5894.000,5898.000,5876.000,5890.000,1333,192972
2026-03-11 15:00:00,5892.000,5896.000,5882.000,5884.000,91,191953
2026-03-12 09:15:00,5946.000,5946.000,5892.000,5910.000,85,190625
2026-03-12 09:30:00,5912.000,5924.000,5900.000,5904.000,592,188171
2026-03-12 09:45:00,5904.000,5930.000,5902.000,5928.000,1487,187275
2026-03-12 10:00:00,5928.000,5934.000,5922.000,5932.000,31,186785
2026-03-12 10:15:00,5942.000,5946.000,5938.000,5946.000,1939,185705
2026-03-12 10:45:00,5946.000,5948.000,5932.000,5936.000,2552,184790
2026-03-12 11:00:00,5934.000,5934.000,5908.000,5910.000,167,183766
2026-03-12 11:15:00,5910.000,5924.000,5906.000,5920.000,619,183280
2026-03-12 11:30:00,5916.000,5950.000,5914.000,5948.000,213,182606
2026-03-12 13:45:00,5940.000,5940.000,5926.000,5928.000,240,182422
2026-03-12 14:00:00,5930.000,5944.000,5916.000,5916.000,2442,181751
2026-03-12 14:15:00,5916.000,5938.000,5916.000,5936.000,172,181615
2026-03-12 14:30:00,5938.000,5942.000,5906.000,5918.000,568,180921
2026-03-12 14:45:00,5918.000,5922.000,5902.000,5906.000,1163,180364
2026-03-12 15:00:00,5906.000,5924.000,5894.000,5922.000,90,180396
2026-03-13 09:15:00,5940.000,5974.000,5932.000,5956.000,1492,182806
2026-03-13 09:30:00,5956.000,5958.000,5940.000,5948.000,492,180948
2026-03-13 09:45:00,5948.000,5974.000,5946.000,5968.000,993,182354
2026-03-13 10:00:00,5968.000,5974.000,5956.000,5956.000,7,182456
2026-03-13 10:15:00,5960.000,5964.000,5952.000,5962.000,320,182393
2026-03-13 10:45:00,5966.000,5968.000,5946.000,5954.000,5,182507
2026-03-13 11:00:00,5954.000,5966.000,5946.000,5966.000,11,182380
2026-03-13 11:15:00,5964.000,5974.000,5960.000,5966.000,23,181814
2026-03-13 11:30:00,5968.000,5970.000,5942.000,5944.000,5171,180562
2026-03-13 13:45:00,5940.000,5966.000,5934.000,5960.000,2502,179936
2026-03-13 14:00:00,5960.000,5960.000,5934.000,5936.000,46,179405
2026-03-13 14:15:00,5936.000,5938.000,5908.000,5912.000,684,177422
2026-03-13 14:30:00,5920.000,5922.000,5900.000,5908.000,129,176868
2026-03-13 14:45:00,5906.000,5912.000,5896.000,5900.000,1348,176013
2026-03-13 15:00:00,5904.000,5904.000,5888.000,5888.000,3,173143
2026-03-16 09:15:00,5870.000,5964.000,5870.000,5938.000,30468,174688
2026-03-16 09:30:00,5936.000,5950.000,5922.000,5926.000,7437,175451
2026-03-16 09:45:00,5926.000,5928.000,5902.000,5908.000,717,175946
2026-03-16 10:00:00,5928.000,5930.000,5916.000,5922.000,171,175226
2026-03-16 10:15:00,5924.000,5930.000,5914.000,5922.000,131,174767
2026-03-16 10:45:00,5920.000,5920.000,5888.000,5890.000,1983,174636
2026-03-16 11:00:00,5890.000,5894.000,5870.000,5872.000,656,174555
2026-03-16 11:15:00,5868.000,5878.000,5862.000,5866.000,392,174325
2026-03-16 11:30:00,5866.000,5866.000,5860.000,5866.000,159,173466
2026-03-16 13:45:00,5868.000,5872.000,5852.000,5858.000,16,173258
2026-03-16 14:00:00,5858.000,5860.000,5846.000,5846.000,59,173485
2026-03-16 14:15:00,5842.000,5858.000,5842.000,5856.000,1501,174291
2026-03-16 14:30:00,5856.000,5868.000,5854.000,5864.000,1026,174004
2026-03-16 14:45:00,5880.000,5882.000,5872.000,5872.000,7,173497
2026-03-16 15:00:00,5874.000,5882.000,5870.000,5872.000,358,172137
2026-03-17 09:15:00,5882.000,5892.000,5866.000,5888.000,21699,174290
2026-03-17 09:30:00,5890.000,5920.000,5878.000,5918.000,12487,176024
2026-03-17 09:45:00,5920.000,5930.000,5914.000,5924.000,7513,177025
2026-03-17 10:00:00,5926.000,5966.000,5926.000,5966.000,14788,180189
2026-03-17 10:15:00,5966.000,5966.000,5936.000,5950.000,11664,180108
2026-03-17 10:45:00,5948.000,5952.000,5924.000,5942.000,6893,179785
2026-03-17 11:00:00,5942.000,5948.000,5936.000,5938.000,3420,180196
2026-03-17 11:15:00,5936.000,5938.000,5916.000,5924.000,5641,179492
2026-03-17 11:30:00,5926.000,5946.000,5922.000,5942.000,711,179725
2026-03-17 13:45:00,5936.000,5950.000,5932.000,5948.000,791,180636
2026-03-17 14:00:00,5948.000,5962.000,5946.000,5954.000,1446,180806
2026-03-17 14:15:00,5956.000,5962.000,5948.000,5950.000,522,181751
2026-03-17 14:30:00,5950.000,5952.000,5936.000,5940.000,886,181348
2026-03-17 14:45:00,5938.000,5948.000,5928.000,5930.000,638,181163
2026-03-17 15:00:00,5932.000,5940.000,5922.000,5928.000,867,180530
2026-03-18 09:15:00,5928.000,5954.000,5928.000,5942.000,16136,181930
2026-03-18 09:30:00,5944.000,5968.000,5938.000,5942.000,12136,182688
2026-03-18 09:45:00,5944.000,5944.000,5896.000,5904.000,11532,181401
2026-03-18 10:00:00,5904.000,5906.000,5844.000,5846.000,20598,179869
2026-03-18 10:15:00,5850.000,5860.000,5814.000,5838.000,20577,178593
2026-03-18 10:45:00,5836.000,5852.000,5818.000,5820.000,8992,176915
2026-03-18 11:00:00,5820.000,5820.000,5794.000,5808.000,14785,174242
2026-03-18 11:15:00,5804.000,5810.000,5792.000,5796.000,8276,172874
2026-03-18 11:30:00,5796.000,5804.000,5786.000,5790.000,6914,172185
2026-03-18 13:45:00,5788.000,5802.000,5784.000,5796.000,7117,171497
2026-03-18 14:00:00,5798.000,5802.000,5790.000,5792.000,5196,172110
2026-03-18 14:15:00,5792.000,5798.000,5772.000,5772.000,1479,172130
2026-03-18 14:30:00,5768.000,5786.000,5762.000,5784.000,9093,172164
2026-03-18 14:45:00,5784.000,5800.000,5776.000,5798.000,8445,172047
2026-03-18 15:00:00,5800.000,5804.000,5786.000,5796.000,9529,169839
2026-03-19 09:15:00,5850.000,5864.000,5826.000,5848.000,30603,168136
2026-03-19 09:30:00,5850.000,5864.000,5830.000,5832.000,10298,167322
2026-03-19 09:45:00,5830.000,5844.000,5828.000,5834.000,5396,167371
2026-03-19 10:00:00,5834.000,5848.000,5822.000,5848.000,4266,167361
2026-03-19 10:15:00,5852.000,5862.000,5844.000,5850.000,8427,167017
2026-03-19 10:45:00,5848.000,5850.000,5816.000,5820.000,5837,165915
2026-03-19 11:00:00,5820.000,5834.000,5818.000,5832.000,2966,165617
2026-03-19 11:15:00,5832.000,5836.000,5822.000,5826.000,2718,165357
2026-03-19 11:30:00,5824.000,5850.000,5824.000,5846.000,3619,164914
2026-03-19 13:45:00,5842.000,5852.000,5834.000,5842.000,5172,165381
2026-03-19 14:00:00,5842.000,5848.000,5834.000,5846.000,3169,165522
2026-03-19 14:15:00,5846.000,5854.000,5840.000,5842.000,4297,165656
2026-03-19 14:30:00,5842.000,5846.000,5832.000,5834.000,4531,165471
2026-03-19 14:45:00,5834.000,5846.000,5828.000,5828.000,3915,164995
2026-03-19 15:00:00,5828.000,5834.000,5806.000,5824.000,113,165193
2026-03-20 09:15:00,5844.000,5876.000,5822.000,5856.000,29849,168351
2026-03-20 09:30:00,5858.000,5892.000,5856.000,5892.000,14976,169743
2026-03-20 09:45:00,5888.000,5894.000,5864.000,5870.000,10670,170166
2026-03-20 10:00:00,5886.000,5906.000,5864.000,5886.000,14807,171013
2026-03-20 10:15:00,5888.000,5962.000,5876.000,5950.000,27538,172697
2026-03-20 10:45:00,5958.000,5982.000,5936.000,5966.000,42607,177036
2026-03-20 11:00:00,5968.000,5996.000,5888.000,5892.000,46298,178346
2026-03-20 11:15:00,5894.000,5918.000,5880.000,5902.000,26929,177694
2026-03-20 11:30:00,5902.000,5934.000,5894.000,5926.000,11340,178212
2026-03-20 13:45:00,5932.000,5990.000,5926.000,5958.000,44558,183802
2026-03-20 14:00:00,5966.000,5992.000,5946.000,5974.000,22409,184694
