d,o,h,l,c,v,p
2026-02-26 14:30:00,5918.000,5938.000,5900.000,5932.000,26121,459860
2026-02-26 14:45:00,5932.000,5952.000,5926.000,5952.000,25805,460660
2026-02-26 15:00:00,5952.000,5968.000,5918.000,5918.000,53817,451708
2026-02-27 09:15:00,5894.000,5912.000,5868.000,5878.000,104600,434386
2026-02-27 09:30:00,5878.000,5906.000,5872.000,5900.000,27181,433408
2026-02-27 09:45:00,5900.000,5910.000,5894.000,5898.000,21743,432890
2026-02-27 10:00:00,5898.000,5916.000,5898.000,5906.000,15867,434317
2026-02-27 10:15:00,5908.000,5922.000,5906.000,5910.000,17990,433689
2026-02-27 10:45:00,5912.000,5932.000,5908.000,5928.000,17904,435326
2026-02-27 11:00:00,5930.000,5976.000,5928.000,5976.000,47191,444159
2026-02-27 11:15:00,5976.000,5982.000,5950.000,5978.000,49138,444724
2026-02-27 11:30:00,5978.000,5988.000,5962.000,5978.000,38511,447676
2026-02-27 13:45:00,5974.000,6006.000,5972.000,6000.000,44276,453674
2026-02-27 14:00:00,6002.000,6028.000,5988.000,6008.000,53017,457421
2026-02-27 14:15:00,6008.000,6020.000,5978.000,5980.000,34806,453122
2026-02-27 14:30:00,5980.000,6010.000,5978.000,6004.000,23923,452081
2026-02-27 14:45:00,6006.000,6018.000,6004.000,6010.000,22722,450185
2026-02-27 15:00:00,6012.000,6026.000,6010.000,6026.000,348,446455
2026-03-02 09:15:00,6030.000,6054.000,6010.000,6042.000,96179,446759
2026-03-02 09:30:00,6044.000,6054.000,6030.000,6036.000,3292,447477
2026-03-02 09:45:00,6004.000,6010.000,5996.000,5998.000,318,445358
2026-03-02 10:00:00,6012.000,6026.000,6006.000,6012.000,7514,446296
2026-03-02 10:15:00,6028.000,6036.000,6022.000,6032.000,5513,446763
2026-03-02 10:45:00,6036.000,6064.000,6036.000,6052.000,4620,452698
2026-03-02 11:00:00,6050.000,6052.000,6012.000,6046.000,1788,451331
2026-03-02 11:15:00,6048.000,6066.000,6040.000,6064.000,6583,454185
2026-03-02 11:30:00,6064.000,6070.000,6054.000,6064.000,9329,456504
2026-03-02 13:45:00,6058.000,6074.000,6054.000,6068.000,34,458134
2026-03-02 14:00:00,6068.000,6080.000,6066.000,6072.000,61,460615
2026-03-02 14:15:00,6074.000,6088.000,6072.000,6080.000,243,463759
2026-03-02 14:30:00,6082.000,6086.000,6074.000,6084.000,86,462586
2026-03-02 14:45:00,6084.000,6086.000,6072.000,6082.000,2944,461345
2026-03-02 15:00:00,6082.000,6084.000,6062.000,6082.000,5273,454840
2026-03-03 09:15:00,6052.000,6080.000,6036.000,6072.000,57738,448529
2026-03-03 09:30:00,6072.000,6084.000,6064.000,6078.000,25102,451084
2026-03-03 09:45:00,6078.000,6100.000,6074.000,6094.000,19457,456653
2026-03-03 10:00:00,6094.000,6108.000,6058.000,6068.000,414,455393
2026-03-03 10:15:00,6066.000,6078.000,6044.000,6058.000,317,453536
2026-03-03 10:45:00,6062.000,6092.000,6056.000,6080.000,202,453281
2026-03-03 11:00:00,6098.000,6104.000,6094.000,6100.000,5672,457217
2026-03-03 11:15:00,6106.000,6122.000,6100.000,6118.000,5395,460538
2026-03-03 11:30:00,6120.000,6134.000,6118.000,6126.000,1853,463329
2026-03-03 13:45:00,6128.000,6128.000,6086.000,6104.000,9441,462799
2026-03-03 14:00:00,6104.000,6108.000,6098.000,6098.000,2381,459217
