d,o,h,l,c,v,p
2026-04-17 13:45:00,390980.000,391430.000,390130.000,390750.000,1225,31106
2026-04-17 14:00:00,390790.000,391120.000,390200.000,390440.000,253,30915
2026-04-17 14:15:00,390440.000,390680.000,389000.000,389070.000,1820,30822
2026-04-17 14:30:00,389090.000,389890.000,388500.000,389070.000,2976,30636
2026-04-17 14:45:00,389070.000,389570.000,388520.000,389300.000,148,30384
2026-04-17 15:00:00,389330.000,390660.000,389330.000,390660.000,31,29891
2026-04-17 21:15:00,394090.000,399170.000,394090.000,394960.000,27267,30913
2026-04-17 21:30:00,394990.000,395150.000,391700.000,393730.000,15604,31166
2026-04-17 21:45:00,393610.000,394780.000,393300.000,394520.000,8565,31103
2026-04-17 22:00:00,394520.000,395150.000,393230.000,394520.000,7440,31101
2026-04-17 22:15:00,394520.000,394680.000,393000.000,393500.000,5925,31281
2026-04-17 22:30:00,393500.000,394550.000,393220.000,394350.000,5232,31215
2026-04-17 22:45:00,394370.000,396780.000,393940.000,396000.000,8198,31354
2026-04-17 23:00:00,396030.000,396470.000,395090.000,395140.000,8,31259
2026-04-17 23:15:00,395140.000,395820.000,394870.000,395030.000,40,31386
2026-04-17 23:30:00,395010.000,395480.000,394250.000,394430.000,13,31261
2026-04-17 23:45:00,394440.000,394820.000,393620.000,393780.000,6,31199
2026-04-18 00:15:00,393670.000,394660.000,393520.000,394350.000,11,31001
2026-04-18 00:30:00,394350.000,394460.000,393340.000,393490.000,7,30978
2026-04-18 00:45:00,393490.000,394190.000,393480.000,393690.000,2,30780
2026-04-18 01:00:00,393700.000,393790.000,391750.000,392060.000,14,30220
2026-04-20 00:00:00,393780.000,394180.000,393350.000,393670.000,20,31092
2026-04-20 09:15:00,388760.000,390490.000,386820.000,389460.000,24943,30294
2026-04-20 09:30:00,389550.000,390750.000,389300.000,390730.000,1977,30084
2026-04-20 09:45:00,390730.000,392850.000,390330.000,392600.000,5172,30187
2026-04-20 10:00:00,392600.000,392800.000,391920.000,392170.000,4003,30103
2026-04-20 10:15:00,392190.000,393690.000,391950.000,392320.000,4312,29844
2026-04-20 10:45:00,392650.000,393040.000,392100.000,392280.000,2911,29992
2026-04-20 11:00:00,392280.000,392420.000,391210.000,391610.000,3545,29659
2026-04-20 11:15:00,391610.000,391840.000,390460.000,390730.000,3105,29515
2026-04-20 11:30:00,390680.000,391260.000,389500.000,391040.000,1034,29221
2026-04-20 13:45:00,389470.000,391040.000,388310.000,388480.000,7003,29442
2026-04-20 14:00:00,388640.000,390680.000,388610.000,390180.000,4580,29496
2026-04-20 14:15:00,390180.000,391390.000,390170.000,390850.000,5,29360
2026-04-20 14:30:00,390850.000,391660.000,390500.000,391230.000,300,29304
2026-04-20 14:45:00,391250.000,391700.000,390600.000,390880.000,60,29196
2026-04-20 15:00:00,390870.000,391000.000,390250.000,390880.000,2983,28655
2026-04-20 21:15:00,392600.000,396790.000,392600.000,395680.000,10255,30396
2026-04-20 21:30:00,395680.000,396960.000,395470.000,396690.000,5252,31484
2026-04-20 21:45:00,396690.000,397260.000,395580.000,396670.000,4675,31938
2026-04-20 22:00:00,396670.000,398490.000,396540.000,397900.000,5165,32888
2026-04-20 22:15:00,397900.000,397930.000,396630.000,397190.000,3303,32847
2026-04-20 22:30:00,397190.000,398010.000,396950.000,397880.000,781,33007
2026-04-20 22:45:00,397860.000,398180.000,396270.000,397000.000,2787,32988
2026-04-20 23:00:00,397000.000,397000.000,395560.000,396440.000,3171,32836
2026-04-20 23:15:00,396440.000,396680.000,395320.000,395630.000,2115,32853
2026-04-20 23:30:00,395690.000,396570.000,395250.000,396550.000,1816,32791
2026-04-20 23:45:00,396560.000,396760.000,396080.000,396320.000,1008,32796
2026-04-21 00:00:00,396320.000,396320.000,395720.000,396250.000,294,32757
2026-04-21 00:15:00,396250.000,396430.000,395700.000,396150.000,770,32777
2026-04-21 00:30:00,396150.000,396770.000,395910.000,396450.000,615,32802
2026-04-21 00:45:00,396460.000,396730.000,396160.000,396460.000,496,32813
2026-04-21 01:00:00,396460.000,397060.000,396460.000,396920.000,740,32670
2026-04-21 09:15:00,396540.000,398150.000,395010.000,395090.000,5099,32853
2026-04-21 09:30:00,395090.000,397600.000,395050.000,397560.000,2305,32979
2026-04-21 09:45:00,397600.000,399460.000,396820.000,397270.000,3136,33336
2026-04-21 10:00:00,397260.000,397930.000,396080.000,396420.000,2396,33349
2026-04-21 10:15:00,396420.000,396710.000,395600.000,396140.000,2204,33305
2026-04-21 10:45:00,396230.000,396780.000,395850.000,396270.000,1500,33377
2026-04-21 11:00:00,396270.000,396680.000,395180.000,395540.000,2355,33332
2026-04-21 11:15:00,395540.000,395780.000,393780.000,394220.000,3122,33007
2026-04-21 11:30:00,394220.000,394520.000,391750.000,392550.000,1512,32652
2026-04-21 13:45:00,393380.000,394960.000,392500.000,394530.000,3513,32585
2026-04-21 14:00:00,394530.000,394550.000,393040.000,393270.000,2137,32499
2026-04-21 14:15:00,393270.000,393360.000,391650.000,391970.000,2929,32438
2026-04-21 14:30:00,391930.000,392690.000,391400.000,392580.000,2372,32121
2026-04-21 14:45:00,392580.000,393350.000,392220.000,393000.000,170,32065
2026-04-21 15:00:00,393000.000,393380.000,392800.000,393090.000,106,31934
2026-04-21 21:15:00,396000.000,396000.000,393410.000,394050.000,8174,32773
2026-04-21 21:30:00,394070.000,394760.000,393560.000,394290.000,3450,33076
2026-04-21 21:45:00,394290.000,394550.000,393350.000,393980.000,3694,33124
2026-04-21 22:00:00,393980.000,394420.000,391880.000,392210.000,4393,33176
2026-04-21 22:15:00,392180.000,392920.000,391530.000,391930.000,3359,33185
2026-04-21 22:30:00,391920.000,392400.000,391500.000,392390.000,950,33134
2026-04-21 22:45:00,392390.000,392520.000,390540.000,390740.000,3868,33187
2026-04-21 23:00:00,390760.000,390860.000,389550.000,389990.000,5022,33077
2026-04-21 23:15:00,389990.000,390690.000,389680.000,390580.000,3164,33285
2026-04-21 23:30:00,390530.000,391100.000,390000.000,390160.000,2431,33270
2026-04-21 23:45:00,390160.000,390340.000,389740.000,390230.000,1319,33280
2026-04-22 00:00:00,390230.000,390510.000,390040.000,390390.000,512,33240
2026-04-22 00:15:00,390390.000,390780.000,389970.000,390150.000,947,33212
2026-04-22 00:30:00,390150.000,390250.000,389100.000,389210.000,1167,33104
2026-04-22 00:45:00,389240.000,389600.000,388580.000,388630.000,1328,33040
2026-04-22 01:00:00,388630.000,388890.000,387720.000,388130.000,1723,32683
2026-04-22 09:15:00,390800.000,392450.000,388130.000,391630.000,5931,33101
2026-04-22 09:30:00,391600.000,392700.000,391600.000,392470.000,1732,33009
2026-04-22 09:45:00,392470.000,392710.000,391520.000,391660.000,1955,32997
2026-04-22 10:00:00,391660.000,392350.000,391400.000,391790.000,1322,33042
2026-04-22 10:15:00,391850.000,393550.000,391780.000,393160.000,1829,33048
2026-04-22 10:45:00,393240.000,393520.000,391650.000,391780.000,1974,33042
2026-04-22 11:00:00,391780.000,392280.000,391600.000,392280.000,918,33107
2026-04-22 11:15:00,392380.000,393280.000,392300.000,393100.000,855,33193
2026-04-22 11:30:00,393160.000,393600.000,392880.000,393490.000,1541,33179
2026-04-22 13:45:00,394280.000,395100.000,393490.000,394200.000,3392,33552
2026-04-22 14:00:00,394200.000,394790.000,394020.000,394240.000,1725,33685
2026-04-22 14:15:00,394210.000,394240.000,393400.000,393910.000,1676,33708
2026-04-22 14:30:00,393910.000,394770.000,393860.000,394770.000,1551,33893
2026-04-22 14:45:00,394720.000,394790.000,394130.000,394170.000,35,33898
2026-04-22 15:00:00,394170.000,395230.000,394160.000,394920.000,76,34026
2026-04-22 21:15:00,393120.000,393780.000,392090.000,392960.000,7775,34567
2026-04-22 21:30:00,392960.000,392970.000,391680.000,392820.000,4936,34750
2026-04-22 21:45:00,392820.000,392890.000,392070.000,392680.000,3489,34797
2026-04-22 22:00:00,392680.000,393170.000,392180.000,392450.000,2964,34905
2026-04-22 22:15:00,392450.000,393200.000,392450.000,393000.000,3183,34840
2026-04-22 22:30:00,393040.000,394390.000,393030.000,394110.000,1348,35201
