d,o,h,l,c,v,p
2026-04-17 13:45:00,15090.000,15095.000,15060.000,15085.000,6649,183591
2026-04-17 14:00:00,15085.000,15095.000,15045.000,15050.000,1616,184190
2026-04-17 14:15:00,15050.000,15065.000,15020.000,15035.000,3249,183357
2026-04-17 14:30:00,15035.000,15075.000,15030.000,15065.000,5904,183863
2026-04-17 14:45:00,15065.000,15090.000,15050.000,15085.000,1116,185673
2026-04-17 15:00:00,15080.000,15100.000,15060.000,15085.000,104,186481
2026-04-17 21:15:00,15095.000,15110.000,14900.000,14910.000,59164,185914
2026-04-17 21:30:00,14910.000,14960.000,14845.000,14950.000,45185,182818
2026-04-17 21:45:00,14950.000,14975.000,14925.000,14970.000,17186,182341
2026-04-17 22:00:00,14970.000,14975.000,14945.000,14975.000,7650,182161
2026-04-17 22:15:00,14975.000,14975.000,14925.000,14950.000,9156,181972
2026-04-17 22:30:00,14950.000,14970.000,14945.000,14945.000,4312,182127
2026-04-17 22:45:00,14950.000,14960.000,14940.000,14940.000,2733,182060
2026-04-17 23:00:00,14940.000,14975.000,14930.000,14975.000,50,182231
2026-04-17 23:15:00,14975.000,15010.000,14970.000,14990.000,17,184161
2026-04-17 23:30:00,14990.000,15015.000,14985.000,14995.000,6,184290
2026-04-17 23:45:00,14995.000,15005.000,14960.000,14970.000,39,183948
2026-04-18 00:15:00,14980.000,14985.000,14965.000,14965.000,10,183424
2026-04-18 00:30:00,14965.000,14975.000,14950.000,14955.000,5,183272
2026-04-18 00:45:00,14955.000,14975.000,14955.000,14965.000,60,183077
2026-04-18 01:00:00,14965.000,14975.000,14955.000,14960.000,18,182291
2026-04-20 00:00:00,14975.000,14990.000,14970.000,14985.000,7,183545
2026-04-20 09:15:00,14955.000,15000.000,14900.000,14935.000,32061,181826
2026-04-20 09:30:00,14935.000,14955.000,14925.000,14950.000,9009,181965
2026-04-20 09:45:00,14950.000,14960.000,14915.000,14940.000,8706,181751
2026-04-20 10:00:00,14940.000,14955.000,14915.000,14935.000,7125,181038
2026-04-20 10:15:00,14935.000,14985.000,14925.000,14960.000,3941,181201
