d,o,h,l,c,v,p
2026-03-31 22:15:00,5372.000,5380.000,5341.000,5352.000,62905,728010
2026-03-31 22:30:00,5356.000,5379.000,5352.000,5364.000,8667,726166
2026-03-31 22:45:00,5364.000,5404.000,5362.000,5387.000,51985,722779
2026-03-31 23:00:00,5387.000,5411.000,5387.000,5409.000,42467,717420
2026-04-01 09:15:00,5409.000,5409.000,5337.000,5390.000,134565,713408
2026-04-01 09:30:00,5389.000,5417.000,5376.000,5388.000,77009,716685
2026-04-01 09:45:00,5388.000,5405.000,5381.000,5395.000,56409,712955
2026-04-01 10:00:00,5400.000,5401.000,5380.000,5390.000,27256,714744
2026-04-01 10:15:00,5386.000,5409.000,5381.000,5409.000,42097,712435
2026-04-01 10:45:00,5408.000,5436.000,5403.000,5423.000,64320,713711
2026-04-01 11:00:00,5422.000,5445.000,5413.000,5444.000,38690,714819
2026-04-01 11:15:00,5443.000,5444.000,5397.000,5401.000,49658,715309
2026-04-01 11:30:00,5401.000,5422.000,5394.000,5421.000,2322,713122
2026-04-01 13:45:00,5404.000,5421.000,5349.000,5356.000,91059,710445
2026-04-01 14:00:00,5349.000,5359.000,5286.000,5327.000,145484,707315
2026-04-01 14:15:00,5326.000,5330.000,5305.000,5314.000,95637,694071
2026-04-01 14:30:00,5314.000,5328.000,5289.000,5296.000,63630,694013
2026-04-01 14:45:00,5287.000,5299.000,5258.000,5264.000,106393,688450
2026-04-01 15:00:00,5264.000,5287.000,5256.000,5256.000,46989,677305
2026-04-01 21:15:00,5305.000,5338.000,5275.000,5304.000,146926,680241
2026-04-01 21:30:00,5304.000,5305.000,5283.000,5293.000,62113,682469
2026-04-01 21:45:00,5293.000,5298.000,5270.000,5286.000,60044,684917
2026-04-01 22:00:00,5285.000,5315.000,5282.000,5309.000,57929,689468
2026-04-01 22:15:00,5310.000,5317.000,5296.000,5307.000,45292,686913
2026-04-01 22:30:00,5308.000,5326.000,5301.000,5314.000,22201,685157
2026-04-01 22:45:00,5315.000,5324.000,5301.000,5304.000,43233,684222
2026-04-01 23:00:00,5303.000,5323.000,5299.000,5323.000,33623,674713
2026-04-02 09:15:00,5301.000,5323.000,5285.000,5305.000,93614,679426
2026-04-02 09:30:00,5306.000,5357.000,5305.000,5356.000,108649,676059
2026-04-02 09:45:00,5356.000,5394.000,5353.000,5388.000,99004,670735
2026-04-02 10:00:00,5389.000,5458.000,5372.000,5445.000,117707,666458
2026-04-02 10:15:00,5446.000,5459.000,5413.000,5448.000,105852,667091
2026-04-02 10:45:00,5448.000,5510.000,5445.000,5498.000,98657,673366
2026-04-02 11:00:00,5498.000,5534.000,5479.000,5507.000,104733,673552
2026-04-02 11:15:00,5507.000,5526.000,5501.000,5509.000,11167,675910
2026-04-02 11:30:00,5509.000,5525.000,5499.000,5513.000,53918,675905
2026-04-02 13:45:00,5529.000,5538.000,5507.000,5524.000,73808,677563
2026-04-02 14:00:00,5524.000,5538.000,5513.000,5528.000,54520,679393
2026-04-02 14:15:00,5529.000,5543.000,5514.000,5517.000,56676,675388
2026-04-02 14:30:00,5517.000,5518.000,5484.000,5506.000,76481,675958
2026-04-02 14:45:00,5504.000,5515.000,5493.000,5497.000,46524,673613
2026-04-02 15:00:00,5496.000,5503.000,5476.000,5494.000,24774,662904
2026-04-02 21:15:00,5633.000,5633.000,5506.000,5509.000,193516,668407
2026-04-02 21:30:00,5510.000,5510.000,5458.000,5471.000,123486,671032
2026-04-02 21:45:00,5472.000,5482.000,5457.000,5470.000,72428,672409
2026-04-02 22:00:00,5470.000,5472.000,5418.000,5424.000,89500,673546
2026-04-02 22:15:00,5425.000,5436.000,5368.000,5389.000,118080,676228
2026-04-02 22:30:00,5385.000,5388.000,5361.000,5370.000,73004,671445
2026-04-02 22:45:00,5369.000,5376.000,5346.000,5351.000,81162,663097
2026-04-02 23:00:00,5351.000,5402.000,5351.000,5389.000,76047,648294
2026-04-03 09:15:00,5403.000,5460.000,5390.000,5448.000,104834,655821
2026-04-03 09:30:00,5449.000,5458.000,5417.000,5449.000,60606,656806
2026-04-03 09:45:00,5450.000,5456.000,5409.000,5415.000,41232,656995
2026-04-03 10:00:00,5415.000,5441.000,5415.000,5422.000,41113,655060
2026-04-03 10:15:00,5421.000,5424.000,5409.000,5418.000,29617,655250
2026-04-03 10:45:00,5417.000,5418.000,5376.000,5404.000,56112,653454
2026-04-03 11:00:00,5405.000,5434.000,5384.000,5423.000,53375,648316
2026-04-03 11:15:00,5423.000,5429.000,5411.000,5418.000,29977,647871
2026-04-03 11:30:00,5418.000,5423.000,5390.000,5420.000,38793,644650
2026-04-03 13:45:00,5419.000,5424.000,5396.000,5403.000,47771,645179
2026-04-03 14:00:00,5403.000,5403.000,5353.000,5372.000,69997,639397
2026-04-03 14:15:00,5372.000,5448.000,5353.000,5443.000,127732,622101
2026-04-03 14:30:00,5442.000,5442.000,5401.000,5424.000,15169,616414
2026-04-03 14:45:00,5422.000,5444.000,5414.000,5440.000,51546,612323
2026-04-03 15:00:00,5438.000,5441.000,5397.000,5428.000,580,598450
2026-04-07 09:15:00,5464.000,5464.000,5365.000,5406.000,132269,612108
2026-04-07 09:30:00,5416.000,5420.000,5377.000,5406.000,69704,611260
2026-04-07 09:45:00,5406.000,5450.000,5396.000,5437.000,73044,611077
2026-04-07 10:00:00,5439.000,5443.000,5421.000,5431.000,53063,612400
2026-04-07 10:15:00,5432.000,5438.000,5355.000,5397.000,107242,612183
2026-04-07 10:45:00,5392.000,5439.000,5379.000,5420.000,68424,611504
2026-04-07 11:00:00,5420.000,5426.000,5373.000,5385.000,71453,612231
2026-04-07 11:15:00,5386.000,5418.000,5363.000,5410.000,7382,608176
2026-04-07 11:30:00,5410.000,5429.000,5392.000,5419.000,51354,605759
2026-04-07 13:45:00,5421.000,5518.000,5417.000,5487.000,140574,614775
2026-04-07 14:00:00,5489.000,5489.000,5397.000,5400.000,130506,621495
2026-04-07 14:15:00,5399.000,5412.000,5385.000,5407.000,90081,624109
2026-04-07 14:30:00,5407.000,5454.000,5407.000,5421.000,91301,618650
2026-04-07 14:45:00,5421.000,5433.000,5405.000,5411.000,54637,616373
2026-04-07 15:00:00,5410.000,5436.000,5395.000,5398.000,39265,608912
2026-04-07 21:15:00,5413.000,5420.000,5323.000,5363.000,189238,622606
2026-04-07 21:30:00,5362.000,5383.000,5335.000,5351.000,77779,621394
