d,o,h,l,c,v,p
2026-03-31 22:15:00,8758.000,8766.000,8746.000,8752.000,6006,461545
2026-03-31 22:30:00,8752.000,8774.000,8750.000,8768.000,5935,461489
2026-03-31 22:45:00,8768.000,8768.000,8754.000,8760.000,3767,460855
2026-03-31 23:00:00,8760.000,8778.000,8758.000,8766.000,5969,459923
2026-04-01 09:15:00,8768.000,8768.000,8712.000,8718.000,26974,458551
2026-04-01 09:30:00,8718.000,8732.000,8710.000,8720.000,10094,456150
2026-04-01 09:45:00,8730.000,8740.000,8720.000,8736.000,9548,455284
2026-04-01 10:00:00,8736.000,8756.000,8730.000,8752.000,6611,453794
2026-04-01 10:15:00,8760.000,8762.000,8742.000,8760.000,4135,452187
2026-04-01 10:45:00,8756.000,8770.000,8754.000,8764.000,10332,453348
2026-04-01 11:00:00,8764.000,8774.000,8754.000,8772.000,860,452791
2026-04-01 11:15:00,8772.000,8776.000,8762.000,8768.000,3056,451841
2026-04-01 11:30:00,8768.000,8790.000,8764.000,8784.000,1225,452783
2026-04-01 13:45:00,8778.000,8786.000,8730.000,8734.000,1887,448719
2026-04-01 14:00:00,8734.000,8734.000,8700.000,8702.000,78,442235
2026-04-01 14:15:00,8702.000,8706.000,8662.000,8668.000,1991,437351
2026-04-01 14:30:00,8660.000,8666.000,8652.000,8652.000,79,433286
2026-04-01 14:45:00,8662.000,8666.000,8628.000,8630.000,204,427622
2026-04-01 15:00:00,8628.000,8632.000,8616.000,8624.000,7189,422547
2026-04-01 21:15:00,8608.000,8620.000,8600.000,8616.000,25164,459224
2026-04-01 21:30:00,8616.000,8622.000,8608.000,8614.000,9489,461238
2026-04-01 21:45:00,8612.000,8612.000,8566.000,8582.000,18866,463534
2026-04-01 22:00:00,8582.000,8588.000,8564.000,8586.000,9592,464678
2026-04-01 22:15:00,8586.000,8596.000,8572.000,8576.000,5024,465868
2026-04-01 22:30:00,8576.000,8580.000,8558.000,8572.000,8560,465927
2026-04-01 22:45:00,8572.000,8584.000,8570.000,8580.000,2941,466228
2026-04-01 23:00:00,8580.000,8582.000,8564.000,8574.000,3710,465542
2026-04-02 09:15:00,8556.000,8604.000,8552.000,8604.000,18571,467669
2026-04-02 09:30:00,8602.000,8640.000,8600.000,8614.000,22023,469362
2026-04-02 09:45:00,8610.000,8644.000,8608.000,8640.000,14487,470685
2026-04-02 10:00:00,8642.000,8656.000,8630.000,8650.000,13219,473066
2026-04-02 10:15:00,8650.000,8664.000,8642.000,8664.000,7814,474110
2026-04-02 10:45:00,8664.000,8670.000,8656.000,8662.000,6962,475451
2026-04-02 11:00:00,8664.000,8674.000,8658.000,8674.000,7198,478159
2026-04-02 11:15:00,8672.000,8694.000,8668.000,8688.000,9509,481665
2026-04-02 11:30:00,8688.000,8690.000,8674.000,8680.000,5810,481092
2026-04-02 13:45:00,8690.000,8698.000,8678.000,8692.000,303,483639
2026-04-02 14:00:00,8694.000,8700.000,8686.000,8694.000,6490,484880
2026-04-02 14:15:00,8692.000,8696.000,8670.000,8670.000,7803,486055
2026-04-02 14:30:00,8672.000,8684.000,8664.000,8676.000,9063,488836
2026-04-02 14:45:00,8676.000,8684.000,8670.000,8676.000,7464,490356
2026-04-02 15:00:00,8676.000,8682.000,8664.000,8664.000,6581,489507
2026-04-02 21:15:00,8708.000,8720.000,8694.000,8694.000,41139,495625
2026-04-02 21:30:00,8694.000,8698.000,8672.000,8694.000,11102,495759
2026-04-02 21:45:00,8694.000,8700.000,8680.000,8696.000,11096,496466
2026-04-02 22:00:00,8696.000,8700.000,8672.000,8678.000,8342,496317
2026-04-02 22:15:00,8678.000,8688.000,8642.000,8658.000,11823,497269
2026-04-02 22:30:00,8658.000,8666.000,8652.000,8656.000,6377,498686
2026-04-02 22:45:00,8656.000,8662.000,8620.000,8620.000,15031,498602
2026-04-02 23:00:00,8620.000,8652.000,8620.000,8646.000,6888,498336
2026-04-03 09:15:00,8672.000,8674.000,8656.000,8662.000,12252,501314
2026-04-03 09:30:00,8662.000,8664.000,8652.000,8660.000,9821,504676
2026-04-03 09:45:00,8658.000,8668.000,8658.000,8664.000,3875,504876
2026-04-03 10:00:00,8664.000,8684.000,8660.000,8682.000,6221,506813
2026-04-03 10:15:00,8682.000,8682.000,8668.000,8674.000,6613,507364
2026-04-03 10:45:00,8674.000,8680.000,8652.000,8668.000,7843,508109
2026-04-03 11:00:00,8668.000,8680.000,8664.000,8678.000,5614,509147
2026-04-03 11:15:00,8678.000,8682.000,8666.000,8670.000,977,509767
2026-04-03 11:30:00,8670.000,8672.000,8654.000,8666.000,228,508428
2026-04-03 13:45:00,8666.000,8676.000,8662.000,8668.000,1957,508054
2026-04-03 14:00:00,8666.000,8682.000,8666.000,8680.000,36,507603
2026-04-03 14:15:00,8680.000,8692.000,8668.000,8690.000,681,510273
2026-04-03 14:30:00,8692.000,8692.000,8678.000,8682.000,2327,512003
2026-04-03 14:45:00,8680.000,8690.000,8674.000,8676.000,10,513241
2026-04-03 15:00:00,8678.000,8680.000,8672.000,8674.000,167,511286
2026-04-07 09:15:00,8700.000,8710.000,8688.000,8696.000,31318,516992
2026-04-07 09:30:00,8698.000,8700.000,8684.000,8688.000,15084,519250
2026-04-07 09:45:00,8688.000,8714.000,8676.000,8712.000,16390,522395
