datetime,A2105
2020-05-20,3961.0
2020-05-21,3990.0
2020-05-22,4039.0
2020-05-25,3989.0
2020-05-26,3995.0
2020-05-27,4016.0
2020-05-28,4012.0
2020-05-29,4011.0
2020-06-01,4006.0
2020-06-02,4002.0
2020-06-03,4010.0
2020-06-04,4016.0
2020-06-05,4024.0
2020-06-08,4105.0
2020-06-09,4081.0
2020-06-10,4175.0
2020-06-11,4167.0
2020-06-12,4202.0
2020-06-15,4353.0
2020-06-16,4404.0
2020-06-17,4431.0
2020-06-18,4460.0
2020-06-19,4408.0
2020-06-22,4424.0
2020-06-23,4398.0
2020-06-24,4375.0
2020-06-29,4440.0
2020-06-30,4426.0
2020-07-01,4390.0
2020-07-02,4409.0
2020-07-03,4319.0
2020-07-06,4320.0
2020-07-07,4284.0
2020-07-08,4295.0
2020-07-09,4330.0
2020-07-10,4281.0
2020-07-13,4295.0
2020-07-14,4280.0
2020-07-15,4319.0
2020-07-16,4292.0
2020-07-17,4314.0
2020-07-20,4287.0
2020-07-21,4269.0
2020-07-22,4267.0
2020-07-23,4267.0
2020-07-24,4260.0
2020-07-27,4297.0
2020-07-28,4342.0
2020-07-29,4346.0
2020-07-30,4333.0
2020-07-31,4334.0
2020-08-03,4340.0
2020-08-04,4348.0
2020-08-05,4286.0
2020-08-06,4280.0
2020-08-07,4316.0
2020-08-10,4302.0
2020-08-11,4332.0
2020-08-12,4298.0
2020-08-13,4290.0
2020-08-14,4328.0
2020-08-17,4362.0
2020-08-18,4358.0
2020-08-19,4503.0
2020-08-20,4531.0
2020-08-21,4515.0
2020-08-24,4463.0
2020-08-25,4424.0
2020-08-26,4429.0
2020-08-27,4427.0
2020-08-28,4445.0
2020-08-31,4472.0
2020-09-01,4495.0
2020-09-02,4464.0
2020-09-03,4460.0
2020-09-04,4588.0
2020-09-07,4512.0
2020-09-08,4516.0
2020-09-09,4524.0
2020-09-10,4502.0
2020-09-11,4509.0
2020-09-14,4552.0
2020-09-15,4640.0
2020-09-16,4588.0
2020-09-17,4621.0
2020-09-18,4682.0
2020-09-21,4662.0
2020-09-22,4610.0
2020-09-23,4555.0
2020-09-24,4599.0
2020-09-25,4612.0
2020-09-28,4594.0
2020-09-29,4481.0
2020-09-30,4461.0
2020-10-09,4604.0
2020-10-12,4647.0
2020-10-13,4620.0
2020-10-14,4639.0
2020-10-15,4648.0
2020-10-16,4752.0
2020-10-19,4855.0
2020-10-20,4927.0
2020-10-21,4840.0
2020-10-22,4832.0
2020-10-23,4805.0
2020-10-26,4898.0
2020-10-27,4927.0
2020-10-28,5001.0
2020-10-29,5029.0
2020-10-30,5105.0
2020-11-02,5158.0
2020-11-03,5154.0
2020-11-04,5189.0
2020-11-05,5219.0
2020-11-06,5208.0
2020-11-09,5160.0
2020-11-10,5220.0
2020-11-11,5280.0
2020-11-12,5300.0
2020-11-13,5308.0
2020-11-16,5335.0
2020-11-17,5384.0
2020-11-18,5380.0
2020-11-19,5307.0
2020-11-20,5292.0
2020-11-23,5357.0
2020-11-24,5364.0
2020-11-25,5380.0
2020-11-26,5399.0
2020-11-27,5471.0
2020-11-30,5538.0
2020-12-01,5522.0
2020-12-02,5558.0
2020-12-03,5489.0
2020-12-04,5386.0
2020-12-07,5431.0
2020-12-08,5405.0
2020-12-09,5386.0
2020-12-10,5448.0
2020-12-11,5496.0
2020-12-14,5292.0
2020-12-15,5249.0
2020-12-16,5230.0
2020-12-17,5289.0
2020-12-18,5322.0
2020-12-21,5505.0
2020-12-22,5599.0
2020-12-23,5587.0
2020-12-24,5690.0
2020-12-25,5697.0
2020-12-28,5680.0
2020-12-29,5671.0
2020-12-30,5742.0
2020-12-31,5774.0
2021-01-04,5741.0
2021-01-05,5781.0
2021-01-06,5846.0
2021-01-07,5832.0
2021-01-08,5841.0
2021-01-11,5954.0
2021-01-12,5861.0
2021-01-13,5840.0
2021-01-14,5655.0
2021-01-15,5691.0
2021-01-18,5769.0
2021-01-19,5802.0
2021-01-20,5672.0
2021-01-21,5808.0
2021-01-22,5748.0
2021-01-25,5601.0
2021-01-26,5639.0
2021-01-27,5658.0
2021-01-28,5673.0
2021-01-29,5717.0
2021-02-01,5626.0
2021-02-02,5556.0
2021-02-03,5584.0
2021-02-04,5643.0
2021-02-05,5800.0
2021-02-08,5783.0
2021-02-09,5879.0
2021-02-10,5829.0
2021-02-18,5890.0
2021-02-19,5930.0
2021-02-22,5878.0
2021-02-23,5937.0
2021-02-24,5985.0
2021-02-25,5989.0
2021-02-26,5873.0
2021-03-01,6038.0
2021-03-02,6084.0
2021-03-03,6249.0
2021-03-04,6269.0
2021-03-05,6293.0
2021-03-08,6200.0
2021-03-09,6141.0
2021-03-10,6138.0
2021-03-11,6130.0
2021-03-12,6122.0
2021-03-15,5956.0
2021-03-16,5882.0
2021-03-17,5831.0
2021-03-18,5666.0
2021-03-19,5683.0
2021-03-22,5696.0
