datetime,B2309
2022-09-16,4450.0
2022-09-19,4499.0
2022-09-20,4497.0
2022-09-21,4496.0
2022-09-22,4466.0
2022-09-23,4462.0
2022-09-27,4432.0
2022-09-28,4400.0
2022-09-29,4416.0
2022-09-30,4407.0
2022-10-10,4380.0
2022-10-11,4373.0
2022-10-12,4335.0
2022-10-13,4347.0
2022-10-14,4391.0
2022-10-17,4407.0
2022-10-18,4430.0
2022-10-19,4372.0
2022-10-21,4385.0
2022-10-24,4380.0
2022-10-25,4367.0
2022-10-26,4406.0
2022-10-27,4418.0
2022-10-28,4385.0
2022-10-31,4359.0
2022-11-01,4390.0
2022-11-02,4429.0
2022-11-03,4443.0
2022-11-04,4456.0
2022-11-07,4470.0
2022-11-08,4521.0
2022-11-09,4503.0
2022-11-10,4493.0
2022-11-11,4467.0
2022-11-14,4418.0
2022-11-15,4399.0
2022-11-16,4391.0
2022-11-17,4387.0
2022-11-18,4386.0
2022-11-21,4413.0
2022-11-22,4386.0
2022-11-23,4398.0
2022-11-24,4421.0
2022-11-25,4454.0
2022-11-28,4390.0
2022-11-29,4429.0
2022-11-30,4446.0
2022-12-01,4430.0
2022-12-02,4392.0
2022-12-05,4384.0
2022-12-06,4410.0
2022-12-07,4416.0
2022-12-08,4448.0
2022-12-09,4441.0
2022-12-12,4449.0
2022-12-13,4442.0
2022-12-14,4440.0
2022-12-15,4418.0
2022-12-16,4431.0
2022-12-19,4382.0
2022-12-20,4421.0
2022-12-21,4410.0
2022-12-22,4410.0
2022-12-23,4415.0
2022-12-26,4504.0
2022-12-27,4567.0
2022-12-28,4555.0
2022-12-29,4557.0
2022-12-30,4586.0
2023-01-03,4639.0
2023-01-04,4578.0
2023-01-05,4528.0
2023-01-06,4507.0
2023-01-09,4518.0
2023-01-10,4435.0
2023-01-11,4474.0
2023-01-12,4513.0
2023-01-13,4538.0
2023-01-16,4532.0
2023-01-17,4519.0
2023-01-18,4570.0
2023-01-19,4556.0
2023-01-20,4518.0
2023-01-30,4575.0
2023-01-31,4583.0
2023-02-01,4553.0
2023-02-02,4500.0
2023-02-03,4488.0
2023-02-06,4532.0
2023-02-07,4518.0
2023-02-08,4526.0
2023-02-09,4489.0
2023-02-10,4502.0
2023-02-13,4519.0
2023-02-14,4529.0
2023-02-15,4496.0
2023-02-16,4491.0
2023-02-17,4507.0
2023-02-20,4557.0
2023-02-21,4550.0
2023-02-22,4580.0
2023-02-23,4535.0
2023-02-24,4569.0
2023-02-27,4558.0
2023-02-28,4506.0
2023-03-01,4480.0
2023-03-02,4485.0
2023-03-03,4521.0
2023-03-06,4516.0
2023-03-07,4548.0
2023-03-08,4526.0
2023-03-09,4529.0
2023-03-10,4489.0
2023-03-13,4502.0
2023-03-14,4449.0
2023-03-15,4436.0
2023-03-16,4389.0
2023-03-17,4339.0
2023-03-20,4282.0
2023-03-21,4306.0
2023-03-22,4233.0
2023-03-23,4176.0
2023-03-24,4139.0
2023-03-27,4103.0
2023-03-28,4163.0
2023-03-29,4162.0
2023-03-30,4189.0
2023-03-31,4165.0
2023-04-03,4292.0
2023-04-04,4298.0
2023-04-06,4236.0
2023-04-07,4202.0
2023-04-10,4152.0
2023-04-11,4183.0
2023-04-12,4138.0
2023-04-13,4167.0
2023-04-14,4112.0
2023-04-17,4127.0
2023-04-18,4170.0
2023-04-19,4090.0
2023-04-20,4010.0
2023-04-21,3942.0
2023-04-24,3964.0
2023-04-25,3936.0
2023-04-26,4008.0
2023-04-27,3961.0
2023-04-28,3990.0
2023-05-04,3990.0
2023-05-05,4025.0
2023-05-08,4072.0
2023-05-09,4039.0
2023-05-10,4000.0
2023-05-11,3969.0
2023-05-12,4015.0
2023-05-15,3990.0
2023-05-16,4006.0
2023-05-17,3927.0
2023-05-18,3942.0
2023-05-19,3915.0
2023-05-22,3872.0
2023-05-23,3922.0
2023-05-24,3873.0
2023-05-25,3880.0
2023-05-26,3923.0
2023-05-29,3875.0
2023-05-30,3859.0
2023-05-31,3768.0
2023-06-01,3840.0
2023-06-02,3825.0
2023-06-05,3922.0
2023-06-06,3924.0
2023-06-07,3898.0
2023-06-08,3902.0
2023-06-09,3957.0
2023-06-12,3965.0
2023-06-13,4008.0
2023-06-14,4020.0
2023-06-15,4084.0
2023-06-16,4206.0
2023-06-19,4251.0
2023-06-20,4294.0
2023-06-21,4310.0
2023-06-26,4302.0
2023-06-27,4262.0
2023-06-28,4279.0
2023-06-29,4256.0
2023-06-30,4301.0
2023-07-03,4539.0
2023-07-04,4544.0
2023-07-05,4564.0
2023-07-06,4556.0
2023-07-07,4524.0
2023-07-10,4530.0
2023-07-11,4549.0
2023-07-12,4602.0
2023-07-13,4551.0
2023-07-14,4570.0
2023-07-17,4603.0
2023-07-18,4617.0
2023-07-19,4716.0
2023-07-20,4755.0
2023-07-21,4695.0
2023-07-24,4684.0
2023-07-25,4742.0
2023-07-26,4787.0
2023-07-27,4819.0
2023-07-28,4780.0
2023-07-31,4714.0
2023-08-01,4787.0
2023-08-02,4843.0
2023-08-03,4788.0
2023-08-04,4847.0
2023-08-07,4849.0
2023-08-08,4814.0
2023-08-09,4911.0
2023-08-10,4955.0
2023-08-11,4941.0
2023-08-14,4970.0
2023-08-15,5041.0
2023-08-16,5044.0
2023-08-17,5167.0
2023-08-18,5205.0
2023-08-21,5377.0
2023-08-22,5184.0
2023-08-23,5220.0
2023-08-24,5303.0
2023-08-25,5351.0
2023-08-28,5340.0
2023-08-29,5346.0
2023-08-30,5370.0
2023-08-31,5445.0
2023-09-01,5188.0
2023-09-06,4755.0
2023-09-11,5040.0
