d,c
2022-05-19,3018.0
2022-05-20,3025.0
2022-05-23,3024.0
2022-05-24,3008.0
2022-05-25,2976.0
2022-05-26,2976.0
2022-05-27,2986.0
2022-05-30,2967.0
2022-05-31,2984.0
2022-06-01,2943.0
2022-06-02,2941.0
2022-06-06,2936.0
2022-06-07,2927.0
2022-06-08,2953.0
2022-06-09,2928.0
2022-06-10,2939.0
2022-06-13,2944.0
2022-06-14,2952.0
2022-06-15,2944.0
2022-06-16,2943.0
2022-06-17,2960.0
2022-06-20,2951.0
2022-06-21,2951.0
2022-06-22,2888.0
2022-06-23,2874.0
2022-06-24,2824.0
2022-06-27,2836.0
2022-06-28,2857.0
2022-06-29,2854.0
2022-06-30,2841.0
2022-07-01,2773.0
2022-07-04,2779.0
2022-07-05,2754.0
2022-07-06,2739.0
2022-07-07,2777.0
2022-07-08,2778.0
2022-07-11,2791.0
2022-07-12,2770.0
2022-07-13,2752.0
2022-07-14,2758.0
2022-07-15,2735.0
2022-07-18,2740.0
2022-07-19,2727.0
2022-07-20,2721.0
2022-07-21,2720.0
2022-07-22,2667.0
2022-07-25,2694.0
2022-07-26,2730.0
2022-07-27,2735.0
2022-07-28,2766.0
2022-07-29,2774.0
2022-08-01,2782.0
2022-08-02,2784.0
2022-08-03,2798.0
2022-08-04,2774.0
2022-08-05,2789.0
2022-08-08,2790.0
2022-08-09,2788.0
2022-08-10,2783.0
2022-08-11,2772.0
2022-08-12,2804.0
2022-08-15,2762.0
2022-08-16,2795.0
2022-08-17,2775.0
2022-08-18,2724.0
2022-08-19,2735.0
2022-08-22,2738.0
2022-08-23,2778.0
2022-08-24,2799.0
2022-08-25,2775.0
2022-08-26,2808.0
2022-08-29,2848.0
2022-08-30,2839.0
2022-08-31,2845.0
2022-09-01,2847.0
2022-09-02,2839.0
2022-09-05,2848.0
2022-09-06,2870.0
2022-09-07,2847.0
2022-09-08,2865.0
2022-09-09,2874.0
2022-09-13,2906.0
2022-09-14,2903.0
2022-09-15,2884.0
2022-09-16,2893.0
2022-09-19,2911.0
2022-09-20,2900.0
2022-09-21,2913.0
2022-09-22,2908.0
2022-09-23,2898.0
2022-09-26,2852.0
2022-09-27,2852.0
2022-09-28,2830.0
2022-09-29,2834.0
2022-09-30,2835.0
2022-10-10,2860.0
2022-10-11,2882.0
2022-10-12,2895.0
2022-10-13,2899.0
2022-10-14,2928.0
2022-10-17,2915.0
2022-10-18,2919.0
2022-10-19,2918.0
2022-10-20,2916.0
2022-10-21,2940.0
2022-10-24,2941.0
2022-10-25,2922.0
2022-10-26,2928.0
2022-10-27,2932.0
2022-10-28,2916.0
2022-10-31,2939.0
2022-11-01,2935.0
2022-11-02,2914.0
2022-11-03,2899.0
2022-11-04,2920.0
2022-11-07,2941.0
2022-11-08,2945.0
2022-11-09,2925.0
2022-11-10,2931.0
2022-11-11,2937.0
2022-11-14,2906.0
2022-11-15,2899.0
2022-11-16,2885.0
2022-11-17,2872.0
2022-11-18,2874.0
2022-11-21,2894.0
2022-11-22,2892.0
2022-11-23,2901.0
2022-11-24,2896.0
2022-11-25,2930.0
2022-11-28,2925.0
2022-11-29,2913.0
2022-11-30,2897.0
2022-12-01,2885.0
2022-12-02,2874.0
2022-12-05,2851.0
2022-12-06,2837.0
2022-12-07,2831.0
2022-12-08,2845.0
2022-12-09,2835.0
2022-12-12,2825.0
2022-12-13,2832.0
2022-12-14,2816.0
2022-12-15,2817.0
2022-12-16,2832.0
2022-12-19,2805.0
2022-12-20,2780.0
2022-12-21,2771.0
2022-12-22,2784.0
2022-12-23,2787.0
2022-12-26,2807.0
2022-12-27,2818.0
2022-12-28,2837.0
2022-12-29,2823.0
2022-12-30,2834.0
2023-01-03,2843.0
2023-01-04,2869.0
2023-01-05,2874.0
2023-01-06,2879.0
2023-01-09,2885.0
2023-01-10,2872.0
2023-01-11,2867.0
2023-01-12,2869.0
2023-01-13,2871.0
2023-01-16,2871.0
2023-01-17,2873.0
2023-01-18,2884.0
2023-01-19,2864.0
2023-01-20,2854.0
2023-01-30,2882.0
2023-01-31,2858.0
2023-02-01,2848.0
2023-02-02,2843.0
2023-02-03,2846.0
2023-02-06,2817.0
2023-02-07,2819.0
2023-02-08,2820.0
2023-02-09,2801.0
2023-02-10,2801.0
2023-02-13,2833.0
2023-02-14,2853.0
2023-02-15,2846.0
2023-02-16,2856.0
2023-02-17,2868.0
2023-02-20,2877.0
2023-02-21,2875.0
2023-02-22,2877.0
2023-02-23,2863.0
2023-02-24,2867.0
2023-02-27,2844.0
2023-02-28,2837.0
2023-03-01,2854.0
2023-03-02,2848.0
2023-03-03,2838.0
2023-03-06,2824.0
2023-03-07,2847.0
2023-03-08,2855.0
2023-03-09,2840.0
2023-03-10,2850.0
2023-03-13,2835.0
2023-03-14,2833.0
2023-03-15,2832.0
2023-03-16,2824.0
2023-03-17,2836.0
2023-03-20,2843.0
2023-03-21,2779.0
2023-03-22,2768.0
2023-03-23,2776.0
2023-03-24,2763.0
2023-03-27,2728.0
2023-03-28,2756.0
2023-03-29,2755.0
2023-03-30,2761.0
2023-03-31,2746.0
2023-04-03,2739.0
2023-04-04,2744.0
2023-04-06,2728.0
2023-04-07,2735.0
2023-04-10,2761.0
2023-04-11,2759.0
2023-04-12,2753.0
2023-04-13,2740.0
2023-04-14,2749.0
2023-04-17,2723.0
2023-04-18,2726.0
2023-04-19,2709.0
2023-04-20,2685.0
2023-04-21,2648.0
2023-04-24,2648.0
2023-04-25,2640.0
2023-04-26,2651.0
2023-04-27,2631.0
2023-04-28,2616.0
2023-05-04,2570.0
2023-05-05,2584.0
2023-05-08,2608.0
2023-05-09,2590.0
2023-05-10,2556.0
2023-05-15,2520.0
2023-05-17,2520.0
