d,c
2023-09-15,2923.0
2023-09-18,2901.0
2023-09-19,2892.0
2023-09-20,2905.0
2023-09-21,2908.0
2023-09-22,2913.0
2023-09-25,2905.0
2023-09-26,2896.0
2023-09-27,2907.0
2023-09-28,2915.0
2023-10-09,2904.0
2023-10-10,2913.0
2023-10-11,2905.0
2023-10-12,2903.0
2023-10-13,2908.0
2023-10-16,2900.0
2023-10-17,2899.0
2023-10-18,2859.0
2023-10-19,2867.0
2023-10-20,2870.0
2023-10-23,2877.0
2023-10-24,2888.0
2023-10-25,2889.0
2023-10-26,2876.0
2023-10-27,2881.0
2023-10-30,2903.0
2023-10-31,2900.0
2023-11-01,2904.0
2023-11-02,2911.0
2023-11-03,2919.0
2023-11-06,2939.0
2023-11-07,2927.0
2023-11-08,2937.0
2023-11-09,2923.0
2023-11-10,2912.0
2023-11-13,2931.0
2023-11-14,2952.0
2023-11-15,2953.0
2023-11-16,2968.0
2023-11-17,2941.0
2023-11-20,2957.0
2023-11-21,2964.0
2023-11-22,2945.0
2023-11-23,2938.0
2023-11-24,2941.0
2023-11-27,2918.0
2023-11-28,2900.0
2023-11-29,2896.0
2023-11-30,2898.0
2023-12-01,2879.0
2023-12-04,2867.0
2023-12-05,2859.0
2023-12-06,2881.0
2023-12-07,2868.0
2023-12-08,2885.0
2023-12-11,2871.0
2023-12-12,2855.0
2023-12-13,2832.0
2023-12-14,2826.0
2023-12-15,2819.0
2023-12-18,2789.0
2023-12-19,2779.0
2023-12-20,2802.0
2023-12-21,2825.0
2023-12-22,2833.0
2023-12-25,2840.0
2023-12-26,2833.0
2023-12-27,2839.0
2023-12-28,2865.0
2023-12-29,2855.0
2024-01-02,2868.0
2024-01-03,2880.0
2024-01-04,2875.0
2024-01-05,2849.0
2024-01-08,2834.0
2024-01-09,2815.0
2024-01-10,2801.0
2024-01-11,2850.0
2024-01-12,2835.0
2024-01-15,2851.0
2024-01-16,2863.0
2024-01-17,2869.0
2024-01-18,2850.0
2024-01-19,2856.0
2024-01-22,2798.0
2024-01-23,2814.0
2024-01-24,2835.0
2024-01-25,2834.0
2024-01-26,2851.0
2024-01-29,2901.0
2024-01-30,2896.0
2024-01-31,2914.0
2024-02-01,2893.0
2024-02-02,2913.0
2024-02-05,2897.0
2024-02-06,2927.0
2024-02-07,2927.0
2024-02-08,2920.0
2024-02-19,2882.0
2024-02-20,2889.0
2024-02-21,2914.0
2024-02-22,2928.0
2024-02-23,2925.0
2024-02-26,2926.0
2024-02-27,2922.0
2024-02-28,2924.0
2024-02-29,2928.0
2024-03-01,2924.0
2024-03-04,2905.0
2024-03-05,2902.0
2024-03-06,2898.0
2024-03-07,2901.0
2024-03-08,2886.0
2024-03-11,2871.0
2024-03-12,2879.0
2024-03-13,2876.0
2024-03-14,2863.0
2024-03-15,2889.0
2024-03-18,2882.0
2024-03-19,2858.0
2024-03-20,2864.0
2024-03-21,2863.0
2024-03-22,2853.0
