datetime,CY2405
2023-05-18,23060.0
2023-05-22,23605.0
2023-06-01,23305.0
2023-06-08,23490.0
2023-06-09,23805.0
2023-06-12,23790.0
2023-06-13,23565.0
2023-06-14,23630.0
2023-06-15,23690.0
2023-06-21,23475.0
2023-06-26,23385.0
2023-06-27,23190.0
2023-07-13,23970.0
2023-07-25,24180.0
2023-07-27,24200.0
2023-07-28,24070.0
2023-08-09,23960.0
2023-08-16,23705.0
2023-08-21,24095.0
2023-08-24,23850.0
2023-08-25,23950.0
2023-08-28,24455.0
2023-08-29,23935.0
2023-08-30,23910.0
2023-08-31,23800.0
2023-09-01,24130.0
2023-09-04,23670.0
2023-09-05,23875.0
2023-09-07,23345.0
2023-09-08,23200.0
2023-09-11,23445.0
2023-09-12,23770.0
2023-09-13,23325.0
2023-09-14,23505.0
2023-09-15,23720.0
2023-09-18,23420.0
2023-09-19,23715.0
2023-09-21,23530.0
2023-09-25,23515.0
2023-09-26,23385.0
2023-09-27,23700.0
2023-09-28,23770.0
2023-10-09,23980.0
2023-10-10,23605.0
2023-10-11,23610.0
2023-10-12,23470.0
2023-10-13,23590.0
2023-10-16,23585.0
2023-10-17,23255.0
2023-10-18,22960.0
2023-10-19,22855.0
2023-10-20,22500.0
2023-10-23,22190.0
2023-10-24,22395.0
2023-10-25,22480.0
2023-10-26,22470.0
2023-10-27,22435.0
2023-10-30,22480.0
2023-10-31,22320.0
2023-11-01,22030.0
2023-11-02,22225.0
2023-11-03,22355.0
2023-11-06,22295.0
2023-11-07,22145.0
2023-11-08,22085.0
2023-11-09,22050.0
2023-11-10,21940.0
2023-11-13,21830.0
2023-11-14,22060.0
2023-11-15,22075.0
2023-11-16,22035.0
2023-11-17,22065.0
2023-11-20,21820.0
2023-11-21,21100.0
2023-11-22,21060.0
2023-11-23,21000.0
2023-11-24,20835.0
2023-11-27,20630.0
2023-11-28,20570.0
2023-11-29,20890.0
2023-11-30,20935.0
2023-12-01,20960.0
2023-12-04,20885.0
2023-12-05,20855.0
2023-12-06,21060.0
2023-12-07,21100.0
2023-12-08,21260.0
2023-12-11,21240.0
2023-12-12,21260.0
2023-12-13,21125.0
2023-12-14,21165.0
2023-12-15,21235.0
2023-12-18,21000.0
2023-12-19,20995.0
2023-12-20,21055.0
2023-12-21,21085.0
2023-12-22,21255.0
2023-12-25,21220.0
2023-12-26,21235.0
2023-12-27,21270.0
2023-12-28,21310.0
2023-12-29,21180.0
2024-01-02,21340.0
2024-01-03,21430.0
2024-01-04,21930.0
2024-01-05,21905.0
2024-01-08,21720.0
2024-01-09,21590.0
2024-01-10,21555.0
2024-01-11,21675.0
2024-01-12,21775.0
2024-01-15,21620.0
2024-01-16,21755.0
2024-01-17,21660.0
2024-01-18,21975.0
2024-01-19,21970.0
2024-01-22,21940.0
2024-01-23,22055.0
2024-01-24,22090.0
2024-01-25,22255.0
2024-01-26,22260.0
2024-01-29,22385.0
2024-01-30,22360.0
2024-01-31,22310.0
2024-02-01,22100.0
2024-02-02,22040.0
2024-02-05,22085.0
2024-02-06,22260.0
2024-02-07,22015.0
2024-02-08,22060.0
2024-02-19,22320.0
2024-02-20,22445.0
2024-02-21,22325.0
2024-02-22,22430.0
2024-02-23,22495.0
2024-02-26,22360.0
2024-02-27,22330.0
2024-02-28,22460.0
2024-02-29,22155.0
2024-03-01,22080.0
2024-03-04,21715.0
2024-03-05,21670.0
2024-03-06,21750.0
2024-03-07,21675.0
2024-03-08,21790.0
2024-03-11,21390.0
2024-03-12,21305.0
2024-03-13,21200.0
2024-03-14,21215.0
2024-03-15,21240.0
2024-03-18,21245.0
2024-03-19,21265.0
2024-03-20,21210.0
2024-03-21,21290.0
2024-03-22,21110.0
2024-03-25,21165.0
2024-03-26,21290.0
2024-03-27,21260.0
2024-03-28,21450.0
2024-03-29,21560.0
2024-04-01,21350.0
2024-04-02,21515.0
2024-04-03,21460.0
2024-04-08,21385.0
2024-04-09,21560.0
2024-04-10,21485.0
2024-04-11,21305.0
2024-04-12,21310.0
2024-04-15,21250.0
2024-04-16,21160.0
2024-04-17,20915.0
2024-04-18,20840.0
2024-04-19,20620.0
2024-04-22,20935.0
2024-04-23,20760.0
2024-04-24,20655.0
2024-04-25,20450.0
2024-04-26,20615.0
2024-04-29,20565.0
2024-04-30,20285.0
2024-05-06,20380.0
2024-05-07,20350.0
2024-05-08,20500.0
2024-05-09,20100.0
2024-05-10,20050.0
2024-05-13,20400.0
2024-05-14,20025.0
2024-05-15,18930.0
2024-05-16,19700.0
2024-05-17,19700.0
