datetime,FG2505
2024-05-20,1631.0
2024-05-21,1648.0
2024-05-22,1694.0
2024-05-23,1684.0
2024-05-24,1714.0
2024-05-27,1723.0
2024-05-28,1710.0
2024-05-29,1765.0
2024-05-30,1734.0
2024-05-31,1724.0
2024-06-03,1685.0
2024-06-04,1700.0
2024-06-05,1695.0
2024-06-06,1718.0
2024-06-07,1696.0
2024-06-11,1674.0
2024-06-12,1673.0
2024-06-13,1644.0
2024-06-14,1644.0
2024-06-17,1596.0
2024-06-18,1582.0
2024-06-19,1588.0
2024-06-20,1589.0
2024-06-21,1587.0
2024-06-24,1550.0
2024-06-25,1565.0
2024-06-26,1573.0
2024-06-27,1563.0
2024-06-28,1584.0
2024-07-01,1585.0
2024-07-02,1606.0
2024-07-03,1613.0
2024-07-04,1602.0
2024-07-05,1571.0
2024-07-08,1562.0
2024-07-09,1568.0
2024-07-10,1535.0
2024-07-11,1543.0
2024-07-12,1552.0
2024-07-15,1543.0
2024-07-16,1544.0
2024-07-17,1535.0
2024-07-18,1549.0
2024-07-19,1542.0
2024-07-22,1538.0
2024-07-23,1522.0
2024-07-24,1518.0
2024-07-25,1502.0
2024-07-26,1500.0
2024-07-29,1460.0
2024-07-30,1443.0
2024-07-31,1459.0
2024-08-01,1450.0
2024-08-02,1464.0
2024-08-05,1450.0
2024-08-06,1435.0
2024-08-07,1427.0
2024-08-08,1410.0
2024-08-09,1420.0
2024-08-12,1409.0
2024-08-13,1371.0
2024-08-14,1339.0
2024-08-15,1332.0
2024-08-16,1321.0
2024-08-19,1327.0
2024-08-20,1344.0
2024-08-21,1368.0
2024-08-22,1322.0
2024-08-23,1309.0
2024-08-26,1302.0
2024-08-27,1322.0
2024-08-28,1313.0
2024-08-29,1320.0
2024-08-30,1333.0
2024-09-02,1293.0
2024-09-03,1266.0
2024-09-04,1219.0
2024-09-05,1220.0
2024-09-06,1211.0
2024-09-09,1202.0
2024-09-10,1179.0
2024-09-11,1183.0
2024-09-12,1151.0
2024-09-13,1146.0
2024-09-18,1138.0
2024-09-19,1186.0
2024-09-20,1146.0
2024-09-23,1177.0
2024-09-24,1242.0
2024-09-25,1257.0
2024-09-26,1276.0
2024-09-27,1329.0
2024-09-30,1425.0
2024-10-08,1334.0
2024-10-09,1327.0
2024-10-10,1324.0
2024-10-11,1344.0
2024-10-14,1386.0
2024-10-15,1448.0
2024-10-16,1460.0
2024-10-17,1341.0
2024-10-18,1397.0
2024-10-21,1411.0
2024-10-22,1427.0
2024-10-23,1409.0
2024-10-24,1481.0
2024-10-25,1496.0
2024-10-28,1546.0
2024-10-29,1513.0
2024-10-30,1529.0
2024-10-31,1526.0
2024-11-01,1531.0
2024-11-04,1500.0
2024-11-05,1531.0
2024-11-06,1533.0
2024-11-07,1523.0
2024-11-08,1480.0
2024-11-11,1445.0
2024-11-12,1455.0
2024-11-13,1467.0
2024-11-14,1419.0
2024-11-15,1405.0
2024-11-18,1390.0
2024-11-19,1409.0
2024-11-20,1398.0
2024-11-21,1423.0
2024-11-22,1381.0
2024-11-25,1387.0
2024-11-26,1390.0
2024-11-27,1393.0
2024-11-28,1392.0
2024-11-29,1420.0
2024-12-02,1447.0
2024-12-03,1438.0
2024-12-04,1403.0
2024-12-05,1371.0
2024-12-06,1374.0
2024-12-09,1352.0
2024-12-10,1393.0
2024-12-11,1393.0
2024-12-12,1415.0
2024-12-13,1375.0
2024-12-16,1363.0
2024-12-17,1372.0
2024-12-18,1373.0
2024-12-19,1398.0
2024-12-20,1373.0
2024-12-23,1372.0
2024-12-24,1396.0
2024-12-25,1368.0
2024-12-26,1346.0
2024-12-27,1336.0
2024-12-30,1344.0
2024-12-31,1327.0
2025-01-02,1338.0
2025-01-03,1342.0
2025-01-06,1336.0
2025-01-07,1335.0
2025-01-08,1294.0
2025-01-09,1319.0
2025-01-10,1309.0
2025-01-13,1362.0
2025-01-14,1391.0
2025-01-15,1391.0
2025-01-16,1436.0
2025-01-17,1454.0
2025-01-20,1417.0
2025-01-21,1409.0
2025-01-22,1397.0
2025-01-23,1387.0
2025-01-24,1397.0
2025-01-27,1362.0
2025-02-05,1328.0
2025-02-06,1337.0
2025-02-07,1342.0
2025-02-10,1348.0
2025-02-11,1323.0
2025-02-12,1322.0
2025-02-13,1271.0
2025-02-14,1261.0
2025-02-17,1271.0
2025-02-18,1280.0
2025-02-19,1273.0
2025-02-20,1293.0
2025-02-21,1267.0
2025-02-24,1268.0
2025-02-25,1237.0
2025-02-26,1224.0
2025-02-27,1234.0
2025-02-28,1248.0
2025-03-03,1227.0
2025-03-04,1231.0
2025-03-05,1202.0
2025-03-06,1206.0
2025-03-07,1182.0
2025-03-10,1143.0
2025-03-11,1153.0
2025-03-12,1147.0
2025-03-13,1151.0
2025-03-14,1163.0
2025-03-17,1172.0
2025-03-18,1158.0
2025-03-19,1176.0
2025-03-20,1173.0
2025-03-21,1173.0
2025-03-24,1240.0
2025-03-25,1260.0
2025-03-26,1229.0
2025-03-27,1236.0
2025-03-28,1197.0
2025-03-31,1181.0
2025-04-01,1235.0
2025-04-02,1225.0
2025-04-03,1198.0
2025-04-07,1180.0
2025-04-08,1190.0
2025-04-09,1180.0
2025-04-10,1169.0
2025-04-11,1146.0
2025-04-14,1152.0
2025-04-15,1144.0
2025-04-16,1151.0
2025-04-17,1138.0
2025-04-18,1084.0
2025-04-21,1061.0
2025-04-22,1074.0
2025-04-23,1106.0
2025-04-24,1087.0
2025-04-25,1074.0
2025-04-28,1078.0
2025-04-29,1074.0
2025-04-30,1031.0
2025-05-06,1038.0
2025-05-07,1046.0
2025-05-08,1045.0
2025-05-09,1039.0
2025-05-12,1047.0
2025-05-13,1019.0
2025-05-14,1042.0
2025-05-15,1029.0
2025-05-16,991.0
2025-05-19,1020.0
