d,c
2019-01-09,3620.0
2019-01-10,3612.0
2019-01-11,3625.0
2019-01-14,3623.0
2019-01-15,3591.0
2019-01-16,3188.0
2019-01-17,3201.0
2019-01-18,3245.0
2019-01-21,3264.0
2019-01-22,3268.0
2019-01-23,3261.0
2019-01-24,3284.0
2019-01-25,3297.0
2019-01-28,3282.0
2019-01-29,3281.0
2019-01-30,3288.0
2019-01-31,3301.0
2019-02-01,3323.0
2019-02-11,3359.0
2019-02-12,3351.0
2019-02-13,3309.0
2019-02-14,3300.0
2019-02-15,3244.0
2019-02-18,3301.0
2019-02-19,3306.0
2019-02-20,3318.0
2019-02-21,3318.0
2019-02-22,3356.0
2019-02-25,3339.0
2019-02-26,3373.0
2019-02-27,3360.0
2019-02-28,3380.0
2019-03-01,3417.0
2019-03-04,3410.0
2019-03-05,3397.0
2019-03-06,3347.0
2019-03-07,3373.0
2019-03-08,3343.0
2019-03-11,3300.0
2019-03-12,3355.0
2019-03-13,3327.0
2019-03-14,3308.0
2019-03-15,3288.0
2019-03-18,3302.0
2019-03-19,3297.0
2019-03-20,3289.0
2019-03-21,3295.0
2019-03-22,3313.0
2019-03-25,3276.0
2019-03-26,3257.0
2019-03-27,3262.0
2019-03-28,3246.0
2019-03-29,3290.0
2019-04-01,3318.0
2019-04-02,3339.0
2019-04-03,3376.0
2019-04-04,3394.0
2019-04-08,3491.0
2019-04-09,3499.0
2019-04-10,3502.0
2019-04-11,3509.0
2019-04-12,3503.0
2019-04-15,3564.0
2019-04-16,3512.0
2019-04-17,3528.0
2019-04-18,3450.0
2019-04-19,3488.0
2019-04-23,3500.0
2019-04-24,3480.0
2019-04-25,3452.0
2019-04-26,3477.0
2019-04-29,3503.0
2019-04-30,3566.0
2019-05-06,3495.0
2019-05-07,3511.0
2019-05-08,3480.0
2019-05-09,3464.0
2019-05-10,3473.0
2019-05-13,3410.0
2019-05-14,3396.0
2019-05-15,3425.0
2019-05-16,3448.0
2019-05-17,3474.0
2019-05-20,3439.0
2019-05-21,3559.0
2019-05-22,3552.0
2019-05-23,3518.0
2019-05-24,3534.0
2019-05-27,3483.0
2019-05-28,3494.0
2019-05-29,3485.0
2019-05-30,3459.0
2019-05-31,3446.0
2019-06-03,3404.0
2019-06-04,3444.0
2019-06-05,3444.0
2019-06-06,3435.0
2019-06-10,3420.0
2019-06-11,3497.0
2019-06-12,3465.0
2019-06-13,3476.0
2019-06-14,3469.0
2019-06-17,3430.0
2019-06-18,3458.0
2019-06-19,3492.0
2019-06-20,3532.0
2019-06-21,3584.0
2019-06-24,3667.0
2019-06-25,3712.0
2019-06-26,3714.0
2019-06-27,3691.0
2019-06-28,3737.0
2019-07-01,3773.0
2019-07-02,3725.0
2019-07-03,3715.0
2019-07-04,3718.0
2019-07-05,3685.0
2019-07-08,3695.0
2019-07-09,3722.0
2019-07-10,3702.0
2019-07-11,3698.0
2019-07-12,3671.0
2019-07-15,3724.0
2019-07-16,3731.0
2019-07-17,3750.0
2019-07-18,3694.0
2019-07-19,3741.0
2019-07-22,3694.0
2019-07-23,3689.0
2019-07-24,3658.0
2019-07-25,3699.0
2019-07-26,3663.0
2019-07-29,3629.0
