d,c
2019-09-17,552.5
2019-09-18,537.5
2019-09-19,523.0
2019-09-20,509.5
2019-09-23,520.0
2019-09-24,512.0
2019-09-25,513.0
2019-09-26,516.0
2019-09-27,520.0
2019-09-30,529.5
2019-10-08,522.5
2019-10-09,515.5
2019-10-10,525.0
2019-10-11,530.5
2019-10-14,517.5
2019-10-15,527.0
2019-10-16,518.5
2019-10-17,521.5
2019-10-18,524.0
2019-10-21,518.5
2019-10-22,519.5
2019-10-23,521.0
2019-10-24,527.5
2019-10-25,532.0
2019-10-28,529.5
2019-10-29,527.5
2019-10-30,530.0
2019-10-31,528.5
2019-11-01,531.0
2019-11-04,527.5
2019-11-05,530.5
2019-11-06,529.0
2019-11-07,525.5
2019-11-08,521.5
2019-11-11,517.5
2019-11-12,525.5
2019-11-13,521.5
2019-11-14,528.0
2019-11-15,538.5
2019-11-18,538.0
2019-11-19,542.0
2019-11-20,544.0
2019-11-21,549.0
2019-11-22,556.0
2019-11-25,571.0
2019-11-26,566.0
2019-11-27,554.5
2019-11-28,560.0
2019-11-29,557.0
2019-12-02,559.5
2019-12-03,562.0
2019-12-04,571.5
2019-12-05,571.0
2019-12-06,574.5
2019-12-09,606.0
2019-12-10,603.5
2019-12-11,613.0
2019-12-12,608.5
2019-12-13,610.0
2019-12-16,601.0
2019-12-17,591.0
2019-12-18,591.0
2019-12-19,604.0
2019-12-20,591.5
2019-12-23,596.5
2019-12-24,600.0
2019-12-25,595.5
2019-12-26,595.0
2019-12-27,594.0
2019-12-30,596.0
2019-12-31,603.0
2020-01-02,607.0
2020-01-03,613.0
2020-01-06,615.0
2020-01-07,615.5
2020-01-08,629.5
2020-01-09,612.0
2020-01-10,612.5
2020-01-13,610.0
2020-01-14,621.5
2020-01-15,616.0
2020-01-16,612.0
2020-01-17,619.5
2020-01-20,621.0
2020-01-21,621.0
2020-01-22,625.5
2020-01-23,605.0
2020-02-03,563.5
2020-02-04,574.5
2020-02-05,566.5
2020-02-06,584.5
2020-02-07,582.5
2020-02-10,580.0
2020-02-11,596.0
2020-02-12,605.0
2020-02-13,607.0
2020-02-14,608.0
2020-02-17,627.5
2020-02-18,625.0
2020-02-19,630.0
2020-02-20,647.0
2020-02-21,648.5
2020-02-24,642.0
2020-02-25,642.0
2020-02-26,623.0
2020-02-27,616.0
2020-02-28,602.0
2020-03-02,631.0
2020-03-03,626.5
2020-03-04,634.0
2020-03-05,635.5
2020-03-06,621.5
2020-03-09,611.5
2020-03-10,630.5
2020-03-11,620.5
2020-03-12,627.5
2020-03-13,633.5
2020-03-16,618.0
2020-03-17,621.0
2020-03-18,623.5
2020-03-19,615.0
2020-03-20,591.0
2020-03-23,564.0
2020-03-24,588.5
2020-03-25,598.0
2020-03-26,593.0
2020-03-27,588.0
2020-03-30,570.0
2020-03-31,574.5
2020-04-01,557.5
2020-04-02,577.5
2020-04-03,568.0
2020-04-07,569.5
2020-04-08,584.0
2020-04-09,597.5
2020-04-10,599.5
2020-04-13,596.0
2020-04-14,606.5
2020-04-15,606.5
2020-04-16,606.0
2020-04-17,612.0
2020-04-20,620.0
2020-04-21,602.0
2020-04-22,613.0
2020-04-23,604.5
2020-04-24,607.0
2020-04-27,602.0
2020-04-28,594.5
2020-04-29,595.5
2020-04-30,610.0
2020-05-06,610.5
2020-05-07,623.0
2020-05-08,633.0
2020-05-11,630.0
2020-05-12,638.0
2020-05-13,645.5
2020-05-14,647.5
2020-05-15,668.0
2020-05-18,691.5
2020-05-19,711.0
2020-05-20,704.5
2020-05-21,722.0
2020-05-22,716.5
2020-05-25,721.5
2020-05-26,698.5
2020-05-27,706.0
2020-05-28,710.5
2020-05-29,752.0
2020-06-01,752.5
2020-06-02,757.0
2020-06-03,755.0
2020-06-04,737.0
2020-06-05,746.0
2020-06-08,783.0
2020-06-09,769.5
2020-06-10,759.5
2020-06-11,759.0
2020-06-12,777.0
2020-06-15,762.5
2020-06-16,781.0
2020-06-17,766.5
2020-06-18,765.0
2020-06-19,768.0
2020-06-22,753.5
2020-06-23,757.0
2020-06-24,771.0
2020-06-29,736.0
2020-06-30,744.5
2020-07-01,742.0
2020-07-02,738.5
2020-07-03,746.5
2020-07-06,750.5
2020-07-07,767.0
2020-07-08,788.0
2020-07-09,789.0
2020-07-10,790.5
2020-07-13,829.0
2020-07-14,838.5
2020-07-15,837.0
2020-07-16,826.5
2020-07-17,826.0
2020-07-20,817.0
2020-07-21,841.0
2020-07-22,841.5
2020-07-23,845.5
2020-07-24,827.5
2020-07-27,814.5
2020-07-28,820.0
2020-07-29,841.5
2020-07-30,840.0
2020-07-31,849.5
2020-08-03,873.0
2020-08-04,890.0
2020-08-05,888.0
2020-08-06,910.0
2020-08-07,896.0
2020-08-10,894.0
2020-08-11,900.5
2020-08-12,907.0
2020-08-13,904.5
2020-08-14,918.5
2020-08-17,898.5
2020-08-18,912.0
2020-08-19,915.5
2020-08-20,914.5
2020-08-21,920.5
2020-08-24,916.5
2020-08-25,910.0
2020-08-26,911.5
2020-08-27,906.5
2020-08-28,930.5
2020-08-31,918.5
2020-09-01,931.5
2020-09-02,931.5
2020-09-03,940.0
2020-09-04,942.0
2020-09-07,940.0
2020-09-08,931.0
2020-09-09,953.0
2020-09-10,944.5
2020-09-11,960.0
2020-09-14,935.0
