datetime,J2601
2025-01-17,1867.5
2025-01-20,1850.0
2025-01-23,1882.5
2025-02-05,1829.5
2025-02-06,1864.5
2025-02-07,1884.0
2025-02-11,1853.0
2025-02-12,1830.0
2025-02-13,1812.5
2025-02-14,1817.5
2025-02-17,1817.5
2025-02-18,1834.0
2025-02-19,1833.0
2025-02-20,1866.5
2025-02-21,1870.0
2025-02-24,1832.5
2025-02-25,1812.5
2025-02-26,1800.0
2025-02-27,1815.0
2025-02-28,1812.5
2025-03-03,1818.0
2025-03-04,1799.5
2025-03-05,1760.0
2025-03-06,1757.0
2025-03-07,1753.0
2025-03-10,1739.5
2025-03-11,1730.0
2025-03-12,1720.0
2025-03-13,1750.0
2025-03-14,1735.0
2025-03-17,1710.0
2025-03-18,1712.0
2025-03-19,1688.0
2025-03-20,1701.0
2025-03-21,1671.5
2025-03-24,1702.0
2025-03-25,1697.0
2025-03-26,1705.5
2025-03-27,1717.0
2025-03-28,1704.5
2025-03-31,1687.0
2025-04-01,1736.0
2025-04-02,1720.0
2025-04-03,1706.0
2025-04-07,1665.0
2025-04-08,1631.0
2025-04-09,1630.0
2025-04-10,1629.5
2025-04-11,1617.0
2025-04-14,1628.0
2025-04-15,1621.5
2025-04-16,1600.0
2025-04-17,1597.0
2025-04-18,1598.0
2025-04-21,1607.0
2025-04-22,1563.0
2025-04-23,1608.0
2025-04-24,1607.0
2025-04-25,1594.5
2025-04-28,1599.5
2025-04-29,1590.0
2025-04-30,1576.0
2025-05-06,1550.5
2025-05-07,1550.0
2025-05-08,1508.0
2025-05-09,1474.0
2025-05-12,1499.5
2025-05-13,1475.0
2025-05-14,1508.0
2025-05-15,1498.5
2025-05-16,1472.5
2025-05-19,1454.5
2025-05-20,1437.5
2025-05-21,1444.5
2025-05-22,1428.5
2025-05-23,1406.5
2025-05-26,1390.5
2025-05-27,1388.0
2025-05-28,1362.5
2025-05-29,1350.0
2025-05-30,1331.5
2025-06-03,1322.5
2025-06-04,1376.0
2025-06-05,1358.5
2025-06-06,1368.0
2025-06-09,1360.0
2025-06-10,1364.5
2025-06-11,1373.5
2025-06-12,1348.0
2025-06-13,1366.5
2025-06-16,1392.5
2025-06-17,1388.0
2025-06-18,1403.0
2025-06-19,1401.5
2025-06-20,1411.5
2025-06-23,1424.0
2025-06-24,1399.5
2025-06-25,1428.0
2025-06-26,1434.0
2025-06-27,1461.5
2025-06-30,1442.5
2025-07-01,1427.5
2025-07-02,1479.5
2025-07-03,1491.0
2025-07-04,1472.5
2025-07-07,1468.0
2025-07-08,1470.5
2025-07-09,1491.5
2025-07-10,1526.5
2025-07-11,1548.0
2025-07-14,1569.0
2025-07-15,1560.5
2025-07-16,1538.5
2025-07-17,1559.0
2025-07-18,1563.0
2025-07-21,1654.0
2025-07-22,1752.0
2025-07-23,1743.0
2025-07-24,1785.5
2025-07-25,1811.0
2025-07-28,1650.5
2025-07-29,1690.5
2025-07-30,1740.0
2025-07-31,1654.5
2025-08-01,1624.0
2025-08-04,1675.5
2025-08-05,1708.0
2025-08-06,1732.5
2025-08-07,1744.0
2025-08-08,1734.0
2025-08-11,1759.5
2025-08-12,1812.0
2025-08-13,1737.0
2025-08-14,1707.0
2025-08-15,1729.5
2025-08-18,1702.0
2025-08-19,1708.5
2025-08-20,1678.0
2025-08-21,1664.0
2025-08-22,1678.5
2025-08-25,1736.0
2025-08-26,1681.0
2025-08-27,1669.5
2025-08-28,1672.5
2025-08-29,1643.0
2025-09-01,1594.5
2025-09-02,1596.5
2025-09-03,1594.0
2025-09-04,1581.5
2025-09-05,1646.5
2025-09-08,1620.0
2025-09-09,1597.5
2025-09-10,1603.0
2025-09-11,1630.0
2025-09-12,1625.5
2025-09-15,1688.5
2025-09-16,1735.0
2025-09-17,1734.5
2025-09-18,1709.0
2025-09-19,1738.5
2025-09-22,1718.0
2025-09-23,1717.5
2025-09-24,1730.0
2025-09-25,1760.0
2025-09-26,1692.5
2025-09-29,1647.0
2025-09-30,1623.0
2025-10-09,1654.0
2025-10-10,1666.5
2025-10-13,1642.5
2025-10-14,1654.5
2025-10-15,1642.0
2025-10-16,1672.5
2025-10-17,1676.0
2025-10-20,1710.0
2025-10-21,1672.0
2025-10-22,1709.5
2025-10-23,1768.0
2025-10-24,1757.5
2025-10-27,1779.5
2025-10-28,1747.5
2025-10-29,1801.0
2025-10-30,1786.5
2025-10-31,1777.0
2025-11-03,1771.5
2025-11-04,1729.0
2025-11-05,1753.0
2025-11-06,1776.5
2025-11-07,1756.5
2025-11-10,1743.5
2025-11-11,1685.0
2025-11-12,1689.5
2025-11-13,1686.0
2025-11-14,1669.5
2025-11-17,1710.0
2025-11-18,1649.5
2025-11-19,1639.0
2025-11-20,1633.5
2025-11-21,1614.5
2025-11-24,1632.5
2025-11-25,1643.0
2025-11-26,1619.0
2025-11-27,1607.0
2025-11-28,1574.5
2025-12-01,1619.5
2025-12-02,1629.5
2025-12-03,1624.5
2025-12-04,1651.5
2025-12-05,1585.0
2025-12-08,1537.0
2025-12-09,1514.0
2025-12-10,1527.0
2025-12-11,1491.5
2025-12-12,1475.0
2025-12-15,1503.5
2025-12-16,1514.5
2025-12-17,1530.5
2025-12-18,1603.5
2025-12-19,1597.5
2025-12-22,1607.0
2025-12-23,1599.0
2025-12-24,1601.5
2025-12-25,1589.0
2025-12-26,1572.0
2025-12-29,1566.0
2025-12-30,1560.0
2025-12-31,1499.0
2026-01-05,1443.5
2026-01-06,1430.0
2026-01-07,1500.0
