datetime,JM2405
2023-05-18,1350.0
2023-05-19,1300.0
2023-05-22,1273.0
2023-05-23,1278.0
2023-05-24,1258.0
2023-05-25,1221.0
2023-05-26,1231.5
2023-05-29,1217.0
2023-05-30,1200.0
2023-05-31,1199.0
2023-06-01,1220.5
2023-06-02,1226.0
2023-06-05,1217.0
2023-06-06,1224.5
2023-06-07,1220.0
2023-06-08,1215.5
2023-06-09,1240.0
2023-06-12,1229.0
2023-06-13,1270.5
2023-06-14,1276.5
2023-06-15,1303.5
2023-06-16,1328.0
2023-06-19,1306.5
2023-06-20,1298.0
2023-06-21,1290.5
2023-06-26,1238.0
2023-06-27,1269.0
2023-06-28,1265.0
2023-06-29,1266.0
2023-06-30,1282.5
2023-07-03,1274.5
2023-07-04,1261.0
2023-07-05,1255.0
2023-07-06,1275.0
2023-07-07,1260.0
2023-07-10,1264.5
2023-07-11,1288.0
2023-07-12,1307.0
2023-07-13,1308.5
2023-07-14,1326.5
2023-07-17,1294.0
2023-07-18,1344.5
2023-07-19,1344.5
2023-07-20,1370.0
2023-07-21,1356.0
2023-07-24,1338.0
2023-07-25,1343.0
2023-07-26,1365.0
2023-07-27,1347.5
2023-07-28,1343.5
2023-07-31,1350.0
2023-08-01,1368.0
2023-08-02,1370.0
2023-08-03,1330.0
2023-08-04,1332.5
2023-08-07,1327.0
2023-08-08,1311.0
2023-08-09,1328.0
2023-08-10,1326.5
2023-08-11,1350.5
2023-08-14,1323.5
2023-08-15,1339.0
2023-08-16,1313.5
2023-08-17,1341.5
2023-08-18,1346.5
2023-08-21,1366.0
2023-08-22,1405.0
2023-08-23,1429.5
2023-08-24,1421.0
2023-08-25,1431.0
2023-08-28,1420.0
2023-08-29,1397.0
2023-08-30,1440.0
2023-08-31,1463.0
2023-09-01,1537.0
2023-09-04,1564.0
2023-09-05,1606.5
2023-09-06,1616.0
2023-09-07,1606.0
2023-09-08,1554.0
2023-09-11,1629.0
2023-09-12,1656.0
2023-09-13,1618.0
2023-09-14,1658.5
2023-09-15,1667.0
2023-09-18,1722.0
2023-09-19,1704.0
2023-09-20,1755.0
2023-09-21,1671.5
2023-09-22,1692.0
2023-09-25,1671.0
2023-09-26,1629.0
2023-09-27,1640.5
2023-09-28,1689.5
2023-10-09,1681.0
2023-10-10,1587.0
2023-10-11,1568.0
2023-10-12,1580.5
2023-10-13,1576.0
2023-10-16,1638.5
2023-10-17,1631.0
2023-10-18,1589.5
2023-10-19,1587.0
2023-10-20,1586.0
2023-10-23,1557.5
2023-10-24,1610.0
2023-10-25,1702.5
2023-10-26,1704.5
2023-10-27,1719.0
2023-10-30,1734.0
2023-10-31,1711.0
2023-11-01,1721.5
2023-11-02,1698.0
2023-11-03,1778.5
2023-11-06,1808.0
2023-11-07,1832.5
2023-11-08,1886.0
2023-11-09,1869.5
2023-11-10,1878.5
2023-11-13,1853.0
2023-11-14,1859.0
2023-11-15,1866.0
2023-11-16,1982.0
2023-11-17,1952.5
2023-11-20,1983.0
2023-11-21,1940.0
2023-11-22,1942.5
2023-11-23,1952.5
2023-11-24,2053.5
2023-11-27,2142.5
2023-11-28,2076.0
2023-11-29,2042.5
2023-11-30,2050.0
2023-12-01,2087.0
2023-12-04,1968.0
2023-12-05,1920.0
2023-12-06,1948.0
2023-12-07,2037.0
2023-12-08,1990.5
2023-12-11,1956.0
2023-12-12,2022.0
2023-12-13,1898.5
2023-12-14,1881.0
2023-12-15,1907.5
2023-12-18,1885.5
2023-12-19,1886.5
2023-12-20,1907.5
2023-12-21,1953.5
2023-12-22,1968.5
2023-12-25,1950.5
2023-12-26,1943.0
2023-12-27,1913.0
2023-12-28,1879.0
2023-12-29,1887.5
2024-01-02,1930.0
2024-01-03,1973.0
2024-01-04,1885.5
2024-01-05,1846.0
2024-01-08,1786.5
2024-01-09,1786.5
2024-01-10,1759.0
2024-01-11,1803.5
2024-01-12,1788.5
2024-01-15,1796.0
2024-01-16,1798.5
2024-01-17,1776.5
2024-01-18,1816.5
2024-01-19,1822.5
2024-01-22,1812.5
2024-01-23,1826.5
2024-01-24,1853.0
2024-01-25,1835.0
2024-01-26,1778.5
2024-01-29,1780.0
2024-01-30,1751.0
2024-01-31,1704.0
2024-02-01,1726.0
2024-02-02,1708.5
2024-02-05,1708.0
2024-02-06,1715.0
2024-02-07,1700.5
2024-02-08,1746.0
2024-02-19,1647.0
2024-02-20,1646.5
2024-02-21,1748.5
2024-02-22,1793.5
2024-02-23,1766.0
2024-02-26,1702.5
2024-02-27,1770.0
2024-02-28,1772.5
2024-02-29,1791.5
2024-03-01,1780.5
2024-03-04,1789.5
2024-03-05,1740.0
2024-03-06,1720.0
2024-03-07,1729.0
2024-03-08,1729.5
2024-03-11,1670.5
2024-03-12,1703.0
2024-03-13,1637.5
2024-03-14,1599.0
2024-03-15,1564.5
2024-03-18,1591.0
2024-03-19,1630.5
2024-03-20,1638.5
2024-03-21,1656.5
2024-03-22,1665.5
2024-03-25,1647.5
2024-03-26,1611.0
2024-03-27,1569.0
2024-03-28,1570.5
2024-03-29,1487.5
2024-04-01,1471.5
2024-04-02,1443.0
2024-04-03,1471.5
2024-04-08,1493.5
2024-04-09,1508.0
2024-04-10,1507.5
2024-04-11,1536.5
2024-04-12,1592.0
2024-04-15,1609.0
2024-04-16,1609.0
2024-04-17,1674.5
2024-04-18,1698.5
2024-04-19,1683.0
2024-04-22,1648.0
2024-04-23,1600.5
2024-04-24,1630.5
2024-04-25,1640.0
2024-04-26,1637.5
2024-04-29,1619.5
2024-04-30,1516.0
2024-05-06,1525.0
2024-05-07,1535.0
2024-05-08,1504.5
2024-05-09,1476.0
2024-05-10,1480.0
2024-05-13,1369.5
2024-05-14,1350.0
2024-05-15,1360.0
2024-05-16,1370.0
2024-05-17,1420.0
