datetime,L2309
2022-09-16,8002.0
2022-09-19,7886.0
2022-09-20,8164.0
2022-09-21,7901.0
2022-09-22,7949.0
2022-09-23,7902.0
2022-09-26,7750.0
2022-09-27,7785.0
2022-09-28,7769.0
2022-09-29,7909.0
2022-09-30,7890.0
2022-10-10,8158.0
2022-10-11,8000.0
2022-10-12,7902.0
2022-10-13,7706.0
2022-10-14,7716.0
2022-10-17,7613.0
2022-10-18,7592.0
2022-10-19,7540.0
2022-10-20,7550.0
2022-10-21,7519.0
2022-10-24,7540.0
2022-10-25,7467.0
2022-10-26,7469.0
2022-10-27,7469.0
2022-10-28,7488.0
2022-10-31,7313.0
2022-11-01,7497.0
2022-11-02,7569.0
2022-11-03,7545.0
2022-11-04,7660.0
2022-11-07,7618.0
2022-11-08,7570.0
2022-11-09,7637.0
2022-11-10,7549.0
2022-11-11,7679.0
2022-11-14,7764.0
2022-11-15,7772.0
2022-11-16,7807.0
2022-11-17,7777.0
2022-11-18,7880.0
2022-11-21,7720.0
2022-11-22,7709.0
2022-11-23,7751.0
2022-11-24,7820.0
2022-11-25,7867.0
2022-11-28,7793.0
2022-11-29,7876.0
2022-11-30,7929.0
2022-12-01,7975.0
2022-12-02,8035.0
2022-12-05,8037.0
2022-12-06,8010.0
2022-12-07,7946.0
2022-12-08,7931.0
2022-12-09,8035.0
2022-12-12,8090.0
2022-12-13,8038.0
2022-12-14,8121.0
2022-12-15,8195.0
2022-12-16,8194.0
2022-12-19,8063.0
2022-12-20,8145.0
2022-12-21,8151.0
2022-12-22,8130.0
2022-12-23,7965.0
2022-12-26,8006.0
2022-12-27,8135.0
2022-12-28,8124.0
2022-12-29,7990.0
2022-12-30,8130.0
2023-01-03,8165.0
2023-01-04,8048.0
2023-01-05,7981.0
2023-01-06,8011.0
2023-01-09,7987.0
2023-01-10,7956.0
2023-01-11,8042.0
2023-01-12,8105.0
2023-01-13,8235.0
2023-01-16,8291.0
2023-01-17,8317.0
2023-01-18,8384.0
2023-01-19,8410.0
2023-01-20,8465.0
2023-01-30,8472.0
2023-01-31,8366.0
2023-02-01,8374.0
2023-02-02,8285.0
2023-02-03,8242.0
2023-02-06,8175.0
2023-02-07,8128.0
2023-02-08,8136.0
2023-02-09,8190.0
2023-02-10,8104.0
