d,c
2021-05-20,3332.0
2021-05-21,3316.0
2021-05-24,3313.0
2021-05-25,3316.0
2021-05-26,3297.0
2021-05-27,3257.0
2021-05-28,3307.0
2021-05-31,3303.0
2021-06-01,3338.0
2021-06-02,3380.0
2021-06-03,3406.0
2021-06-04,3358.0
2021-06-07,3416.0
2021-06-08,3417.0
2021-06-09,3401.0
2021-06-10,3417.0
2021-06-11,3440.0
2021-06-15,3334.0
2021-06-16,3294.0
2021-06-17,3254.0
2021-06-18,3181.0
2021-06-21,3206.0
2021-06-22,3212.0
2021-06-23,3210.0
2021-06-24,3208.0
2021-06-25,3211.0
2021-06-28,3245.0
2021-06-29,3262.0
2021-06-30,3278.0
2021-07-01,3409.0
2021-07-02,3445.0
2021-07-05,3414.0
2021-07-06,3399.0
2021-07-07,3333.0
2021-07-08,3327.0
2021-07-09,3316.0
2021-07-12,3317.0
2021-07-13,3336.0
2021-07-14,3339.0
2021-07-15,3372.0
2021-07-16,3379.0
2021-07-19,3420.0
2021-07-20,3414.0
2021-07-21,3421.0
2021-07-22,3382.0
2021-07-23,3320.0
2021-07-26,3279.0
2021-07-27,3322.0
2021-07-28,3316.0
2021-07-29,3354.0
2021-07-30,3369.0
2021-08-02,3349.0
2021-08-03,3359.0
2021-08-04,3315.0
2021-08-05,3301.0
2021-08-06,3313.0
2021-08-09,3335.0
2021-08-10,3348.0
2021-08-11,3341.0
2021-08-12,3279.0
2021-08-13,3365.0
2021-08-16,3400.0
2021-08-17,3405.0
2021-08-18,3388.0
2021-08-19,3349.0
2021-08-20,3322.0
2021-08-23,3270.0
2021-08-24,3272.0
2021-08-25,3288.0
2021-08-26,3297.0
2021-08-27,3287.0
2021-08-30,3299.0
2021-08-31,3286.0
2021-09-01,3258.0
2021-09-02,3257.0
2021-09-03,3232.0
2021-09-06,3239.0
2021-09-07,3278.0
2021-09-08,3239.0
2021-09-09,3218.0
2021-09-10,3254.0
2021-09-13,3268.0
2021-09-14,3274.0
2021-09-15,3260.0
2021-09-16,3248.0
2021-09-17,3260.0
2021-09-22,3223.0
2021-09-23,3239.0
2021-09-24,3229.0
2021-09-27,3258.0
2021-09-28,3227.0
2021-09-29,3204.0
2021-09-30,3190.0
2021-10-08,3094.0
2021-10-11,3090.0
2021-10-12,3091.0
2021-10-13,3037.0
2021-10-14,3034.0
2021-10-15,3039.0
2021-10-18,3027.0
2021-10-19,3017.0
2021-10-20,3024.0
2021-10-21,3027.0
2021-10-22,3045.0
2021-10-25,3054.0
2021-10-26,3039.0
2021-10-27,3029.0
2021-10-28,3055.0
2021-10-29,3045.0
2021-11-01,3008.0
2021-11-02,3003.0
2021-11-03,2961.0
2021-11-04,2969.0
2021-11-05,2906.0
2021-11-08,2928.0
2021-11-09,2926.0
2021-11-10,2955.0
2021-11-11,2977.0
2021-11-12,2998.0
2021-11-15,3008.0
2021-11-16,3033.0
2021-11-17,3023.0
2021-11-18,3048.0
2021-11-19,3054.0
2021-11-22,3045.0
2021-11-23,3086.0
2021-11-24,3097.0
2021-11-25,3075.0
2021-11-26,3067.0
2021-11-29,3081.0
2021-11-30,3045.0
2021-12-01,3049.0
2021-12-02,3051.0
2021-12-03,3105.0
2021-12-06,3080.0
2021-12-07,3043.0
2021-12-08,3037.0
2021-12-09,3096.0
2021-12-10,3124.0
2021-12-13,3124.0
2021-12-14,3073.0
2021-12-15,3124.0
2021-12-16,3168.0
2021-12-17,3174.0
2021-12-20,3159.0
2021-12-21,3153.0
2021-12-22,3179.0
2021-12-23,3246.0
2021-12-24,3263.0
2021-12-27,3230.0
2021-12-28,3258.0
2021-12-29,3226.0
2021-12-30,3232.0
2021-12-31,3189.0
2022-01-04,3250.0
2022-01-05,3293.0
2022-01-06,3215.0
2022-01-07,3225.0
2022-01-10,3231.0
2022-01-11,3229.0
2022-01-12,3247.0
2022-01-13,3243.0
2022-01-14,3186.0
2022-01-17,3170.0
2022-01-18,3156.0
2022-01-19,3177.0
2022-01-20,3243.0
2022-01-21,3270.0
2022-01-24,3253.0
2022-01-25,3248.0
2022-01-26,3260.0
2022-01-27,3338.0
2022-01-28,3378.0
2022-02-07,3636.0
2022-02-08,3695.0
2022-02-09,3748.0
2022-02-10,3814.0
2022-02-11,3745.0
2022-02-14,3724.0
2022-02-15,3687.0
2022-02-16,3708.0
2022-02-17,3769.0
2022-02-18,3781.0
2022-02-21,3803.0
2022-02-22,3877.0
2022-02-23,3906.0
2022-02-24,4062.0
2022-02-25,3918.0
2022-02-28,3862.0
2022-03-01,3911.0
2022-03-02,3903.0
2022-03-03,3895.0
2022-03-04,3902.0
2022-03-07,4089.0
2022-03-08,4153.0
2022-03-09,4222.0
2022-03-10,4130.0
2022-03-11,4186.0
2022-03-14,4219.0
2022-03-15,4121.0
2022-03-16,4194.0
2022-03-17,4176.0
2022-03-18,4269.0
2022-03-21,4277.0
2022-03-22,4395.0
2022-03-23,4407.0
2022-03-24,4388.0
2022-03-25,4347.0
2022-03-28,4260.0
2022-03-29,4187.0
2022-03-30,4105.0
2022-03-31,4106.0
2022-04-01,3883.0
2022-04-06,3925.0
2022-04-07,3904.0
2022-04-08,3971.0
2022-04-11,4040.0
2022-04-12,4023.0
2022-04-13,4023.0
2022-04-14,4056.0
2022-04-15,4043.0
2022-04-18,4055.0
2022-04-19,4133.0
2022-04-20,4183.0
2022-04-21,4249.0
2022-04-22,4188.0
2022-04-25,4087.0
2022-04-26,4101.0
2022-04-27,4111.0
2022-04-28,4166.0
2022-04-29,4180.0
2022-05-05,4159.0
2022-05-06,4113.0
2022-05-09,4015.0
2022-05-10,4039.0
2022-05-11,4030.0
2022-05-12,3995.0
2022-05-13,4056.0
