datetime,MA2005
2019-05-20,2492.0
2019-05-21,2514.0
2019-05-22,2494.0
2019-05-23,2451.0
2019-05-24,2418.0
2019-05-27,2420.0
2019-05-28,2421.0
2019-05-29,2466.0
2019-05-30,2429.0
2019-05-31,2406.0
2019-06-03,2309.0
2019-06-04,2334.0
2019-06-05,2306.0
2019-06-06,2309.0
2019-06-10,2332.0
2019-06-11,2344.0
2019-06-12,2303.0
2019-06-13,2340.0
2019-06-14,2331.0
2019-06-17,2331.0
2019-06-18,2339.0
2019-06-19,2363.0
2019-06-20,2386.0
2019-06-21,2378.0
2019-06-24,2400.0
2019-06-25,2380.0
2019-06-26,2392.0
2019-06-27,2350.0
2019-06-28,2305.0
2019-07-01,2310.0
2019-07-02,2328.0
2019-07-03,2331.0
2019-07-04,2322.0
2019-07-05,2328.0
2019-07-08,2330.0
2019-07-09,2288.0
2019-07-10,2298.0
2019-07-11,2285.0
2019-07-12,2269.0
2019-07-15,2258.0
2019-07-16,2218.0
2019-07-18,2216.0
2019-07-19,2233.0
2019-07-22,2216.0
2019-07-23,2192.0
2019-07-24,2197.0
2019-07-25,2199.0
2019-07-26,2203.0
2019-07-29,2202.0
2019-07-30,2219.0
2019-07-31,2219.0
2019-08-01,2218.0
2019-08-02,2222.0
2019-08-05,2182.0
2019-08-06,2197.0
2019-08-07,2211.0
2019-08-08,2228.0
2019-08-09,2240.0
2019-08-12,2243.0
2019-08-13,2254.0
2019-08-14,2250.0
2019-08-15,2232.0
2019-08-16,2200.0
2019-08-19,2216.0
2019-08-20,2202.0
2019-08-21,2151.0
2019-08-22,2160.0
2019-08-23,2174.0
2019-08-26,2154.0
2019-08-27,2131.0
2019-08-28,2170.0
2019-08-29,2149.0
2019-08-30,2152.0
2019-09-02,2191.0
2019-09-03,2192.0
2019-09-04,2210.0
2019-09-05,2184.0
2019-09-06,2199.0
2019-09-09,2244.0
2019-09-10,2239.0
2019-09-11,2233.0
2019-09-12,2234.0
2019-09-16,2315.0
2019-09-17,2358.0
2019-09-18,2273.0
2019-09-19,2260.0
2019-09-20,2266.0
2019-09-23,2303.0
2019-09-24,2335.0
2019-09-25,2345.0
2019-09-26,2326.0
2019-09-27,2296.0
2019-09-30,2335.0
2019-10-08,2327.0
2019-10-09,2313.0
2019-10-10,2289.0
2019-10-11,2268.0
2019-10-14,2259.0
2019-10-15,2258.0
2019-10-16,2200.0
2019-10-17,2195.0
2019-10-18,2205.0
2019-10-21,2165.0
2019-10-22,2180.0
2019-10-23,2177.0
2019-10-24,2183.0
2019-10-25,2148.0
2019-10-28,2153.0
2019-10-29,2161.0
2019-10-30,2167.0
2019-10-31,2165.0
2019-11-01,2146.0
2019-11-04,2154.0
2019-11-05,2185.0
2019-11-06,2152.0
2019-11-07,2133.0
2019-11-08,2095.0
2019-11-11,2064.0
2019-11-12,2071.0
2019-11-13,2069.0
2019-11-14,2061.0
2019-11-15,2073.0
2019-11-18,2082.0
2019-11-19,2048.0
2019-11-20,2030.0
2019-11-21,2052.0
2019-11-22,2053.0
2019-11-25,2086.0
2019-11-26,2076.0
2019-11-27,2073.0
2019-11-28,2062.0
2019-11-29,2058.0
2019-12-02,2014.0
2019-12-03,2057.0
2019-12-04,2062.0
2019-12-05,2089.0
2019-12-06,2088.0
2019-12-09,2119.0
2019-12-10,2111.0
2019-12-11,2086.0
2019-12-12,2126.0
2019-12-13,2117.0
2019-12-16,2125.0
2019-12-17,2157.0
2019-12-18,2108.0
2019-12-19,2128.0
2019-12-20,2149.0
2019-12-23,2158.0
2019-12-24,2144.0
2019-12-25,2164.0
2019-12-26,2161.0
2019-12-27,2196.0
2019-12-30,2223.0
2019-12-31,2184.0
2020-01-02,2197.0
2020-01-03,2238.0
2020-01-06,2297.0
2020-01-07,2283.0
2020-01-08,2338.0
2020-01-09,2239.0
2020-01-10,2249.0
2020-01-13,2352.0
2020-01-14,2371.0
2020-01-15,2351.0
2020-01-16,2320.0
2020-01-17,2284.0
2020-01-20,2341.0
2020-01-21,2293.0
2020-01-22,2254.0
2020-01-23,2251.0
2020-02-03,2099.0
2020-02-04,2053.0
2020-02-05,2088.0
2020-02-06,2112.0
