datetime,OI2301
2022-01-18,10913.0
2022-01-19,10756.0
2022-01-20,10955.0
2022-01-21,11084.0
2022-01-24,10970.0
2022-01-25,10883.0
2022-01-26,10980.0
2022-01-27,11047.0
2022-01-28,11208.0
2022-02-07,11436.0
2022-02-08,11404.0
2022-02-09,11177.0
2022-02-10,11100.0
2022-02-11,11083.0
2022-02-14,11157.0
2022-02-15,11130.0
2022-02-16,11135.0
2022-02-17,11065.0
2022-02-18,11136.0
2022-02-21,11376.0
2022-02-22,11417.0
2022-02-23,11505.0
2022-02-24,12200.0
2022-02-25,11959.0
2022-02-28,11788.0
2022-03-01,12015.0
2022-03-02,12023.0
2022-03-03,12241.0
2022-03-04,11934.0
2022-03-07,12210.0
2022-03-08,12305.0
2022-03-09,12508.0
2022-03-10,12012.0
2022-03-11,11900.0
2022-03-14,11680.0
2022-03-15,11507.0
2022-03-16,11794.0
2022-03-17,11489.0
2022-03-18,11793.0
2022-03-21,11782.0
2022-03-22,11756.0
2022-03-23,11730.0
2022-03-24,11909.0
2022-03-25,11915.0
2022-03-28,11905.0
2022-03-29,11864.0
2022-03-30,11720.0
2022-03-31,11796.0
2022-04-01,11605.0
2022-04-06,12058.0
2022-04-07,11985.0
2022-04-08,12063.0
2022-04-11,11959.0
2022-04-12,12300.0
2022-04-13,12334.0
2022-04-14,12536.0
2022-04-15,12752.0
2022-04-18,12668.0
2022-04-19,12796.0
2022-04-20,12742.0
2022-04-21,12875.0
2022-04-22,12911.0
2022-04-25,12863.0
2022-04-26,13062.0
2022-04-27,13207.0
2022-04-28,13433.0
2022-04-29,13539.0
2022-05-05,13162.0
2022-05-06,13061.0
2022-05-09,13056.0
2022-05-10,13048.0
2022-05-11,13028.0
2022-05-12,13018.0
2022-05-13,13323.0
2022-05-16,13196.0
2022-05-17,13054.0
2022-05-18,13042.0
2022-05-19,13108.0
2022-05-20,13155.0
2022-05-23,13134.0
2022-05-24,13195.0
2022-05-25,13276.0
2022-05-26,13240.0
2022-05-27,13548.0
2022-05-30,13519.0
2022-05-31,13652.0
2022-06-01,13622.0
2022-06-02,13723.0
2022-06-06,13700.0
2022-06-07,13786.0
2022-06-08,13950.0
2022-06-09,13748.0
2022-06-10,13914.0
2022-06-13,13760.0
2022-06-14,13853.0
2022-06-15,13473.0
2022-06-16,13215.0
2022-06-17,13073.0
2022-06-20,12833.0
2022-06-21,12552.0
2022-06-22,12170.0
2022-06-23,11953.0
2022-06-24,11187.0
2022-06-27,11395.0
2022-06-28,11696.0
2022-06-29,11598.0
2022-06-30,11548.0
2022-07-01,11136.0
2022-07-04,11084.0
2022-07-05,10605.0
2022-07-06,10145.0
2022-07-07,9985.0
2022-07-08,10311.0
2022-07-11,10391.0
2022-07-12,10279.0
2022-07-13,10070.0
2022-07-14,10278.0
2022-07-15,10206.0
2022-07-18,10535.0
2022-07-19,10300.0
2022-07-20,10348.0
2022-07-21,10306.0
2022-07-22,10297.0
2022-07-25,10336.0
2022-07-26,10586.0
2022-07-27,10614.0
2022-07-28,11078.0
2022-07-29,11283.0
2022-08-01,11141.0
2022-08-02,11102.0
2022-08-03,11114.0
2022-08-04,10679.0
2022-08-05,10864.0
2022-08-08,11092.0
2022-08-09,11098.0
2022-08-10,11116.0
2022-08-11,11291.0
2022-08-12,11531.0
2022-08-15,11289.0
2022-08-16,11076.0
2022-08-17,11109.0
2022-08-18,10849.0
2022-08-19,10877.0
2022-08-22,11005.0
2022-08-23,11032.0
2022-08-24,11406.0
2022-08-25,11338.0
2022-08-26,11198.0
2022-08-29,11085.0
2022-08-30,11017.0
2022-08-31,11108.0
2022-09-01,10670.0
2022-09-02,10507.0
2022-09-05,10711.0
2022-09-06,10732.0
2022-09-07,10331.0
2022-09-08,10278.0
2022-09-09,10361.0
2022-09-13,10566.0
2022-09-14,10504.0
2022-09-15,10400.0
2022-09-16,10349.0
2022-09-19,10269.0
2022-09-20,10281.0
2022-09-21,10464.0
2022-09-22,10542.0
2022-09-23,10590.0
2022-09-26,10278.0
2022-09-27,10562.0
2022-09-28,10746.0
2022-09-29,10850.0
2022-09-30,11050.0
2022-10-10,11078.0
2022-10-11,11063.0
2022-10-12,11156.0
2022-10-13,11254.0
2022-10-14,11281.0
2022-10-17,11025.0
2022-10-18,11188.0
2022-10-19,11358.0
2022-10-20,11246.0
2022-10-21,11145.0
2022-10-24,11000.0
2022-10-25,11060.0
2022-10-26,11175.0
2022-10-27,11141.0
2022-10-28,10956.0
2022-10-31,10776.0
2022-11-01,11163.0
2022-11-02,11258.0
2022-11-03,11219.0
2022-11-04,11531.0
2022-11-07,11580.0
2022-11-08,11635.0
2022-11-09,11630.0
2022-11-10,11777.0
2022-11-11,11730.0
2022-11-14,11682.0
2022-11-15,11851.0
2022-11-16,11707.0
2022-11-17,11834.0
2022-11-18,11645.0
2022-11-21,11226.0
2022-11-22,11142.0
2022-11-23,11089.0
2022-11-24,11162.0
2022-11-25,11003.0
2022-11-28,11095.0
2022-11-29,11169.0
2022-11-30,11281.0
2022-12-01,11090.0
2022-12-02,11121.0
2022-12-05,11031.0
2022-12-06,11030.0
2022-12-07,10936.0
2022-12-08,11059.0
2022-12-09,11190.0
2022-12-12,10954.0
2022-12-13,11174.0
2022-12-14,11199.0
2022-12-15,11218.0
2022-12-16,11031.0
2022-12-19,10947.0
2022-12-20,10939.0
2022-12-21,10911.0
2022-12-22,10925.0
2022-12-23,11008.0
2022-12-26,11082.0
2022-12-27,11415.0
2022-12-28,11475.0
2022-12-29,11502.0
2022-12-30,11241.0
2023-01-03,11432.0
2023-01-04,11328.0
2023-01-05,11136.0
2023-01-06,10974.0
2023-01-09,11120.0
2023-01-10,11290.0
2023-01-11,11000.0
2023-01-12,11000.0
2023-01-13,11159.0
2023-01-16,11920.0
