d,c
2018-09-17,5102.0
2018-09-18,5042.0
2018-09-19,5000.0
2018-09-20,4956.0
2018-09-21,4880.0
2018-09-25,4898.0
2018-09-26,4926.0
2018-09-27,4924.0
2018-09-28,4904.0
2018-10-08,4984.0
2018-10-09,5042.0
2018-10-10,5056.0
2018-10-11,4992.0
2018-10-12,5050.0
2018-10-15,5052.0
2018-10-16,5060.0
2018-10-17,5078.0
2018-10-18,5004.0
2018-10-19,5002.0
2018-10-22,5044.0
2018-10-23,5036.0
2018-10-24,4982.0
2018-10-25,4966.0
2018-10-26,4968.0
2018-10-29,4972.0
2018-10-30,4970.0
2018-10-31,4976.0
2018-11-01,4954.0
2018-11-02,4884.0
2018-11-05,4920.0
2018-11-06,4904.0
2018-11-07,4894.0
2018-11-08,4852.0
2018-11-09,4792.0
2018-11-12,4808.0
2018-11-13,4782.0
2018-11-14,4684.0
2018-11-15,4668.0
2018-11-16,4692.0
2018-11-19,4634.0
2018-11-20,4596.0
2018-11-21,4558.0
2018-11-22,4582.0
2018-11-23,4596.0
2018-11-26,4606.0
2018-11-27,4554.0
2018-11-28,4586.0
2018-11-29,4596.0
2018-11-30,4622.0
2018-12-03,4612.0
2018-12-04,4616.0
2018-12-05,4614.0
2018-12-06,4634.0
2018-12-07,4608.0
2018-12-10,4636.0
2018-12-11,4614.0
2018-12-12,4614.0
2018-12-13,4626.0
2018-12-14,4612.0
2018-12-17,4604.0
2018-12-18,4630.0
2018-12-19,4678.0
2018-12-20,4662.0
2018-12-21,4658.0
2018-12-24,4622.0
2018-12-25,4560.0
2018-12-26,4570.0
2018-12-27,4580.0
2018-12-28,4572.0
2019-01-02,4670.0
2019-01-03,4700.0
2019-01-04,4696.0
2019-01-07,4690.0
2019-01-08,4716.0
2019-01-09,4706.0
2019-01-10,4670.0
2019-01-11,4668.0
2019-01-14,4678.0
2019-01-15,4648.0
2019-01-16,4644.0
2019-01-17,4614.0
2019-01-18,4714.0
2019-01-21,4796.0
2019-01-22,4778.0
2019-01-23,4794.0
2019-01-24,4816.0
2019-01-25,4818.0
2019-01-28,4882.0
2019-01-29,4868.0
2019-01-30,4850.0
2019-01-31,4824.0
2019-02-01,4826.0
2019-02-11,4818.0
2019-02-12,4810.0
2019-02-13,4822.0
2019-02-14,4818.0
2019-02-15,4802.0
2019-02-18,4800.0
2019-02-19,4870.0
2019-02-20,4796.0
2019-02-21,4794.0
2019-02-22,4798.0
2019-02-25,4772.0
2019-02-26,4708.0
2019-02-27,4686.0
2019-02-28,4682.0
2019-03-01,4754.0
2019-03-04,4796.0
2019-03-05,4788.0
2019-03-06,4800.0
2019-03-07,4772.0
2019-03-08,4770.0
2019-03-11,4748.0
2019-03-12,4756.0
2019-03-13,4714.0
2019-03-14,4704.0
2019-03-15,4694.0
2019-03-18,4722.0
2019-03-19,4718.0
2019-03-20,4758.0
2019-03-21,4762.0
2019-03-22,4752.0
2019-03-25,4690.0
2019-03-26,4670.0
2019-03-27,4662.0
2019-03-28,4620.0
2019-03-29,4594.0
2019-04-01,4620.0
2019-04-02,4654.0
2019-04-03,4694.0
2019-04-04,4714.0
2019-04-08,4710.0
2019-04-09,4754.0
2019-04-10,4692.0
2019-04-11,4672.0
2019-04-12,4702.0
