datetime,PF2509
2024-09-18,6688.0
2024-09-19,6758.0
2024-09-20,6746.0
2024-09-25,6900.0
2024-09-26,6762.0
2024-09-27,6822.0
2024-09-30,7072.0
2024-10-08,7276.0
2024-10-09,7218.0
2024-10-10,7166.0
2024-10-11,7146.0
2024-10-15,7004.0
2024-10-16,6958.0
2024-10-17,6946.0
2024-10-18,6934.0
2024-10-21,6902.0
2024-10-24,6950.0
2024-10-25,6920.0
2024-10-28,6928.0
2024-10-29,6844.0
2024-10-30,6848.0
2024-10-31,6906.0
2024-11-01,6912.0
2024-11-04,6894.0
2024-11-05,6910.0
2024-11-06,6820.0
2024-11-07,6944.0
2024-11-08,6960.0
2024-11-11,6938.0
2024-11-12,6910.0
2024-11-13,6906.0
2024-11-14,6918.0
2024-11-15,6880.0
2024-11-18,6876.0
2024-11-19,6880.0
2024-11-20,6922.0
2024-11-21,6896.0
2024-11-22,6894.0
2024-11-25,6886.0
2024-11-26,6862.0
2024-11-27,6860.0
2024-11-28,6832.0
2024-11-29,6882.0
2024-12-02,6928.0
2024-12-03,6882.0
2024-12-04,6892.0
2024-12-05,6822.0
2024-12-06,6856.0
2024-12-09,6792.0
2024-12-10,6864.0
2024-12-11,6882.0
2024-12-12,6918.0
2024-12-13,6944.0
2024-12-16,6998.0
2024-12-17,7022.0
2024-12-18,6984.0
2024-12-19,6972.0
2024-12-20,6938.0
2024-12-24,6934.0
2024-12-25,6900.0
2024-12-26,6890.0
2024-12-27,6868.0
2024-12-30,6898.0
2024-12-31,6892.0
2025-01-02,6958.0
2025-01-03,6910.0
2025-01-06,6972.0
2025-01-07,6880.0
2025-01-08,6872.0
2025-01-09,6974.0
2025-01-10,6984.0
2025-01-13,7068.0
2025-01-14,7072.0
2025-01-15,7126.0
2025-01-16,7182.0
2025-01-17,7162.0
2025-01-20,7068.0
2025-01-21,7100.0
2025-01-22,7062.0
2025-01-23,6980.0
2025-01-24,6950.0
2025-01-27,6924.0
2025-02-05,6908.0
2025-02-06,6930.0
2025-02-07,7008.0
2025-02-10,7052.0
2025-02-11,7078.0
2025-02-12,7080.0
2025-02-13,7000.0
2025-02-14,7034.0
2025-02-17,7040.0
2025-02-18,7056.0
2025-02-19,7024.0
2025-02-20,7024.0
2025-02-21,6986.0
2025-02-24,6966.0
2025-02-25,6944.0
2025-02-26,6888.0
2025-02-27,6894.0
2025-02-28,6886.0
2025-03-03,6900.0
2025-03-04,6830.0
2025-03-05,6806.0
2025-03-06,6756.0
2025-03-07,6760.0
2025-03-10,6702.0
2025-03-11,6656.0
2025-03-12,6606.0
2025-03-13,6652.0
2025-03-14,6722.0
2025-03-17,6702.0
2025-03-18,6712.0
2025-03-19,6690.0
2025-03-20,6678.0
2025-03-21,6666.0
2025-03-24,6682.0
2025-03-25,6650.0
2025-03-26,6720.0
2025-03-27,6728.0
2025-03-28,6708.0
2025-03-31,6656.0
2025-04-01,6716.0
2025-04-02,6684.0
2025-04-03,6560.0
2025-04-07,6208.0
2025-04-08,5984.0
2025-04-09,5824.0
2025-04-10,6104.0
2025-04-11,6120.0
2025-04-14,6032.0
2025-04-15,5980.0
2025-04-16,5882.0
2025-04-17,5938.0
2025-04-18,5964.0
2025-04-21,6002.0
2025-04-22,5962.0
2025-04-23,6070.0
2025-04-24,6012.0
2025-04-25,6026.0
2025-04-28,6116.0
2025-04-29,6088.0
2025-04-30,6078.0
2025-05-06,5998.0
2025-05-07,6110.0
2025-05-08,6200.0
2025-05-09,6226.0
2025-05-12,6352.0
2025-05-13,6414.0
2025-05-14,6540.0
2025-05-15,6484.0
2025-05-16,6466.0
2025-05-19,6474.0
2025-05-20,6438.0
2025-05-21,6486.0
2025-05-22,6406.0
2025-05-23,6408.0
2025-05-26,6402.0
2025-05-27,6406.0
2025-05-28,6332.0
2025-05-29,6448.0
2025-05-30,6348.0
2025-06-03,6290.0
2025-06-04,6330.0
2025-06-05,6282.0
2025-06-06,6300.0
2025-06-09,6250.0
2025-06-10,6256.0
2025-06-11,6276.0
2025-06-12,6260.0
2025-06-13,6432.0
2025-06-16,6442.0
2025-06-17,6462.0
2025-06-18,6612.0
2025-06-19,6696.0
2025-06-20,6702.0
2025-06-23,6724.0
2025-06-24,6486.0
2025-06-25,6490.0
2025-06-26,6456.0
2025-06-27,6446.0
2025-06-30,6464.0
2025-07-01,6482.0
2025-07-02,6502.0
2025-07-03,6444.0
2025-07-04,6398.0
2025-07-07,6398.0
2025-07-08,6398.0
2025-07-09,6418.0
2025-07-10,6440.0
2025-07-11,6388.0
2025-07-14,6436.0
2025-07-15,6368.0
2025-07-16,6356.0
2025-07-17,6360.0
2025-07-18,6372.0
2025-07-21,6432.0
2025-07-22,6470.0
2025-07-23,6432.0
2025-07-24,6520.0
2025-07-25,6606.0
2025-07-28,6482.0
2025-07-29,6500.0
2025-07-30,6500.0
2025-07-31,6464.0
2025-08-01,6382.0
2025-08-04,6348.0
2025-08-05,6322.0
2025-08-06,6350.0
2025-08-07,6316.0
2025-08-08,6318.0
2025-08-11,6344.0
2025-08-12,6358.0
2025-08-13,6340.0
2025-08-14,6276.0
2025-08-15,6318.0
2025-08-18,6368.0
2025-08-19,6344.0
2025-08-20,6420.0
2025-08-21,6520.0
2025-08-22,6506.0
2025-08-25,6486.0
2025-08-26,6492.0
2025-08-27,6468.0
2025-08-28,6412.0
2025-08-29,6380.0
2025-09-01,6380.0
2025-09-02,6360.0
2025-09-03,6350.0
2025-09-04,6254.0
2025-09-05,6250.0
