datetime,PP2609
2025-09-15,6967.0
2025-09-16,6977.0
2025-09-17,6984.0
2025-09-18,6931.0
2025-09-19,6928.0
2025-09-22,6912.0
2025-09-23,6888.0
2025-09-24,6910.0
2025-09-25,6914.0
2025-09-26,6908.0
2025-09-29,6914.0
2025-09-30,6880.0
2025-10-09,6807.0
2025-10-10,6782.0
2025-10-13,6746.0
2025-10-14,6680.0
2025-10-15,6672.0
2025-10-16,6691.0
2025-10-17,6633.0
2025-10-20,6650.0
2025-10-21,6647.0
2025-10-22,6680.0
2025-10-23,6734.0
2025-10-24,6728.0
2025-10-27,6770.0
2025-10-28,6737.0
2025-10-29,6762.0
2025-10-30,6729.0
2025-10-31,6693.0
2025-11-03,6692.0
2025-11-04,6689.0
2025-11-05,6638.0
2025-11-06,6622.0
2025-11-07,6615.0
2025-11-10,6615.0
2025-11-11,6590.0
2025-11-12,6610.0
2025-11-13,6612.0
2025-11-14,6613.0
2025-11-17,6606.0
2025-11-18,6546.0
2025-11-19,6564.0
2025-11-20,6546.0
2025-11-21,6517.0
2025-11-24,6519.0
2025-11-25,6478.0
2025-11-26,6430.0
2025-11-27,6435.0
2025-11-28,6504.0
2025-12-01,6513.0
2025-12-02,6526.0
2025-12-03,6503.0
2025-12-04,6482.0
2025-12-05,6420.0
2025-12-08,6409.0
2025-12-09,6322.0
2025-12-10,6283.0
2025-12-11,6280.0
2025-12-12,6211.0
2025-12-15,6277.0
2025-12-16,6291.0
2025-12-17,6287.0
2025-12-18,6303.0
2025-12-19,6240.0
2025-12-22,6161.0
2025-12-23,6196.0
2025-12-24,6300.0
2025-12-25,6285.0
2025-12-26,6317.0
2025-12-29,6303.0
2025-12-30,6348.0
2025-12-31,6368.0
2026-01-05,6355.0
2026-01-06,6459.0
2026-01-07,6540.0
2026-01-08,6536.0
2026-01-09,6563.0
2026-01-12,6607.0
2026-01-13,6585.0
2026-01-14,6633.0
2026-01-15,6627.0
2026-01-16,6534.0
2026-01-19,6515.0
2026-01-20,6492.0
2026-01-21,6519.0
2026-01-22,6649.0
2026-01-23,6688.0
2026-01-26,6778.0
2026-01-27,6745.0
2026-01-28,6814.0
2026-01-29,6902.0
2026-01-30,6857.0
2026-02-02,6740.0
2026-02-03,6757.0
2026-02-04,6832.0
2026-02-05,6710.0
2026-02-06,6723.0
2026-02-09,6661.0
2026-02-10,6707.0
2026-02-11,6721.0
2026-02-12,6674.0
2026-02-13,6593.0
2026-02-24,6767.0
2026-02-25,6743.0
2026-02-26,6692.0
2026-02-27,6627.0
2026-03-02,7020.0
2026-03-03,7169.0
2026-03-04,7226.0
2026-03-05,7181.0
2026-03-06,7390.0
2026-03-09,7685.0
2026-03-10,7325.0
2026-03-11,7646.0
2026-03-12,7751.0
2026-03-13,8068.0
2026-03-16,8306.0
2026-03-17,8179.0
2026-03-18,8156.0
2026-03-19,8645.0
2026-03-20,8586.0
2026-03-23,9294.0
2026-03-24,8780.0
2026-03-25,8592.0
2026-03-26,8809.0
2026-03-27,8980.0
2026-03-30,8931.0
2026-03-31,8737.0
2026-04-01,8321.0
2026-04-02,8663.0
2026-04-03,8807.0
2026-04-07,9206.0
2026-04-08,8419.0
2026-04-09,8530.0
2026-04-10,8369.0
2026-04-13,8460.0
2026-04-14,8368.0
2026-04-15,8363.0
2026-04-16,8446.0
2026-04-17,8429.0
2026-04-20,8228.0
2026-04-21,8220.0
2026-04-22,8278.0
2026-04-23,8349.0
2026-04-24,8394.0
2026-04-27,8553.0
2026-04-28,8752.0
2026-04-29,8771.0
2026-04-30,8822.0
2026-05-06,8960.0
2026-05-07,8589.0
2026-05-08,8557.0
2026-05-11,8685.0
2026-05-12,8811.0
2026-05-13,8818.0
2026-05-14,8686.0
2026-05-15,8749.0
2026-05-18,8940.0
2026-05-19,8944.0
2026-05-20,8920.0
2026-05-21,8890.0
2026-05-22,8792.0
2026-05-25,8577.0
2026-05-26,8476.0
2026-05-27,8446.0
2026-05-28,8491.0
2026-05-29,8484.0
2026-06-01,8612.0
2026-06-02,8651.0
2026-06-03,8795.0
2026-06-04,8683.0
2026-06-05,8714.0
2026-06-08,8989.0
