datetime,PR2601
2025-02-24,6452.0
2025-02-26,6420.0
2025-02-28,6436.0
2025-03-03,6416.0
2025-03-04,6302.0
2025-03-05,6308.0
2025-03-06,6250.0
2025-03-11,6202.0
2025-03-12,6182.0
2025-03-13,6230.0
2025-03-14,6248.0
2025-03-17,6208.0
2025-03-26,6292.0
2025-03-28,6298.0
2025-03-31,6222.0
2025-04-03,6220.0
2025-04-07,5846.0
2025-04-08,5736.0
2025-04-09,5622.0
2025-04-10,5722.0
2025-04-11,5736.0
2025-04-14,5706.0
2025-04-15,5620.0
2025-04-16,5552.0
2025-04-17,5642.0
2025-04-18,5620.0
2025-04-21,5644.0
2025-04-22,5606.0
2025-04-23,5632.0
2025-04-24,5608.0
2025-04-25,5624.0
2025-04-28,5654.0
2025-04-29,5626.0
2025-04-30,5604.0
2025-05-06,5576.0
2025-05-07,5642.0
2025-05-08,5664.0
2025-05-09,5686.0
2025-05-12,5808.0
2025-05-13,5890.0
2025-05-14,5984.0
2025-05-15,5932.0
2025-05-16,5938.0
2025-05-19,5916.0
2025-05-20,5890.0
2025-05-21,5944.0
2025-05-22,5894.0
2025-05-23,5834.0
2025-05-26,5842.0
2025-05-27,5824.0
2025-05-28,5758.0
2025-05-29,5842.0
2025-05-30,5770.0
2025-06-03,5766.0
2025-06-04,5774.0
2025-06-05,5730.0
2025-06-06,5762.0
2025-06-09,5728.0
2025-06-10,5722.0
2025-06-11,5728.0
2025-06-12,5734.0
2025-06-13,5878.0
2025-06-16,5880.0
2025-06-17,5870.0
2025-06-18,5960.0
2025-06-19,5970.0
2025-06-20,6016.0
2025-06-23,6044.0
2025-06-24,5844.0
2025-06-25,5860.0
2025-06-26,5850.0
2025-06-27,5832.0
2025-06-30,5852.0
2025-07-01,5866.0
2025-07-02,5868.0
2025-07-03,5844.0
2025-07-04,5832.0
2025-07-07,5828.0
2025-07-08,5850.0
2025-07-09,5854.0
2025-07-10,5904.0
2025-07-11,5858.0
2025-07-14,5922.0
2025-07-15,5870.0
2025-07-16,5880.0
2025-07-17,5872.0
2025-07-18,5888.0
2025-07-21,5962.0
2025-07-22,5970.0
2025-07-23,5956.0
2025-07-24,5990.0
2025-07-25,6088.0
2025-07-28,6004.0
2025-07-29,6014.0
2025-07-30,6028.0
2025-07-31,6002.0
2025-08-01,5986.0
2025-08-04,5960.0
2025-08-05,5944.0
2025-08-06,5946.0
2025-08-07,5932.0
2025-08-08,5918.0
2025-08-11,5954.0
2025-08-12,5982.0
2025-08-13,5944.0
2025-08-14,5888.0
2025-08-15,5922.0
2025-08-18,5946.0
2025-08-19,5924.0
2025-08-20,5978.0
2025-08-21,6050.0
2025-08-22,6034.0
2025-08-25,6052.0
2025-08-26,6042.0
2025-08-27,5998.0
2025-08-28,5994.0
2025-08-29,5968.0
2025-09-01,5964.0
2025-09-02,5924.0
2025-09-03,5904.0
2025-09-04,5838.0
2025-09-05,5856.0
2025-09-08,5876.0
2025-09-09,5856.0
2025-09-10,5866.0
2025-09-11,5854.0
2025-09-12,5816.0
2025-09-15,5836.0
2025-09-16,5846.0
2025-09-17,5868.0
2025-09-18,5820.0
2025-09-19,5768.0
2025-09-22,5752.0
2025-09-23,5718.0
2025-09-24,5782.0
2025-09-25,5836.0
2025-09-26,5798.0
2025-09-29,5798.0
2025-09-30,5748.0
2025-10-09,5732.0
2025-10-10,5654.0
2025-10-13,5626.0
2025-10-14,5562.0
2025-10-15,5542.0
2025-10-16,5586.0
2025-10-17,5522.0
2025-10-20,5504.0
2025-10-21,5534.0
2025-10-22,5600.0
2025-10-23,5628.0
2025-10-24,5628.0
2025-10-27,5722.0
2025-10-28,5712.0
2025-10-29,5726.0
2025-10-30,5666.0
2025-10-31,5672.0
2025-11-03,5674.0
2025-11-04,5666.0
2025-11-05,5662.0
2025-11-06,5736.0
2025-11-07,5726.0
2025-11-10,5764.0
2025-11-11,5696.0
2025-11-12,5718.0
2025-11-13,5724.0
2025-11-14,5754.0
2025-11-17,5740.0
2025-11-18,5718.0
2025-11-19,5746.0
2025-11-20,5682.0
2025-11-21,5638.0
2025-11-24,5676.0
2025-11-25,5674.0
2025-11-26,5702.0
2025-11-27,5642.0
2025-11-28,5726.0
2025-12-01,5756.0
2025-12-02,5746.0
2025-12-03,5710.0
2025-12-04,5688.0
2025-12-05,5622.0
2025-12-08,5628.0
2025-12-09,5576.0
2025-12-10,5558.0
2025-12-11,5562.0
2025-12-12,5530.0
2025-12-15,5552.0
2025-12-16,5550.0
2025-12-17,5568.0
2025-12-18,5610.0
2025-12-19,5672.0
2025-12-22,5778.0
2025-12-23,5758.0
2025-12-24,5806.0
2025-12-25,5844.0
2025-12-26,5960.0
2025-12-29,5788.0
2025-12-30,5850.0
2025-12-31,5908.0
2026-01-05,5810.0
2026-01-07,5940.0
2026-01-08,5900.0
2026-01-09,5900.0
2026-01-12,5956.0
2026-01-13,5878.0
2026-01-16,5976.0
