datetime,PX2409
2023-09-15,9274.0
2023-09-18,9180.0
2023-09-19,9170.0
2023-09-20,9162.0
2023-09-21,9020.0
2023-09-22,9096.0
2023-09-25,8998.0
2023-09-26,8788.0
2023-09-27,8842.0
2023-09-28,8866.0
2023-10-09,8484.0
2023-10-10,8374.0
2023-10-11,8324.0
2023-10-12,8276.0
2023-10-13,8282.0
2023-10-16,8330.0
2023-10-17,8238.0
2023-10-18,8284.0
2023-10-19,8262.0
2023-10-20,8254.0
2023-10-23,8198.0
2023-10-24,8410.0
2023-10-25,8358.0
2023-10-26,8394.0
2023-10-27,8438.0
2023-10-30,8506.0
2023-10-31,8542.0
2023-11-01,8488.0
2023-11-02,8452.0
2023-11-03,8542.0
2023-11-06,8456.0
2023-11-07,8396.0
2023-11-08,8340.0
2023-11-09,8320.0
2023-11-10,8362.0
2023-11-13,8366.0
2023-11-14,8464.0
2023-11-15,8512.0
2023-11-16,8656.0
2023-11-17,8548.0
2023-11-20,8580.0
2023-11-21,8348.0
2023-11-22,8308.0
2023-11-23,8322.0
2023-11-24,8316.0
2023-11-27,8206.0
2023-11-28,8174.0
2023-11-29,8164.0
2023-11-30,8328.0
2023-12-01,8240.0
2023-12-04,8190.0
2023-12-05,8198.0
2023-12-06,8248.0
2023-12-07,8190.0
2023-12-08,8256.0
2023-12-11,8266.0
2023-12-12,8288.0
2023-12-13,8076.0
2023-12-14,8038.0
2023-12-15,8160.0
2023-12-18,8236.0
2023-12-19,8240.0
2023-12-20,8392.0
2023-12-21,8492.0
2023-12-22,8494.0
2023-12-25,8492.0
2023-12-26,8452.0
2023-12-27,8558.0
2023-12-28,8584.0
2023-12-29,8508.0
2024-01-02,8528.0
2024-01-03,8444.0
2024-01-04,8456.0
2024-01-05,8490.0
2024-01-08,8296.0
2024-01-09,8206.0
2024-01-10,8242.0
2024-01-11,8244.0
2024-01-12,8286.0
2024-01-15,8290.0
2024-01-16,8358.0
2024-01-17,8322.0
2024-01-18,8320.0
2024-01-19,8416.0
2024-01-22,8448.0
2024-01-23,8498.0
2024-01-24,8568.0
2024-01-25,8468.0
2024-01-26,8572.0
2024-01-29,8558.0
2024-01-30,8550.0
2024-01-31,8484.0
2024-02-01,8388.0
2024-02-02,8338.0
2024-02-05,8308.0
2024-02-06,8356.0
2024-02-07,8394.0
2024-02-08,8384.0
2024-02-19,8516.0
2024-02-20,8464.0
2024-02-21,8474.0
2024-02-22,8526.0
2024-02-23,8484.0
2024-02-26,8430.0
2024-02-27,8518.0
2024-02-28,8534.0
2024-02-29,8566.0
2024-03-01,8528.0
2024-03-04,8532.0
2024-03-05,8418.0
2024-03-06,8456.0
2024-03-07,8422.0
2024-03-08,8440.0
2024-03-11,8430.0
2024-03-12,8452.0
2024-03-13,8470.0
2024-03-14,8608.0
2024-03-15,8656.0
2024-03-18,8696.0
2024-03-19,8722.0
2024-03-20,8642.0
2024-03-21,8550.0
2024-03-22,8572.0
2024-03-25,8570.0
2024-03-26,8580.0
2024-03-27,8622.0
2024-03-28,8668.0
2024-03-29,8646.0
2024-04-01,8736.0
2024-04-02,8830.0
2024-04-03,8818.0
2024-04-08,8736.0
2024-04-09,8674.0
2024-04-10,8678.0
2024-04-11,8624.0
2024-04-12,8608.0
2024-04-15,8684.0
2024-04-16,8776.0
2024-04-17,8762.0
2024-04-18,8616.0
2024-04-19,8622.0
2024-04-22,8630.0
2024-04-23,8580.0
2024-04-24,8578.0
2024-04-25,8480.0
2024-04-26,8514.0
2024-04-29,8484.0
2024-04-30,8468.0
2024-05-06,8360.0
2024-05-07,8406.0
2024-05-08,8346.0
2024-05-09,8346.0
2024-05-10,8362.0
2024-05-13,8312.0
2024-05-14,8302.0
2024-05-15,8344.0
2024-05-16,8394.0
2024-05-17,8446.0
2024-05-20,8540.0
2024-05-21,8502.0
2024-05-22,8496.0
2024-05-23,8458.0
2024-05-24,8524.0
2024-05-27,8600.0
2024-05-28,8550.0
2024-05-29,8604.0
2024-05-30,8702.0
2024-05-31,8638.0
2024-06-03,8524.0
2024-06-04,8440.0
2024-06-05,8440.0
2024-06-06,8440.0
2024-06-07,8500.0
2024-06-11,8580.0
2024-06-12,8600.0
2024-06-13,8560.0
2024-06-14,8554.0
2024-06-17,8448.0
2024-06-18,8462.0
2024-06-19,8556.0
2024-06-20,8578.0
2024-06-21,8540.0
2024-06-24,8580.0
2024-06-25,8648.0
2024-06-26,8602.0
2024-06-27,8594.0
2024-06-28,8654.0
2024-07-01,8646.0
2024-07-02,8652.0
2024-07-03,8768.0
2024-07-04,8662.0
2024-07-05,8582.0
2024-07-08,8558.0
2024-07-09,8526.0
2024-07-10,8482.0
2024-07-11,8544.0
2024-07-12,8512.0
2024-07-15,8422.0
2024-07-16,8390.0
2024-07-17,8394.0
2024-07-18,8432.0
2024-07-19,8404.0
2024-07-22,8380.0
2024-07-23,8352.0
2024-07-24,8328.0
2024-07-25,8240.0
2024-07-26,8316.0
2024-07-29,8290.0
2024-07-30,8196.0
2024-07-31,8320.0
2024-08-01,8378.0
2024-08-02,8302.0
2024-08-05,8136.0
2024-08-06,8066.0
2024-08-07,8060.0
2024-08-08,8036.0
2024-08-09,7980.0
2024-08-12,8062.0
2024-08-13,8084.0
2024-08-14,8002.0
2024-08-15,7906.0
2024-08-16,7910.0
2024-08-19,7686.0
2024-08-20,7662.0
2024-08-21,7702.0
2024-08-22,7554.0
2024-08-23,7572.0
2024-08-26,7710.0
2024-08-27,7740.0
2024-08-28,7650.0
2024-08-29,7496.0
2024-08-30,7536.0
2024-09-02,7236.0
