d,c
2023-10-17,3631.0
2023-10-18,3602.0
2023-10-19,3623.0
2023-10-20,3588.0
2023-10-23,3568.0
2023-10-24,3611.0
2023-10-25,3638.0
2023-10-26,3636.0
2023-10-27,3688.0
2023-10-30,3712.0
2023-10-31,3710.0
2023-11-01,3713.0
2023-11-02,3717.0
2023-11-03,3758.0
2023-11-06,3792.0
2023-11-07,3783.0
2023-11-08,3819.0
2023-11-09,3832.0
2023-11-10,3852.0
2023-11-13,3842.0
2023-11-14,3819.0
2023-11-15,3881.0
2023-11-16,3921.0
2023-11-17,3902.0
2023-11-20,3927.0
2023-11-21,3918.0
2023-11-22,3934.0
2023-11-23,3902.0
2023-11-24,3964.0
2023-11-27,3970.0
2023-11-28,3916.0
2023-11-29,3917.0
2023-11-30,3910.0
2023-12-01,3945.0
2023-12-04,3891.0
2023-12-05,3883.0
2023-12-06,3938.0
2023-12-07,4001.0
2023-12-08,4032.0
2023-12-11,4020.0
2023-12-12,4050.0
2023-12-13,3936.0
2023-12-14,3908.0
2023-12-15,3895.0
2023-12-18,3918.0
2023-12-19,3905.0
2023-12-20,3920.0
2023-12-21,3967.0
2023-12-22,3984.0
2023-12-25,3977.0
2023-12-26,3997.0
2023-12-27,3996.0
2023-12-28,3961.0
2023-12-29,3972.0
2024-01-02,4019.0
2024-01-03,4027.0
2024-01-04,4021.0
2024-01-05,3963.0
2024-01-08,3930.0
2024-01-09,3917.0
2024-01-10,3867.0
2024-01-11,3903.0
2024-01-12,3882.0
2024-01-15,3874.0
2024-01-16,3872.0
2024-01-17,3834.0
2024-01-18,3882.0
2024-01-19,3886.0
2024-01-22,3869.0
2024-01-23,3891.0
2024-01-24,3914.0
2024-01-25,3936.0
2024-01-26,3942.0
2024-01-29,3945.0
2024-01-30,3889.0
2024-01-31,3852.0
2024-02-01,3856.0
2024-02-02,3816.0
2024-02-05,3817.0
2024-02-06,3812.0
2024-02-07,3818.0
2024-02-08,3831.0
2024-02-19,3793.0
2024-02-20,3740.0
2024-02-21,3770.0
2024-02-22,3772.0
2024-02-23,3770.0
2024-02-26,3728.0
2024-02-27,3791.0
2024-02-28,3778.0
2024-02-29,3765.0
2024-03-01,3745.0
2024-03-04,3750.0
2024-03-05,3715.0
2024-03-06,3712.0
2024-03-07,3714.0
2024-03-08,3709.0
2024-03-11,3637.0
2024-03-12,3655.0
2024-03-13,3620.0
2024-03-14,3568.0
2024-03-15,3546.0
2024-03-18,3553.0
2024-03-19,3593.0
2024-03-20,3601.0
2024-03-21,3649.0
2024-03-22,3634.0
2024-03-25,3613.0
2024-03-26,3514.0
2024-03-27,3490.0
2024-03-28,3509.0
2024-03-29,3450.0
2024-04-01,3492.0
2024-04-02,3506.0
2024-04-03,3463.0
2024-04-08,3560.0
2024-04-09,3594.0
2024-04-10,3583.0
2024-04-11,3613.0
2024-04-12,3628.0
2024-04-15,3616.0
2024-04-16,3608.0
2024-04-17,3682.0
2024-04-18,3682.0
2024-04-19,3675.0
2024-04-22,3670.0
2024-04-23,3641.0
2024-04-24,3681.0
2024-04-25,3669.0
2024-04-26,3685.0
