d,c
2022-05-19,3118.0
2022-05-20,3154.0
2022-05-23,3175.0
2022-05-24,3100.0
2022-05-25,3091.0
2022-05-26,3099.0
2022-05-27,3138.0
2022-05-30,3146.0
2022-05-31,3159.0
2022-06-01,3098.0
2022-06-02,3087.0
2022-06-06,3108.0
2022-06-07,3078.0
2022-06-08,3136.0
2022-06-09,3130.0
2022-06-10,3190.0
2022-06-13,3122.0
2022-06-14,3088.0
2022-06-15,3066.0
2022-06-16,3070.0
2022-06-17,3125.0
2022-06-20,3052.0
2022-06-21,3018.0
2022-06-22,2967.0
2022-06-23,2881.0
2022-06-24,2829.0
2022-06-27,2835.0
2022-06-28,2883.0
2022-06-29,2865.0
2022-06-30,2882.0
2022-07-01,2877.0
2022-07-04,2818.0
2022-07-05,2813.0
2022-07-06,2740.0
2022-07-07,2828.0
2022-07-08,2872.0
2022-07-11,2923.0
2022-07-12,2901.0
2022-07-13,2864.0
2022-07-14,2885.0
2022-07-15,2803.0
2022-07-18,2908.0
2022-07-19,2837.0
2022-07-20,2759.0
2022-07-21,2750.0
2022-07-22,2693.0
2022-07-25,2686.0
2022-07-26,2742.0
2022-07-27,2778.0
2022-07-28,2832.0
2022-07-29,2823.0
2022-08-01,2829.0
2022-08-02,2789.0
2022-08-03,2788.0
2022-08-04,2796.0
2022-08-05,2913.0
2022-08-08,2876.0
2022-08-09,2859.0
2022-08-10,2896.0
2022-08-11,2905.0
2022-08-12,2956.0
2022-08-15,2889.0
2022-08-16,2890.0
2022-08-17,2885.0
2022-08-18,2836.0
2022-08-19,2885.0
2022-08-22,2895.0
2022-08-23,3012.0
2022-08-24,3046.0
2022-08-25,3007.0
2022-08-26,2957.0
2022-08-29,2952.0
2022-08-30,2925.0
2022-08-31,2951.0
2022-09-01,2932.0
2022-09-02,2962.0
2022-09-05,2971.0
2022-09-06,2945.0
2022-09-07,2963.0
2022-09-08,2957.0
2022-09-09,2979.0
2022-09-13,3167.0
2022-09-14,3157.0
2022-09-15,3096.0
2022-09-16,3111.0
2022-09-19,3109.0
2022-09-20,3091.0
2022-09-21,3095.0
2022-09-22,3117.0
2022-09-23,3094.0
2022-09-26,3064.0
2022-09-27,3098.0
2022-09-28,3114.0
2022-09-29,3148.0
2022-09-30,3112.0
2022-10-10,3041.0
2022-10-11,3038.0
2022-10-12,3022.0
2022-10-13,3002.0
2022-10-14,3070.0
2022-10-17,2999.0
2022-10-18,2980.0
2022-10-19,2962.0
2022-10-20,2964.0
2022-10-21,2949.0
2022-10-24,2981.0
2022-10-25,2972.0
2022-10-26,2986.0
2022-10-27,2941.0
2022-10-28,2935.0
2022-10-31,2944.0
2022-11-01,3043.0
2022-11-02,3021.0
2022-11-03,3009.0
2022-11-04,3034.0
2022-11-07,3038.0
2022-11-08,3085.0
2022-11-09,3100.0
2022-11-10,3123.0
2022-11-11,3079.0
2022-11-14,3009.0
2022-11-15,2988.0
2022-11-16,2976.0
2022-11-17,2953.0
2022-11-18,2904.0
2022-11-21,2927.0
2022-11-22,2933.0
2022-11-23,2936.0
2022-11-24,2937.0
2022-11-25,2958.0
2022-11-28,2928.0
2022-11-29,2963.0
2022-11-30,2946.0
2022-12-01,2938.0
2022-12-02,2968.0
2022-12-05,2953.0
2022-12-06,2998.0
2022-12-07,3007.0
2022-12-08,3100.0
2022-12-09,3123.0
2022-12-12,3043.0
2022-12-13,3037.0
2022-12-14,2993.0
2022-12-15,3002.0
2022-12-16,3019.0
2022-12-19,2980.0
2022-12-20,2984.0
2022-12-21,3028.0
2022-12-22,3043.0
2022-12-23,3054.0
2022-12-26,3134.0
2022-12-27,3157.0
2022-12-28,3135.0
2022-12-29,3153.0
2022-12-30,3223.0
2023-01-03,3222.0
2023-01-04,3184.0
2023-01-05,3158.0
2023-01-06,3140.0
2023-01-09,3152.0
2023-01-10,3138.0
2023-01-11,3170.0
2023-01-12,3204.0
2023-01-13,3238.0
2023-01-16,3210.0
2023-01-17,3201.0
2023-01-18,3281.0
2023-01-19,3198.0
2023-01-20,3148.0
2023-01-30,3194.0
2023-01-31,3222.0
2023-02-01,3224.0
2023-02-02,3223.0
2023-02-03,3224.0
2023-02-06,3257.0
2023-02-07,3193.0
2023-02-08,3190.0
2023-02-09,3154.0
2023-02-10,3181.0
2023-02-13,3225.0
2023-02-14,3231.0
2023-02-15,3174.0
2023-02-16,3171.0
2023-02-17,3172.0
2023-02-20,3204.0
2023-02-21,3199.0
2023-02-22,3214.0
2023-02-23,3179.0
2023-02-24,3192.0
2023-02-27,3154.0
2023-02-28,3103.0
2023-03-01,3060.0
2023-03-02,3041.0
2023-03-03,3035.0
2023-03-06,3047.0
2023-03-07,3067.0
2023-03-08,3061.0
2023-03-09,3070.0
2023-03-10,3044.0
2023-03-13,3060.0
2023-03-14,3046.0
2023-03-15,3019.0
2023-03-16,2988.0
2023-03-17,2969.0
2023-03-20,2905.0
2023-03-21,2903.0
2023-03-22,2872.0
2023-03-23,2819.0
2023-03-24,2776.0
2023-03-27,2773.0
2023-03-28,2797.0
2023-03-29,2786.0
2023-03-30,2792.0
2023-03-31,2750.0
2023-04-03,2885.0
2023-04-04,2909.0
2023-04-06,2880.0
2023-04-07,2845.0
2023-04-10,2841.0
2023-04-11,2869.0
2023-04-12,2867.0
2023-04-13,2911.0
2023-04-14,2897.0
2023-04-17,2949.0
2023-04-18,3005.0
2023-04-19,2949.0
2023-04-20,2892.0
2023-04-21,2844.0
2023-04-24,2882.0
2023-04-25,2865.0
2023-04-26,2947.0
2023-04-27,2968.0
2023-04-28,2977.0
2023-05-04,2949.0
2023-05-05,3006.0
2023-05-08,3051.0
2023-05-09,3174.0
2023-05-10,3086.0
2023-05-11,3060.0
2023-05-15,3082.0
2023-05-16,3194.0
2023-05-17,3128.0
