datetime,SA2101
2020-02-12,1647.0
2020-02-13,1653.0
2020-02-14,1653.0
2020-02-17,1651.0
2020-02-18,1662.0
2020-02-19,1657.0
2020-02-21,1660.0
2020-02-25,1673.0
2020-02-26,1671.0
2020-02-27,1660.0
2020-02-28,1645.0
2020-03-02,1650.0
2020-03-05,1650.0
2020-03-09,1618.0
2020-03-10,1635.0
2020-03-12,1602.0
2020-03-13,1601.0
2020-03-16,1615.0
2020-03-17,1575.0
2020-03-18,1569.0
2020-03-19,1524.0
2020-03-20,1549.0
2020-03-23,1544.0
2020-03-24,1527.0
2020-03-25,1534.0
2020-03-26,1530.0
2020-03-30,1481.0
2020-03-31,1490.0
2020-04-01,1476.0
2020-04-02,1507.0
2020-04-03,1481.0
2020-04-07,1500.0
2020-04-08,1506.0
2020-04-09,1508.0
2020-04-10,1506.0
2020-04-13,1479.0
2020-04-14,1495.0
2020-04-15,1544.0
2020-04-16,1513.0
2020-04-17,1530.0
2020-04-20,1540.0
2020-04-21,1524.0
2020-04-22,1517.0
2020-04-23,1531.0
2020-04-24,1521.0
2020-04-27,1510.0
2020-04-28,1502.0
2020-04-29,1498.0
2020-04-30,1504.0
2020-05-06,1515.0
2020-05-07,1501.0
2020-05-08,1500.0
2020-05-11,1503.0
2020-05-12,1508.0
2020-05-13,1517.0
2020-05-14,1519.0
2020-05-15,1522.0
2020-05-18,1535.0
2020-05-19,1532.0
2020-05-20,1535.0
2020-05-21,1534.0
2020-05-22,1506.0
2020-05-25,1525.0
2020-05-26,1533.0
2020-05-27,1535.0
2020-05-28,1543.0
2020-05-29,1554.0
2020-06-01,1550.0
2020-06-02,1549.0
2020-06-03,1558.0
2020-06-04,1548.0
2020-06-05,1557.0
2020-06-08,1556.0
2020-06-09,1527.0
2020-06-10,1529.0
2020-06-11,1522.0
2020-06-12,1533.0
2020-06-15,1540.0
2020-06-16,1534.0
2020-06-17,1536.0
2020-06-18,1527.0
2020-06-19,1532.0
2020-06-22,1529.0
2020-06-23,1522.0
2020-06-24,1506.0
2020-06-29,1499.0
2020-06-30,1496.0
2020-07-01,1484.0
2020-07-02,1493.0
2020-07-03,1495.0
2020-07-06,1502.0
2020-07-07,1478.0
2020-07-08,1496.0
2020-07-09,1506.0
2020-07-10,1504.0
2020-07-13,1513.0
2020-07-14,1505.0
2020-07-15,1502.0
2020-07-16,1498.0
2020-07-17,1479.0
2020-07-20,1445.0
2020-07-21,1457.0
2020-07-22,1476.0
2020-07-23,1485.0
2020-07-24,1482.0
2020-07-27,1489.0
2020-07-28,1486.0
2020-07-29,1476.0
2020-07-30,1470.0
2020-07-31,1476.0
2020-08-03,1531.0
2020-08-04,1573.0
2020-08-05,1569.0
2020-08-06,1585.0
2020-08-07,1609.0
2020-08-10,1567.0
2020-08-11,1555.0
2020-08-12,1540.0
2020-08-13,1540.0
2020-08-14,1544.0
2020-08-17,1550.0
2020-08-18,1555.0
2020-08-19,1569.0
2020-08-20,1592.0
2020-08-21,1603.0
2020-08-24,1650.0
2020-08-25,1684.0
2020-08-26,1675.0
2020-08-27,1665.0
2020-08-28,1683.0
2020-08-31,1742.0
2020-09-01,1758.0
2020-09-02,1796.0
2020-09-03,1785.0
2020-09-04,1765.0
2020-09-07,1787.0
2020-09-08,1762.0
2020-09-09,1727.0
2020-09-10,1739.0
2020-09-11,1777.0
2020-09-14,1729.0
2020-09-15,1667.0
2020-09-16,1680.0
2020-09-17,1675.0
2020-09-18,1709.0
2020-09-21,1682.0
2020-09-22,1730.0
2020-09-23,1751.0
2020-09-24,1742.0
2020-09-25,1724.0
2020-09-28,1708.0
2020-09-29,1706.0
2020-09-30,1717.0
2020-10-09,1691.0
2020-10-12,1725.0
2020-10-13,1730.0
2020-10-14,1707.0
2020-10-15,1673.0
2020-10-16,1680.0
2020-10-19,1621.0
2020-10-20,1637.0
2020-10-21,1640.0
2020-10-22,1627.0
2020-10-23,1605.0
2020-10-26,1616.0
2020-10-27,1617.0
2020-10-28,1610.0
2020-10-29,1583.0
2020-10-30,1568.0
2020-11-02,1606.0
2020-11-03,1578.0
2020-11-04,1574.0
2020-11-05,1553.0
2020-11-06,1552.0
2020-11-09,1522.0
2020-11-10,1532.0
2020-11-11,1522.0
2020-11-12,1523.0
2020-11-13,1534.0
2020-11-16,1543.0
2020-11-17,1543.0
2020-11-18,1530.0
2020-11-19,1549.0
2020-11-20,1523.0
2020-11-23,1515.0
2020-11-24,1494.0
2020-11-25,1487.0
2020-11-26,1491.0
2020-11-27,1520.0
2020-11-30,1477.0
2020-12-01,1446.0
2020-12-02,1441.0
2020-12-03,1445.0
2020-12-04,1445.0
2020-12-07,1415.0
2020-12-08,1420.0
2020-12-09,1375.0
2020-12-10,1338.0
2020-12-11,1330.0
2020-12-14,1388.0
2020-12-15,1385.0
2020-12-16,1385.0
2020-12-17,1419.0
2020-12-18,1416.0
2020-12-21,1471.0
2020-12-22,1420.0
2020-12-23,1449.0
2020-12-24,1459.0
2020-12-25,1452.0
2020-12-28,1425.0
2020-12-29,1408.0
2020-12-30,1400.0
2020-12-31,1351.0
2021-01-04,1363.0
2021-01-05,1377.0
2021-01-06,1381.0
2021-01-07,1412.0
2021-01-08,1340.0
2021-01-11,1350.0
2021-01-12,1320.0
2021-01-13,1308.0
2021-01-14,1302.0
2021-01-15,1338.0
