datetime,SF2001
2019-01-18,5818.0
2019-01-21,5800.0
2019-01-22,5770.0
2019-01-23,5798.0
2019-01-24,5782.0
2019-01-25,5852.0
2019-01-28,5852.0
2019-01-29,5786.0
2019-01-30,5822.0
2019-01-31,5812.0
2019-02-01,5872.0
2019-02-11,5946.0
2019-02-12,5910.0
2019-02-13,5874.0
2019-02-14,5890.0
2019-02-15,5870.0
2019-02-18,5824.0
2019-02-19,5850.0
2019-02-20,5902.0
2019-02-21,5882.0
2019-02-22,5902.0
2019-02-25,5902.0
2019-02-26,5920.0
2019-02-27,5906.0
2019-02-28,5920.0
2019-03-01,5964.0
2019-03-04,6036.0
2019-03-05,6038.0
2019-03-06,6096.0
2019-03-07,6102.0
2019-03-08,6060.0
2019-03-11,6086.0
2019-03-12,6086.0
2019-03-13,6116.0
2019-03-14,6138.0
2019-03-15,6106.0
2019-03-18,6020.0
2019-03-19,6006.0
2019-03-20,6050.0
2019-03-21,6070.0
2019-03-22,6024.0
2019-03-25,5998.0
2019-03-26,5958.0
2019-03-27,5872.0
2019-03-28,5878.0
2019-03-29,5870.0
2019-04-01,5948.0
2019-04-02,5954.0
2019-04-03,5948.0
2019-04-04,5948.0
2019-04-08,5984.0
2019-04-09,6040.0
2019-04-10,6010.0
2019-04-11,5980.0
2019-04-12,5970.0
2019-04-15,5980.0
2019-04-16,5870.0
2019-04-17,5910.0
2019-04-18,5880.0
2019-04-19,5850.0
2019-04-23,5884.0
2019-04-24,5882.0
2019-04-25,5900.0
2019-04-26,5960.0
2019-04-29,5968.0
2019-04-30,6006.0
2019-05-06,5970.0
2019-05-07,5920.0
2019-05-08,5944.0
2019-05-09,5988.0
2019-05-10,5954.0
2019-05-13,5922.0
2019-05-14,5892.0
2019-05-15,5908.0
2019-05-16,5912.0
2019-05-17,5922.0
2019-05-20,5848.0
2019-05-21,5814.0
2019-05-22,5820.0
2019-05-23,5826.0
2019-05-24,5832.0
2019-05-27,5782.0
2019-05-28,5812.0
2019-05-29,5846.0
2019-05-30,5852.0
2019-05-31,5832.0
2019-06-03,5752.0
2019-06-04,5808.0
2019-06-05,5818.0
2019-06-06,5816.0
2019-06-10,5860.0
2019-06-11,5920.0
2019-06-12,5876.0
2019-06-13,5934.0
2019-06-14,5988.0
2019-06-17,6006.0
2019-06-18,6000.0
2019-06-19,6018.0
2019-06-20,6046.0
2019-06-21,6000.0
2019-06-24,5962.0
2019-06-25,6018.0
2019-06-26,6086.0
2019-06-27,6070.0
2019-06-28,6102.0
2019-07-01,6126.0
2019-07-02,6084.0
2019-07-03,6050.0
2019-07-04,6072.0
2019-07-05,6062.0
2019-07-08,6060.0
2019-07-09,5880.0
2019-07-10,5892.0
2019-07-11,5920.0
2019-07-12,6120.0
2019-07-15,6188.0
2019-07-16,6182.0
2019-07-17,6192.0
2019-07-18,6188.0
2019-07-19,6216.0
2019-07-22,6114.0
2019-07-23,6092.0
2019-07-24,6082.0
2019-07-25,6040.0
2019-07-26,6050.0
2019-07-29,6020.0
2019-07-30,6006.0
2019-07-31,5996.0
2019-08-01,6038.0
2019-08-02,6010.0
2019-08-05,5990.0
2019-08-06,5974.0
2019-08-07,5950.0
2019-08-08,5910.0
2019-08-09,5910.0
2019-08-12,5884.0
2019-08-13,5856.0
2019-08-14,5860.0
2019-08-15,5832.0
2019-08-16,5866.0
2019-08-19,5826.0
2019-08-20,5798.0
2019-08-21,5788.0
2019-08-22,5798.0
2019-08-23,5790.0
2019-08-26,5752.0
2019-08-27,5752.0
2019-08-28,5740.0
2019-08-29,5682.0
2019-08-30,5878.0
2019-09-02,5854.0
2019-09-03,5832.0
2019-09-04,5846.0
2019-09-05,5810.0
2019-09-06,5860.0
2019-09-09,5824.0
2019-09-10,5864.0
2019-09-11,5844.0
2019-09-12,5860.0
2019-09-16,5832.0
2019-09-17,5930.0
2019-09-18,5958.0
2019-09-19,5970.0
2019-09-20,5938.0
