datetime,SM2309
2022-09-16,7078.0
2022-09-19,7132.0
2022-09-20,7088.0
2022-09-21,7170.0
2022-09-22,7204.0
2022-09-23,7192.0
2022-09-26,7214.0
2022-09-27,7208.0
2022-09-28,7202.0
2022-09-29,7268.0
2022-09-30,7270.0
2022-10-10,7384.0
2022-10-11,7242.0
2022-10-12,7112.0
2022-10-13,7078.0
2022-10-14,7116.0
2022-10-17,7058.0
2022-10-18,7020.0
2022-10-19,6874.0
2022-10-20,6780.0
2022-10-21,6794.0
2022-10-24,6800.0
2022-10-25,6822.0
2022-10-26,6748.0
2022-10-27,6716.0
2022-10-28,6736.0
2022-10-31,6652.0
2022-11-01,6614.0
2022-11-02,6684.0
2022-11-03,6894.0
2022-11-04,7006.0
2022-11-07,7040.0
2022-11-08,7040.0
2022-11-09,7038.0
2022-11-10,6962.0
2022-11-11,7108.0
2022-11-14,7100.0
2022-11-15,7150.0
2022-11-16,7158.0
2022-11-17,7094.0
2022-11-18,7174.0
2022-11-21,7090.0
2022-11-22,6926.0
2022-11-23,6892.0
2022-11-24,7114.0
2022-11-25,7160.0
2022-11-28,7174.0
2022-11-29,7216.0
2022-11-30,7252.0
2022-12-01,7256.0
2022-12-02,7364.0
2022-12-05,7328.0
2022-12-06,7312.0
2022-12-07,7264.0
2022-12-08,7290.0
2022-12-09,7444.0
2022-12-12,7440.0
2022-12-13,7446.0
2022-12-14,7478.0
2022-12-15,7590.0
2022-12-16,7502.0
2022-12-19,7226.0
2022-12-20,7160.0
2022-12-21,7250.0
2022-12-22,7396.0
2022-12-23,7334.0
2022-12-26,7424.0
2022-12-27,7438.0
2022-12-28,7420.0
2022-12-29,7562.0
2022-12-30,7590.0
2023-01-03,7488.0
2023-01-04,7472.0
2023-01-05,7456.0
2023-01-06,7440.0
2023-01-09,7542.0
2023-01-10,7544.0
2023-01-11,7578.0
2023-01-12,7592.0
2023-01-13,7612.0
2023-01-16,7498.0
2023-01-17,7676.0
2023-01-18,7662.0
2023-01-19,7710.0
2023-01-20,7602.0
2023-01-30,7618.0
2023-01-31,7468.0
2023-02-01,7364.0
2023-02-02,7394.0
2023-02-03,7356.0
2023-02-06,7334.0
2023-02-07,7312.0
2023-02-08,7366.0
2023-02-09,7436.0
2023-02-10,7306.0
2023-02-13,7288.0
2023-02-14,7352.0
2023-02-15,7378.0
2023-02-16,7432.0
2023-02-17,7320.0
2023-02-20,7354.0
2023-02-21,7490.0
2023-02-22,7482.0
2023-02-23,7484.0
2023-02-24,7402.0
2023-02-27,7320.0
2023-02-28,7340.0
2023-03-01,7420.0
2023-03-02,7416.0
2023-03-03,7408.0
2023-03-06,7328.0
2023-03-07,7310.0
2023-03-08,7314.0
2023-03-09,7334.0
2023-03-10,7278.0
2023-03-13,7264.0
2023-03-14,7270.0
2023-03-15,7250.0
2023-03-16,7164.0
2023-03-17,7260.0
2023-03-20,7276.0
2023-03-21,7242.0
2023-03-22,7200.0
2023-03-23,7196.0
2023-03-24,7268.0
