datetime,TA2301
2022-01-18,5492.0
2022-01-19,5490.0
2022-01-20,5476.0
2022-01-21,5364.0
2022-01-24,5454.0
2022-01-25,5372.0
2022-01-26,5490.0
2022-01-27,5530.0
2022-01-28,5528.0
2022-02-07,5790.0
2022-02-08,5716.0
2022-02-09,5610.0
2022-02-10,5614.0
2022-02-11,5508.0
2022-02-14,5664.0
2022-02-15,5622.0
2022-02-16,5416.0
2022-02-17,5322.0
2022-02-18,5310.0
2022-02-21,5322.0
2022-02-22,5446.0
2022-02-23,5400.0
2022-02-24,5614.0
2022-02-25,5568.0
2022-02-28,5502.0
2022-03-01,5570.0
2022-03-02,5772.0
2022-03-03,5940.0
2022-03-04,5788.0
2022-03-07,6168.0
2022-03-08,6048.0
2022-03-09,6314.0
2022-03-10,5864.0
2022-03-11,5826.0
2022-03-14,5712.0
2022-03-15,5538.0
2022-03-16,5608.0
2022-03-17,5534.0
2022-03-18,5832.0
2022-03-21,5856.0
2022-03-22,5978.0
2022-03-23,5946.0
2022-03-24,5976.0
2022-03-25,6054.0
2022-03-28,5880.0
2022-03-29,5820.0
2022-03-30,5850.0
2022-03-31,5848.0
2022-04-01,5754.0
2022-04-06,5952.0
2022-04-07,5822.0
2022-04-08,5780.0
2022-04-11,5694.0
2022-04-12,5924.0
2022-04-13,5914.0
2022-04-14,5918.0
2022-04-15,6000.0
2022-04-18,6034.0
2022-04-19,6074.0
2022-04-20,6022.0
2022-04-21,6056.0
2022-04-22,6014.0
2022-04-25,5788.0
2022-04-26,5922.0
2022-04-27,5974.0
2022-04-28,6008.0
2022-04-29,6210.0
2022-05-05,6254.0
2022-05-06,6294.0
2022-05-09,6222.0
2022-05-10,6012.0
2022-05-11,6142.0
2022-05-12,6298.0
2022-05-13,6404.0
2022-05-16,6430.0
2022-05-17,6472.0
2022-05-18,6348.0
2022-05-19,6370.0
2022-05-20,6410.0
2022-05-23,6388.0
2022-05-24,6284.0
2022-05-25,6370.0
2022-05-26,6380.0
2022-05-27,6394.0
2022-05-30,6456.0
2022-05-31,6534.0
2022-06-01,6382.0
2022-06-02,6398.0
2022-06-06,6762.0
2022-06-07,6920.0
2022-06-08,7050.0
2022-06-09,7050.0
2022-06-10,7116.0
2022-06-13,6970.0
2022-06-14,6972.0
2022-06-15,6836.0
2022-06-16,6742.0
2022-06-17,6710.0
2022-06-20,6646.0
2022-06-21,6610.0
2022-06-22,6468.0
2022-06-23,6484.0
2022-06-24,6176.0
2022-06-27,6300.0
2022-06-28,6460.0
2022-06-29,6262.0
2022-06-30,6196.0
2022-07-01,5998.0
2022-07-04,6148.0
2022-07-05,6052.0
2022-07-06,5862.0
2022-07-07,5668.0
2022-07-08,5774.0
2022-07-11,5798.0
2022-07-12,5712.0
2022-07-13,5434.0
2022-07-14,5316.0
2022-07-15,5140.0
2022-07-18,5498.0
2022-07-19,5408.0
2022-07-20,5454.0
2022-07-21,5414.0
2022-07-22,5428.0
2022-07-25,5328.0
2022-07-26,5588.0
2022-07-27,5522.0
2022-07-28,5714.0
2022-07-29,5616.0
2022-08-01,5634.0
2022-08-02,5654.0
2022-08-03,5674.0
2022-08-04,5472.0
2022-08-05,5320.0
2022-08-08,5508.0
2022-08-09,5524.0
2022-08-10,5488.0
2022-08-11,5532.0
2022-08-12,5628.0
2022-08-15,5664.0
2022-08-16,5510.0
2022-08-17,5424.0
2022-08-18,5480.0
2022-08-19,5324.0
2022-08-22,5382.0
2022-08-23,5588.0
2022-08-24,5674.0
2022-08-25,5666.0
2022-08-26,5634.0
2022-08-29,5534.0
2022-08-30,5550.0
2022-08-31,5562.0
2022-09-01,5594.0
2022-09-02,5380.0
2022-09-05,5754.0
2022-09-06,5696.0
2022-09-07,5492.0
2022-09-08,5476.0
2022-09-09,5682.0
2022-09-13,5768.0
2022-09-14,5718.0
2022-09-15,5710.0
2022-09-16,5668.0
2022-09-19,5486.0
2022-09-20,5540.0
2022-09-21,5610.0
2022-09-22,5584.0
2022-09-23,5518.0
2022-09-26,5302.0
2022-09-27,5316.0
2022-09-28,5194.0
2022-09-29,5344.0
2022-09-30,5386.0
2022-10-10,5700.0
2022-10-11,5604.0
2022-10-12,5524.0
2022-10-13,5444.0
2022-10-14,5508.0
2022-10-17,5418.0
2022-10-18,5510.0
2022-10-19,5366.0
2022-10-20,5416.0
2022-10-21,5334.0
2022-10-24,5314.0
2022-10-25,5258.0
2022-10-26,5232.0
2022-10-27,5226.0
2022-10-28,5060.0
2022-10-31,5012.0
2022-11-01,5156.0
2022-11-02,5152.0
2022-11-03,5170.0
2022-11-04,5396.0
2022-11-07,5310.0
2022-11-08,5278.0
2022-11-09,5278.0
2022-11-10,5254.0
2022-11-11,5416.0
2022-11-14,5370.0
2022-11-15,5370.0
2022-11-16,5386.0
2022-11-17,5282.0
2022-11-18,5388.0
2022-11-21,5188.0
2022-11-22,5140.0
2022-11-23,5132.0
2022-11-24,5140.0
2022-11-25,5138.0
2022-11-28,5058.0
2022-11-29,5166.0
2022-11-30,5182.0
2022-12-01,5198.0
2022-12-02,5200.0
2022-12-05,5088.0
2022-12-06,4972.0
2022-12-07,4912.0
2022-12-08,4996.0
2022-12-09,5082.0
2022-12-12,5100.0
2022-12-13,5190.0
2022-12-14,5194.0
2022-12-15,5286.0
2022-12-16,5358.0
2022-12-19,5302.0
2022-12-20,5340.0
