datetime,V2301
2022-01-18,8490.0
2022-01-19,8540.0
2022-01-20,8661.0
2022-01-21,8625.0
2022-01-24,8464.0
2022-01-25,8459.0
2022-01-26,8599.0
2022-01-27,8632.0
2022-01-28,8498.0
2022-02-07,9020.0
2022-02-08,9001.0
2022-02-09,8860.0
2022-02-10,9080.0
2022-02-11,8869.0
2022-02-14,8660.0
2022-02-15,8497.0
2022-02-16,8544.0
2022-02-17,8253.0
2022-02-18,8417.0
2022-02-21,8350.0
2022-02-22,8290.0
2022-02-23,8335.0
2022-02-24,8341.0
2022-02-25,8240.0
2022-02-28,8279.0
2022-03-01,8332.0
2022-03-02,8634.0
2022-03-03,8660.0
2022-03-04,8566.0
2022-03-07,8754.0
2022-03-08,8744.0
2022-03-09,8798.0
2022-03-10,8660.0
2022-03-11,8748.0
2022-03-14,8620.0
2022-03-15,8411.0
2022-03-16,8530.0
2022-03-17,8631.0
2022-03-18,8690.0
2022-03-21,8591.0
2022-03-22,8737.0
2022-03-23,8686.0
2022-03-24,8710.0
2022-03-25,8833.0
2022-03-28,8897.0
2022-03-29,8968.0
2022-03-30,8987.0
2022-03-31,8894.0
2022-04-01,9066.0
2022-04-06,8985.0
2022-04-07,8935.0
2022-04-08,8853.0
2022-04-11,8772.0
2022-04-12,8939.0
2022-04-13,8838.0
2022-04-14,8922.0
2022-04-15,8844.0
2022-04-18,8947.0
2022-04-19,8848.0
2022-04-20,8932.0
2022-04-21,8835.0
2022-04-22,8650.0
2022-04-25,8330.0
2022-04-26,8378.0
2022-04-27,8459.0
2022-04-28,8415.0
2022-04-29,8467.0
2022-05-05,8517.0
2022-05-06,8474.0
2022-05-09,8374.0
2022-05-10,8249.0
2022-05-11,8409.0
2022-05-12,8361.0
2022-05-13,8388.0
2022-05-16,8433.0
2022-05-17,8368.0
2022-05-18,8242.0
2022-05-19,8261.0
2022-05-20,8205.0
2022-05-23,8163.0
2022-05-24,8114.0
2022-05-25,8032.0
2022-05-26,8022.0
2022-05-27,7977.0
2022-05-30,8164.0
2022-05-31,8193.0
2022-06-01,8188.0
2022-06-02,8253.0
2022-06-06,8450.0
2022-06-07,8456.0
2022-06-08,8541.0
2022-06-09,8401.0
2022-06-10,8364.0
2022-06-13,8180.0
2022-06-14,8052.0
2022-06-15,8009.0
2022-06-16,7875.0
2022-06-17,7815.0
2022-06-20,7607.0
2022-06-21,7500.0
2022-06-22,7238.0
2022-06-23,7395.0
2022-06-24,7151.0
2022-06-27,7135.0
2022-06-28,7307.0
2022-06-29,7204.0
2022-06-30,7235.0
2022-07-01,7066.0
2022-07-04,6910.0
2022-07-05,6747.0
2022-07-06,6713.0
2022-07-07,6625.0
2022-07-08,6478.0
2022-07-11,6513.0
2022-07-12,6227.0
2022-07-13,6166.0
2022-07-14,6169.0
2022-07-15,5959.0
2022-07-18,6261.0
2022-07-19,6227.0
2022-07-20,6321.0
2022-07-21,6185.0
2022-07-22,6302.0
2022-07-25,6297.0
2022-07-26,6388.0
2022-07-27,6351.0
2022-07-28,6565.0
2022-07-29,6659.0
2022-08-01,6574.0
2022-08-02,6583.0
2022-08-03,6517.0
2022-08-04,6412.0
2022-08-05,6359.0
2022-08-08,6584.0
2022-08-09,6547.0
2022-08-10,6481.0
2022-08-11,6480.0
2022-08-12,6434.0
2022-08-15,6285.0
2022-08-16,6230.0
2022-08-17,6141.0
2022-08-18,6059.0
2022-08-19,6102.0
