d,o,h,l,c,v,p,s
2018-12-10,5600.000,5781.000,5550.000,5674.000,674676,69526,5687.000
2018-12-11,5618.000,5680.000,5497.000,5541.000,481954,83122,5577.000
2018-12-12,5580.000,5598.000,5513.000,5544.000,301986,88512,5551.000
2018-12-13,5519.000,5646.000,5475.000,5591.000,356924,89988,5560.000
2018-12-14,5647.000,5666.000,5583.000,5606.000,187864,93730,5620.000
2018-12-17,5592.000,5637.000,5566.000,5618.000,123774,99192,5615.000
2018-12-18,5588.000,5628.000,5570.000,5627.000,122752,95662,5602.000
2018-12-19,5579.000,5635.000,5551.000,5620.000,147788,88840,5590.000
2018-12-20,5628.000,5635.000,5564.000,5576.000,99196,90096,5599.000
2018-12-21,5561.000,5576.000,5320.000,5418.000,551084,111700,5410.000
2018-12-24,5380.000,5385.000,5306.000,5332.000,252940,122960,5344.000
2018-12-25,5200.000,5231.000,5128.000,5174.000,316626,120146,5174.000
2018-12-26,5200.000,5229.000,5128.000,5152.000,272420,121010,5169.000
2018-12-27,5301.000,5377.000,5135.000,5135.000,315554,142086,5215.000
2018-12-28,5141.000,5166.000,5088.000,5134.000,331090,125940,5122.000
2019-01-02,5105.000,5134.000,5046.000,5051.000,245416,144434,5084.000
2019-01-03,5093.000,5152.000,5068.000,5127.000,266202,146582,5111.000
2019-01-04,5150.000,5181.000,5094.000,5152.000,283824,145528,5137.000
2019-01-07,5167.000,5200.000,5125.000,5133.000,219654,167040,5155.000
2019-01-08,5140.000,5168.000,5066.000,5080.000,328800,188176,5100.000
2019-01-09,5136.000,5187.000,5111.000,5122.000,353632,192814,5153.000
2019-01-10,5162.000,5168.000,5087.000,5092.000,292108,213914,5137.000
2019-01-11,5080.000,5135.000,5067.000,5117.000,307904,225296,5100.000
2019-01-14,5125.000,5177.000,5096.000,5143.000,329396,226756,5135.000
2019-01-15,5141.000,5236.000,5129.000,5221.000,490402,238526,5188.000
2019-01-16,5225.000,5243.000,5193.000,5226.000,276126,240460,5216.000
2019-01-17,5210.000,5225.000,5155.000,5159.000,251498,253024,5182.000
2019-01-18,5139.000,5176.000,5117.000,5156.000,423536,292188,5151.000
2019-01-21,5219.000,5323.000,5188.000,5273.000,712792,309752,5262.000
2019-01-22,5273.000,5457.000,5260.000,5277.000,748844,302068,5340.000
2019-01-23,5240.000,5280.000,5222.000,5254.000,354886,306168,5248.000
2019-01-24,5239.000,5273.000,5206.000,5245.000,328568,307090,5241.000
