product,bars,warm_bars,trades,win_rate,avg_ret,total_ret,pf,avg_hold,best,worst,note
A,6109,4610,25,0.24,0.0018098734651472836,0.04524683662868209,1.3717483320874098,53.0,0.054683773238466876,-0.019484786071340826,
AG,9853,8354,28,0.4642857142857143,0.01525603721982792,0.42716904215518176,4.4940058935964275,90.75,0.19002690403491335,-0.03650816542948036,
AL,8316,6817,54,0.24074074074074073,-0.0006012379357507145,-0.03246684853053858,0.8379047592382068,52.03703703703704,0.032433221459869814,-0.018059270886774437,
AO,8313,6814,29,0.3793103448275862,0.00010126065784730943,0.002936559077571973,1.0216907296624607,87.06896551724138,0.04937371720652535,-0.017594065901583012,
AP,229,0,0,,,,,,,,预热不足
AU,9757,8258,38,0.3157894736842105,0.0025127450485016747,0.09548431184306364,1.7211578677910437,75.1842105263158,0.08905153329634814,-0.020300259124813078,
B,6191,4692,32,0.15625,-0.0020559936070720236,-0.06579179542630476,0.6043822695687568,53.5625,0.05228167285793897,-0.015016198304987282,
BC,8321,6822,29,0.3103448275862069,0.004520098569977285,0.13108285852934126,1.9072692917376957,85.41379310344827,0.05841222853906072,-0.043244996931338694,
BR,6191,4692,19,0.2631578947368421,0.0035225847439699772,0.06692911013542957,1.3819879253754876,69.84210526315789,0.12292602231356399,-0.018708752611740584,
BU,6191,4692,20,0.4,0.01092339220413647,0.2184678440827294,2.9418129912642006,80.6,0.08759944364904929,-0.023427083789416277,
C,6146,4647,20,0.5,0.005283073788810608,0.10566147577621217,3.7484615113977737,89.65,0.03838165938864631,-0.00913749220005504,
CF,6062,4563,27,0.2222222222222222,-0.0012188138602241302,-0.03290797422605152,0.8203997561316277,59.148148148148145,0.05146931626810372,-0.05795176613885504,
CJ,4064,2565,6,0.5,0.003780840873684539,0.022685045242107234,1.5808474419150704,118.33333333333333,0.03332288585311837,-0.02860491071428577,
CS,6078,4579,25,0.36,0.0006950135596599089,0.01737533899149772,1.2250140543638424,60.48,0.02397391187893404,-0.012804123520881271,
CU,8319,6820,29,0.4482758620689655,0.006882813705264712,0.19960159745267664,2.83929584888167,88.72413793103448,0.0832287430458346,-0.02152708354957338,
CY,6040,4541,42,0.19047619047619047,-0.0021585866393564355,-0.0906606388529703,0.440701169287022,47.214285714285715,0.034911645379414005,-0.017160681900443554,
EB,6191,4692,24,0.2916666666666667,-0.0006280426497120413,-0.015073023593088992,0.9104386952741677,57.291666666666664,0.06769202190823467,-0.024483211084035512,
EC,4071,2572,3,0.3333333333333333,-0.01155903995842751,-0.034677119875282526,0.6206241952474831,78.33333333333333,0.05672860352846461,-0.06478287651497343,
EG,6191,4692,26,0.2692307692307692,0.003993453314763603,0.10382978618385368,1.7925486265788844,62.80769230769231,0.09587407023425408,-0.019852479783893085,
FB,4052,2553,16,0.25,-0.00511804206526284,-0.08188867304420544,0.24705850270781435,56.0,0.017692552133299632,-0.030981811514506897,
FG,6191,4692,19,0.3684210526315789,-0.0015274280368356911,-0.029021132699878133,0.8236320328089587,72.26315789473684,0.06268734154682394,-0.028886525898453908,
FU,6191,4692,16,0.4375,0.01159213150365942,0.18547410405855072,3.119298887968617,83.4375,0.1120679989642426,-0.02184120274744621,
HC,6126,4627,27,0.2222222222222222,-0.0020908879663172233,-0.056453975090565024,0.4757235407405898,66.81481481481481,0.02002978092633311,-0.009671372636864283,
I,6191,4692,24,0.375,0.002205651788539789,0.05293564292495494,1.4480300745216428,72.66666666666667,0.04040242051199982,-0.012097019488559279,
IC,4342,2843,7,0.5714285714285714,0.010122128367322295,0.07085489857125607,2.414487946283167,63.857142857142854,0.09312705221228235,-0.022671067055469885,
IF,4343,2844,19,0.21052631578947367,-0.003408406210553925,-0.06475971800052457,0.4867093054562812,53.05263157894737,0.03744386024709341,-0.021417626300927035,
IH,4342,2843,16,0.25,-0.004347302625765418,-0.06955684201224668,0.38800680953149386,59.0,0.02338565573377056,-0.021237926501590777,
IM,4342,2843,14,0.14285714285714285,-0.002035687221491079,-0.028499621100875103,0.8406405551647811,44.357142857142854,0.09530348769197297,-0.03643538721929078,
J,5861,4362,13,0.23076923076923078,-0.01801328441485598,-0.23417269739312774,0.264460899932826,56.38461538461539,0.04162280734891069,-0.1290744125373134,
JD,4071,2572,8,0.375,0.010545711803878586,0.08436569443102869,3.243156183068582,94.875,0.061849254553707225,-0.015841920632718245,
JM,6192,4693,16,0.3125,0.00887595192933905,0.1420152308694248,1.8461577749916414,77.3125,0.09228982703550188,-0.039813699001145106,
L,6191,4692,22,0.36363636363636365,-9.056797557540633e-06,-0.00019924954626589393,0.9983672236934815,70.22727272727273,0.0365628085239675,-0.021252318964351914,
LC,4071,2572,7,0.42857142857142855,0.03560983236302179,0.2492688265411525,3.3028438777807367,90.0,0.2199360067537947,-0.03982557373396289,
LG,4071,2572,14,0.35714285714285715,-0.0015771430918880257,-0.022080003286432358,0.5632265201215396,75.42857142857143,0.016187061154959374,-0.012415645171135734,
LH,4071,2572,7,0.14285714285714285,-0.004888336998747152,-0.03421835899123006,0.33240271620156964,45.57142857142857,0.017037629943502802,-0.02141960025823657,
LU,6191,4692,17,0.23529411764705882,-0.0022869358266526685,-0.038877909053095364,0.7893809935742135,67.11764705882354,0.07811157533554876,-0.030085279506498128,
M,6175,4676,29,0.10344827586206896,-0.005708104555906159,-0.16553503212127862,0.20688840196103658,53.96551724137931,0.01559654128837006,-0.028096505370572625,
MA,6191,4692,20,0.35,0.008289696189194683,0.16579392378389365,2.866870190017347,65.2,0.09760409713533627,-0.0165230788811243,
NI,8326,6827,49,0.20408163265306123,-0.003515300046688352,-0.17224970228772923,0.4317516707655741,54.61224489795919,0.037244015834567705,-0.027136630378927596,
NR,6191,4692,28,0.25,-0.006083467707084704,-0.1703370957983717,0.21442459943264325,56.42857142857143,0.013847689846908533,-0.030641401399544452,
OI,6073,4574,25,0.32,0.001405366040835336,0.0351341510208834,1.3037437766232858,58.04,0.052868007922443463,-0.011112074657054815,
P,6191,4692,21,0.23809523809523808,0.0017114362329838286,0.0359401608926604,1.2248157557365569,57.0,0.06413489480503039,-0.021850596697434173,
PB,8319,6820,60,0.15,-0.00192562904756999,-0.11553774285419939,0.428250616928408,46.86666666666667,0.023554999515080954,-0.013427442872906025,
PF,6191,4692,26,0.38461538461538464,0.002419053894958523,0.0628954012689216,1.474171561838074,71.96153846153847,0.04646343249780593,-0.029482715167236665,
PG,6191,4692,23,0.21739130434782608,-0.0018150496426584495,-0.04174614178114434,0.7050064162959987,66.17391304347827,0.04771560980751484,-0.015346765213524264,
PK,179,0,0,,,,,,,,预热不足
PP,6191,4692,22,0.5,0.0032187681929972804,0.07081290024594017,2.3787352898508805,85.68181818181819,0.04784134741625137,-0.010137454746414852,
PS,4071,2572,11,0.36363636363636365,0.00594271872671277,0.06536990599384047,1.743547875141211,74.0,0.08610430747217422,-0.025445808339879975,
PX,6191,4692,27,0.4074074074074074,0.0025588676984902503,0.06908942785923676,1.4188021049440864,73.44444444444444,0.06879412589548231,-0.026398338925723897,
RB,6191,4692,32,0.21875,-0.002138957134368503,-0.06844662829979209,0.55705682063145,57.15625,0.02457454410221674,-0.014885620905306658,
RM,6108,4609,29,0.20689655172413793,-0.0013004075949429896,-0.0377118202533467,0.8059356094254623,57.51724137931034,0.05296164274655353,-0.023857235654998244,
RR,6170,4671,55,0.09090909090909091,-0.002440662476130133,-0.1342364361871573,0.032686803465557024,35.41818181818182,0.0030815327750321956,-0.012676563780387881,
RS,1539,40,0,,,,,,,,预热不足
RU,6151,4652,29,0.13793103448275862,-0.003541901677884206,-0.10271514865864197,0.4794356993875073,57.10344827586207,0.038429211295034064,-0.024363248815410896,
SA,6191,4692,24,0.20833333333333334,-0.005948688354907442,-0.1427685205177786,0.35142478398342075,60.083333333333336,0.03724076393408226,-0.03541977080705176,
SC,9920,8421,37,0.24324324324324326,-0.0021451082290905063,-0.07936900447634873,0.7984742837810805,66.64864864864865,0.12570720326695106,-0.055325751674239254,
SF,4071,2572,19,0.15789473684210525,-0.007519103376311021,-0.1428629641499094,0.19345300371737484,55.94736842105263,0.016310778780739082,-0.032476385199178726,
SH,6191,4692,25,0.28,0.00216870769106673,0.054217692276668256,1.2573361254186952,63.28,0.0827125900622175,-0.037479494630018505,
SI,4071,2572,11,0.18181818181818182,-0.013288525277648115,-0.14617377805412926,0.15960756942101537,50.72727272727273,0.017497779698022492,-0.028038736063274824,
SM,4071,2572,11,0.36363636363636365,-0.00033072397841829836,-0.0036379637626012817,0.9442829186844862,89.54545454545455,0.03991966759620091,-0.01748740436753864,
SN,8322,6823,34,0.3235294117647059,-0.0005842517453279005,-0.019864559341148617,0.9256317127026357,66.94117647058823,0.07318734587805553,-0.04670781416293339,
SP,6182,4683,25,0.24,-0.0026667571234285908,-0.06666892808571477,0.4374664092853588,47.76,0.02922012007090331,-0.013868772013269828,
SR,5978,4479,30,0.36666666666666664,0.0006158975015506899,0.018476925046520695,1.1730170725157407,59.9,0.03633642973548952,-0.021442689837551977,
SS,8315,6816,46,0.2391304347826087,-0.0009490814839294287,-0.04365774826075372,0.7441087415701572,54.76086956521739,0.04036182140015883,-0.013266021274052785,
T,4450,2951,25,0.24,-0.00016976050912563418,-0.004244012728140854,0.7324804679564151,65.48,0.0030917094689434303,-0.001375383186251714,
TA,6191,4692,19,0.42105263157894735,0.004287034960716217,0.08145366425360812,1.9947127369013775,73.05263157894737,0.10894777058453758,-0.015491862792047327,
TF,4478,2979,31,0.1935483870967742,-0.0007060160646383379,-0.021886498003788477,0.11628400505804892,55.70967741935484,0.0006875218686462832,-0.0021550663706363824,
TL,4459,2960,13,0.46153846153846156,0.0030947638235952228,0.0402319297067379,2.4402838109064136,91.0,0.028945694983469984,-0.0076982641332393065,
TS,4493,2994,33,0.030303030303030304,-0.0005404743184586635,-0.017835652509135897,0.008474020802649007,48.78787878787879,0.00015243139722227495,-0.0011228115415420788,
UR,4070,2571,12,0.3333333333333333,0.00118007821819214,0.014160938618305679,1.1645604965529102,86.33333333333333,0.05565646885295168,-0.04064572279493672,
V,6190,4691,19,0.47368421052631576,0.005556793048413626,0.1055790679198589,2.201389288391497,67.36842105263158,0.0499540186040287,-0.021038119854686073,
WR,3428,1929,26,0.07692307692307693,-0.012532267405803666,-0.32583895255089534,0.01593650925017219,26.384615384615383,0.002900697185114535,-0.028521371951219444,
Y,6151,4652,36,0.1388888888888889,-0.003311939638405576,-0.11922982698260073,0.37224357320286433,52.22222222222222,0.04131719621634732,-0.015006660479074773,
ZN,8319,6820,42,0.2619047619047619,5.616906650416555e-05,0.002359100793174953,1.0139787088472587,59.42857142857143,0.055607299176512956,-0.013158529914885019,
