prod,tr_sharpe,te_sharpe,trades_tr,vr,ac1
CU,-0.4963650585936203,2.682940219127771,99,0.9341796508066262,-0.01994328033878128
PX,0.23129504972198855,2.126919453147972,66,0.6927687214831821,-0.16464539900018219
BC,-0.6570069117110926,2.017462730980003,100,0.899952799121357,-0.042094201736071
AU,-0.3655688853752826,1.997897915340117,76,0.8217871692483141,-0.10567959735512984
PF,-0.8864940770074152,1.990060271122889,67,0.9296360580003458,-0.0332626128292379
P,-0.041025464599170114,1.7677172074898913,92,0.9507476874044728,0.0008586898701931015
LC,-0.10358703559000282,1.7250418688416143,65,1.030710843273509,0.02447916139015091
ZN,0.2068220601007134,1.4527692590109995,101,0.8760690618018864,-0.020329858998712896
CY,0.43441766395111314,1.4116417027067605,34,0.16381455514636584,-0.4529866149240958
PS,0.0,1.4109033474090205,0,0.39415311039886375,0.012270852302930351
TA,-0.7303243168109923,1.374303970929668,82,0.9587468054373428,-0.02987426089136101
MA,-0.7178943650232408,1.3384173345566721,81,0.8920508722882718,-0.02002602768921897
TL,-0.8423840168959241,1.2138001844543027,62,0.9522386724806757,0.0022361602293645925
M,-0.2572476978953509,1.1981263275869523,72,0.9995429150640184,-0.01270042902729552
AP,-0.5200893020713842,1.1043783400764295,71,0.9842008934380926,-0.0697559517347181
RR,1.3882282819360563,1.0634637315617441,55,0.1333514546698822,-0.46076246860471537
SR,-0.18019601349222633,1.0601630686037764,89,0.9125153531661977,-0.052149144945658185
SN,-0.709716740357394,0.9886756309714829,108,1.001023414594701,0.005953234904763637
SC,0.5534683822000992,0.9603853963872379,109,0.8298741825072671,-0.07465944504806041
RU,0.9663401318777793,0.879112831450553,72,0.7604464785257703,-0.12341166803713886
SI,-0.8763937527105709,0.795038948404462,85,0.892147441699609,0.017868409214773163
OI,-0.286026050445442,0.7628662701495359,70,0.8251234151170532,-0.06239590147790983
BB,0.0,0.6972720708925036,0,0.42991087067877537,-0.4105756617337659
EG,-0.3329510635929388,0.6611623302698898,66,0.8528819968606538,-0.07171386585505335
SP,0.4499600922665737,0.6146417459746369,86,0.8261477730475972,-0.0777760420050541
BU,1.3942145472903957,0.4875880775764317,109,0.7154559063274005,-0.11295302498394341
AL,-0.7124768920995831,0.48535176946309067,106,0.9345285891958056,-0.03227395218761794
L,-0.5968441428010033,0.40071056073102923,51,0.6178838368534579,-0.17898224033012383
JM,1.877145368048979,0.3605035536717177,91,0.17066098521915923,-0.44542798147812107
CF,0.7523712043901164,0.3469624420984666,83,0.8898919227064317,-0.04533575111920584
NR,0.362539031766795,0.34393532737164845,89,1.0209621122225587,0.008253445364774802
FB,-0.1680763229890251,0.3390078161232848,70,0.3531955196488016,-0.2827813191001801
Y,0.17652583258117738,0.3121773874414767,78,0.9524986944366973,-0.005401438053214052
PP,0.6248046024283368,0.3009881485928702,65,0.7580469537816001,-0.09155731281293591
TF,-0.3983822286642,0.2627685630286567,57,0.91431160745098,-0.03712303779848555
T,-0.6777415463347385,0.23998192734571802,58,0.9088253130103682,-0.009681937755491721
IM,-1.1640948510647433,0.22553817180463806,79,1.036374572325345,0.03469277288574014
