prod,name,exch,vol_ann,atr_pct,ER40,VR10,VR40,ac1,ac_abs,skew,kurt
RR,粳米,DCE,0.0535,0.0008,0.0983,0.1446,0.0764,-0.4509,0.4812,0.2476,46.904
BB,胶合板,DCE,0.9006,0.0034,0.0993,0.2004,0.1518,-0.3753,0.4404,2.042,49.3858
RS,菜籽,CZCE,0.2638,0.0037,0.1154,0.3837,0.1729,-0.3002,0.3558,0.9096,25.3129
WR,线材,SHFE,0.2263,0.0027,0.1313,0.3588,0.243,-0.3333,0.4564,1.4133,65.8063
J,焦炭,DCE,0.4934,0.0046,0.1451,0.1962,0.1774,-0.262,0.3189,3.6185,133.9768
FB,纤维板,DCE,0.2007,0.0019,0.1509,0.2693,0.2769,-0.3444,0.466,3.2961,220.7416
CY,棉纱,CZCE,0.2933,0.0015,0.1574,0.229,0.1096,-0.442,0.6001,1.1513,169.1564
JM,焦煤,DCE,0.4662,0.0055,0.1591,0.2427,0.1687,-0.4244,0.4998,1.1863,52.2675
HC,热卷,SHFE,0.1571,0.0021,0.1601,0.5037,0.4453,-0.2597,0.4129,0.6332,40.0635
V,PVC,DCE,0.1975,0.0025,0.1611,0.7173,0.611,-0.1486,0.2656,-0.0619,59.2216
SF,硅铁,CZCE,0.1961,0.0033,0.1626,0.9885,0.8848,-0.0068,0.1852,0.2921,24.5341
SP,纸浆,SHFE,0.1792,0.0024,0.1627,0.8865,0.7743,-0.0503,0.1479,4.8938,185.3886
L,塑料,DCE,0.1846,0.0017,0.1629,0.9347,0.7875,-0.0557,0.2205,-4.7093,229.7586
SA,纯碱,CZCE,0.341,0.0049,0.163,0.9248,0.9829,-0.0313,0.1817,-0.0713,10.0959
EG,乙二醇,DCE,0.2537,0.0025,0.1633,0.9655,0.9351,-0.0372,0.2119,-4.616,185.8673
I,铁矿石,DCE,0.2339,0.0036,0.1635,0.893,0.8841,-0.0246,0.1445,0.3672,20.914
FG,玻璃,CZCE,0.329,0.0048,0.1648,0.9299,0.9903,-0.0464,0.1756,0.4029,11.3224
CJ,红枣,CZCE,0.2726,0.0037,0.1666,0.3705,0.298,-0.4084,0.4945,2.2454,264.8586
NR,20号胶,INE,0.2553,0.0036,0.1667,0.93,0.8998,0.0065,0.1461,0.0539,12.6178
CF,棉花,CZCE,0.1321,0.0018,0.1669,0.8416,0.8437,-0.0779,0.2155,1.5953,109.4053
PP,聚丙烯,DCE,0.1805,0.0016,0.1675,0.969,0.821,-0.0243,0.2321,-6.3843,317.5342
PX,对二甲苯,CZCE,0.2918,0.0031,0.1678,0.7147,0.6277,-0.1121,0.2769,-1.5819,89.5963
MA,甲醇,CZCE,0.2556,0.0029,0.168,0.9307,0.7949,-0.0235,0.1872,-0.9737,125.6259
SR,白糖,CZCE,0.1047,0.0014,0.1684,0.8326,0.7728,-0.0623,0.127,-0.7365,25.518
PB,沪铅,SHFE,0.1217,0.0015,0.1689,0.8551,0.9161,-0.0685,0.2377,-0.6753,25.0012
SI,工业硅,GFEX,0.2441,0.0043,0.169,0.9837,0.7935,0.0084,0.1404,0.1912,14.9029
IH,上证50,CFFEX,0.1748,0.0025,0.1694,1.116,1.5229,0.0134,0.2453,0.5992,47.2559
BR,合成橡胶,SHFE,0.2932,0.004,0.1695,0.9174,0.8517,-0.0198,0.1909,-0.4128,34.6695
SS,不锈钢,SHFE,0.129,0.0018,0.1703,0.9565,0.8725,-0.03,0.1904,0.0732,22.5461
RU,橡胶,SHFE,0.2272,0.0028,0.1705,0.835,0.8138,-0.0909,0.2229,3.1705,182.538
ZN,沪锌,SHFE,0.1403,0.0019,0.1711,0.9368,0.7769,-0.0121,0.1797,-0.8152,42.4629
PF,短纤,CZCE,0.2035,0.0023,0.1711,0.9845,0.8589,-0.0106,0.1775,-3.5889,141.9285
SH,烧碱,CZCE,0.3163,0.0041,0.1716,0.3808,0.3564,-0.3205,0.4367,1.0029,97.9197
IF,沪深300,CFFEX,0.193,0.0027,0.1718,1.1222,1.6608,0.01,0.1942,1.1014,74.1007
RB,螺纹钢,SHFE,0.1642,0.0022,0.1719,0.8257,0.8891,-0.0666,0.1505,3.3374,103.1952
TF,5年国债,CFFEX,0.016,0.0002,0.172,0.8655,0.8222,-0.0389,0.1168,0.1667,16.4237
BC,国际铜,INE,0.1669,0.0017,0.1726,0.9346,0.9565,-0.0073,0.1698,-1.7648,80.9974
TS,2年国债,CFFEX,0.0073,0.0001,0.1733,0.8956,0.7742,-0.0236,0.1537,3.0422,77.3194
AL,沪铝,SHFE,0.1318,0.0015,0.1735,0.9178,0.9293,-0.0015,0.2046,-1.4557,66.2601
AO,氧化铝,SHFE,0.2539,0.0032,0.1739,0.8725,0.8367,-0.0549,0.2218,1.6947,49.637
BU,沥青,SHFE,0.2186,0.0025,0.1747,0.8177,0.7229,-0.0645,0.154,-1.0331,71.2082
RM,菜粕,CZCE,0.2464,0.0034,0.1748,0.8484,0.7732,-0.0636,0.1869,1.5705,50.2402
UR,尿素,CZCE,0.2119,0.0035,0.175,0.8367,0.7879,-0.0714,0.1423,0.6121,23.4499
EB,苯乙烯,DCE,0.2609,0.003,0.1752,0.9795,0.9246,-0.0184,0.1474,-3.3445,196.8286
CS,玉米淀粉,DCE,0.1163,0.0016,0.1758,0.8879,0.8648,-0.0432,0.0974,1.3013,70.2599
SM,锰硅,CZCE,0.2298,0.0031,0.1762,1.0507,1.2016,-0.013,0.224,-1.6725,59.7534
Y,豆油,DCE,0.1581,0.0023,0.1771,0.9672,0.982,0.0009,0.0754,0.0914,27.7937
CU,沪铜,SHFE,0.1575,0.0016,0.1773,1.0115,1.0015,0.0103,0.1818,-2.2286,107.5502
LG,原木,DCE,0.1337,0.0025,0.1781,1.0177,1.2115,-0.0118,0.1845,0.0021,13.3509
