product,dir,entry_i,exit_i,entry_dt,exit_dt,entry_px,exit_px,frac,hold_bars,ret,ret_unit,reason
A,空,1730,1797,2025-08-08 09:45:00,2025-08-13 09:15:00,4098.0,4110.106,1.0,67,-0.003354123962908728,-0.003354123962908728,止损
A,多,1858,1872,2025-08-15 21:15:00,2025-08-18 11:00:00,4141.0,4127.868,1.0,14,-0.003571214682443746,-0.003571214682443746,止损
A,多,1923,1925,2025-08-20 14:15:00,2025-08-20 14:45:00,4144.0,4132.0,0.3333333333333333,2,-0.0010985842985843151,-0.0032957528957529457,减仓
A,多,1923,1940,2025-08-20 14:15:00,2025-08-21 10:45:00,4144.0,4128.867,0.6666666666666666,17,-0.00270119047619047,-0.004051785714285705,止损
A,空,1951,1973,2025-08-21 21:30:00,2025-08-22 21:15:00,4106.0,4117.112999999999,1.0,22,-0.0031065270336092963,-0.0031065270336092963,止损
A,多,1997,1998,2025-08-25 21:30:00,2025-08-25 21:45:00,4126.0,4124.0,0.3333333333333333,1,-0.00029491032476974436,-0.0008847309743092331,减仓
A,多,1997,2000,2025-08-25 21:30:00,2025-08-25 22:15:00,4126.0,4120.0,0.6666666666666666,3,-0.0012361286152852069,-0.0018541929229278105,平多
A,空,2006,2050,2025-08-26 09:45:00,2025-08-28 09:15:00,4088.0,3949.8593,0.3333333333333333,44,0.011130585453359418,0.033391756360078254,极平
A,空,2006,2053,2025-08-26 09:45:00,2025-08-28 10:00:00,4088.0,3945.8817,0.3333333333333333,47,0.01145491682974559,0.034364750489236776,极平
A,空,2006,2054,2025-08-26 09:45:00,2025-08-28 10:15:00,4088.0,3941.9067,0.3333333333333333,48,0.01177903620352252,0.03533710861056756,极平
A,空,2249,2302,2025-09-09 21:15:00,2025-09-11 23:00:00,3958.0,3956.0,0.3333333333333333,53,3.510190331818367e-05,0.00010530570995455102,减仓
A,空,2249,2303,2025-09-09 21:15:00,2025-09-12 09:15:00,3958.0,3959.9559999999997,0.6666666666666666,54,-0.0005961259895570056,-0.0008941889843355085,止损
A,空,2331,2342,2025-09-15 10:45:00,2025-09-15 21:30:00,3928.0,3946.9429999999998,1.0,11,-0.005222556008146517,-0.005222556008146517,止损
A,空,2354,2442,2025-09-16 10:45:00,2025-09-22 09:30:00,3925.0,3916.0,0.3333333333333333,88,0.0006309978768577419,0.0018929936305732257,减仓
A,空,2354,2444,2025-09-16 10:45:00,2025-09-22 10:00:00,3925.0,3915.0,0.3333333333333333,90,0.0007159235668789806,0.002147770700636942,减仓
