product,exchange,name,rows,start,end,max_contracts,complete
IC,CFFEX,中证500,808,2026-03-16 13:15:00,2026-05-29 15:00:00,4,True
IF,CFFEX,沪深300,808,2026-03-16 13:15:00,2026-05-29 15:00:00,4,True
IH,CFFEX,上证50,808,2026-03-16 13:15:00,2026-05-29 15:00:00,4,True
IM,CFFEX,中证1000,808,2026-03-16 13:15:00,2026-05-29 15:00:00,4,True
T,CFFEX,10年国债,859,2026-03-16 13:15:00,2026-05-29 15:15:00,3,True
TF,CFFEX,5年国债,859,2026-03-16 13:15:00,2026-05-29 15:15:00,3,True
TL,CFFEX,30年国债,859,2026-03-16 13:15:00,2026-05-29 15:15:00,3,True
TS,CFFEX,2年国债,859,2026-03-16 13:15:00,2026-05-29 15:15:00,3,True
AP,CZCE,苹果,551,2026-03-16 13:45:00,2026-05-15 15:00:00,2,True
CF,CZCE,棉花,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,6,True
CJ,CZCE,红枣,756,2026-03-16 13:45:00,2026-05-29 15:00:00,6,True
CY,CZCE,棉纱,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,7,True
FG,CZCE,玻璃,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,12,True
MA,CZCE,甲醇,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,12,True
OI,CZCE,菜油,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,6,True
PF,CZCE,短纤,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,12,True
PK,CZCE,花生,574,2026-03-16 13:45:00,2026-05-19 15:00:00,2,True
PX,CZCE,对二甲苯,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,12,True
RM,CZCE,菜粕,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,7,True
RS,CZCE,菜籽,666,2026-03-16 13:45:00,2026-05-29 15:00:00,2,True
SA,CZCE,纯碱,1148,2026-03-16 13:45:00,2026-05-29 23:00:00,12,True
