d,o,h,l,c,v,p
2026-04-17 14:00:00,25525.000,25530.000,25480.000,25485.000,7528,368662
2026-04-17 14:15:00,25490.000,25505.000,25465.000,25480.000,735,368947
2026-04-17 14:30:00,25480.000,25500.000,25455.000,25465.000,4947,368900
2026-04-17 14:45:00,25470.000,25505.000,25455.000,25500.000,865,369173
2026-04-17 15:00:00,25500.000,25535.000,25495.000,25520.000,303,370218
2026-04-17 21:15:00,25430.000,25530.000,25385.000,25435.000,38754,371418
2026-04-17 21:30:00,25435.000,25435.000,25095.000,25200.000,87778,361697
2026-04-17 21:45:00,25195.000,25250.000,25120.000,25160.000,32357,362149
2026-04-17 22:00:00,25155.000,25205.000,25085.000,25205.000,26086,361491
2026-04-17 22:15:00,25200.000,25210.000,25110.000,25135.000,16008,360848
2026-04-17 22:30:00,25135.000,25220.000,25135.000,25180.000,12858,360956
2026-04-17 22:45:00,25180.000,25250.000,25180.000,25245.000,9000,361135
2026-04-17 23:00:00,25245.000,25270.000,25200.000,25205.000,14,361011
2026-04-17 23:15:00,25205.000,25295.000,25200.000,25275.000,37,361796
2026-04-17 23:30:00,25275.000,25295.000,25250.000,25260.000,4,362549
2026-04-17 23:45:00,25260.000,25270.000,25230.000,25235.000,5,362643
2026-04-18 00:15:00,25240.000,25250.000,25200.000,25200.000,27,362295
2026-04-18 00:30:00,25200.000,25210.000,25165.000,25175.000,1,361648
2026-04-18 00:45:00,25180.000,25210.000,25175.000,25190.000,13,361260
2026-04-18 01:00:00,25190.000,25195.000,25170.000,25185.000,8,360187
2026-04-20 00:00:00,25235.000,25255.000,25235.000,25240.000,54,362609
2026-04-20 09:15:00,25230.000,25260.000,25150.000,25230.000,48330,358316
2026-04-20 09:30:00,25230.000,25260.000,25200.000,25230.000,11741,358177
2026-04-20 09:45:00,25230.000,25270.000,25210.000,25255.000,3659,357546
2026-04-20 10:00:00,25255.000,25275.000,25170.000,25175.000,13522,356305
2026-04-20 10:15:00,25175.000,25210.000,25125.000,25130.000,15967,356945
2026-04-20 10:45:00,25140.000,25185.000,25130.000,25175.000,10699,357902
2026-04-20 11:00:00,25175.000,25180.000,25140.000,25180.000,7609,357157
2026-04-20 11:15:00,25180.000,25200.000,25155.000,25165.000,6676,356861
2026-04-20 11:30:00,25165.000,25200.000,25145.000,25195.000,5828,356778
2026-04-20 13:45:00,25195.000,25195.000,25060.000,25080.000,17445,355293
2026-04-20 14:00:00,25075.000,25120.000,25075.000,25105.000,7758,354836
2026-04-20 14:15:00,25105.000,25145.000,25100.000,25105.000,6114,354864
2026-04-20 14:30:00,25105.000,25115.000,25070.000,25110.000,7563,353552
2026-04-20 14:45:00,25110.000,25155.000,25110.000,25155.000,270,352914
2026-04-20 15:00:00,25150.000,25155.000,25110.000,25125.000,6476,351792
2026-04-20 21:15:00,25145.000,25160.000,25090.000,25120.000,18504,352097
2026-04-20 21:30:00,25120.000,25160.000,25120.000,25145.000,8066,352566
2026-04-20 21:45:00,25150.000,25205.000,25145.000,25190.000,12468,353713
2026-04-20 22:00:00,25195.000,25250.000,25185.000,25210.000,12693,355609
2026-04-20 22:15:00,25210.000,25225.000,25190.000,25215.000,7831,355976
2026-04-20 22:30:00,25215.000,25215.000,25180.000,25195.000,1379,356099
2026-04-20 22:45:00,25195.000,25205.000,25150.000,25180.000,5810,355644
2026-04-20 23:00:00,25180.000,25180.000,25145.000,25175.000,4986,355553
2026-04-20 23:15:00,25175.000,25190.000,25125.000,25135.000,5764,355873
2026-04-20 23:30:00,25135.000,25155.000,25120.000,25140.000,4517,355603
2026-04-20 23:45:00,25140.000,25140.000,25110.000,25120.000,2572,355338
2026-04-21 00:00:00,25120.000,25135.000,25110.000,25135.000,1729,355296
2026-04-21 00:15:00,25135.000,25155.000,25125.000,25150.000,1065,355061
2026-04-21 00:30:00,25150.000,25150.000,25125.000,25125.000,1098,355020
