d,o,h,l,c,v,p
2026-03-31 22:15:00,15465.000,15495.000,15450.000,15485.000,20069,496406
2026-03-31 22:30:00,15490.000,15530.000,15475.000,15520.000,26085,499030
2026-03-31 22:45:00,15520.000,15540.000,15505.000,15505.000,18476,500280
2026-03-31 23:00:00,15510.000,15525.000,15505.000,15510.000,9460,498138
2026-04-01 09:15:00,15435.000,15435.000,15330.000,15380.000,50976,492782
2026-04-01 09:30:00,15385.000,15390.000,15340.000,15365.000,13195,492306
2026-04-01 09:45:00,15360.000,15380.000,15340.000,15345.000,11831,492794
2026-04-01 10:00:00,15345.000,15360.000,15335.000,15340.000,4331,492153
2026-04-01 10:15:00,15340.000,15365.000,15315.000,15355.000,12009,489947
2026-04-01 10:45:00,15360.000,15365.000,15325.000,15330.000,7059,488690
2026-04-01 11:00:00,15330.000,15360.000,15330.000,15355.000,5466,487575
2026-04-01 11:15:00,15355.000,15360.000,15325.000,15325.000,7081,486392
2026-04-01 11:30:00,15325.000,15340.000,15315.000,15325.000,11478,487078
2026-04-01 13:45:00,15325.000,15330.000,15275.000,15280.000,21976,485572
2026-04-01 14:00:00,15275.000,15300.000,15275.000,15290.000,8160,483971
2026-04-01 14:15:00,15295.000,15310.000,15240.000,15240.000,17037,481612
2026-04-01 14:30:00,15240.000,15260.000,15230.000,15240.000,22673,476746
2026-04-01 14:45:00,15240.000,15245.000,15215.000,15220.000,18181,472891
2026-04-01 15:00:00,15220.000,15260.000,15210.000,15245.000,18004,468552
2026-04-01 21:15:00,15235.000,15265.000,15215.000,15265.000,30135,468309
2026-04-01 21:30:00,15265.000,15265.000,15230.000,15235.000,10292,469174
2026-04-01 21:45:00,15235.000,15240.000,15215.000,15235.000,8020,468907
2026-04-01 22:00:00,15235.000,15240.000,15220.000,15230.000,7044,469238
2026-04-01 22:15:00,15230.000,15270.000,15225.000,15255.000,9341,467509
2026-04-01 22:30:00,15255.000,15270.000,15250.000,15255.000,4949,467169
2026-04-01 22:45:00,15255.000,15270.000,15250.000,15260.000,3393,466561
2026-04-01 23:00:00,15260.000,15265.000,15250.000,15260.000,3483,465548
2026-04-02 09:15:00,15305.000,15345.000,15295.000,15340.000,26356,464451
2026-04-02 09:30:00,15340.000,15350.000,15320.000,15340.000,11731,464521
2026-04-02 09:45:00,15335.000,15345.000,15325.000,15330.000,6308,464020
2026-04-02 10:00:00,15325.000,15360.000,15320.000,15350.000,15487,465017
2026-04-02 10:15:00,15355.000,15395.000,15345.000,15380.000,17474,465582
2026-04-02 10:45:00,15380.000,15415.000,15370.000,15370.000,16,466325
2026-04-02 11:00:00,15375.000,15385.000,15330.000,15340.000,9637,464897
2026-04-02 11:15:00,15340.000,15345.000,15315.000,15320.000,9213,463889
2026-04-02 11:30:00,15320.000,15345.000,15320.000,15345.000,6942,461894
2026-04-02 13:45:00,15355.000,15370.000,15330.000,15350.000,10045,462181
2026-04-02 14:00:00,15355.000,15355.000,15325.000,15325.000,7147,461541
2026-04-02 14:15:00,15325.000,15325.000,15260.000,15285.000,16268,459484
2026-04-02 14:30:00,15285.000,15300.000,15260.000,15270.000,8152,458346
2026-04-02 14:45:00,15265.000,15280.000,15250.000,15255.000,8397,457061
2026-04-02 15:00:00,15245.000,15260.000,15230.000,15230.000,6476,455018
2026-04-02 21:15:00,15250.000,15250.000,15175.000,15210.000,52988,454180
2026-04-02 21:30:00,15210.000,15225.000,15195.000,15205.000,11985,453421
2026-04-02 21:45:00,15205.000,15260.000,15200.000,15250.000,13678,452924
2026-04-02 22:00:00,15250.000,15255.000,15235.000,15240.000,4157,452386
2026-04-02 22:15:00,15240.000,15240.000,15220.000,15235.000,4553,452269
2026-04-02 22:30:00,15235.000,15240.000,15220.000,15220.000,3978,452173
2026-04-02 22:45:00,15210.000,15235.000,15210.000,15215.000,6357,452095
