d,o,h,l,c,v,p
2026-03-31 22:15:00,2759.000,2759.000,2756.000,2757.000,2071,229862
2026-03-31 22:30:00,2757.000,2759.000,2755.000,2757.000,2885,229986
2026-03-31 22:45:00,2757.000,2759.000,2756.000,2759.000,1685,230184
2026-03-31 23:00:00,2759.000,2761.000,2758.000,2760.000,2912,229286
2026-04-01 09:15:00,2759.000,2766.000,2756.000,2759.000,6351,228247
2026-04-01 09:30:00,2757.000,2760.000,2753.000,2754.000,5698,226691
2026-04-01 09:45:00,2753.000,2758.000,2753.000,2758.000,3742,226649
2026-04-01 10:00:00,2758.000,2759.000,2754.000,2759.000,2653,225662
2026-04-01 10:15:00,2759.000,2759.000,2756.000,2758.000,1367,225387
2026-04-01 10:45:00,2758.000,2761.000,2758.000,2760.000,2375,224972
2026-04-01 11:00:00,2760.000,2760.000,2758.000,2759.000,2353,224546
2026-04-01 11:15:00,2759.000,2759.000,2754.000,2755.000,724,223696
2026-04-01 11:30:00,2755.000,2758.000,2754.000,2756.000,265,223518
2026-04-01 13:45:00,2757.000,2757.000,2747.000,2749.000,668,220702
2026-04-01 14:00:00,2749.000,2754.000,2749.000,2749.000,4,220240
2026-04-01 14:15:00,2749.000,2751.000,2748.000,2749.000,57,220071
2026-04-01 14:30:00,2749.000,2750.000,2745.000,2745.000,19,219297
2026-04-01 14:45:00,2745.000,2746.000,2741.000,2741.000,123,217975
2026-04-01 15:00:00,2742.000,2743.000,2740.000,2741.000,1451,216713
2026-04-01 21:15:00,2740.000,2742.000,2734.000,2738.000,17707,216328
2026-04-01 21:30:00,2739.000,2740.000,2736.000,2738.000,4836,215457
2026-04-01 21:45:00,2739.000,2740.000,2736.000,2740.000,3881,215060
2026-04-01 22:00:00,2740.000,2741.000,2737.000,2738.000,2780,214476
2026-04-01 22:15:00,2738.000,2739.000,2736.000,2736.000,2019,214119
2026-04-01 22:30:00,2736.000,2738.000,2736.000,2737.000,897,213906
2026-04-01 22:45:00,2737.000,2739.000,2736.000,2737.000,1175,213495
2026-04-01 23:00:00,2737.000,2738.000,2734.000,2735.000,2893,213002
2026-04-02 09:15:00,2735.000,2736.000,2730.000,2734.000,9849,212357
2026-04-02 09:30:00,2734.000,2739.000,2732.000,2739.000,4625,212136
2026-04-02 09:45:00,2739.000,2741.000,2736.000,2736.000,3992,212314
2026-04-02 10:00:00,2736.000,2739.000,2735.000,2738.000,1636,212267
2026-04-02 10:15:00,2737.000,2740.000,2737.000,2738.000,2029,211910
2026-04-02 10:45:00,2738.000,2744.000,2738.000,2742.000,4599,211544
2026-04-02 11:00:00,2742.000,2743.000,2740.000,2740.000,1591,211242
2026-04-02 11:15:00,2741.000,2743.000,2740.000,2743.000,1839,211120
2026-04-02 11:30:00,2743.000,2743.000,2741.000,2742.000,1644,210436
2026-04-02 13:45:00,2743.000,2753.000,2742.000,2752.000,7975,211891
2026-04-02 14:00:00,2753.000,2753.000,2749.000,2750.000,3222,211276
2026-04-02 14:15:00,2751.000,2752.000,2749.000,2749.000,2028,211368
2026-04-02 14:30:00,2750.000,2750.000,2746.000,2747.000,1954,210674
2026-04-02 14:45:00,2747.000,2752.000,2747.000,2752.000,2389,210447
2026-04-02 15:00:00,2751.000,2752.000,2746.000,2748.000,3837,210078
2026-04-02 21:15:00,2751.000,2752.000,2741.000,2741.000,14853,209256
2026-04-02 21:30:00,2740.000,2741.000,2737.000,2741.000,7983,209837
2026-04-02 21:45:00,2740.000,2741.000,2735.000,2738.000,5045,210707
2026-04-02 22:00:00,2738.000,2739.000,2735.000,2736.000,1355,210771
2026-04-02 22:15:00,2735.000,2736.000,2733.000,2733.000,3624,211134
2026-04-02 22:30:00,2733.000,2736.000,2733.000,2734.000,1649,211123
2026-04-02 22:45:00,2735.000,2738.000,2733.000,2735.000,3424,211235
2026-04-02 23:00:00,2735.000,2739.000,2735.000,2736.000,3000,210789
2026-04-03 09:15:00,2738.000,2738.000,2734.000,2735.000,5089,209115
2026-04-03 09:30:00,2735.000,2735.000,2732.000,2733.000,2681,208504
2026-04-03 09:45:00,2733.000,2735.000,2728.000,2729.000,7408,207548
2026-04-03 10:00:00,2729.000,2744.000,2729.000,2743.000,9141,207061
2026-04-03 10:15:00,2744.000,2746.000,2742.000,2744.000,4757,207284
2026-04-03 10:45:00,2744.000,2745.000,2740.000,2741.000,2602,207083
2026-04-03 11:00:00,2740.000,2743.000,2740.000,2742.000,2599,207088
2026-04-03 11:15:00,2742.000,2744.000,2740.000,2743.000,1999,207146
2026-04-03 11:30:00,2743.000,2744.000,2741.000,2744.000,1246,206909
2026-04-03 13:45:00,2743.000,2744.000,2742.000,2743.000,338,206783
2026-04-03 14:00:00,2743.000,2745.000,2742.000,2745.000,996,206038
2026-04-03 14:15:00,2745.000,2745.000,2743.000,2744.000,229,205872
2026-04-03 14:30:00,2744.000,2745.000,2739.000,2739.000,1814,205034
2026-04-03 14:45:00,2739.000,2740.000,2737.000,2739.000,6,204318
2026-04-03 15:00:00,2739.000,2741.000,2735.000,2740.000,420,203445
2026-04-07 09:15:00,2741.000,2743.000,2732.000,2735.000,11454,202844
2026-04-07 09:30:00,2735.000,2742.000,2733.000,2741.000,6054,203097
2026-04-07 09:45:00,2741.000,2742.000,2735.000,2737.000,3858,202637
2026-04-07 10:00:00,2738.000,2739.000,2735.000,2739.000,2511,202326
2026-04-07 10:15:00,2739.000,2739.000,2734.000,2737.000,2433,201850
2026-04-07 10:45:00,2737.000,2738.000,2734.000,2736.000,2664,201618
2026-04-07 11:00:00,2736.000,2737.000,2734.000,2734.000,2523,202241
2026-04-07 11:15:00,2734.000,2737.000,2733.000,2735.000,1795,202253
2026-04-07 11:30:00,2735.000,2745.000,2734.000,2744.000,5436,203020
