d,o,h,l,c,v,p
2026-04-17 14:00:00,102230.000,102380.000,102200.000,102300.000,2318,174623
2026-04-17 14:15:00,102300.000,102340.000,102100.000,102160.000,1407,174597
2026-04-17 14:30:00,102150.000,102260.000,102100.000,102130.000,1524,174723
2026-04-17 14:45:00,102130.000,102210.000,102010.000,102200.000,2808,174905
2026-04-17 15:00:00,102210.000,102360.000,102180.000,102330.000,60,176222
2026-04-17 21:15:00,102660.000,103040.000,102600.000,102690.000,16832,181997
2026-04-17 21:30:00,102670.000,102690.000,101830.000,102360.000,14679,182342
2026-04-17 21:45:00,102360.000,102640.000,102310.000,102550.000,5735,183726
2026-04-17 22:00:00,102550.000,102800.000,102360.000,102730.000,5227,184289
2026-04-17 22:15:00,102730.000,102740.000,102480.000,102570.000,2340,184065
2026-04-17 22:30:00,102570.000,102820.000,102550.000,102650.000,2343,184043
2026-04-17 22:45:00,102650.000,102940.000,102600.000,102900.000,3,184471
2026-04-17 23:00:00,102900.000,102910.000,102720.000,102830.000,95,184708
2026-04-17 23:15:00,102830.000,102930.000,102770.000,102830.000,24,184913
2026-04-17 23:30:00,102830.000,102960.000,102810.000,102900.000,4,185085
2026-04-17 23:45:00,102890.000,102970.000,102790.000,102800.000,3,184974
2026-04-18 00:15:00,102870.000,102990.000,102810.000,102950.000,6,185007
2026-04-18 00:30:00,102950.000,102980.000,102890.000,102890.000,6,185172
2026-04-18 00:45:00,102890.000,102960.000,102890.000,102890.000,2,185026
2026-04-18 01:00:00,102890.000,102980.000,102850.000,102910.000,1,184750
2026-04-20 00:00:00,102790.000,102900.000,102750.000,102870.000,2,184845
2026-04-20 09:15:00,102390.000,102630.000,102240.000,102580.000,14215,185889
2026-04-20 09:30:00,102580.000,102740.000,102510.000,102620.000,3929,187286
2026-04-20 09:45:00,102620.000,103110.000,102550.000,102970.000,7488,190567
2026-04-20 10:00:00,102960.000,103020.000,102830.000,102880.000,3885,191572
2026-04-20 10:15:00,102880.000,102950.000,102800.000,102950.000,2706,192336
2026-04-20 10:45:00,103000.000,103220.000,102870.000,103040.000,5924,194251
2026-04-20 11:00:00,103040.000,103070.000,102840.000,102910.000,3697,194880
2026-04-20 11:15:00,102910.000,103010.000,102820.000,102860.000,2632,194993
2026-04-20 11:30:00,102860.000,103000.000,102830.000,102960.000,2235,195288
2026-04-20 13:45:00,102690.000,102920.000,102440.000,102470.000,7381,195851
2026-04-20 14:00:00,102470.000,102830.000,102470.000,102730.000,3703,196060
2026-04-20 14:15:00,102730.000,102840.000,102700.000,102720.000,2673,196750
2026-04-20 14:30:00,102720.000,102780.000,102580.000,102630.000,1996,196893
2026-04-20 14:45:00,102630.000,102680.000,102540.000,102660.000,2559,196941
2026-04-20 15:00:00,102660.000,102670.000,102510.000,102620.000,1957,196798
2026-04-20 21:15:00,102500.000,102700.000,102470.000,102680.000,7587,198851
2026-04-20 21:30:00,102680.000,102800.000,102660.000,102790.000,3865,199874
2026-04-20 21:45:00,102790.000,102830.000,102600.000,102750.000,2573,200047
2026-04-20 22:00:00,102750.000,102800.000,102700.000,102730.000,1586,200161
2026-04-20 22:15:00,102730.000,102730.000,102600.000,102680.000,1836,200116
2026-04-20 22:30:00,102680.000,102700.000,102590.000,102660.000,1155,200168
2026-04-20 22:45:00,102660.000,102690.000,102500.000,102590.000,2033,199998
2026-04-20 23:00:00,102590.000,102660.000,102350.000,102490.000,2789,200130
2026-04-20 23:15:00,102490.000,102560.000,102280.000,102360.000,2641,199825
2026-04-20 23:30:00,102360.000,102480.000,102300.000,102480.000,1492,199596
2026-04-20 23:45:00,102480.000,102520.000,102420.000,102420.000,981,199573
2026-04-21 00:00:00,102420.000,102440.000,102380.000,102440.000,288,199548
2026-04-21 00:15:00,102440.000,102510.000,102360.000,102500.000,509,199471
2026-04-21 00:30:00,102500.000,102520.000,102400.000,102460.000,456,199401
2026-04-21 00:45:00,102460.000,102490.000,102410.000,102460.000,447,199330
2026-04-21 01:00:00,102460.000,102550.000,102450.000,102490.000,756,199149
2026-04-21 09:15:00,102470.000,102600.000,102160.000,102180.000,6153,198663
2026-04-21 09:30:00,102180.000,102380.000,102180.000,102350.000,2919,199011
2026-04-21 09:45:00,102350.000,102450.000,102170.000,102280.000,3688,198883
2026-04-21 10:00:00,102290.000,102350.000,102190.000,102280.000,2367,199169
2026-04-21 10:15:00,102280.000,102320.000,102140.000,102210.000,2835,199027
2026-04-21 10:45:00,102220.000,102240.000,102140.000,102200.000,2740,198763
2026-04-21 11:00:00,102200.000,102230.000,102080.000,102190.000,1772,198675
2026-04-21 11:15:00,102190.000,102230.000,102130.000,102160.000,1775,198550
2026-04-21 11:30:00,102170.000,102190.000,101930.000,102030.000,4329,197764
2026-04-21 13:45:00,102190.000,102450.000,102030.000,102330.000,6310,199035
2026-04-21 14:00:00,102330.000,102330.000,101960.000,102050.000,5188,198655
2026-04-21 14:15:00,102050.000,102100.000,101960.000,101990.000,2430,198754
2026-04-21 14:30:00,101990.000,102160.000,101950.000,102110.000,2832,199046
2026-04-21 14:45:00,102130.000,102250.000,102100.000,102230.000,468,199143
2026-04-21 15:00:00,102230.000,102290.000,102130.000,102140.000,2562,199316
2026-04-21 21:15:00,102310.000,102620.000,102310.000,102590.000,8289,198538
2026-04-21 21:30:00,102600.000,102650.000,102480.000,102550.000,3477,199039
2026-04-21 21:45:00,102550.000,102590.000,102470.000,102580.000,1635,199198
2026-04-21 22:00:00,102580.000,102810.000,102560.000,102700.000,4355,199631
2026-04-21 22:15:00,102700.000,102720.000,102620.000,102630.000,1448,199670
2026-04-21 22:30:00,102630.000,102740.000,102620.000,102730.000,1344,199965
2026-04-21 22:45:00,102740.000,102770.000,102380.000,102380.000,3175,199536
2026-04-21 23:00:00,102370.000,102420.000,102100.000,102310.000,5886,198362
2026-04-21 23:15:00,102310.000,102460.000,102250.000,102420.000,1852,198543
2026-04-21 23:30:00,102420.000,102470.000,102290.000,102320.000,1351,198473
2026-04-21 23:45:00,102320.000,102350.000,102120.000,102200.000,2332,198269
2026-04-22 00:00:00,102200.000,102260.000,102160.000,102180.000,1168,198323
2026-04-22 00:15:00,102180.000,102260.000,102150.000,102170.000,729,198301
2026-04-22 00:30:00,102170.000,102200.000,102070.000,102080.000,715,198274
2026-04-22 00:45:00,102070.000,102150.000,102060.000,102130.000,535,198284
2026-04-22 01:00:00,102130.000,102200.000,102100.000,102100.000,970,198170
2026-04-22 09:15:00,102260.000,102580.000,102100.000,102360.000,5301,198358
2026-04-22 09:30:00,102360.000,102430.000,102340.000,102370.000,1165,198395
2026-04-22 09:45:00,102370.000,102410.000,102250.000,102300.000,2261,198279
2026-04-22 10:00:00,102300.000,102330.000,102200.000,102210.000,2060,198524
2026-04-22 10:15:00,102210.000,102350.000,102200.000,102350.000,441,198412
2026-04-22 10:45:00,102320.000,102420.000,102140.000,102190.000,3886,198246
2026-04-22 11:00:00,102190.000,102280.000,102180.000,102280.000,919,198424
2026-04-22 11:15:00,102350.000,102480.000,102290.000,102380.000,3154,198972
2026-04-22 11:30:00,102380.000,102490.000,102360.000,102460.000,1483,199288
2026-04-22 13:45:00,102560.000,102720.000,102440.000,102650.000,6306,200964
2026-04-22 14:00:00,102650.000,102810.000,102620.000,102690.000,5055,202686
2026-04-22 14:15:00,102690.000,102740.000,102570.000,102620.000,2632,203197
2026-04-22 14:30:00,102620.000,102790.000,102620.000,102740.000,2263,204134
2026-04-22 14:45:00,102740.000,102770.000,102670.000,102720.000,53,204421
2026-04-22 15:00:00,102730.000,102760.000,102640.000,102640.000,65,204017
2026-04-22 21:15:00,102630.000,102800.000,102630.000,102670.000,6192,204346
2026-04-22 21:30:00,102670.000,102680.000,102490.000,102670.000,3191,203842
2026-04-22 21:45:00,102670.000,102700.000,102560.000,102670.000,1760,203802
2026-04-22 22:00:00,102670.000,102760.000,102660.000,102730.000,2023,203930
2026-04-22 22:15:00,102730.000,103350.000,102730.000,103240.000,12998,208215
2026-04-22 22:30:00,103240.000,103700.000,103240.000,103600.000,394,213640
2026-04-22 22:45:00,103600.000,103630.000,103350.000,103360.000,7116,214167
2026-04-22 23:00:00,103370.000,103650.000,103350.000,103600.000,5226,215641
2026-04-22 23:15:00,103600.000,103910.000,103580.000,103860.000,8680,219083
2026-04-22 23:30:00,103860.000,104000.000,103800.000,103880.000,4608,220121
2026-04-22 23:45:00,103880.000,103900.000,103750.000,103880.000,2936,220010
2026-04-23 00:00:00,103870.000,103950.000,103820.000,103910.000,137,220039
2026-04-23 00:15:00,103910.000,103940.000,103870.000,103920.000,1013,220067
2026-04-23 00:30:00,103920.000,103920.000,103800.000,103870.000,903,219879
2026-04-23 00:45:00,103870.000,103940.000,103810.000,103870.000,830,219926
2026-04-23 01:00:00,103870.000,103900.000,103840.000,103900.000,843,219823
2026-04-23 09:15:00,104010.000,104150.000,103640.000,103650.000,11255,220164
2026-04-23 09:30:00,103650.000,103680.000,103450.000,103470.000,6542,219524
2026-04-23 09:45:00,103490.000,103520.000,103300.000,103360.000,6297,219755
2026-04-23 10:00:00,103360.000,103480.000,102930.000,103070.000,9285,218994
2026-04-23 10:15:00,103070.000,103190.000,103000.000,103100.000,4481,219069
2026-04-23 10:45:00,103070.000,103090.000,102590.000,102700.000,10714,217497
2026-04-23 11:00:00,102700.000,102740.000,102350.000,102360.000,8506,216709
2026-04-23 11:15:00,102380.000,102580.000,102160.000,102260.000,7445,215747
2026-04-23 11:30:00,102240.000,102500.000,102170.000,102390.000,5537,215324
2026-04-23 13:45:00,102550.000,102690.000,102400.000,102630.000,6251,215341
2026-04-23 14:00:00,102630.000,102850.000,102630.000,102780.000,2015,216136
2026-04-23 14:15:00,102780.000,102830.000,102560.000,102600.000,2916,216091
2026-04-23 14:30:00,102580.000,102750.000,102580.000,102730.000,2823,216614
2026-04-23 14:45:00,102730.000,102740.000,102620.000,102690.000,2369,216416
2026-04-23 15:00:00,102690.000,102840.000,102660.000,102780.000,3711,216998
2026-04-23 21:15:00,102830.000,103010.000,102780.000,102800.000,7874,216932
2026-04-23 21:30:00,102800.000,102960.000,102770.000,102860.000,2660,217048
2026-04-23 21:45:00,102860.000,102950.000,102750.000,102850.000,2348,216827
2026-04-23 22:00:00,102850.000,102940.000,102680.000,102730.000,2221,216627
2026-04-23 22:15:00,102730.000,102850.000,102620.000,102800.000,2555,216336
2026-04-23 22:30:00,102800.000,103220.000,102790.000,103130.000,44,216609
2026-04-23 22:45:00,103140.000,103280.000,103080.000,103180.000,4352,216899
2026-04-23 23:00:00,103180.000,103270.000,103120.000,103190.000,2428,217273
2026-04-23 23:15:00,103190.000,103360.000,103170.000,103300.000,3024,217837
2026-04-23 23:30:00,103310.000,103620.000,103300.000,103430.000,5843,218100
2026-04-23 23:45:00,103440.000,103470.000,103260.000,103260.000,2883,217994
2026-04-24 00:00:00,103260.000,103270.000,103160.000,103230.000,2282,217474
2026-04-24 00:15:00,103230.000,103270.000,103130.000,103170.000,711,217325
2026-04-24 00:30:00,103170.000,103200.000,103110.000,103120.000,773,217113
2026-04-24 00:45:00,103120.000,103230.000,103060.000,103210.000,917,216870
2026-04-24 01:00:00,103220.000,103240.000,103150.000,103170.000,859,216674
2026-04-24 09:15:00,102940.000,103170.000,102800.000,103000.000,6930,216379
2026-04-24 09:30:00,103000.000,103020.000,102770.000,102770.000,2725,216157
2026-04-24 09:45:00,102770.000,102820.000,102500.000,102530.000,6978,214871
2026-04-24 10:00:00,102530.000,102670.000,102500.000,102630.000,2077,214127
2026-04-24 10:15:00,102630.000,102680.000,102520.000,102680.000,2732,214089
2026-04-24 10:45:00,102570.000,102680.000,102560.000,102630.000,2948,214228
2026-04-24 11:00:00,102630.000,102680.000,102460.000,102670.000,4103,214012
2026-04-24 11:15:00,102670.000,102670.000,102360.000,102390.000,4421,214095
2026-04-24 11:30:00,102380.000,102500.000,102370.000,102450.000,2427,213763
2026-04-24 13:45:00,102500.000,102610.000,102450.000,102550.000,1318,213538
2026-04-24 14:00:00,102550.000,102580.000,102450.000,102560.000,2137,213001
2026-04-24 14:15:00,102560.000,102630.000,102510.000,102550.000,2064,212725
2026-04-24 14:30:00,102550.000,102610.000,102390.000,102400.000,3831,212279
2026-04-24 14:45:00,102400.000,102450.000,102270.000,102300.000,4955,211619
2026-04-24 15:00:00,102300.000,102520.000,102250.000,102460.000,4303,210600
2026-04-24 21:15:00,102630.000,102940.000,102600.000,102920.000,8119,210861
2026-04-24 21:30:00,102920.000,103080.000,102740.000,102830.000,5849,211238
2026-04-24 21:45:00,102830.000,102860.000,102710.000,102750.000,3189,210941
2026-04-24 22:00:00,102750.000,102940.000,102750.000,102920.000,2524,211155
2026-04-24 22:15:00,102920.000,102970.000,102800.000,102900.000,2796,211182
2026-04-24 22:30:00,102900.000,102920.000,102720.000,102790.000,20,210627
2026-04-24 22:45:00,102790.000,102920.000,102780.000,102910.000,1536,210417
2026-04-24 23:00:00,102910.000,102980.000,102880.000,102980.000,8,210461
2026-04-24 23:15:00,102980.000,103120.000,102880.000,102970.000,6,210788
2026-04-24 23:30:00,102970.000,102990.000,102900.000,102930.000,8,210659
2026-04-24 23:45:00,102930.000,103040.000,102860.000,102960.000,5,210603
2026-04-25 00:15:00,102980.000,103010.000,102910.000,102910.000,31,211218
2026-04-25 00:30:00,102910.000,102950.000,102840.000,102920.000,1,211179
2026-04-25 00:45:00,102920.000,102930.000,102780.000,102850.000,1,211052
2026-04-25 01:00:00,102850.000,102860.000,102770.000,102780.000,39,210849
2026-04-27 00:00:00,102990.000,103070.000,102910.000,102980.000,29,211174
2026-04-27 09:15:00,102850.000,103230.000,102830.000,102850.000,12044,210778
2026-04-27 09:30:00,102860.000,102940.000,102720.000,102810.000,3664,210982
2026-04-27 09:45:00,102810.000,102920.000,102790.000,102920.000,1734,210998
2026-04-27 10:00:00,102910.000,103150.000,102900.000,103040.000,4580,211518
2026-04-27 10:15:00,103050.000,103100.000,102950.000,102990.000,2340,211384
2026-04-27 10:45:00,103010.000,103120.000,102960.000,103060.000,2479,211907
2026-04-27 11:00:00,103060.000,103370.000,103040.000,103220.000,7782,214363
2026-04-27 11:15:00,103220.000,103270.000,103030.000,103150.000,3340,214524
2026-04-27 11:30:00,103150.000,103200.000,103060.000,103200.000,1691,214695
2026-04-27 13:45:00,103110.000,103200.000,102820.000,102940.000,5521,213964
2026-04-27 14:00:00,102940.000,103020.000,102910.000,102930.000,2829,213636
