d,o,h,l,c,v,p
2026-03-31 22:15:00,5247.000,5249.000,5193.000,5204.000,37922,286244
2026-03-31 22:30:00,5204.000,5238.000,5189.000,5224.000,1736,283725
2026-03-31 22:45:00,5226.000,5274.000,5221.000,5261.000,24885,282454
2026-03-31 23:00:00,5260.000,5298.000,5256.000,5296.000,30894,278161
2026-04-01 09:15:00,5295.000,5295.000,5091.000,5138.000,72830,278514
2026-04-01 09:30:00,5138.000,5157.000,5098.000,5136.000,40866,281519
2026-04-01 09:45:00,5150.000,5220.000,5135.000,5185.000,53229,286714
2026-04-01 10:00:00,5199.000,5215.000,5171.000,5197.000,5148,286310
2026-04-01 10:15:00,5186.000,5200.000,5134.000,5150.000,22574,284480
2026-04-01 10:45:00,5147.000,5208.000,5142.000,5194.000,26675,286460
2026-04-01 11:00:00,5194.000,5249.000,5175.000,5249.000,24998,288791
2026-04-01 11:15:00,5248.000,5255.000,5211.000,5221.000,1871,292339
2026-04-01 11:30:00,5220.000,5264.000,5212.000,5247.000,815,292727
2026-04-01 13:45:00,5216.000,5218.000,5073.000,5085.000,26209,290231
2026-04-01 14:00:00,5085.000,5098.000,4996.000,5037.000,2031,287411
2026-04-01 14:15:00,5037.000,5045.000,5007.000,5020.000,1084,289024
2026-04-01 14:30:00,5019.000,5056.000,4935.000,4935.000,2926,285519
2026-04-01 14:45:00,4911.000,4936.000,4857.000,4876.000,1904,282382
2026-04-01 15:00:00,4874.000,4908.000,4863.000,4863.000,23965,277483
2026-04-01 21:15:00,4915.000,4965.000,4901.000,4928.000,87399,285584
2026-04-01 21:30:00,4929.000,4935.000,4891.000,4904.000,39071,285019
2026-04-01 21:45:00,4904.000,4909.000,4864.000,4885.000,45478,286042
2026-04-01 22:00:00,4884.000,4908.000,4876.000,4897.000,21621,287479
2026-04-01 22:15:00,4897.000,4911.000,4875.000,4880.000,20661,287085
2026-04-01 22:30:00,4880.000,4904.000,4872.000,4893.000,1318,286972
2026-04-01 22:45:00,4893.000,4926.000,4882.000,4907.000,28138,283313
2026-04-01 23:00:00,4907.000,4914.000,4876.000,4880.000,21319,278107
2026-04-02 09:15:00,4849.000,4970.000,4833.000,4932.000,86938,279556
2026-04-02 09:30:00,4931.000,5064.000,4931.000,5052.000,99232,284994
2026-04-02 09:45:00,5052.000,5108.000,5044.000,5093.000,69107,287405
2026-04-02 10:00:00,5096.000,5128.000,5079.000,5110.000,40994,291718
2026-04-02 10:15:00,5109.000,5177.000,5098.000,5161.000,47041,298913
2026-04-02 10:45:00,5155.000,5212.000,5143.000,5190.000,51439,307276
2026-04-02 11:00:00,5194.000,5208.000,5163.000,5177.000,34311,306461
2026-04-02 11:15:00,5176.000,5190.000,5171.000,5177.000,18643,307200
2026-04-02 11:30:00,5178.000,5188.000,5157.000,5164.000,22031,304305
2026-04-02 13:45:00,5198.000,5237.000,5164.000,5225.000,53318,306707
2026-04-02 14:00:00,5228.000,5250.000,5204.000,5215.000,36953,305564
2026-04-02 14:15:00,5218.000,5222.000,5196.000,5212.000,26695,302442
2026-04-02 14:30:00,5214.000,5214.000,5173.000,5185.000,35755,300574
2026-04-02 14:45:00,5186.000,5189.000,5153.000,5162.000,31567,294731
2026-04-02 15:00:00,5165.000,5186.000,5138.000,5152.000,25937,289075
2026-04-02 21:15:00,5310.000,5342.000,5211.000,5262.000,95821,290872
2026-04-02 21:30:00,5262.000,5271.000,5227.000,5248.000,40191,292217
2026-04-02 21:45:00,5247.000,5249.000,5181.000,5207.000,45996,290253
2026-04-02 22:00:00,5205.000,5209.000,5165.000,5169.000,34346,288610
2026-04-02 22:15:00,5169.000,5196.000,5131.000,5165.000,38140,284743
2026-04-02 22:30:00,5162.000,5162.000,5127.000,5144.000,27830,284185
2026-04-02 22:45:00,5143.000,5147.000,4983.000,4985.000,75604,278732
2026-04-02 23:00:00,4985.000,5045.000,4985.000,5030.000,52031,273494
2026-04-03 09:15:00,5080.000,5109.000,5031.000,5084.000,48577,276011
2026-04-03 09:30:00,5084.000,5087.000,5039.000,5062.000,27165,276185
2026-04-03 09:45:00,5061.000,5083.000,5057.000,5067.000,18608,275931
2026-04-03 10:00:00,5068.000,5113.000,5063.000,5092.000,21758,276386
2026-04-03 10:15:00,5092.000,5096.000,5068.000,5080.000,20611,276956
2026-04-03 10:45:00,5084.000,5086.000,5023.000,5073.000,9035,276322
2026-04-03 11:00:00,5073.000,5108.000,5058.000,5099.000,25671,278431
2026-04-03 11:15:00,5102.000,5111.000,5081.000,5098.000,19989,277087
2026-04-03 11:30:00,5100.000,5118.000,5086.000,5107.000,14568,276468
2026-04-03 13:45:00,5118.000,5128.000,5082.000,5105.000,35496,279174
2026-04-03 14:00:00,5104.000,5122.000,5083.000,5115.000,6223,278199
2026-04-03 14:15:00,5114.000,5192.000,5107.000,5180.000,5732,281761
2026-04-03 14:30:00,5178.000,5225.000,5174.000,5214.000,15295,286721
2026-04-03 14:45:00,5213.000,5248.000,5211.000,5240.000,32,288412
2026-04-03 15:00:00,5237.000,5242.000,5189.000,5237.000,2177,278978
2026-04-07 09:15:00,5418.000,5433.000,5315.000,5409.000,113129,294699
2026-04-07 09:30:00,5419.000,5468.000,5371.000,5454.000,55394,298306
2026-04-07 09:45:00,5455.000,5496.000,5443.000,5471.000,41934,300868
2026-04-07 10:00:00,5476.000,5522.000,5447.000,5517.000,36386,302339
2026-04-07 10:15:00,5515.000,5520.000,5472.000,5496.000,26173,300880
2026-04-07 10:45:00,5490.000,5586.000,5479.000,5580.000,48175,307523
2026-04-07 11:00:00,5580.000,5609.000,5546.000,5565.000,44755,309578
2026-04-07 11:15:00,5565.000,5613.000,5538.000,5606.000,36480,313460
2026-04-07 11:30:00,5608.000,5645.000,5602.000,5643.000,37181,318786
2026-04-07 13:45:00,5670.000,5706.000,5644.000,5706.000,81336,337376
2026-04-07 14:00:00,5706.000,5706.000,5706.000,5706.000,24,333387
2026-04-07 14:15:00,5706.000,5706.000,5686.000,5706.000,82,338594
2026-04-07 14:30:00,5706.000,5706.000,5706.000,5706.000,11,338455
2026-04-07 14:45:00,5706.000,5706.000,5706.000,5706.000,432,337029
2026-04-07 15:00:00,5706.000,5706.000,5706.000,5706.000,239,334867
2026-04-07 21:15:00,5760.000,5796.000,5677.000,5733.000,172802,329088
2026-04-07 21:30:00,5729.000,5779.000,5685.000,5713.000,79465,328157
2026-04-07 21:45:00,5713.000,5804.000,5699.000,5790.000,58405,330657
2026-04-07 22:00:00,5791.000,5813.000,5709.000,5740.000,82087,327532
2026-04-07 22:15:00,5740.000,5784.000,5724.000,5776.000,40860,326881
2026-04-07 22:30:00,5776.000,5795.000,5746.000,5765.000,8730,326103
2026-04-07 22:45:00,5765.000,5777.000,5737.000,5744.000,30584,322867
2026-04-07 23:00:00,5744.000,5787.000,5720.000,5786.000,39214,315054
2026-04-08 09:15:00,5198.000,5785.000,5004.000,5092.000,268791,279057
2026-04-08 09:30:00,5092.000,5173.000,5085.000,5172.000,77693,278964
2026-04-08 09:45:00,5172.000,5202.000,5133.000,5192.000,42733,276323
2026-04-08 10:00:00,5194.000,5194.000,5121.000,5143.000,40678,274395
2026-04-08 10:15:00,5144.000,5206.000,5134.000,5197.000,38860,275689
2026-04-08 10:45:00,5209.000,5216.000,5157.000,5173.000,464,273717
2026-04-08 11:00:00,5174.000,5256.000,5166.000,5240.000,40004,275710
2026-04-08 11:15:00,5241.000,5242.000,5167.000,5181.000,41733,273029
2026-04-08 11:30:00,5181.000,5206.000,5168.000,5189.000,23880,272471
2026-04-08 13:45:00,5186.000,5188.000,5134.000,5157.000,39506,269976
2026-04-08 14:00:00,5157.000,5162.000,5132.000,5144.000,18439,270122
2026-04-08 14:15:00,5145.000,5147.000,5043.000,5046.000,48704,266433
2026-04-08 14:30:00,5044.000,5051.000,4968.000,4977.000,73659,265365
2026-04-08 14:45:00,4977.000,5029.000,4977.000,4995.000,49342,263218
2026-04-08 15:00:00,4993.000,5071.000,4985.000,5071.000,44797,257431
2026-04-08 21:15:00,4985.000,5051.000,4962.000,5027.000,100507,258790
2026-04-08 21:30:00,5026.000,5051.000,5013.000,5049.000,30737,260457
2026-04-08 21:45:00,5049.000,5082.000,5031.000,5072.000,42854,262060
2026-04-08 22:00:00,5073.000,5094.000,5050.000,5090.000,34716,262481
2026-04-08 22:15:00,5091.000,5091.000,5045.000,5050.000,38477,262223
2026-04-08 22:30:00,5050.000,5079.000,5037.000,5069.000,2861,260493
2026-04-08 22:45:00,5070.000,5101.000,5065.000,5083.000,31418,258778
2026-04-08 23:00:00,5083.000,5133.000,5073.000,5093.000,36857,254087
2026-04-09 09:15:00,5159.000,5237.000,5090.000,5199.000,85352,260009
2026-04-09 09:30:00,5199.000,5233.000,5192.000,5231.000,26488,259055
2026-04-09 09:45:00,5233.000,5233.000,5118.000,5136.000,52115,256692
2026-04-09 10:00:00,5137.000,5141.000,5081.000,5087.000,19599,256899
2026-04-09 10:15:00,5080.000,5093.000,5047.000,5065.000,40994,258853
2026-04-09 10:45:00,5076.000,5076.000,5039.000,5057.000,30482,262914
2026-04-09 11:00:00,5057.000,5122.000,5057.000,5120.000,35589,265328
2026-04-09 11:15:00,5118.000,5141.000,5102.000,5141.000,32397,263746
2026-04-09 11:30:00,5139.000,5150.000,5120.000,5136.000,22360,260967
2026-04-09 13:45:00,5153.000,5171.000,5135.000,5141.000,10354,259777
2026-04-09 14:00:00,5142.000,5154.000,5110.000,5140.000,27956,261317
2026-04-09 14:15:00,5140.000,5152.000,5115.000,5141.000,20359,259815
2026-04-09 14:30:00,5141.000,5167.000,5120.000,5142.000,19309,259470
2026-04-09 14:45:00,5143.000,5145.000,5130.000,5140.000,13824,259313
2026-04-09 15:00:00,5143.000,5163.000,5139.000,5152.000,5173,255152
2026-04-09 21:15:00,5197.000,5213.000,5165.000,5176.000,68098,258885
2026-04-09 21:30:00,5176.000,5176.000,5123.000,5127.000,36695,258010
2026-04-09 21:45:00,5125.000,5142.000,5120.000,5132.000,26952,259825
2026-04-09 22:00:00,5132.000,5172.000,5126.000,5144.000,34085,259774
2026-04-09 22:15:00,5143.000,5149.000,5123.000,5129.000,22551,259408
2026-04-09 22:30:00,5129.000,5165.000,5129.000,5158.000,950,258129
2026-04-09 22:45:00,5156.000,5184.000,5151.000,5169.000,26092,256803
2026-04-09 23:00:00,5168.000,5170.000,5145.000,5149.000,17929,252142
2026-04-10 09:15:00,5124.000,5149.000,5055.000,5059.000,66466,249610
2026-04-10 09:30:00,5060.000,5064.000,4993.000,4999.000,62111,254150
2026-04-10 09:45:00,4999.000,5015.000,4923.000,4960.000,70885,255720
2026-04-10 10:00:00,4962.000,4980.000,4958.000,4967.000,33669,258704
2026-04-10 10:15:00,4970.000,4989.000,4944.000,4947.000,29271,258947
2026-04-10 10:45:00,4947.000,4986.000,4945.000,4955.000,6137,258648
2026-04-10 11:00:00,4955.000,4960.000,4897.000,4909.000,44815,257859
2026-04-10 11:15:00,4909.000,4909.000,4848.000,4888.000,65437,260750
2026-04-10 11:30:00,4888.000,4934.000,4880.000,4925.000,45195,257750
2026-04-10 13:45:00,4922.000,4951.000,4894.000,4922.000,43771,257109
2026-04-10 14:00:00,4924.000,4929.000,4890.000,4908.000,23761,256862
2026-04-10 14:15:00,4908.000,4919.000,4892.000,4910.000,18285,256396
2026-04-10 14:30:00,4908.000,4970.000,4901.000,4955.000,35219,254288
2026-04-10 14:45:00,4955.000,4956.000,4926.000,4937.000,27418,251835
2026-04-10 15:00:00,4937.000,4950.000,4932.000,4943.000,11760,245559
2026-04-10 21:15:00,4904.000,4910.000,4838.000,4867.000,79527,245654
2026-04-10 21:30:00,4868.000,4902.000,4864.000,4892.000,33475,245674
2026-04-10 21:45:00,4892.000,4913.000,4889.000,4903.000,24250,245982
2026-04-10 22:00:00,4903.000,4905.000,4870.000,4883.000,28785,246610
2026-04-10 22:15:00,4883.000,4888.000,4858.000,4869.000,25842,245130
2026-04-10 22:30:00,4869.000,4884.000,4859.000,4878.000,410,244347
2026-04-10 22:45:00,4878.000,4906.000,4873.000,4899.000,19822,243088
2026-04-10 23:00:00,4899.000,4937.000,4896.000,4937.000,28900,237177
2026-04-13 09:15:00,5120.000,5142.000,4998.000,5021.000,160957,239360
2026-04-13 09:30:00,5018.000,5031.000,4999.000,5014.000,33272,241951
2026-04-13 09:45:00,5014.000,5050.000,5010.000,5012.000,25300,241188
2026-04-13 10:00:00,5012.000,5026.000,4964.000,4979.000,30116,242904
2026-04-13 10:15:00,4980.000,5008.000,4974.000,4992.000,22365,242043
2026-04-13 10:45:00,4994.000,4999.000,4971.000,4982.000,17384,243507
2026-04-13 11:00:00,4982.000,5005.000,4973.000,4977.000,13649,243798
2026-04-13 11:15:00,4977.000,4990.000,4937.000,4983.000,30477,242795
2026-04-13 11:30:00,4983.000,5019.000,4979.000,5005.000,21987,240338
2026-04-13 13:45:00,5003.000,5034.000,5002.000,5014.000,23630,240187
2026-04-13 14:00:00,5014.000,5017.000,4989.000,5009.000,14314,239360
2026-04-13 14:15:00,5009.000,5013.000,4987.000,5000.000,11383,239168
2026-04-13 14:30:00,5000.000,5001.000,4979.000,4992.000,14429,236858
2026-04-13 14:45:00,4992.000,4997.000,4981.000,4994.000,487,236700
2026-04-13 15:00:00,4994.000,4994.000,4969.000,4969.000,2407,233210
2026-04-13 21:15:00,4980.000,5063.000,4974.000,5024.000,63006,232691
2026-04-13 21:30:00,5025.000,5044.000,5014.000,5023.000,25274,231596
2026-04-13 21:45:00,5023.000,5028.000,5006.000,5026.000,19300,231403
2026-04-13 22:00:00,5026.000,5027.000,4920.000,4927.000,68177,229506
2026-04-13 22:15:00,4927.000,4935.000,4893.000,4912.000,45164,229059
2026-04-13 22:30:00,4912.000,4944.000,4903.000,4931.000,3229,228153
2026-04-13 22:45:00,4931.000,4941.000,4912.000,4938.000,19726,226276
2026-04-13 23:00:00,4937.000,4966.000,4933.000,4939.000,26030,220887
2026-04-14 09:15:00,4851.000,4938.000,4825.000,4884.000,49366,221743
2026-04-14 09:30:00,4884.000,4905.000,4854.000,4861.000,26040,222314
2026-04-14 09:45:00,4864.000,4872.000,4840.000,4851.000,24433,221368
2026-04-14 10:00:00,4847.000,4884.000,4837.000,4876.000,1832,220270
2026-04-14 10:15:00,4875.000,4881.000,4848.000,4868.000,12188,219121
2026-04-14 10:45:00,4864.000,4894.000,4855.000,4887.000,11722,218621
2026-04-14 11:00:00,4888.000,4915.000,4883.000,4887.000,19607,217860
2026-04-14 11:15:00,4885.000,4915.000,4871.000,4906.000,14887,217776
2026-04-14 11:30:00,4905.000,4929.000,4905.000,4920.000,12924,216498
2026-04-14 13:45:00,4912.000,4929.000,4900.000,4920.000,17133,215371
2026-04-14 14:00:00,4921.000,4927.000,4911.000,4916.000,7186,215228
2026-04-14 14:15:00,4916.000,4921.000,4889.000,4901.000,16576,214144
2026-04-14 14:30:00,4901.000,4914.000,4893.000,4913.000,7268,213277
2026-04-14 14:45:00,4913.000,4934.000,4912.000,4923.000,12369,211708
2026-04-14 15:00:00,4923.000,4933.000,4922.000,4925.000,60,207909
2026-04-14 21:15:00,4893.000,4953.000,4893.000,4907.000,44509,210665
2026-04-14 21:30:00,4907.000,4923.000,4895.000,4921.000,21611,211308
2026-04-14 21:45:00,4920.000,4925.000,4901.000,4909.000,17415,210242
2026-04-14 22:00:00,4911.000,4922.000,4876.000,4877.000,20901,209345
2026-04-14 22:15:00,4876.000,4885.000,4858.000,4878.000,30335,207182
2026-04-14 22:30:00,4878.000,4890.000,4873.000,4879.000,15004,206502
2026-04-14 22:45:00,4879.000,4906.000,4877.000,4896.000,13164,205222
2026-04-14 23:00:00,4897.000,4905.000,4889.000,4904.000,12173,201051
2026-04-15 09:15:00,4863.000,4905.000,4820.000,4843.000,53083,199847
2026-04-15 09:30:00,4855.000,4864.000,4836.000,4844.000,22970,199146
2026-04-15 09:45:00,4847.000,4880.000,4837.000,4868.000,17627,197592
2026-04-15 10:00:00,4867.000,4899.000,4864.000,4888.000,16520,196271
2026-04-15 10:15:00,4906.000,4918.000,4889.000,4918.000,8215,195939
2026-04-15 10:45:00,4920.000,4985.000,4919.000,4972.000,36822,195693
2026-04-15 11:00:00,4972.000,5000.000,4954.000,4992.000,25121,196308
2026-04-15 11:15:00,4977.000,4993.000,4970.000,4972.000,16390,196214
2026-04-15 11:30:00,4956.000,4974.000,4949.000,4958.000,16079,194615
2026-04-15 13:45:00,4965.000,4991.000,4958.000,4983.000,16861,195076
2026-04-15 14:00:00,4984.000,4992.000,4962.000,4962.000,5889,195416
2026-04-15 14:15:00,4959.000,4967.000,4947.000,4950.000,12365,194632
2026-04-15 14:30:00,4950.000,4954.000,4927.000,4930.000,15816,193497
2026-04-15 14:45:00,4930.000,4950.000,4929.000,4939.000,12437,192606
2026-04-15 15:00:00,4938.000,4944.000,4929.000,4939.000,12302,189180
2026-04-15 21:15:00,4940.000,4951.000,4914.000,4920.000,37558,188873
2026-04-15 21:30:00,4920.000,4926.000,4907.000,4925.000,16891,188645
2026-04-15 21:45:00,4925.000,4929.000,4904.000,4925.000,13156,188536
2026-04-15 22:00:00,4925.000,4929.000,4906.000,4908.000,13253,187374
2026-04-15 22:15:00,4908.000,4923.000,4904.000,4914.000,9191,186039
2026-04-15 22:30:00,4914.000,4921.000,4906.000,4910.000,7658,185434
2026-04-15 22:45:00,4909.000,4934.000,4909.000,4925.000,5477,184969
2026-04-15 23:00:00,4926.000,4929.000,4920.000,4921.000,6201,182842
2026-04-16 09:15:00,4904.000,4921.000,4884.000,4912.000,21013,183381
2026-04-16 09:30:00,4912.000,4938.000,4911.000,4921.000,12589,182462
2026-04-16 09:45:00,4921.000,4957.000,4919.000,4957.000,12890,183046
2026-04-16 10:00:00,4958.000,4978.000,4942.000,4973.000,17506,183531
2026-04-16 10:15:00,4973.000,5046.000,4970.000,5028.000,4460,185020
2026-04-16 10:45:00,5032.000,5065.000,5027.000,5047.000,31988,186192
2026-04-16 11:00:00,5045.000,5047.000,4985.000,5007.000,35097,180725
2026-04-16 11:15:00,5007.000,5017.000,4996.000,5013.000,11799,179896
2026-04-16 11:30:00,5013.000,5044.000,5013.000,5015.000,19891,180987
2026-04-16 13:45:00,5013.000,5027.000,4991.000,5022.000,17192,180391
2026-04-16 14:00:00,5022.000,5026.000,5003.000,5006.000,10408,180442
2026-04-16 14:15:00,5006.000,5007.000,4988.000,5002.000,11221,180021
2026-04-16 14:30:00,5002.000,5016.000,4991.000,5014.000,10056,179651
2026-04-16 14:45:00,5014.000,5015.000,5000.000,5008.000,8637,178741
2026-04-16 15:00:00,5010.000,5020.000,5008.000,5015.000,54,176307
2026-04-16 21:15:00,4917.000,4919.000,4873.000,4897.000,34192,216455
2026-04-16 21:30:00,4897.000,4899.000,4875.000,4884.000,13217,216501
2026-04-16 21:45:00,4884.000,4910.000,4882.000,4901.000,13307,218137
2026-04-16 22:00:00,4901.000,4921.000,4900.000,4903.000,14894,218670
2026-04-16 22:15:00,4904.000,4913.000,4898.000,4904.000,11030,217939
2026-04-16 22:30:00,4904.000,4914.000,4896.000,4901.000,1878,219155
2026-04-16 22:45:00,4901.000,4915.000,4898.000,4908.000,9261,220424
2026-04-16 23:00:00,4909.000,4915.000,4904.000,4911.000,6792,218332
2026-04-17 09:15:00,4898.000,4911.000,4882.000,4887.000,15152,219734
2026-04-17 09:30:00,4887.000,4887.000,4863.000,4867.000,17466,220173
2026-04-17 09:45:00,4866.000,4872.000,4849.000,4852.000,13494,221567
2026-04-17 10:00:00,4852.000,4872.000,4843.000,4858.000,2490,222002
2026-04-17 10:15:00,4858.000,4868.000,4850.000,4864.000,6345,222732
2026-04-17 10:45:00,4863.000,4868.000,4852.000,4858.000,9619,224861
2026-04-17 11:00:00,4858.000,4880.000,4851.000,4860.000,10628,225472
2026-04-17 11:15:00,4862.000,4882.000,4860.000,4879.000,7213,225582
2026-04-17 11:30:00,4879.000,4883.000,4865.000,4870.000,5654,225038
2026-04-17 13:45:00,4863.000,4863.000,4833.000,4845.000,2048,226434
2026-04-17 14:00:00,4844.000,4846.000,4826.000,4827.000,9815,227432
2026-04-17 14:15:00,4828.000,4841.000,4828.000,4837.000,6828,227648
2026-04-17 14:30:00,4837.000,4841.000,4827.000,4836.000,6518,227823
2026-04-17 14:45:00,4836.000,4853.000,4834.000,4852.000,8045,227082
2026-04-17 15:00:00,4851.000,4870.000,4851.000,4858.000,295,224666
2026-04-17 21:15:00,4643.000,4708.000,4613.000,4637.000,106898,233071
2026-04-17 21:30:00,4636.000,4664.000,4635.000,4652.000,33917,234336
2026-04-17 21:45:00,4654.000,4672.000,4631.000,4665.000,37600,238483
2026-04-17 22:00:00,4664.000,4687.000,4657.000,4669.000,27067,241833
2026-04-17 22:15:00,4669.000,4686.000,4667.000,4683.000,12308,240497
2026-04-17 22:30:00,4683.000,4688.000,4668.000,4677.000,12509,239548
2026-04-17 22:45:00,4677.000,4681.000,4645.000,4652.000,12972,237835
2026-04-17 23:00:00,4652.000,4666.000,4650.000,4666.000,419,235051
2026-04-20 09:15:00,4768.000,4800.000,4757.000,4793.000,75835,233828
2026-04-20 09:30:00,4793.000,4810.000,4778.000,4778.000,14836,234761
2026-04-20 09:45:00,4779.000,4780.000,4758.000,4764.000,15321,235235
2026-04-20 10:00:00,4764.000,4764.000,4735.000,4742.000,11210,237170
2026-04-20 10:15:00,4742.000,4771.000,4739.000,4760.000,10897,236422
2026-04-20 10:45:00,4759.000,4760.000,4709.000,4719.000,16079,237364
2026-04-20 11:00:00,4719.000,4740.000,4715.000,4722.000,12348,238789
2026-04-20 11:15:00,4722.000,4738.000,4716.000,4732.000,9577,238854
2026-04-20 11:30:00,4733.000,4738.000,4720.000,4733.000,8502,239882
2026-04-20 13:45:00,4738.000,4747.000,4707.000,4712.000,13946,240676
