d,o,h,l,c,v,p
2026-03-31 22:15:00,4381.000,4384.000,4356.000,4367.000,23471,176751
2026-03-31 22:30:00,4366.000,4387.000,4360.000,4374.000,4728,174771
2026-03-31 22:45:00,4375.000,4429.000,4372.000,4409.000,25480,172829
2026-03-31 23:00:00,4410.000,4435.000,4409.000,4435.000,20364,170060
2026-04-01 09:15:00,4433.000,4433.000,4275.000,4309.000,59097,169434
2026-04-01 09:30:00,4308.000,4323.000,4290.000,4292.000,20620,170099
2026-04-01 09:45:00,4292.000,4315.000,4269.000,4304.000,22710,170327
2026-04-01 10:00:00,4308.000,4315.000,4292.000,4312.000,9726,170514
2026-04-01 10:15:00,4306.000,4312.000,4285.000,4293.000,11788,170118
2026-04-01 10:45:00,4293.000,4309.000,4287.000,4302.000,8584,170166
2026-04-01 11:00:00,4302.000,4321.000,4300.000,4320.000,350,170044
2026-04-01 11:15:00,4319.000,4321.000,4294.000,4301.000,129,169875
2026-04-01 11:30:00,4301.000,4318.000,4296.000,4313.000,1661,169281
2026-04-01 13:45:00,4288.000,4288.000,4125.000,4140.000,16583,171456
2026-04-01 14:00:00,4139.000,4152.000,4080.000,4140.000,1392,171688
2026-04-01 14:15:00,4126.000,4140.000,4075.000,4082.000,78,174182
2026-04-01 14:30:00,4097.000,4097.000,4027.000,4032.000,4251,177215
2026-04-01 14:45:00,4000.000,4009.000,3991.000,4004.000,1464,178944
2026-04-01 15:00:00,4003.000,4037.000,4000.000,4001.000,24246,175886
2026-04-01 21:15:00,4096.000,4123.000,4050.000,4080.000,90261,173832
2026-04-01 21:30:00,4081.000,4091.000,4060.000,4070.000,34876,173279
2026-04-01 21:45:00,4069.000,4081.000,4034.000,4056.000,45903,171483
2026-04-01 22:00:00,4056.000,4062.000,4039.000,4058.000,22566,172285
2026-04-01 22:15:00,4058.000,4073.000,4045.000,4052.000,20778,171776
2026-04-01 22:30:00,4051.000,4071.000,4049.000,4063.000,7036,171056
2026-04-01 22:45:00,4063.000,4105.000,4055.000,4076.000,28092,169645
2026-04-01 23:00:00,4077.000,4092.000,4073.000,4092.000,18512,165638
2026-04-02 09:15:00,4042.000,4129.000,4016.000,4093.000,81494,168657
2026-04-02 09:30:00,4093.000,4245.000,4091.000,4229.000,98431,171962
2026-04-02 09:45:00,4229.000,4337.000,4227.000,4284.000,87972,175343
2026-04-02 10:00:00,4280.000,4293.000,4238.000,4276.000,37549,175971
2026-04-02 10:15:00,4273.000,4315.000,4264.000,4298.000,24335,175624
2026-04-02 10:45:00,4290.000,4320.000,4276.000,4276.000,23303,175740
2026-04-02 11:00:00,4276.000,4300.000,4267.000,4271.000,18014,175585
2026-04-02 11:15:00,4271.000,4290.000,4271.000,4281.000,7523,175540
2026-04-02 11:30:00,4280.000,4286.000,4261.000,4275.000,12642,175395
2026-04-02 13:45:00,4308.000,4378.000,4273.000,4374.000,54951,177518
2026-04-02 14:00:00,4377.000,4408.000,4371.000,4404.000,44236,181665
2026-04-02 14:15:00,4405.000,4426.000,4392.000,4403.000,35540,182661
2026-04-02 14:30:00,4403.000,4403.000,4369.000,4389.000,31770,182099
2026-04-02 14:45:00,4389.000,4401.000,4382.000,4390.000,20637,180975
2026-04-02 15:00:00,4390.000,4398.000,4373.000,4385.000,8876,177140
2026-04-02 21:15:00,4699.000,4699.000,4522.000,4563.000,140915,175994
2026-04-02 21:30:00,4563.000,4567.000,4511.000,4517.000,55596,174799
2026-04-02 21:45:00,4517.000,4518.000,4457.000,4487.000,78197,173931
2026-04-02 22:00:00,4486.000,4487.000,4429.000,4445.000,58360,174347
2026-04-02 22:15:00,4445.000,4476.000,4385.000,4421.000,69806,173479
2026-04-02 22:30:00,4416.000,4416.000,4362.000,4388.000,538,173259
2026-04-02 22:45:00,4387.000,4394.000,4286.000,4297.000,81012,170787
2026-04-02 23:00:00,4300.000,4395.000,4295.000,4359.000,72082,164224
2026-04-03 09:15:00,4400.000,4425.000,4351.000,4380.000,56256,169342
2026-04-03 09:30:00,4379.000,4390.000,4322.000,4381.000,42882,170665
2026-04-03 09:45:00,4381.000,4398.000,4362.000,4383.000,24241,172056
2026-04-03 10:00:00,4384.000,4423.000,4384.000,4410.000,26563,173834
2026-04-03 10:15:00,4411.000,4419.000,4394.000,4410.000,1903,173956
2026-04-03 10:45:00,4411.000,4415.000,4379.000,4409.000,19259,173179
2026-04-03 11:00:00,4409.000,4446.000,4396.000,4442.000,26478,175751
2026-04-03 11:15:00,4442.000,4464.000,4430.000,4455.000,23238,176994
2026-04-03 11:30:00,4455.000,4463.000,4434.000,4450.000,19544,176576
2026-04-03 13:45:00,4451.000,4503.000,4444.000,4459.000,42963,179059
2026-04-03 14:00:00,4461.000,4470.000,4425.000,4464.000,5863,179444
2026-04-03 14:15:00,4461.000,4504.000,4456.000,4490.000,870,180635
2026-04-03 14:30:00,4491.000,4501.000,4466.000,4484.000,7405,181171
2026-04-03 14:45:00,4484.000,4503.000,4476.000,4495.000,47,180092
2026-04-03 15:00:00,4495.000,4511.000,4462.000,4511.000,241,171663
2026-04-07 09:15:00,4546.000,4548.000,4462.000,4501.000,65266,171844
2026-04-07 09:30:00,4500.000,4510.000,4451.000,4495.000,32024,169991
2026-04-07 09:45:00,4495.000,4564.000,4493.000,4543.000,37321,168560
2026-04-07 10:00:00,4546.000,4585.000,4524.000,4575.000,30855,168532
2026-04-07 10:15:00,4573.000,4584.000,4550.000,4571.000,23160,167361
2026-04-07 10:45:00,4564.000,4572.000,4536.000,4550.000,18819,166806
2026-04-07 11:00:00,4550.000,4555.000,4511.000,4526.000,22205,166168
2026-04-07 11:15:00,4526.000,4544.000,4492.000,4537.000,3147,165521
2026-04-07 11:30:00,4537.000,4559.000,4528.000,4534.000,15941,163809
2026-04-07 13:45:00,4545.000,4595.000,4534.000,4574.000,31880,165257
2026-04-07 14:00:00,4575.000,4580.000,4542.000,4550.000,92,165030
