d,o,h,l,c,v,p
2026-03-31 22:15:00,3314.000,3316.000,3313.000,3314.000,2373,803676
2026-03-31 22:30:00,3314.000,3315.000,3311.000,3312.000,1844,803412
2026-03-31 22:45:00,3312.000,3314.000,3311.000,3311.000,622,803581
2026-03-31 23:00:00,3311.000,3313.000,3311.000,3311.000,2364,804182
2026-04-01 09:15:00,3312.000,3317.000,3310.000,3316.000,8626,807051
2026-04-01 09:30:00,3315.000,3317.000,3312.000,3314.000,8093,810161
2026-04-01 09:45:00,3314.000,3318.000,3313.000,3316.000,5403,813386
2026-04-01 10:00:00,3317.000,3319.000,3314.000,3315.000,8312,816600
2026-04-01 10:15:00,3317.000,3317.000,3311.000,3312.000,10258,819821
2026-04-01 10:45:00,3313.000,3320.000,3312.000,3320.000,15357,828738
2026-04-01 11:00:00,3320.000,3321.000,3317.000,3320.000,5686,830256
2026-04-01 11:15:00,3319.000,3320.000,3317.000,3318.000,4005,831664
2026-04-01 11:30:00,3318.000,3320.000,3317.000,3319.000,4789,833626
2026-04-01 13:45:00,3318.000,3320.000,3313.000,3313.000,6796,835085
2026-04-01 14:00:00,3313.000,3315.000,3311.000,3314.000,5351,835942
2026-04-01 14:15:00,3315.000,3315.000,3312.000,3314.000,4814,837334
2026-04-01 14:30:00,3314.000,3314.000,3312.000,3313.000,2986,838090
2026-04-01 14:45:00,3313.000,3313.000,3308.000,3309.000,7198,837676
2026-04-01 15:00:00,3309.000,3311.000,3307.000,3308.000,6211,839722
2026-04-01 21:15:00,3307.000,3310.000,3297.000,3303.000,38930,844337
2026-04-01 21:30:00,3304.000,3304.000,3301.000,3302.000,5829,845068
2026-04-01 21:45:00,3302.000,3303.000,3293.000,3296.000,21687,840531
2026-04-01 22:00:00,3295.000,3297.000,3293.000,3296.000,8018,840318
2026-04-01 22:15:00,3296.000,3298.000,3290.000,3291.000,18755,836676
2026-04-01 22:30:00,3291.000,3291.000,3283.000,3286.000,25821,838683
2026-04-01 22:45:00,3286.000,3289.000,3285.000,3286.000,6401,839499
2026-04-01 23:00:00,3286.000,3287.000,3284.000,3285.000,5835,838567
2026-04-02 09:15:00,3286.000,3288.000,3276.000,3282.000,32152,836205
2026-04-02 09:30:00,3282.000,3288.000,3279.000,3288.000,14257,839171
2026-04-02 09:45:00,3288.000,3290.000,3286.000,3287.000,12916,839265
2026-04-02 10:00:00,3287.000,3294.000,3286.000,3293.000,10461,840389
2026-04-02 10:15:00,3291.000,3296.000,3291.000,3296.000,8375,841270
2026-04-02 10:45:00,3296.000,3296.000,3292.000,3295.000,7168,842648
2026-04-02 11:00:00,3294.000,3296.000,3292.000,3293.000,4349,842871
2026-04-02 11:15:00,3293.000,3296.000,3291.000,3296.000,6020,843243
2026-04-02 11:30:00,3296.000,3297.000,3293.000,3294.000,2916,844251
2026-04-02 13:45:00,3296.000,3306.000,3294.000,3303.000,22245,847602
2026-04-02 14:00:00,3303.000,3304.000,3297.000,3299.000,7513,847872
2026-04-02 14:15:00,3299.000,3300.000,3297.000,3298.000,4686,847382
2026-04-02 14:30:00,3297.000,3298.000,3293.000,3295.000,10045,845865
2026-04-02 14:45:00,3295.000,3299.000,3294.000,3299.000,5321,847363
2026-04-02 15:00:00,3298.000,3300.000,3294.000,3295.000,9444,847657
2026-04-02 21:15:00,3299.000,3303.000,3291.000,3291.000,47349,861132
2026-04-02 21:30:00,3291.000,3292.000,3285.000,3287.000,21905,865062
2026-04-02 21:45:00,3287.000,3290.000,3285.000,3287.000,6980,867742
2026-04-02 22:00:00,3287.000,3288.000,3285.000,3287.000,9004,870993
