d,o,h,l,c,v,p
2026-03-31 22:15:00,815.000,816.500,815.000,816.000,2693,356263
2026-03-31 22:30:00,816.000,816.500,813.500,815.000,5065,355321
2026-03-31 22:45:00,814.500,815.500,814.500,814.500,2447,355141
2026-03-31 23:00:00,814.500,815.500,814.000,814.500,4073,353380
2026-04-01 09:15:00,815.000,818.500,814.000,818.000,9374,354882
2026-04-01 09:30:00,818.000,818.000,815.000,817.000,4488,354624
2026-04-01 09:45:00,817.000,817.000,814.000,815.000,5351,353663
2026-04-01 10:00:00,815.500,817.000,815.000,817.000,3880,354341
2026-04-01 10:15:00,817.000,817.500,815.500,817.000,4397,353559
2026-04-01 10:45:00,817.000,820.000,816.500,820.000,10207,356055
2026-04-01 11:00:00,820.000,820.000,817.000,818.500,7716,356122
2026-04-01 11:15:00,818.500,818.500,817.000,817.000,1394,355434
2026-04-01 11:30:00,817.000,819.500,817.000,819.000,4830,355656
2026-04-01 13:45:00,819.500,820.000,816.500,816.500,6804,356273
2026-04-01 14:00:00,816.500,817.500,815.500,817.000,5387,355132
2026-04-01 14:15:00,816.500,817.500,812.000,812.500,12740,351890
2026-04-01 14:30:00,813.000,814.500,812.500,814.000,6143,351111
2026-04-01 14:45:00,814.500,814.500,813.000,813.500,7142,350710
2026-04-01 15:00:00,814.000,814.000,812.000,813.000,8714,348623
2026-04-01 21:15:00,811.500,813.000,810.500,812.000,20697,343810
2026-04-01 21:30:00,812.500,813.000,811.500,812.500,3019,343097
2026-04-01 21:45:00,812.500,813.000,805.000,807.000,27687,338597
2026-04-01 22:00:00,807.000,808.000,806.500,806.500,9265,337922
2026-04-01 22:15:00,806.500,807.000,795.500,797.000,52625,337055
2026-04-01 22:30:00,797.000,798.000,793.500,796.500,34998,331474
2026-04-01 22:45:00,796.500,799.500,796.500,798.500,7337,330463
2026-04-01 23:00:00,798.500,800.000,797.000,797.500,10362,328837
2026-04-02 09:15:00,797.000,799.000,795.500,796.500,19785,326733
2026-04-02 09:30:00,796.500,804.500,795.500,803.000,28096,326068
2026-04-02 09:45:00,803.000,807.000,803.000,803.500,12222,326442
2026-04-02 10:00:00,803.000,806.500,802.000,806.000,8610,326751
2026-04-02 10:15:00,805.500,809.000,804.500,808.000,11534,325120
2026-04-02 10:45:00,807.500,808.500,806.000,807.000,9469,325398
2026-04-02 11:00:00,806.500,807.500,804.500,806.500,6196,324905
2026-04-02 11:15:00,806.500,809.500,805.000,808.500,8231,325555
2026-04-02 11:30:00,808.500,812.000,807.000,811.500,11087,325075
2026-04-02 13:45:00,812.000,814.500,810.500,811.500,2274,323951
2026-04-02 14:00:00,811.500,811.500,807.000,808.000,9120,324278
2026-04-02 14:15:00,808.000,808.000,804.500,805.500,8792,323502
2026-04-02 14:30:00,805.000,806.000,803.000,805.000,5640,323206
2026-04-02 14:45:00,805.000,807.500,804.000,807.500,5566,322708
2026-04-02 15:00:00,807.500,808.000,805.000,805.000,2899,320618
2026-04-02 21:15:00,784.000,784.500,780.500,780.500,17529,340921
2026-04-02 21:30:00,781.000,782.000,780.500,781.500,4422,341271
2026-04-02 21:45:00,781.500,782.500,781.000,782.500,2383,341461
2026-04-02 22:00:00,782.500,784.000,781.500,782.500,3142,341508
2026-04-02 22:15:00,782.500,783.500,782.000,782.500,1542,341686
2026-04-02 22:30:00,783.000,783.500,779.000,779.500,4715,342925
2026-04-02 22:45:00,779.000,780.000,773.500,776.000,15009,349133
2026-04-02 23:00:00,775.500,776.500,771.000,773.000,13077,352455
2026-04-03 09:15:00,774.000,776.500,771.500,776.000,6999,352022
2026-04-03 09:30:00,776.000,776.000,774.000,775.000,4858,352825
2026-04-03 09:45:00,775.000,776.000,774.500,775.000,2712,353591
2026-04-03 10:00:00,775.000,776.500,775.000,775.500,2751,353941
2026-04-03 10:15:00,775.500,777.000,775.000,777.000,3046,353790
2026-04-03 10:45:00,777.000,777.000,775.500,777.000,2519,353951
2026-04-03 11:00:00,777.000,777.500,775.500,775.500,2618,353497
2026-04-03 11:15:00,775.500,776.000,773.500,774.000,3884,353403
2026-04-03 11:30:00,773.500,774.000,773.000,773.500,2785,353149
2026-04-03 13:45:00,774.000,775.500,773.500,775.000,2993,352757
2026-04-03 14:00:00,775.500,776.000,774.500,775.500,3125,352422
2026-04-03 14:15:00,775.500,777.000,775.000,776.000,3630,352819
2026-04-03 14:30:00,775.000,775.500,774.500,775.000,4114,353298
2026-04-03 14:45:00,775.000,775.000,773.500,774.000,3577,354030
2026-04-03 15:00:00,774.000,776.500,774.000,776.000,56,353696
2026-04-07 09:15:00,777.500,783.500,776.000,776.500,30431,360898
2026-04-07 09:30:00,776.500,779.500,775.500,776.500,9650,364115
2026-04-07 09:45:00,776.500,778.500,775.000,778.500,8606,366052
2026-04-07 10:00:00,778.000,780.000,777.500,778.500,5329,367157
2026-04-07 10:15:00,778.500,780.000,777.000,779.500,5869,369206
2026-04-07 10:45:00,779.000,782.000,778.500,780.000,6988,369204
2026-04-07 11:00:00,780.000,780.500,775.500,776.000,5974,370608
2026-04-07 11:15:00,776.000,776.500,772.000,773.000,10661,373533
2026-04-07 11:30:00,773.500,774.000,771.500,772.000,6147,374005
2026-04-07 13:45:00,772.500,775.500,771.000,775.000,7680,373680
2026-04-07 14:00:00,775.500,776.500,775.000,775.500,5748,372990
2026-04-07 14:15:00,776.000,777.500,775.500,777.000,5070,373650
2026-04-07 14:30:00,777.000,777.500,775.500,776.500,5090,374290
2026-04-07 14:45:00,776.000,776.500,775.000,775.500,2281,374543
2026-04-07 15:00:00,775.500,776.500,774.500,774.500,2892,374768
2026-04-07 21:15:00,777.000,777.000,774.000,774.000,18813,379550
2026-04-07 21:30:00,774.000,776.000,772.500,775.500,12081,381918
2026-04-07 21:45:00,775.500,777.000,775.000,776.000,5619,381765
2026-04-07 22:00:00,776.000,776.500,774.000,774.500,2444,381762
2026-04-07 22:15:00,774.500,775.000,773.500,773.500,2250,381995
2026-04-07 22:30:00,773.500,774.500,773.500,773.500,1493,381750
2026-04-07 22:45:00,773.500,775.000,773.500,774.000,1487,381791
2026-04-07 23:00:00,773.500,774.000,771.500,771.500,4585,382507
2026-04-08 09:15:00,770.000,775.500,766.000,775.500,116,383731
2026-04-08 09:30:00,775.500,776.000,773.500,774.000,471,383387
2026-04-08 09:45:00,774.000,775.000,772.500,773.000,57,384095
2026-04-08 10:00:00,773.500,774.000,770.500,770.500,2172,384819
2026-04-08 10:15:00,770.500,771.000,769.500,770.000,1665,386823
2026-04-08 10:45:00,770.000,770.500,763.500,765.000,11382,391050
2026-04-08 11:00:00,765.000,766.000,762.000,765.500,1612,392993
2026-04-08 11:15:00,765.500,767.000,764.500,766.500,144,393290
2026-04-08 11:30:00,766.500,766.500,764.000,764.500,373,394239
2026-04-08 13:45:00,765.000,765.500,764.000,765.000,822,394549
2026-04-08 14:00:00,765.000,766.500,764.500,766.500,14,394796
2026-04-08 14:15:00,766.000,767.000,765.000,765.500,2201,395567
2026-04-08 14:30:00,765.500,766.500,764.500,764.500,958,397408
2026-04-08 14:45:00,764.500,766.500,764.500,764.500,190,398927
2026-04-08 15:00:00,765.000,766.500,764.000,766.500,1227,397264
2026-04-08 21:15:00,765.500,766.000,760.000,760.500,44934,408418
2026-04-08 21:30:00,760.500,763.000,760.500,762.000,13678,412170
2026-04-08 21:45:00,761.500,762.500,760.500,760.500,7218,414200
2026-04-08 22:00:00,761.000,761.500,760.000,761.000,7239,416262
2026-04-08 22:15:00,760.500,761.000,755.500,756.000,26027,423012
2026-04-08 22:30:00,756.500,760.000,756.000,760.000,10249,424092
2026-04-08 22:45:00,760.000,760.000,758.000,758.000,3689,425837
2026-04-08 23:00:00,758.000,760.000,757.500,760.000,5599,426651
2026-04-09 09:15:00,760.000,760.000,755.500,757.000,15705,429973
2026-04-09 09:30:00,757.000,757.000,755.500,756.500,8903,431516
2026-04-09 09:45:00,756.500,759.000,756.000,757.500,5895,432775
2026-04-09 10:00:00,757.000,758.000,757.000,757.000,4147,432644
2026-04-09 10:15:00,758.000,758.500,756.500,757.000,3900,433141
2026-04-09 10:45:00,757.000,757.500,755.000,755.500,4228,434635
2026-04-09 11:00:00,755.000,756.500,754.000,755.000,8675,436935
2026-04-09 11:15:00,755.000,755.500,753.000,754.000,8688,438841
2026-04-09 11:30:00,754.000,755.500,753.000,753.000,6970,439603
2026-04-09 13:45:00,750.500,753.000,749.000,751.500,36504,447058
2026-04-09 14:00:00,751.500,752.500,749.500,751.000,11031,447769
2026-04-09 14:15:00,751.000,752.000,749.500,750.500,1476,449218
2026-04-09 14:30:00,750.500,755.000,749.500,752.500,18343,448879
2026-04-09 14:45:00,752.500,753.000,751.500,751.500,864,449775
2026-04-09 15:00:00,751.500,753.000,750.000,750.000,9964,450193
2026-04-09 21:15:00,751.500,753.500,750.500,753.000,29547,450894
2026-04-09 21:30:00,753.000,753.500,751.500,752.000,12481,455352
2026-04-09 21:45:00,752.000,752.500,750.500,751.500,7952,456169
2026-04-09 22:00:00,752.000,753.500,751.500,753.500,6021,456988
2026-04-09 22:15:00,753.500,753.500,752.000,752.500,3346,457175
2026-04-09 22:30:00,752.500,753.000,750.500,750.500,3602,457798
2026-04-09 22:45:00,750.500,752.000,750.500,752.000,690,456956
2026-04-09 23:00:00,752.000,752.000,750.500,752.000,4056,456386
2026-04-10 09:15:00,751.500,753.000,749.000,751.000,17514,458414
2026-04-10 09:30:00,751.000,753.000,750.500,752.500,9842,461151
2026-04-10 09:45:00,752.000,754.500,752.000,754.000,12156,462669
2026-04-10 10:00:00,754.000,754.500,752.500,753.500,4515,462261
2026-04-10 10:15:00,753.500,758.000,753.000,758.000,14989,459519
2026-04-10 10:45:00,758.000,759.000,755.000,755.500,14035,459463
2026-04-10 11:00:00,755.000,757.500,755.000,757.500,7089,458610
2026-04-10 11:15:00,757.500,757.500,755.000,755.000,519,458748
2026-04-10 11:30:00,755.000,758.000,755.000,758.000,6550,458350
2026-04-10 13:45:00,758.000,760.000,756.000,757.500,16843,458595
2026-04-10 14:00:00,758.000,758.000,755.000,757.000,8682,459164
2026-04-10 14:15:00,757.500,758.500,756.000,758.000,1136,459672
2026-04-10 14:30:00,758.500,758.500,756.500,758.000,114,460465
2026-04-10 14:45:00,758.000,759.000,757.500,759.000,475,460279
2026-04-10 15:00:00,758.500,759.000,753.500,753.500,1041,461074
2026-04-10 21:15:00,755.000,758.000,754.000,757.500,22214,462587
2026-04-10 21:30:00,758.000,758.000,755.000,755.000,4947,462420
2026-04-10 21:45:00,755.000,757.000,755.000,755.500,4165,462436
2026-04-10 22:00:00,755.500,756.000,754.500,754.500,3150,463325
2026-04-10 22:15:00,754.500,757.000,754.500,755.500,4123,463709
2026-04-10 22:30:00,755.500,756.500,755.500,756.500,1405,463485
2026-04-10 22:45:00,756.500,756.500,755.500,756.000,4,463149
2026-04-10 23:00:00,756.000,756.500,756.000,756.000,184,462672
2026-04-13 09:15:00,757.000,758.500,755.000,757.500,11571,463568
2026-04-13 09:30:00,758.000,758.500,756.500,757.000,7099,464587
2026-04-13 09:45:00,757.000,758.500,756.500,757.000,5577,465752
2026-04-13 10:00:00,757.000,757.500,754.500,755.000,9130,467515
