d,o,h,l,c,v,p
2026-03-05 10:00:00,8311.200,8317.400,8266.400,8270.200,3243,122228
2026-03-05 10:15:00,8277.600,8330.000,8272.800,8329.600,933,120728
2026-03-05 10:30:00,8329.600,8332.000,8305.000,8322.000,38,120156
2026-03-05 10:45:00,8322.000,8338.800,8291.000,8296.800,156,119041
2026-03-05 11:00:00,8297.600,8328.000,8291.000,8325.800,614,118665
2026-03-05 11:15:00,8326.200,8337.600,8288.800,8306.800,1013,118219
2026-03-05 11:30:00,8305.800,8323.600,8291.000,8292.400,550,118536
2026-03-05 13:15:00,8290.400,8302.400,8275.000,8295.000,28,118528
2026-03-05 13:30:00,8292.600,8305.800,8287.200,8300.400,3,118708
2026-03-05 13:45:00,8299.800,8312.000,8269.000,8288.400,1588,119191
2026-03-05 14:00:00,8267.000,8269.800,8259.200,8264.800,918,119485
2026-03-05 14:15:00,8264.000,8264.000,8203.200,8214.200,838,120840
2026-03-05 14:30:00,8214.400,8233.000,8180.600,8223.000,751,122389
2026-03-05 14:45:00,8223.000,8239.200,8204.200,8227.800,20,123526
2026-03-05 15:00:00,8228.000,8269.800,8222.400,8259.400,16,125111
2026-03-06 09:45:00,8254.600,8275.200,8228.800,8265.800,1652,118302
2026-03-06 10:00:00,8294.200,8308.800,8278.200,8280.000,1469,116447
2026-03-06 10:15:00,8304.800,8356.400,8296.400,8345.200,156,115254
2026-03-06 10:30:00,8347.400,8370.800,8333.000,8348.600,54,115065
2026-03-06 10:45:00,8349.800,8361.400,8333.000,8353.800,20,114599
2026-03-06 11:00:00,8367.200,8368.000,8346.000,8358.200,1806,114352
2026-03-06 11:15:00,8358.200,8374.000,8351.200,8367.000,173,114004
2026-03-06 11:30:00,8367.000,8379.800,8358.000,8367.200,296,113675
2026-03-06 13:15:00,8367.800,8371.400,8337.400,8338.600,45,113465
2026-03-06 13:30:00,8338.600,8348.800,8322.000,8327.200,3,113792
2026-03-06 13:45:00,8327.800,8359.600,8327.800,8349.800,305,114240
2026-03-06 14:00:00,8341.400,8344.200,8338.000,8341.800,3,114534
2026-03-06 14:15:00,8341.800,8347.400,8327.600,8328.400,57,114608
2026-03-06 14:30:00,8328.200,8339.400,8322.400,8331.800,1,114651
2026-03-06 14:45:00,8331.600,8335.800,8323.200,8328.600,932,115240
2026-03-06 15:00:00,8328.400,8334.600,8321.000,8322.600,119,116622
2026-03-09 09:45:00,8190.000,8190.000,7863.800,8066.000,33308,109426
2026-03-09 10:00:00,8078.200,8083.000,8001.600,8017.000,11128,107815
2026-03-09 10:15:00,8012.000,8074.800,7992.800,8027.000,9548,108391
2026-03-09 10:30:00,8028.000,8060.800,8024.000,8027.200,5975,109189
2026-03-09 10:45:00,8028.200,8097.000,8023.400,8091.200,6109,109945
2026-03-09 11:00:00,8093.800,8126.800,8080.400,8121.600,2038,110232
2026-03-09 11:15:00,8120.600,8137.600,8102.000,8112.800,4577,110835
2026-03-09 11:30:00,8112.400,8151.600,8104.400,8129.200,3660,111549
2026-03-09 13:15:00,8122.000,8207.200,8105.800,8180.000,6175,113442
2026-03-09 13:30:00,8181.800,8210.000,8168.000,8207.400,3563,114343
2026-03-09 13:45:00,8208.800,8247.600,8194.000,8227.000,5486,116285
2026-03-09 14:00:00,8227.000,8260.600,8215.400,8257.600,3657,117607
2026-03-09 14:15:00,8270.200,8293.600,8257.600,8286.200,4856,119278
2026-03-09 14:30:00,8265.200,8290.800,8250.600,8265.400,3295,120437
2026-03-09 14:45:00,8266.600,8290.400,8246.000,8254.000,4140,121472
2026-03-09 15:00:00,8246.400,8267.000,8239.800,8267.000,2516,122938
2026-03-10 09:45:00,8351.400,8403.600,8351.400,8361.400,21617,114481
2026-03-10 10:00:00,8361.400,8388.000,8352.600,8355.000,7250,112301
2026-03-10 10:15:00,8347.000,8371.000,8336.400,8371.000,6717,110249
2026-03-10 10:30:00,8370.200,8372.800,8338.000,8342.000,2559,109497
2026-03-10 10:45:00,8343.000,8353.600,8337.000,8339.200,2907,108715
2026-03-10 11:00:00,8340.400,8343.000,8315.000,8326.400,834,107781
2026-03-10 11:15:00,8317.600,8334.800,8294.800,8294.800,4354,106705
2026-03-10 11:30:00,8296.400,8323.000,8291.000,8315.200,3774,106261
2026-03-10 13:15:00,8317.000,8344.000,8304.000,8344.000,4149,105992
2026-03-10 13:30:00,8343.000,8360.000,8337.000,8357.600,3622,105839
2026-03-10 13:45:00,8357.000,8373.600,8352.000,8370.000,4000,105727
2026-03-10 14:00:00,8371.200,8379.000,8356.000,8377.600,1076,105639
2026-03-10 14:15:00,8378.400,8390.200,8367.200,8368.200,3754,105667
2026-03-10 14:30:00,8367.800,8370.200,8360.000,8367.400,2217,105852
2026-03-10 14:45:00,8367.400,8392.800,8367.400,8392.800,3413,106480
2026-03-10 15:00:00,8393.000,8405.800,8391.400,8393.600,26,107374
2026-03-11 09:45:00,8258.200,8285.000,8245.000,8262.600,6032,111960
2026-03-11 10:00:00,8257.600,8275.800,8230.000,8239.400,4148,111576
2026-03-11 10:15:00,8244.000,8252.800,8226.000,8252.800,2319,111396
2026-03-11 10:30:00,8252.200,8262.000,8243.800,8246.800,1558,111450
2026-03-11 10:45:00,8246.400,8253.200,8233.000,8248.800,1472,111437
2026-03-11 11:00:00,8250.200,8257.800,8237.800,8247.400,1179,111491
2026-03-11 11:15:00,8247.400,8250.400,8234.200,8238.600,986,111793
2026-03-11 11:30:00,8238.600,8245.600,8205.600,8232.000,2678,112068
2026-03-11 13:15:00,8232.000,8242.000,8219.000,8222.200,1423,112536
2026-03-11 13:30:00,8222.000,8232.000,8201.400,8203.400,1747,112976
2026-03-11 13:45:00,8202.600,8212.400,8196.000,8208.600,2377,113752
2026-03-11 14:00:00,8205.600,8211.400,8192.400,8209.000,1629,114383
2026-03-11 14:15:00,8209.400,8234.000,8207.800,8224.600,352,115373
2026-03-11 14:30:00,8223.000,8231.600,8210.000,8218.600,1341,115901
2026-03-11 14:45:00,8224.000,8225.000,8209.200,8209.600,1255,116312
2026-03-11 15:00:00,8207.400,8210.400,8199.400,8199.400,1423,116727
2026-03-12 09:45:00,8177.000,8216.000,8165.800,8208.000,5466,114281
2026-03-12 10:00:00,8208.000,8223.200,8168.600,8184.400,3730,112910
2026-03-12 10:15:00,8185.000,8188.000,8167.600,8180.400,2288,112394
2026-03-12 10:30:00,8179.800,8184.600,8156.600,8166.800,1842,112160
2026-03-12 10:45:00,8166.800,8173.800,8133.400,8143.000,3261,111655
2026-03-12 11:00:00,8143.000,8146.200,8110.000,8113.000,3631,111476
2026-03-12 11:15:00,8114.000,8121.600,8091.200,8091.200,1696,111761
2026-03-12 11:30:00,8091.200,8098.800,8067.400,8070.000,2238,111913
2026-03-12 13:15:00,8070.000,8092.200,8065.600,8070.200,2064,112324
2026-03-12 13:30:00,8070.000,8091.000,8067.000,8077.000,1503,112759
2026-03-12 13:45:00,8077.000,8124.000,8077.000,8118.000,3200,113589
2026-03-12 14:00:00,8110.400,8135.800,8101.000,8133.000,2564,114281
2026-03-12 14:15:00,8132.800,8138.800,8121.000,8131.400,301,115018
2026-03-12 14:30:00,8129.200,8134.600,8114.800,8130.600,2175,115692
2026-03-12 14:45:00,8130.600,8151.000,8119.400,8136.800,2542,116762
2026-03-12 15:00:00,8136.800,8144.000,8127.200,8127.200,21,117660
2026-03-13 09:45:00,8100.000,8128.000,8052.400,8075.400,6765,115230
2026-03-13 10:00:00,8150.200,8166.600,8070.200,8135.400,4804,113794
2026-03-13 10:15:00,8140.200,8183.400,8131.000,8132.200,3739,113327
2026-03-13 10:30:00,8132.800,8143.400,8109.200,8133.200,2832,113369
2026-03-13 10:45:00,8133.800,8157.600,8133.000,8152.800,2368,113486
2026-03-13 11:00:00,8148.200,8153.000,8120.600,8126.600,127,113440
2026-03-13 11:15:00,8126.600,8129.000,8081.200,8081.200,2023,113567
2026-03-13 11:30:00,8085.000,8091.600,8069.000,8082.200,2310,113994
2026-03-13 13:15:00,8085.000,8105.600,8082.800,8089.600,2059,114422
2026-03-13 13:30:00,8089.600,8102.600,8075.200,8075.600,1477,114852
2026-03-13 13:45:00,8076.600,8111.600,8074.400,8098.000,1954,115444
2026-03-13 14:00:00,8098.000,8110.600,8066.600,8074.400,1944,115897
2026-03-13 14:15:00,8075.800,8088.800,8064.600,8081.400,1301,116350
2026-03-13 14:30:00,8061.000,8081.800,8053.800,8064.200,1884,116955
2026-03-13 14:45:00,8064.200,8066.800,8017.600,8017.600,300,118032
2026-03-13 15:00:00,8017.600,8037.800,8012.800,8030.800,27,118941
2026-03-16 09:45:00,8034.000,8048.400,7890.000,7901.200,9914,115595
2026-03-16 10:00:00,7913.400,7953.600,7892.200,7927.600,5401,115948
2026-03-16 10:15:00,7906.800,7930.000,7894.000,7930.000,3408,116435
2026-03-16 10:30:00,7945.800,7952.200,7874.000,7890.800,4305,116794
2026-03-16 10:45:00,7890.800,7898.000,7864.000,7870.400,3261,117379
2026-03-16 11:00:00,7869.200,7887.000,7855.000,7880.800,2499,117836
2026-03-16 11:15:00,7871.000,7881.600,7856.000,7870.800,1831,118334
2026-03-16 11:30:00,7902.200,7930.000,7868.000,7929.600,1588,118861
2026-03-16 13:15:00,7934.000,8007.000,7930.000,7988.000,6854,120029
2026-03-16 13:30:00,7988.000,7998.600,7975.400,7986.000,2279,120898
2026-03-16 13:45:00,7986.000,8006.000,7961.000,7989.400,2391,121576
2026-03-16 14:00:00,7986.600,7989.400,7961.200,7974.400,1412,122139
2026-03-16 14:15:00,7978.400,7990.000,7962.600,7981.800,1417,122631
2026-03-16 14:30:00,7995.400,8008.000,7981.800,7984.400,2151,123323
2026-03-16 14:45:00,7977.400,7990.600,7972.000,7985.000,1942,124372
2026-03-16 15:00:00,7985.400,8006.400,7985.000,8003.400,66,125491
2026-03-17 09:45:00,8039.400,8039.400,7929.800,7937.800,9021,122173
2026-03-17 10:00:00,7943.400,8010.000,7936.600,8007.000,5259,121014
2026-03-17 10:15:00,8008.000,8029.200,7981.400,7988.600,5964,120718
2026-03-17 10:30:00,7986.000,7999.400,7975.600,7986.000,2527,120815
2026-03-17 10:45:00,7985.000,8005.000,7979.400,7989.400,1650,120897
2026-03-17 11:00:00,7988.600,7990.600,7955.000,7955.000,1982,121078
2026-03-17 11:15:00,7952.400,7953.800,7915.000,7936.600,4201,121571
2026-03-17 11:30:00,7936.200,7944.600,7917.800,7926.200,2497,122168
2026-03-17 13:15:00,7926.200,7948.400,7912.000,7919.800,316,122706
2026-03-17 13:30:00,7920.000,7934.600,7904.000,7912.000,1997,123132
