d,o,h,l,c,v,p
2026-03-31 22:15:00,1143.500,1148.000,1143.000,1145.000,19708,405201
2026-03-31 22:30:00,1145.000,1150.000,1145.000,1148.000,5796,403103
2026-03-31 22:45:00,1148.500,1150.500,1146.500,1146.500,15123,401301
2026-03-31 23:00:00,1146.500,1149.500,1146.500,1147.500,15561,396345
2026-04-01 09:15:00,1147.500,1147.500,1136.000,1140.000,53234,396278
2026-04-01 09:30:00,1140.500,1143.000,1135.500,1139.500,35757,395935
2026-04-01 09:45:00,1139.500,1145.000,1138.500,1143.000,20483,394116
2026-04-01 10:00:00,1143.500,1145.000,1141.000,1142.000,6927,393823
2026-04-01 10:15:00,1140.000,1142.500,1137.500,1141.000,16792,394985
2026-04-01 10:45:00,1141.000,1144.000,1140.500,1142.500,11505,396069
2026-04-01 11:00:00,1142.500,1143.500,1141.000,1142.000,7446,395759
2026-04-01 11:15:00,1142.500,1142.500,1136.500,1137.500,15592,395563
2026-04-01 11:30:00,1137.500,1140.500,1136.500,1139.000,15654,395897
2026-04-01 13:45:00,1137.500,1139.000,1119.000,1121.500,81468,400161
2026-04-01 14:00:00,1121.000,1122.500,1116.000,1119.500,49508,398525
2026-04-01 14:15:00,1121.500,1127.500,1119.000,1123.500,42531,392419
2026-04-01 14:30:00,1121.500,1125.000,1120.000,1122.000,19681,390783
2026-04-01 14:45:00,1121.500,1124.500,1117.500,1119.500,25581,385574
2026-04-01 15:00:00,1119.500,1120.500,1114.000,1114.500,10875,380015
2026-04-01 21:15:00,1122.000,1125.000,1116.500,1119.500,68697,380783
2026-04-01 21:30:00,1119.500,1121.000,1116.000,1118.000,21705,382587
2026-04-01 21:45:00,1118.500,1118.500,1116.000,1117.500,16364,382811
2026-04-01 22:00:00,1117.500,1118.500,1115.500,1117.000,12615,382278
2026-04-01 22:15:00,1117.000,1119.500,1114.000,1115.000,20786,381491
2026-04-01 22:30:00,1114.500,1117.500,1110.500,1115.000,8818,382037
2026-04-01 22:45:00,1115.500,1118.000,1114.500,1115.500,12537,380949
2026-04-01 23:00:00,1115.500,1116.000,1113.000,1114.500,16086,376371
2026-04-02 09:15:00,1114.500,1122.000,1114.000,1121.000,43303,373665
2026-04-02 09:30:00,1120.500,1126.500,1120.000,1125.000,45736,371344
2026-04-02 09:45:00,1124.000,1131.000,1124.000,1127.500,44581,367094
2026-04-02 10:00:00,1127.000,1128.500,1125.000,1127.000,16883,365427
2026-04-02 10:15:00,1127.000,1132.000,1126.000,1130.500,18154,364677
2026-04-02 10:45:00,1130.500,1131.500,1127.500,1128.500,19076,362420
2026-04-02 11:00:00,1128.000,1130.000,1126.000,1126.500,16591,361630
2026-04-02 11:15:00,1126.500,1128.500,1124.500,1126.000,5437,361963
2026-04-02 11:30:00,1125.500,1126.500,1122.500,1126.000,15203,360180
2026-04-02 13:45:00,1128.000,1144.000,1126.000,1141.500,70770,361008
2026-04-02 14:00:00,1142.000,1142.500,1133.500,1138.500,46687,358621
2026-04-02 14:15:00,1139.000,1141.500,1135.000,1135.000,31225,354582
2026-04-02 14:30:00,1135.500,1137.000,1133.000,1134.500,23242,353816
2026-04-02 14:45:00,1134.500,1138.000,1133.500,1136.500,15506,353103
2026-04-02 15:00:00,1136.000,1137.500,1131.500,1131.500,2542,348445
2026-04-02 21:15:00,1152.000,1158.000,1133.000,1136.500,89960,355722
2026-04-02 21:30:00,1136.500,1137.000,1130.500,1132.000,34328,355823
2026-04-02 21:45:00,1131.500,1133.000,1128.500,1129.500,24011,354725
2026-04-02 22:00:00,1129.500,1130.500,1125.500,1127.500,28057,353850
2026-04-02 22:15:00,1127.000,1128.500,1122.000,1123.500,29786,353054
2026-04-02 22:30:00,1123.000,1123.500,1117.000,1120.500,33983,350716
2026-04-02 22:45:00,1120.500,1121.000,1115.000,1117.000,28968,348747
2026-04-02 23:00:00,1117.000,1122.000,1117.000,1119.500,22401,344073
2026-04-03 09:15:00,1123.000,1123.500,1117.500,1119.000,23856,346693
2026-04-03 09:30:00,1118.500,1119.000,1116.000,1117.000,15184,348297
2026-04-03 09:45:00,1116.500,1118.500,1114.000,1115.000,17804,349521
2026-04-03 10:00:00,1115.500,1119.500,1115.000,1117.000,11588,348680
2026-04-03 10:15:00,1117.000,1118.500,1109.000,1118.000,33790,349704
2026-04-03 10:45:00,1118.000,1119.000,1115.000,1117.000,10698,349695
2026-04-03 11:00:00,1117.000,1118.500,1113.000,1118.000,13108,349722
2026-04-03 11:15:00,1117.500,1119.000,1116.000,1116.500,8626,349538
2026-04-03 11:30:00,1116.500,1116.500,1113.000,1115.000,9525,348211
2026-04-03 13:45:00,1116.000,1117.500,1104.500,1109.000,45123,351185
2026-04-03 14:00:00,1109.000,1113.000,1105.000,1112.000,21970,350373
2026-04-03 14:15:00,1113.500,1122.000,1111.000,1120.000,38773,343040
