d,o,h,l,c,v,p
2026-03-31 22:15:00,8594.000,8603.000,8555.000,8579.000,38036,304430
2026-03-31 22:30:00,8580.000,8627.000,8579.000,8604.000,4382,304014
2026-03-31 22:45:00,8604.000,8660.000,8599.000,8630.000,26453,301889
2026-03-31 23:00:00,8629.000,8698.000,8629.000,8698.000,24251,297146
2026-04-01 09:15:00,8690.000,8690.000,8499.000,8535.000,71107,296433
2026-04-01 09:30:00,8553.000,8558.000,8491.000,8513.000,40307,299119
2026-04-01 09:45:00,8515.000,8596.000,8514.000,8582.000,43689,297816
2026-04-01 10:00:00,8595.000,8659.000,8571.000,8641.000,27850,301882
2026-04-01 10:15:00,8632.000,8642.000,8566.000,8601.000,31591,299594
2026-04-01 10:45:00,8596.000,8645.000,8591.000,8621.000,27070,300732
2026-04-01 11:00:00,8621.000,8683.000,8611.000,8677.000,23870,302150
2026-04-01 11:15:00,8677.000,8681.000,8639.000,8648.000,24042,301456
2026-04-01 11:30:00,8648.000,8694.000,8639.000,8690.000,19699,300166
2026-04-01 13:45:00,8665.000,8690.000,8557.000,8563.000,43614,297657
2026-04-01 14:00:00,8582.000,8583.000,8478.000,8540.000,70979,292412
2026-04-01 14:15:00,8539.000,8551.000,8458.000,8470.000,51850,291523
2026-04-01 14:30:00,8466.000,8495.000,8433.000,8438.000,42936,288305
2026-04-01 14:45:00,8436.000,8437.000,8373.000,8390.000,55900,285683
2026-04-01 15:00:00,8389.000,8444.000,8376.000,8378.000,43422,279026
2026-04-01 21:15:00,8490.000,8508.000,8416.000,8433.000,79555,282552
2026-04-01 21:30:00,8434.000,8462.000,8406.000,8437.000,37933,283605
2026-04-01 21:45:00,8437.000,8456.000,8417.000,8448.000,27363,283689
2026-04-01 22:00:00,8447.000,8452.000,8423.000,8443.000,21340,283524
2026-04-01 22:15:00,8443.000,8448.000,8425.000,8432.000,14855,282945
2026-04-01 22:30:00,8433.000,8472.000,8415.000,8459.000,5061,281610
2026-04-01 22:45:00,8459.000,8483.000,8445.000,8452.000,22587,281143
2026-04-01 23:00:00,8452.000,8472.000,8444.000,8464.000,13058,278477
2026-04-02 09:15:00,8417.000,8534.000,8404.000,8510.000,81756,280071
2026-04-02 09:30:00,8508.000,8628.000,8506.000,8617.000,87360,282606
2026-04-02 09:45:00,8622.000,8683.000,8621.000,8668.000,59309,286795
2026-04-02 10:00:00,8672.000,8681.000,8638.000,8673.000,39119,289017
2026-04-02 10:15:00,8668.000,8724.000,8651.000,8706.000,32236,288529
2026-04-02 10:45:00,8710.000,8751.000,8693.000,8711.000,40801,289302
2026-04-02 11:00:00,8712.000,8727.000,8681.000,8692.000,30514,288948
2026-04-02 11:15:00,8692.000,8716.000,8686.000,8698.000,16147,289151
2026-04-02 11:30:00,8698.000,8707.000,8633.000,8657.000,26837,285432
2026-04-02 13:45:00,8691.000,8722.000,8656.000,8695.000,35939,284009
2026-04-02 14:00:00,8696.000,8712.000,8684.000,8702.000,23495,283342
2026-04-02 14:15:00,8702.000,8730.000,8691.000,8713.000,22348,281106
2026-04-02 14:30:00,8713.000,8713.000,8654.000,8673.000,27980,278963
2026-04-02 14:45:00,8672.000,8677.000,8625.000,8630.000,24830,277158
2026-04-02 15:00:00,8629.000,8650.000,8615.000,8625.000,9966,271405
2026-04-02 21:15:00,8876.000,8876.000,8693.000,8714.000,83417,269961
2026-04-02 21:30:00,8716.000,8724.000,8687.000,8702.000,32032,270342
2026-04-02 21:45:00,8703.000,8706.000,8663.000,8666.000,26638,270344
2026-04-02 22:00:00,8666.000,8668.000,8622.000,8634.000,31707,271728
2026-04-02 22:15:00,8633.000,8649.000,8604.000,8628.000,23725,271042
2026-04-02 22:30:00,8625.000,8627.000,8548.000,8562.000,32450,270699
2026-04-02 22:45:00,8562.000,8569.000,8393.000,8418.000,59458,269761
2026-04-02 23:00:00,8426.000,8538.000,8425.000,8520.000,45526,264679
2026-04-03 09:15:00,8561.000,8626.000,8517.000,8604.000,55103,265964
2026-04-03 09:30:00,8605.000,8621.000,8553.000,8610.000,27245,264718
2026-04-03 09:45:00,8610.000,8621.000,8574.000,8589.000,15767,264531
2026-04-03 10:00:00,8589.000,8658.000,8588.000,8635.000,24962,265372
2026-04-03 10:15:00,8634.000,8636.000,8612.000,8624.000,13584,265605
2026-04-03 10:45:00,8624.000,8629.000,8590.000,8614.000,7996,266542
2026-04-03 11:00:00,8614.000,8650.000,8599.000,8647.000,19686,266620
2026-04-03 11:15:00,8647.000,8665.000,8620.000,8629.000,15761,266699
2026-04-03 11:30:00,8630.000,8646.000,8605.000,8640.000,14785,265813
2026-04-03 13:45:00,8650.000,8679.000,8626.000,8662.000,30713,267247
2026-04-03 14:00:00,8665.000,8684.000,8641.000,8677.000,21520,267424
2026-04-03 14:15:00,8676.000,8723.000,8659.000,8717.000,25742,268284
2026-04-03 14:30:00,8716.000,8762.000,8709.000,8752.000,24483,267831
2026-04-03 14:45:00,8750.000,8824.000,8738.000,8812.000,7843,269274
2026-04-03 15:00:00,8812.000,8827.000,8743.000,8799.000,31763,264176
2026-04-07 09:15:00,9001.000,9028.000,8926.000,9019.000,101244,270742
2026-04-07 09:30:00,9035.000,9162.000,9023.000,9150.000,73167,279006
2026-04-07 09:45:00,9154.000,9236.000,9150.000,9189.000,64295,280818
2026-04-07 10:00:00,9188.000,9272.000,9156.000,9251.000,46787,282586
2026-04-07 10:15:00,9249.000,9264.000,9195.000,9254.000,39212,283427
2026-04-07 10:45:00,9239.000,9285.000,9204.000,9271.000,39155,287312
2026-04-07 11:00:00,9272.000,9297.000,9233.000,9269.000,36502,287528
2026-04-07 11:15:00,9269.000,9319.000,9230.000,9307.000,4527,288569
2026-04-07 11:30:00,9307.000,9352.000,9281.000,9296.000,38444,288880
2026-04-07 13:45:00,9318.000,9407.000,9292.000,9394.000,53702,293499
2026-04-07 14:00:00,9396.000,9404.000,9312.000,9331.000,41217,291413
2026-04-07 14:15:00,9330.000,9362.000,9292.000,9361.000,32734,292103
2026-04-07 14:30:00,9361.000,9401.000,9361.000,9375.000,31681,294556
2026-04-07 14:45:00,9375.000,9386.000,9347.000,9361.000,24410,293321
2026-04-07 15:00:00,9359.000,9389.000,9333.000,9389.000,23179,292781
2026-04-07 21:15:00,9355.000,9378.000,9167.000,9240.000,103670,290676
2026-04-07 21:30:00,9232.000,9275.000,9177.000,9195.000,47066,288455
2026-04-07 21:45:00,9193.000,9261.000,9171.000,9245.000,39158,287069
2026-04-07 22:00:00,9247.000,9281.000,9197.000,9245.000,33007,286755
2026-04-07 22:15:00,9245.000,9284.000,9213.000,9276.000,27651,287394
2026-04-07 22:30:00,9277.000,9301.000,9232.000,9255.000,9304,283812
