d,o,h,l,c,v,p
2026-03-31 22:15:00,2900.000,2905.000,2899.000,2904.000,21672,1368430
2026-03-31 22:30:00,2904.000,2913.000,2903.000,2912.000,8656,1366874
2026-03-31 22:45:00,2912.000,2915.000,2910.000,2910.000,23196,1362608
2026-03-31 23:00:00,2910.000,2914.000,2909.000,2914.000,18496,1359255
2026-04-01 09:15:00,2913.000,2925.000,2907.000,2910.000,67355,1358978
2026-04-01 09:30:00,2911.000,2911.000,2902.000,2905.000,34912,1359682
2026-04-01 09:45:00,2905.000,2906.000,2899.000,2901.000,33642,1361987
2026-04-01 10:00:00,2901.000,2906.000,2899.000,2905.000,12166,1360135
2026-04-01 10:15:00,2905.000,2906.000,2902.000,2906.000,15230,1360389
2026-04-01 10:45:00,2906.000,2907.000,2902.000,2905.000,30802,1351312
2026-04-01 11:00:00,2905.000,2907.000,2902.000,2903.000,15887,1349824
2026-04-01 11:15:00,2903.000,2903.000,2896.000,2897.000,30987,1350504
2026-04-01 11:30:00,2897.000,2900.000,2890.000,2891.000,37775,1340281
2026-04-01 13:45:00,2890.000,2892.000,2886.000,2890.000,24516,1338451
2026-04-01 14:00:00,2889.000,2893.000,2887.000,2887.000,42530,1333159
2026-04-01 14:15:00,2888.000,2891.000,2882.000,2882.000,42280,1327771
2026-04-01 14:30:00,2881.000,2883.000,2875.000,2877.000,55076,1321033
2026-04-01 14:45:00,2876.000,2878.000,2870.000,2871.000,53410,1310748
2026-04-01 15:00:00,2871.000,2882.000,2870.000,2875.000,60710,1296795
2026-04-01 21:15:00,2960.000,2967.000,2956.000,2964.000,71414,1441436
2026-04-01 21:30:00,2964.000,2968.000,2961.000,2966.000,33875,1450912
2026-04-01 21:45:00,2967.000,2967.000,2952.000,2954.000,43617,1459753
2026-04-01 22:00:00,2955.000,2960.000,2951.000,2956.000,24545,1464126
2026-04-01 22:15:00,2956.000,2957.000,2952.000,2954.000,13826,1468012
2026-04-01 22:30:00,2954.000,2955.000,2952.000,2955.000,917,1471488
2026-04-01 22:45:00,2955.000,2959.000,2954.000,2958.000,13568,1471259
2026-04-01 23:00:00,2958.000,2959.000,2955.000,2958.000,11490,1470885
2026-04-02 09:15:00,2963.000,2976.000,2958.000,2975.000,45542,1474394
2026-04-02 09:30:00,2975.000,2981.000,2971.000,2972.000,31260,1480895
2026-04-02 09:45:00,2973.000,2973.000,2967.000,2968.000,23913,1487424
2026-04-02 10:00:00,2968.000,2973.000,2965.000,2972.000,17418,1491569
2026-04-02 10:15:00,2972.000,2976.000,2971.000,2974.000,15739,1493921
