d,o,h,l,c,v,p
2026-03-31 22:15:00,3240.000,3248.000,3227.000,3227.000,55730,604742
2026-03-31 22:30:00,3227.000,3247.000,3226.000,3239.000,42524,603157
2026-03-31 22:45:00,3240.000,3266.000,3236.000,3253.000,65991,607596
2026-03-31 23:00:00,3254.000,3305.000,3254.000,3305.000,87261,607520
2026-04-01 09:15:00,3306.000,3306.000,3187.000,3198.000,222826,605851
2026-04-01 09:30:00,3199.000,3207.000,3135.000,3147.000,198283,599649
2026-04-01 09:45:00,3151.000,3190.000,3144.000,3174.000,110579,595853
2026-04-01 10:00:00,3184.000,3192.000,3165.000,3187.000,53702,595892
2026-04-01 10:15:00,3182.000,3185.000,3150.000,3162.000,71957,591783
2026-04-01 10:45:00,3160.000,3182.000,3158.000,3175.000,57224,591149
2026-04-01 11:00:00,3175.000,3206.000,3167.000,3204.000,57509,592272
2026-04-01 11:15:00,3205.000,3212.000,3175.000,3181.000,69239,588286
2026-04-01 11:30:00,3178.000,3206.000,3177.000,3205.000,55906,586970
2026-04-01 13:45:00,3173.000,3203.000,3111.000,3118.000,173910,584181
2026-04-01 14:00:00,3113.000,3126.000,3069.000,3095.000,195866,583014
2026-04-01 14:15:00,3094.000,3099.000,3057.000,3060.000,124243,579565
2026-04-01 14:30:00,3060.000,3085.000,3044.000,3044.000,101780,582054
2026-04-01 14:45:00,3044.000,3044.000,3009.000,3015.000,157792,575765
2026-04-01 15:00:00,3013.000,3042.000,3013.000,3014.000,65535,555903
2026-04-01 21:15:00,3083.000,3110.000,3059.000,3081.000,234907,557971
2026-04-01 21:30:00,3081.000,3095.000,3073.000,3082.000,83551,559548
2026-04-01 21:45:00,3080.000,3085.000,3066.000,3081.000,86516,563257
2026-04-01 22:00:00,3079.000,3087.000,3069.000,3083.000,47837,564651
2026-04-01 22:15:00,3082.000,3092.000,3074.000,3079.000,48292,564535
2026-04-01 22:30:00,3078.000,3097.000,3076.000,3088.000,43633,564609
2026-04-01 22:45:00,3088.000,3118.000,3083.000,3097.000,86251,563268
2026-04-01 23:00:00,3096.000,3101.000,3082.000,3091.000,53441,547345
