d,o,h,l,c,v,p
2026-04-17 13:45:00,144910.000,145000.000,144300.000,144740.000,8328,148048
2026-04-17 14:00:00,144740.000,144790.000,144370.000,144370.000,3720,148090
2026-04-17 14:15:00,144360.000,144540.000,143880.000,144000.000,1253,146670
2026-04-17 14:30:00,144000.000,144280.000,143980.000,144000.000,3688,146446
2026-04-17 14:45:00,144000.000,144160.000,143540.000,144080.000,893,146367
2026-04-17 15:00:00,144080.000,144240.000,143990.000,144240.000,31,146132
2026-04-17 21:15:00,144970.000,145010.000,141020.000,141110.000,50849,139965
2026-04-17 21:30:00,141150.000,141390.000,139200.000,140430.000,46392,137200
2026-04-17 21:45:00,140430.000,141080.000,140220.000,141060.000,19924,138763
2026-04-17 22:00:00,141060.000,141230.000,140470.000,141210.000,11957,138869
2026-04-17 22:15:00,141200.000,141200.000,140320.000,140320.000,10198,137545
2026-04-17 22:30:00,140330.000,140690.000,140330.000,140540.000,5272,137437
2026-04-17 22:45:00,140540.000,140990.000,140540.000,140680.000,3990,137209
2026-04-17 23:00:00,140670.000,140970.000,140570.000,140910.000,73,136993
2026-04-17 23:15:00,140910.000,141090.000,140760.000,140770.000,19,136947
2026-04-17 23:30:00,140790.000,140920.000,140500.000,140660.000,9,136695
2026-04-17 23:45:00,140660.000,140700.000,140530.000,140550.000,5,136876
2026-04-18 00:15:00,140480.000,140600.000,140460.000,140480.000,3,137089
2026-04-18 00:30:00,140480.000,140530.000,140260.000,140380.000,10,137162
2026-04-18 00:45:00,140380.000,140490.000,140360.000,140400.000,6,137086
2026-04-18 01:00:00,140400.000,140440.000,140200.000,140240.000,11,136658
2026-04-20 00:00:00,140550.000,140650.000,140360.000,140480.000,64,137086
2026-04-20 09:15:00,140520.000,141960.000,140520.000,141560.000,26550,137944
2026-04-20 09:30:00,141540.000,141970.000,141460.000,141900.000,3172,137916
2026-04-20 09:45:00,141900.000,142080.000,141580.000,142030.000,4974,137887
2026-04-20 10:00:00,142030.000,142350.000,141980.000,142290.000,7344,137871
2026-04-20 10:15:00,142200.000,142740.000,142100.000,142510.000,8071,137855
2026-04-20 10:45:00,142460.000,142830.000,142460.000,142750.000,5038,137835
2026-04-20 11:00:00,142740.000,143000.000,142430.000,142490.000,6961,137555
2026-04-20 11:15:00,142490.000,142590.000,141760.000,141910.000,6871,136548
2026-04-20 11:30:00,141900.000,142080.000,141800.000,141950.000,2789,136173
2026-04-20 13:45:00,141970.000,141970.000,141340.000,141400.000,7207,135939
2026-04-20 14:00:00,141400.000,141780.000,141400.000,141690.000,829,136031
2026-04-20 14:15:00,141710.000,141980.000,141660.000,141890.000,28,136309
2026-04-20 14:30:00,141910.000,141990.000,141770.000,141860.000,287,136400
2026-04-20 14:45:00,141860.000,142230.000,141850.000,142200.000,262,136347
2026-04-20 15:00:00,141930.000,141930.000,141930.000,141930.000,0,135540
2026-04-20 21:15:00,142330.000,142670.000,141550.000,142020.000,1,136851
2026-04-20 21:30:00,142020.000,142140.000,141750.000,141770.000,46,137162
2026-04-20 21:45:00,141770.000,141920.000,141150.000,141520.000,37,136927
2026-04-20 22:00:00,141510.000,141700.000,141270.000,141470.000,22,137075
2026-04-20 22:15:00,141470.000,141560.000,141330.000,141480.000,42,137063
2026-04-20 22:30:00,141480.000,141660.000,141270.000,141640.000,20,137094
2026-04-20 22:45:00,141640.000,141740.000,141290.000,141380.000,15,136984
2026-04-20 23:00:00,141380.000,141700.000,141220.000,141640.000,5,137430
2026-04-20 23:15:00,141650.000,141760.000,141330.000,141410.000,21,137836
2026-04-20 23:30:00,141410.000,141680.000,141390.000,141600.000,32,137624
2026-04-20 23:45:00,141580.000,141630.000,141420.000,141460.000,1,137437
2026-04-21 00:00:00,141460.000,141530.000,141350.000,141360.000,6,137458
2026-04-21 00:15:00,141360.000,141450.000,141220.000,141370.000,4,137280
2026-04-21 00:30:00,141370.000,141500.000,141350.000,141460.000,4,137172
2026-04-21 00:45:00,141460.000,141550.000,141430.000,141500.000,1,137077
2026-04-21 01:00:00,141520.000,141540.000,141320.000,141330.000,2,136851
2026-04-21 09:15:00,141400.000,141670.000,140900.000,141130.000,48,137671
2026-04-21 09:30:00,141110.000,141520.000,140980.000,141480.000,761,138328
2026-04-21 09:45:00,141480.000,141890.000,141180.000,141180.000,655,138751
2026-04-21 10:00:00,141200.000,141470.000,141100.000,141280.000,13,138934
2026-04-21 10:15:00,141280.000,141360.000,140730.000,140890.000,2226,139132
2026-04-21 10:45:00,140880.000,141040.000,140710.000,140980.000,1131,138842
2026-04-21 11:00:00,140980.000,141140.000,140790.000,141040.000,308,138514
2026-04-21 11:15:00,141040.000,141310.000,141030.000,141120.000,309,138242
2026-04-21 11:30:00,141120.000,141160.000,140350.000,140450.000,2322,137391
2026-04-21 13:45:00,140810.000,140970.000,140600.000,140920.000,1415,137253
2026-04-21 14:00:00,140920.000,140920.000,140210.000,140600.000,2001,136806
2026-04-21 14:15:00,140610.000,140620.000,139680.000,139780.000,5535,136216
2026-04-21 14:30:00,139800.000,140410.000,139770.000,140350.000,158,136493
2026-04-21 14:45:00,140350.000,140570.000,140270.000,140520.000,587,136281
2026-04-21 15:00:00,140510.000,140610.000,140380.000,140460.000,449,135670
2026-04-21 21:15:00,141130.000,141300.000,140640.000,141260.000,15147,136757
2026-04-21 21:30:00,141260.000,141660.000,141190.000,141470.000,11699,138449
2026-04-21 21:45:00,141450.000,141830.000,141380.000,141790.000,9340,139390
2026-04-21 22:00:00,141800.000,141980.000,141570.000,141660.000,8907,139815
2026-04-21 22:15:00,141670.000,141870.000,141600.000,141700.000,4897,140046
2026-04-21 22:30:00,141700.000,141940.000,141610.000,141860.000,2287,140861
2026-04-21 22:45:00,141850.000,141890.000,141390.000,141450.000,6114,140309
2026-04-21 23:00:00,141430.000,141460.000,141160.000,141370.000,6875,139764
2026-04-21 23:15:00,141370.000,141540.000,141270.000,141460.000,3497,139825
2026-04-21 23:30:00,141450.000,141480.000,141340.000,141410.000,2607,139557
2026-04-21 23:45:00,141410.000,141550.000,141330.000,141440.000,2459,139389
2026-04-22 00:00:00,141440.000,141530.000,141390.000,141530.000,1028,139260
2026-04-22 00:15:00,141530.000,141560.000,141430.000,141450.000,917,139160
2026-04-22 00:30:00,141450.000,141490.000,141370.000,141370.000,768,138925
2026-04-22 00:45:00,141370.000,141490.000,141360.000,141470.000,1072,138525
2026-04-22 01:00:00,141480.000,141530.000,141400.000,141490.000,2500,137978
2026-04-22 09:15:00,141640.000,142310.000,141490.000,141830.000,1832,139687
2026-04-22 09:30:00,141830.000,142540.000,141830.000,142350.000,10258,141391
2026-04-22 09:45:00,142350.000,142450.000,141840.000,141900.000,7904,140967
2026-04-22 10:00:00,141890.000,141960.000,141730.000,141750.000,5925,140114
2026-04-22 10:15:00,141750.000,142080.000,141750.000,141880.000,4010,140746
2026-04-22 10:45:00,141900.000,141940.000,141520.000,141630.000,6082,140024
2026-04-22 11:00:00,141630.000,141970.000,141610.000,141960.000,2372,140042
2026-04-22 11:15:00,142030.000,142350.000,141990.000,142200.000,5815,141387
2026-04-22 11:30:00,142180.000,142450.000,142170.000,142330.000,4375,142116
2026-04-22 13:45:00,142480.000,142650.000,141990.000,142050.000,8627,142458
2026-04-22 14:00:00,142040.000,142350.000,142030.000,142080.000,4120,142987
2026-04-22 14:15:00,142060.000,142190.000,141940.000,142090.000,3516,142894
2026-04-22 14:30:00,142090.000,142310.000,142070.000,142260.000,2677,143434
2026-04-22 14:45:00,142270.000,142270.000,142050.000,142160.000,2650,143585
2026-04-22 15:00:00,142160.000,142170.000,141920.000,142010.000,31,143451
2026-04-22 21:15:00,141820.000,142470.000,141170.000,142350.000,25415,149189
2026-04-22 21:30:00,142340.000,142550.000,142020.000,142500.000,12827,151130
2026-04-22 21:45:00,142500.000,142800.000,142110.000,142320.000,13094,152346
2026-04-22 22:00:00,142310.000,142430.000,142220.000,142270.000,6742,152896
2026-04-22 22:15:00,142270.000,142670.000,142200.000,142530.000,8931,153466
2026-04-22 22:30:00,142530.000,142910.000,142530.000,142710.000,3785,155243
2026-04-22 22:45:00,142720.000,142770.000,142400.000,142450.000,8751,155682
2026-04-22 23:00:00,142470.000,143160.000,142440.000,142890.000,13843,158138
2026-04-22 23:15:00,142900.000,143310.000,142820.000,143180.000,10771,159958
2026-04-22 23:30:00,143180.000,143400.000,143050.000,143280.000,7973,160759
2026-04-22 23:45:00,143270.000,143330.000,142960.000,143270.000,7899,160182
2026-04-23 00:00:00,143270.000,143510.000,143250.000,143340.000,3350,160367
2026-04-23 00:15:00,143330.000,143380.000,143170.000,143290.000,3269,160136
2026-04-23 00:30:00,143290.000,143380.000,143210.000,143260.000,2372,160217
2026-04-23 00:45:00,143260.000,143300.000,143110.000,143170.000,2699,159947
2026-04-23 01:00:00,143180.000,143230.000,143040.000,143100.000,3406,158412
2026-04-23 09:15:00,143190.000,143280.000,142650.000,142770.000,1851,158620
2026-04-23 09:30:00,142770.000,142830.000,142020.000,142200.000,15194,157219
2026-04-23 09:45:00,142210.000,142330.000,142050.000,142120.000,6338,157804
2026-04-23 10:00:00,142090.000,142310.000,141510.000,141540.000,15574,156846
2026-04-23 10:15:00,141430.000,141710.000,141110.000,141390.000,11769,156720
2026-04-23 10:45:00,141390.000,141570.000,141120.000,141180.000,6961,156710
2026-04-23 11:00:00,141170.000,141380.000,140960.000,141060.000,599,156652
2026-04-23 11:15:00,141060.000,141170.000,140550.000,140730.000,8564,155440
2026-04-23 11:30:00,140720.000,141230.000,140580.000,141040.000,1323,154991
2026-04-23 13:45:00,141200.000,141480.000,141050.000,141430.000,614,154618
2026-04-23 14:00:00,141430.000,141960.000,141380.000,141920.000,3397,154518
2026-04-23 14:15:00,141930.000,142040.000,141530.000,141570.000,198,154139
2026-04-23 14:30:00,141570.000,141870.000,141510.000,141810.000,2913,153820
2026-04-23 14:45:00,141800.000,141900.000,141660.000,141790.000,439,153406
2026-04-23 15:00:00,141770.000,142120.000,141770.000,142120.000,89,153207
2026-04-23 21:15:00,143550.000,145000.000,143470.000,144080.000,66282,159581
2026-04-23 21:30:00,144050.000,144470.000,143880.000,144300.000,19601,159788
2026-04-23 21:45:00,144300.000,144680.000,144150.000,144570.000,17947,163019
2026-04-23 22:00:00,144560.000,144560.000,143970.000,144010.000,13682,162571
2026-04-23 22:15:00,144020.000,144530.000,143890.000,144270.000,16215,163838
2026-04-23 22:30:00,144270.000,144550.000,144250.000,144320.000,3472,164525
2026-04-23 22:45:00,144320.000,144350.000,144020.000,144320.000,9583,164377
2026-04-23 23:00:00,144340.000,144660.000,144300.000,144460.000,12160,166346
2026-04-23 23:15:00,144460.000,145080.000,144390.000,144640.000,18055,168440
2026-04-23 23:30:00,144630.000,144820.000,144530.000,144680.000,7706,168925
2026-04-23 23:45:00,144670.000,144670.000,144410.000,144460.000,6034,168386
2026-04-24 00:00:00,144470.000,144640.000,144340.000,144560.000,3519,168017
2026-04-24 00:15:00,144570.000,144600.000,144260.000,144340.000,4080,167836
2026-04-24 00:30:00,144340.000,144550.000,144320.000,144420.000,2989,167613
2026-04-24 00:45:00,144420.000,144570.000,144370.000,144490.000,2229,167263
2026-04-24 01:00:00,144490.000,144580.000,144400.000,144510.000,2785,166269
2026-04-24 09:15:00,144340.000,145440.000,143950.000,145160.000,14253,168514
2026-04-24 09:30:00,145160.000,146030.000,145080.000,145200.000,39729,172973
