d,o,h,l,c,v,p
2026-04-17 13:45:00,16770.000,16775.000,16745.000,16765.000,1982,47037
2026-04-17 14:00:00,16765.000,16770.000,16750.000,16760.000,1903,46689
2026-04-17 14:15:00,16760.000,16765.000,16740.000,16740.000,11,46364
2026-04-17 14:30:00,16740.000,16750.000,16740.000,16740.000,555,46290
2026-04-17 14:45:00,16740.000,16760.000,16735.000,16750.000,321,46337
2026-04-17 15:00:00,16750.000,16780.000,16745.000,16775.000,78,45892
2026-04-17 21:15:00,16840.000,16875.000,16820.000,16830.000,6546,51686
2026-04-17 21:30:00,16830.000,16840.000,16805.000,16815.000,2771,52213
2026-04-17 21:45:00,16815.000,16820.000,16805.000,16815.000,1373,52462
2026-04-17 22:00:00,16815.000,16840.000,16810.000,16840.000,700,52434
2026-04-17 22:15:00,16840.000,16850.000,16835.000,16835.000,618,52367
2026-04-17 22:30:00,16835.000,16855.000,16830.000,16850.000,455,52413
2026-04-17 22:45:00,16850.000,16860.000,16845.000,16855.000,197,52426
2026-04-17 23:00:00,16855.000,16855.000,16830.000,16840.000,18,52447
2026-04-17 23:15:00,16840.000,16845.000,16835.000,16840.000,4,52436
2026-04-17 23:30:00,16840.000,16845.000,16830.000,16830.000,1,52465
2026-04-17 23:45:00,16830.000,16830.000,16815.000,16820.000,6,52446
2026-04-18 00:15:00,16800.000,16805.000,16785.000,16800.000,5,52508
2026-04-18 00:30:00,16800.000,16800.000,16790.000,16790.000,1,52502
2026-04-18 00:45:00,16790.000,16800.000,16790.000,16800.000,4,52498
2026-04-18 01:00:00,16800.000,16810.000,16790.000,16810.000,3,52450
2026-04-20 00:00:00,16815.000,16815.000,16795.000,16800.000,16,52459
2026-04-20 09:15:00,16790.000,16795.000,16760.000,16770.000,4400,52568
2026-04-20 09:30:00,16770.000,16780.000,16760.000,16770.000,1386,52745
2026-04-20 09:45:00,16770.000,16805.000,16765.000,16795.000,1004,52917
2026-04-20 10:00:00,16795.000,16810.000,16780.000,16785.000,701,52948
2026-04-20 10:15:00,16785.000,16810.000,16780.000,16785.000,915,53022
2026-04-20 10:45:00,16785.000,16810.000,16785.000,16795.000,1134,53120
2026-04-20 11:00:00,16795.000,16815.000,16795.000,16810.000,1,53267
2026-04-20 11:15:00,16810.000,16815.000,16790.000,16795.000,644,53423
2026-04-20 11:30:00,16795.000,16800.000,16785.000,16785.000,439,53528
2026-04-20 13:45:00,16785.000,16795.000,16745.000,16765.000,1622,53810
2026-04-20 14:00:00,16765.000,16785.000,16760.000,16760.000,1330,53816
2026-04-20 14:15:00,16760.000,16775.000,16750.000,16765.000,1363,53846
2026-04-20 14:30:00,16765.000,16770.000,16745.000,16760.000,1032,53986
2026-04-20 14:45:00,16760.000,16765.000,16750.000,16755.000,1,54024
2026-04-20 15:00:00,16755.000,16770.000,16755.000,16765.000,167,54457
2026-04-20 21:15:00,16775.000,16840.000,16765.000,16790.000,6398,55091
2026-04-20 21:30:00,16790.000,16815.000,16780.000,16810.000,2131,55535
2026-04-20 21:45:00,16810.000,16820.000,16805.000,16820.000,1037,55743
2026-04-20 22:00:00,16820.000,16830.000,16815.000,16830.000,918,55970
2026-04-20 22:15:00,16830.000,16835.000,16820.000,16830.000,855,56040
2026-04-20 22:30:00,16830.000,16840.000,16820.000,16835.000,536,56058
2026-04-20 22:45:00,16835.000,16845.000,16815.000,16820.000,787,55988
2026-04-20 23:00:00,16820.000,16825.000,16810.000,16820.000,446,55875
2026-04-20 23:15:00,16820.000,16825.000,16815.000,16820.000,274,55810
2026-04-20 23:30:00,16820.000,16830.000,16820.000,16820.000,70,55788
2026-04-20 23:45:00,16820.000,16840.000,16820.000,16840.000,217,55766
2026-04-21 00:00:00,16840.000,16860.000,16835.000,16860.000,802,55670
2026-04-21 00:15:00,16860.000,16860.000,16850.000,16855.000,311,55715
2026-04-21 00:30:00,16855.000,16860.000,16855.000,16860.000,124,55730
2026-04-21 00:45:00,16860.000,16860.000,16855.000,16855.000,212,55818
