d,o,h,l,c,v,p
2026-03-31 22:15:00,9069.000,9094.000,9050.000,9072.000,89,318207
2026-03-31 22:30:00,9072.000,9110.000,9069.000,9083.000,57,318054
2026-03-31 22:45:00,9083.000,9154.000,9078.000,9121.000,1458,316576
2026-03-31 23:00:00,9119.000,9190.000,9118.000,9188.000,746,313435
2026-04-01 09:15:00,9186.000,9186.000,8976.000,9031.000,3330,309926
2026-04-01 09:30:00,9032.000,9052.000,8958.000,8989.000,20109,307415
2026-04-01 09:45:00,8990.000,9061.000,8986.000,9054.000,1023,308910
2026-04-01 10:00:00,9063.000,9130.000,9044.000,9122.000,327,313340
2026-04-01 10:15:00,9111.000,9126.000,9078.000,9087.000,395,313548
2026-04-01 10:45:00,9086.000,9115.000,9078.000,9085.000,11573,313749
2026-04-01 11:00:00,9085.000,9153.000,9077.000,9148.000,2939,313277
2026-04-01 11:15:00,9148.000,9157.000,9113.000,9116.000,2874,312032
2026-04-01 11:30:00,9115.000,9160.000,9104.000,9156.000,3293,310716
2026-04-01 13:45:00,9133.000,9140.000,8999.000,9007.000,23908,304225
2026-04-01 14:00:00,9014.000,9023.000,8903.000,8957.000,1139,300884
2026-04-01 14:15:00,8927.000,8941.000,8849.000,8855.000,549,296339
2026-04-01 14:30:00,8857.000,8877.000,8808.000,8808.000,148,294420
2026-04-01 14:45:00,8802.000,8809.000,8741.000,8745.000,1791,291315
2026-04-01 15:00:00,8745.000,8833.000,8743.000,8767.000,50279,285718
2026-04-01 21:15:00,8888.000,8957.000,8829.000,8868.000,101596,287279
2026-04-01 21:30:00,8870.000,8914.000,8833.000,8885.000,55324,292859
2026-04-01 21:45:00,8885.000,8896.000,8849.000,8891.000,38020,294272
2026-04-01 22:00:00,8890.000,8906.000,8869.000,8887.000,27742,294442
2026-04-01 22:15:00,8887.000,8896.000,8861.000,8869.000,20195,292270
2026-04-01 22:30:00,8869.000,8911.000,8854.000,8896.000,7885,294236
2026-04-01 22:45:00,8894.000,8929.000,8891.000,8896.000,30366,295811
2026-04-01 23:00:00,8896.000,8912.000,8890.000,8907.000,18098,292437
2026-04-02 09:15:00,8853.000,8974.000,8842.000,8951.000,85940,294542
2026-04-02 09:30:00,8951.000,9100.000,8949.000,9075.000,105854,301193
