d,o,h,l,c,v,p
2026-03-31 22:15:00,3123.000,3124.000,3122.000,3123.000,11,898177
2026-03-31 22:30:00,3122.000,3124.000,3122.000,3122.000,3,898419
2026-03-31 22:45:00,3122.000,3124.000,3121.000,3122.000,1125,899311
2026-03-31 23:00:00,3122.000,3124.000,3121.000,3124.000,226,898638
2026-04-01 09:15:00,3124.000,3128.000,3120.000,3126.000,1081,894784
2026-04-01 09:30:00,3126.000,3127.000,3124.000,3127.000,2460,895364
2026-04-01 09:45:00,3127.000,3129.000,3125.000,3128.000,115,894970
2026-04-01 10:00:00,3128.000,3132.000,3128.000,3131.000,43,888829
2026-04-01 10:15:00,3131.000,3132.000,3128.000,3129.000,247,887682
2026-04-01 10:45:00,3129.000,3141.000,3128.000,3141.000,15121,883128
2026-04-01 11:00:00,3140.000,3141.000,3136.000,3137.000,3066,883788
2026-04-01 11:15:00,3137.000,3138.000,3132.000,3132.000,5772,881534
2026-04-01 11:30:00,3132.000,3135.000,3132.000,3135.000,2267,881643
2026-04-01 13:45:00,3134.000,3136.000,3129.000,3129.000,4455,881323
2026-04-01 14:00:00,3129.000,3130.000,3123.000,3128.000,444,876568
2026-04-01 14:15:00,3127.000,3128.000,3126.000,3126.000,77,876179
2026-04-01 14:30:00,3126.000,3128.000,3125.000,3127.000,308,875824
2026-04-01 14:45:00,3126.000,3127.000,3122.000,3123.000,269,875290
2026-04-01 15:00:00,3123.000,3124.000,3120.000,3120.000,1827,870165
2026-04-01 21:15:00,3126.000,3126.000,3113.000,3119.000,70622,861071
2026-04-01 21:30:00,3119.000,3121.000,3118.000,3118.000,12862,857992
2026-04-01 21:45:00,3118.000,3119.000,3103.000,3103.000,94016,854863
2026-04-01 22:00:00,3104.000,3105.000,3101.000,3104.000,35480,853164
2026-04-01 22:15:00,3104.000,3111.000,3100.000,3101.000,54158,855996
2026-04-01 22:30:00,3100.000,3101.000,3094.000,3097.000,8539,856229
2026-04-01 22:45:00,3097.000,3100.000,3096.000,3098.000,13818,855738
2026-04-01 23:00:00,3098.000,3098.000,3093.000,3096.000,17371,853482
2026-04-02 09:15:00,3096.000,3097.000,3086.000,3089.000,64030,854445
2026-04-02 09:30:00,3089.000,3100.000,3088.000,3099.000,42654,848732
2026-04-02 09:45:00,3098.000,3101.000,3095.000,3098.000,22273,844450
2026-04-02 10:00:00,3097.000,3101.000,3095.000,3100.000,10508,844006
2026-04-02 10:15:00,3100.000,3106.000,3098.000,3105.000,14647,840893
2026-04-02 10:45:00,3105.000,3106.000,3100.000,3104.000,16483,838867
2026-04-02 11:00:00,3105.000,3105.000,3101.000,3102.000,8969,837238
2026-04-02 11:15:00,3102.000,3109.000,3100.000,3109.000,12306,834981
2026-04-02 11:30:00,3108.000,3109.000,3105.000,3108.000,13885,834874
2026-04-02 13:45:00,3108.000,3114.000,3108.000,3112.000,27202,830882
2026-04-02 14:00:00,3112.000,3112.000,3106.000,3107.000,14388,829601
2026-04-02 14:15:00,3107.000,3109.000,3105.000,3105.000,9152,827457
2026-04-02 14:30:00,3105.000,3107.000,3104.000,3106.000,9333,826255
2026-04-02 14:45:00,3106.000,3110.000,3105.000,3109.000,9180,826038
2026-04-02 15:00:00,3110.000,3110.000,3105.000,3106.000,3475,821053
2026-04-02 21:15:00,3142.000,3144.000,3135.000,3136.000,52662,967689
2026-04-02 21:30:00,3135.000,3136.000,3130.000,3131.000,19655,972539
2026-04-02 21:45:00,3132.000,3132.000,3128.000,3129.000,10487,976125
2026-04-02 22:00:00,3129.000,3131.000,3128.000,3131.000,8661,978192
2026-04-02 22:15:00,3130.000,3133.000,3129.000,3132.000,5917,979437
2026-04-02 22:30:00,3131.000,3132.000,3129.000,3130.000,4454,980751
2026-04-02 22:45:00,3129.000,3130.000,3126.000,3128.000,825,981161
2026-04-02 23:00:00,3127.000,3129.000,3125.000,3127.000,10226,983705
2026-04-03 09:15:00,3128.000,3128.000,3124.000,3127.000,25694,993008
2026-04-03 09:30:00,3127.000,3128.000,3125.000,3126.000,9124,995831
2026-04-03 09:45:00,3126.000,3127.000,3124.000,3125.000,11573,1000585
2026-04-03 10:00:00,3125.000,3127.000,3125.000,3125.000,9683,1003013
2026-04-03 10:15:00,3125.000,3131.000,3124.000,3130.000,12886,1002768
2026-04-03 10:45:00,3131.000,3131.000,3126.000,3127.000,7374,1004655
2026-04-03 11:00:00,3127.000,3128.000,3125.000,3127.000,5927,1006704
2026-04-03 11:15:00,3126.000,3129.000,3125.000,3126.000,6277,1009028
2026-04-03 11:30:00,3126.000,3127.000,3123.000,3124.000,8863,1010859
2026-04-03 13:45:00,3124.000,3127.000,3123.000,3125.000,2310,1015146
2026-04-03 14:00:00,3124.000,3126.000,3121.000,3126.000,307,1027159
2026-04-03 14:15:00,3125.000,3127.000,3124.000,3126.000,2182,1029349
2026-04-03 14:30:00,3126.000,3126.000,3124.000,3126.000,2736,1030425
2026-04-03 14:45:00,3126.000,3126.000,3119.000,3120.000,9,1034691
2026-04-03 15:00:00,3120.000,3126.000,3119.000,3124.000,2621,1039413
2026-04-07 09:15:00,3125.000,3133.000,3115.000,3118.000,67545,1055178
2026-04-07 09:30:00,3118.000,3122.000,3114.000,3118.000,27516,1063316
2026-04-07 09:45:00,3118.000,3126.000,3117.000,3125.000,22222,1066646
2026-04-07 10:00:00,3125.000,3126.000,3122.000,3123.000,10654,1068318
2026-04-07 10:15:00,3123.000,3124.000,3120.000,3121.000,12394,1070847
2026-04-07 10:45:00,3121.000,3127.000,3120.000,3124.000,15614,1076263
2026-04-07 11:00:00,3124.000,3125.000,3120.000,3121.000,9707,1079763
2026-04-07 11:15:00,3121.000,3121.000,3116.000,3117.000,186,1084357
2026-04-07 11:30:00,3117.000,3119.000,3116.000,3117.000,10012,1086660
2026-04-07 13:45:00,3118.000,3121.000,3117.000,3121.000,14599,1091160
2026-04-07 14:00:00,3121.000,3121.000,3117.000,3118.000,42,1094545
2026-04-07 14:15:00,3118.000,3119.000,3117.000,3117.000,581,1097422
2026-04-07 14:30:00,3117.000,3119.000,3116.000,3117.000,54,1100060
2026-04-07 14:45:00,3117.000,3118.000,3115.000,3115.000,365,1106600
2026-04-07 15:00:00,3116.000,3116.000,3114.000,3115.000,978,1112918
2026-04-07 21:15:00,3117.000,3117.000,3110.000,3113.000,65844,1132717
2026-04-07 21:30:00,3113.000,3114.000,3110.000,3112.000,25040,1142591
2026-04-07 21:45:00,3113.000,3115.000,3111.000,3114.000,16532,1146841
2026-04-07 22:00:00,3114.000,3115.000,3112.000,3114.000,9912,1149962
2026-04-07 22:15:00,3114.000,3114.000,3107.000,3109.000,22410,1154562
2026-04-07 22:30:00,3109.000,3110.000,3108.000,3108.000,1121,1155880
2026-04-07 22:45:00,3108.000,3110.000,3108.000,3109.000,5385,1156842
2026-04-07 23:00:00,3109.000,3110.000,3106.000,3107.000,14613,1160179
2026-04-08 09:15:00,3105.000,3108.000,3098.000,3104.000,86006,1181655
2026-04-08 09:30:00,3103.000,3107.000,3102.000,3105.000,19183,1183864
2026-04-08 09:45:00,3105.000,3108.000,3103.000,3104.000,14395,1185655
2026-04-08 10:00:00,3106.000,3111.000,3105.000,3108.000,23040,1189175
2026-04-08 10:15:00,3108.000,3111.000,3106.000,3108.000,13638,1191399
2026-04-08 10:45:00,3109.000,3111.000,3107.000,3109.000,1425,1195076
2026-04-08 11:00:00,3108.000,3111.000,3106.000,3110.000,18683,1197834
2026-04-08 11:15:00,3109.000,3110.000,3107.000,3108.000,8874,1201791
2026-04-08 11:30:00,3108.000,3109.000,3107.000,3109.000,9079,1202801
2026-04-08 13:45:00,3109.000,3111.000,3108.000,3110.000,15762,1206264
2026-04-08 14:00:00,3111.000,3114.000,3110.000,3113.000,21551,1210106
2026-04-08 14:15:00,3113.000,3115.000,3111.000,3113.000,21351,1214261
2026-04-08 14:30:00,3112.000,3114.000,3111.000,3111.000,11015,1217144
2026-04-08 14:45:00,3111.000,3115.000,3111.000,3115.000,13441,1219699
2026-04-08 15:00:00,3114.000,3115.000,3113.000,3114.000,7131,1221262
2026-04-08 21:15:00,3117.000,3117.000,3112.000,3115.000,50183,1237045
2026-04-08 21:30:00,3115.000,3119.000,3114.000,3117.000,21951,1242266
2026-04-08 21:45:00,3117.000,3117.000,3114.000,3114.000,13759,1246877
2026-04-08 22:00:00,3114.000,3115.000,3114.000,3114.000,5791,1248328
2026-04-08 22:15:00,3114.000,3115.000,3110.000,3111.000,20816,1252526
2026-04-08 22:30:00,3111.000,3114.000,3110.000,3113.000,1792,1255819
2026-04-08 22:45:00,3113.000,3114.000,3112.000,3112.000,3656,1256898
2026-04-08 23:00:00,3112.000,3114.000,3111.000,3114.000,9692,1258686
